,title,text
0,Very crowded,"In the heart of town. Very huge mall. Traffic block at entry and exit during peak hours are usual. There are ample parking space but still may be not enough sue to the rush. Lots of shopping opportunities, food court and children's play area. Very happening place and lovely too if u don't mind the crowd."
1,Very Good,"The huge and vastly spread mall is over crowded on weekends. Can be avoided that time, because the cleanliness goes for a toss at that time."
2,LuLu International Shopping Mall Hypermarket Supermarket,Very big mall.there are  Verity of shops.its   easy to reach by metro.there are Many gold shops also. We enjoyed
3,International trading centre,The place where everyone goes for shopping eating and groceries. Many floor and food courts up top and big hyper market
4,Average,"Visit recently and like it at first place. 1.Very big spacious mall. 2. Have maximum stores functioning. 3. Have one shop named "" Spice of India"",good spices real and authentic. 4.lulu shopping destination inside is good to buy many products. 5. Food court was very big and…"
5,VISIT EVEN IF YOU DO NOT BUY ANYTHING,Very modern mall with plenty of shopping options. On weekends it gets extremely chaotic around midday.
6,Normal Mall,Biggest Mall of India huge car parking facilities inside mall have local and international brand and also have Lulu hypermarket at the top floor have food court
7,Shopping Mall,Great one with lots of shops for all. Department shop is almost a copy of Middle east . Direct access to Metro if highlight. We liked  to have Lunch from Paragon restaurant.
8,All your shopping needs under one roof,"Its a huge mall.Has an entry directly  from the metro station.Many shops & restaurants, but these are the same in every mall in every city.Didnt find anything great. Was out in half an hour."
9,Shopping mall to visit ,"its a huge mall.Has an entry directly from the metro station. Many shops & restaurants, but these are the same in every mall in every were"
10,Shopping,"Close to cochin university and connected by metro, it is a big mall with typical facilities like food court, sports arena, movie theatre and ofcourse shops. Food court has numerous options. Naga's which claims Royal Andhra food is a disaster. Hyderabadi Biryani is not hyderabadi style or taste. Funny to see lemon pickle with hyderabadi biryani."
11,Nice mall,Very impressive Mall. Huge and branded merchandises available. Variety of eateries at food court. Lulu hypermart is one of the highlight. Reasonable price that helps locals with day to day household purchases.  Very modern and clean mall.  Recommend for tourists to visit the…
12,Lovely mall in the center of the city ,"the best mall in Cochin area. the hyper market is awsome. they have almost everything. people of kerala need not go anywhere else, that is the collection / choice this lulu hyper market is offering - food, fish, non veg, bakery, vegetable, cooked food, packaged food, fruits all are there in plenty. besides all necessities also are available. mall accommodate most of the international brands. enough parking space. food court is quite spacious and clean. many options for each category. the mall is most importantly well managed and maintained."
13,Best mall in India,"Excellent for shopping , great entertainment area and great food joints .Greatest advantage is metro connectivity to MG road ."
14,"Hyper market n mall ""pride of cochin""","Yes a vast mall with all brands. Went on Dec 25, it was crowded. Good food court with local food available as well. The mall is same as most other good malls, only it is spread over a much bigger area.Worth a visit if you are in Kochi."
15,All products at one place,"Lulu mall is largest one in the Asia region. All the braded shops are located in the mall area. There is food court, children play area, entertainment zone in the mall. Elevators and lift is also available if you need."
16,The best mall in Kochin,Standard huge Asian mall.  Very big with multiple floors.  Very clean and well looked after.  Big supermarket and a number of eateries and food court.  Entertainment and cinema.  Helpful concierge and staff.  Shops are not that great but worth a stop if you have a spare…
17,Comple enjoyment ,Large selection of specialty shops plus huge supermarket. Movie theatres on top floor plus food court.  Foreign money exchange availableGood Aircon.
18,Stay at JW Mariott,"This is a massive mall; well laid out, outstandingly spacious - shops, corridors and car park area. The mall even today is a tourist attraction - many students are brought here from various places within and from out of kerala;  It is worth visiting - just for the joy of visiting a mall of this proportion and to have some unique experience of shopping in hypermarkets. One has to be extremely careful with Kids about their safety on lifts and escalators and also about the crowd.  If any untoward incident occurs, report to the first security guard at sight. There are a lot of  well trained security personnel around.All exclusive brands and showrooms are there.  The special slot for kids at the entrance is an  added attraction.  In addition, there is an exclusive floor for joy-rides and games for all.  The eatery segment is marvelous.Overall it is a place one must visit while in Ernakulam.  One needs at least three hours to just cover the mall once - more time if you do some serious shopping.The mall is easily accessible by METRO and by road from Ernakulam, just 8 KMs"
19,A great mall,Very good mall in the heart of the city. It is very clean and good looking. It is the greatest mall in India.
20,Lulu mall,"Lulu mall is a hidden treasures. You can never get bored of visiting Lulu. Number of shops, eateries, entertainment. The hypermarket is the biggest of the kind in India. You can get everything on earth here and at reasonable price too. The food section is the best."
21,Meeting Standards,Great mall for shopping and eating. All the big names are present. Whilst there we visited the PVR cinema too. The mall is very busy all the time. Very clean and comfortable.
22,At heart of Cochin city ,Lulu Mall definitely comes as a blessing to Kochi.   A one shop stop avoiding traffic congestion in the main city.   The best hypermarket in the city as well as Kerala.   Choices are Immense and I am sure will tempt people to spend more than they actually plan to.  Excellent…
