,title,text
0,Nice Place Nice Food,"A place where you have to visit if you are in Atami. Not for the exhibits, but for the scenic views and the awesome food in the restaurants up there.A short bus ride with easy instructions at the bus stop. Prepare spare change no bigger than 1000yen.Keep quiet on the bus.Silent your phone.And enjoy the view up and down and while you are up there. The view is breathtaking and soothing...Staff everywhere within the museum is very friendly and helpful too.If budget allows, choose one from the restaurants and have a hearty meal there. The soba was excellent and among one of the few things we still remember after the trip...."
1,"Thoroughly enjoyed this museum, nestled on the hillside. Reminded us of the Getty in LA!",Visited there on a hot humid summer day. Surely you can hide from it at that spacious museum. The number of exibitis is not that big but worth seeing.
2,Beautiful architecture ,This museum can boast more about its facilities and setting than its collection. The entry through the escalators is luminous & colorful. View from the museum of the city and Sagami bay is also breathtaking.  Should take a break in the cafe and enjoy.
3,You will be amazed,"The best museum ever! I think everyone would like this museum even if usually you have less interest in them. The architecture is unique, I especially liked the escalator. I recommend you rest in the tea room or restaurant outside of the museum. 爽快な気分になれる美術館。美術館が好きでもそうでない人も絶対に気にいると思います。建物は新しく斬新で、入り口の長いエスカレーターが意外と特にお気に入りです。おわったあとは、屋外の尾形光琳の家を改装したレストランや隣接するお茶屋さんで一服するのがおすすめです。"
4,Needed More Time 🙁,"You go to a museum for the collection, and this one's is great, spanning ancient Buddhist art to contemporary craft art. However, this building itself is a joy to explore and the views are superb. Wonderful museum."
5,Not to be missed!,This is a truly great museum sitting high on the mountainside overlooking Atami.  The exhibition and facilities are second to none.  There are beautiful gardens surrounding the museum and a fantastic view.Well worth a visit if there is an exhibition you are interested in.
6,Beautiful architecture,"We went to Atami to soak and relax.  This museum, both its exhibits and the structure, turned out to be extremely wonderful."
7,Worth going to Atami to see the MOA,"From the grand entryway to the mountaintop views, this museum is a gem. The collection of artifacts from Bactria are amazing, and the Japanese collection is unique. An architectural wonder!"
8,The view was amazing! ,"This is my second visit to the MOA Museum of Art in Atami. I was impressed by this museum on our first visit about 2-1/2 years ago. Renovations were completed in February 2017 and the museum is even more amazing. The non-glare glass was so clear that you couldn't even tell that there was glass separating you from the artwork! The architecture of the building and the landscaping is impeccable. Some reviews mention that the admission is high, but, it is well worth every penny! There are several new cafes and eating places within the museum.  We took a break with Japanese green tea and a sweet while enjoying the Japanese gardens. The current exhibit, ""Fantastical Painter, Iwasa Matabei, The Tale of Yamanaka Tokiwa"" is gorgeous, showcasing the 16-17th century scroll painter's story of a samurai and his mother, Lady Tokiwa. She was attacked and killed by bandits when she was on her way to see her son. Her ghost appeared to him and he sought revenge.  The exhibit ends on April 25, 2017, so, see it if you can!The museum has several National Treasures like the ""Red and White Plum Blossom""  screen and Tea jar with wisteria blossoms. It showcases about 61 Important Cultural Properties. There is a NOH theater within the museum and they have cultural events. If you're planning a trip here, check with the museum for their upcoming and current events. I was happy to see that there were more visitors than when I first visited several years ago.  I would definitely come back! Very easy access from Atami Station by a 7 minute bus ride to the museum. If you need wheelchair access, I believe it is from the 3rd floor."
9,Espetacular views of Atami bay and mesmerizing architecture,"the museum building itself is very nice, high &long escalators leadin to the main show room. I'm thankful that they provide English explanations on some of the main exhibits. Most art pieces are Japanese & Chinese n very few western arts. But the plaza outside offer very good view of the Atami bay during good weather"
10,Beautiful museum.,You can feel the spirit of a true Japanese whether through old pictures. Art objects. Thriving beautifully.
