,title,text
0,nice tower,"Tower offers great view of Macau and a variety of adventurous activities. From the tower's outer rim - the highest sky jumping in the world (233 metres), and the second highest decelerator in the world. Other than that - skywalk is less adventurous, but offers the best assisted photo opportunities."
1,"Amazing, fantastic ",A must visit site in macau. It is a long standing tower which offers spectacular views. The top floor has glass boundary and offers clear view of the city and the sea. It also has different activities like skywalk and bungy jumping.
2,Tallest structure in Macau,"This is a beautiful tower whose observation deck offer spectacular views of the city of Macau.  Although, having visited sky tower in Melbourne before, I had higher expectations, but it still is a good place for a tourist to enjoy the city views from the top."
3,Skyline walking ,The tower is supposed to be the highest in Macau. One can get a lovely view of Macau with its water lines from the tower top. Bungee jump sports is available from the top of the tower. It is worth visiting and taking time out to go up the tower and enjoy the magnificent view.
4,Fascinating,The see through glass floor at the top of the tower offers a unique experience in viewing the several bridges connecting macau and the taipa island.
5,Disappointing ,Macau tower is the tallest structure in Macau allowing you a view from the top and has added attractions like sky walking and bungee jumping (at a steep cost).One good  thing about this place is very fast elevators taking you to the top (56th floor?) though Burj Khalifa lifts are much quicker.Can spend some good time with family with good cafe available and relax.
6,A great place for an evening visit.,The observation deck at Macau provides 360 degree birds eye view of the city. Certain sections of the tower has glass floor which allows you to see the ground below your feet from such height. Perfect spot for adventure seekers as the tower provides bungee jumping and sky-walking. The lower floors of the tower has few places for shopping too. We loved the experience.
7,very quick up and down,"This is a famous and Tallest tower in Macau to experience the amazing view of Macau, HK and China from Top.Charges there to visit on top ~100HKD for tower and about 3500HKD for Bungi. If you are a Bungi lover u must try this.Good view from sea side."
8,Disappointed view ,"From the 233m tower and a 360 degree view, you get to see almost the whole of Macau. There are tickets with different prices for different things. There is a digital binoculars which can allow you to just point and see. You can also see people doing their bungee jump from above. Overall it is a great bird's eye view."
9,Cool place,Macau Tower is rather iconic. Fast speed lifts and several floors on top for observations for dining and for sky related activities. Several lower floors of shops and restaurants. Good for a visit
10,GREAT VIEWS,"One of the most famous spots in Macau, Macau tower is a treat. Great views of the city and sea from the tower. Also there is an opportunity to bungee jump or do sky walk."
11,great views from Macau Tower,Tower measures 338 meters in height. Really nice 360 degree views of Macau once you reach the top. You can see the famous Lisboa hotel in the distance. You have the option of walking the outside rim of the tower (skywalk) or bungee jump 233 meters.
12,Sunset in Macau Tower,"Macau Tower is one of the territory attractions.  It offers an excellent view and another dimensions to all the Macau territory, even on cloudy days.  Everything is very well organized.  Place is safe and clean.  I would suggest to keep it at the top thongs to do in Macau.  Tours are not important.  Even solo visits do not require a significant wait time.  Please conside to go all the way up - IMHO, you won't regret it."
13,Macau Stand out,The Macau tower gives a 360 view of the macau city . Its situated in the old macua and u can see the Grand Lesboa and Bilagio . U can also see the chinese border . There are some fun and adventure activities at the Tower like bunjee jumping and walking around the tower on the outside .
14,Hello Macau Sky,"Macau tower is surely a tourist attraction,  with two observatory  desk at two levels. Level-1 (58th floor) : This one is glass enclosed observation desk with glass floor at certain places.  It's quite a comfortable  place to view the Macau city and capture ones memories. My kids and family was really too excited to be hereLevel-2 (Floor 62): This is being projected as open observatory desk, which typically includes- Area for adventure like walk in outside periphery of tower,  bungee jumping etc.. honestly  I didn't dare to try it out. - Glass enclosed area but with openings on top,  which make you feel the real  winds and nature.  Overall a thrilling experience and must visit place in Macau"
15,See a Movie Somewhere Else,"A trip to the top of the tower is well worth it, not only for the amazing views of Macau and mainland China, but also of people bungee jumping and sky falling from the top! Theres even a glass platform to walk on which is great."
16,Special Experience,"Macau tower is no different then rest of the towers in the world. With a panoramic view of the old city on one side and of the new city on the other, it gives you a clear vision of the ocean with lots of ferrys transferring. The observation desk offers  a coffee shop where you can take coffee and sit back relax while enjoying the view. The best part of the tower is it has the highest bungy point of the world. Where you can jump for the top and create a record of the highest bungy. The tower also has clear glass installed in the observation desk wherein you can stand and see the clear vision of the ground below you."
17,Breathtaking view,It offers excellent panoramic view of the entire Macau City..One should do Sky Walk on 61 floor and bungee jumping.
18,View of macau,Macao tower can actually be seen from Hong Kong as well when the sky is clear. It has the highest bungee jumping facility. It was to our good luck we saw a couple (would be) jumped together from the top holding each others hand. God bless them .
19,Acrophobia released,"This tower is so tall that can see almost everything in Macau. Nice view both indoor and outdoor observation deck. The price is quite high if you purchase ticket at Macau Tower, recommended buy at Klook application."
20,Lunch atop the tower,"we visit Macau tower today , panoramic view of Macau city , good cafe at the tower , and very helpful staff ."
21,Highly disappointed,"A great experience to have the view of Macau and the Bay area. It is also a gateway for adventure sports like bungee jumping, Skywalk, etc. Never miss this visit."
22,Wastage of money very disappointing visit,"The Macau Tower is the tallest structure in Macau.The lift takes you to 58th floor,from where you can get a 360 degree view of the town.On the 61st floor is the Bungee jumping,which I felt was very expensive at approx 1000 HKD. That's all for the Tower."
23,Macau's best view,The best place to have panoramic view of Macau from both levels. Sky walk is thrilling and exciting  Bungi jumping is added attraction
24,Do you like heights?,Have to go to the top and enjoy the amazing view of Macau from the top floor. They have a lot of activities like bungeejumping and sky walk over there. I would recommend to go in the night to see the beautiful city of Macau with all its lights.
25,Mr,1 of the tourist spot a huge tower where u can have marvellous view of the Macau island. Different activities like sky walk sky jump though its safe but too expensive. It has got shopping mall with different international brands but once again its expensive. At the top there were transparent material fitted with which we can see through below right from the Tower that's quite scary to some but was really fun. A New observation out of many towers seen.
26,Spectacular view of Macau from Day to Night,Macau tower is just like rest of the towers in the world with a panoramic view of the old city on one side and of the new city on the other. Its right on the ocean side with lots of ferrys moving around. The observation desk has a coffee shop where you can take coffee and sit back relax while enjoying the view. The best part of the tower is it has the highest bungy point of the world.The tower also has clear glass installed in the observation desk wherein you can stand and see the clear vision of the ground below you.
27,Expensive and you have to pay,The best place for watching Macau skyline.You can jump from the top.It is safe zone for tourists.The view from the top is amazing.
28,Good experience,"Once the tallest free standing structure, now ranked 20th, Macau Tower offers a 360 deg view of Macau. Add a few hkd in the standard entrance and have buffet dimsum snack and complimentary use of the interactive telescope. Come here in the late afternoon and stay up to the night to see the amazing view of the hotels and bridges. As always 6mop is the bus fare from the Cotai strip."
