,title,text
0,Ancient Temple,"This ancient temple of Shiva is located Mardol in Ponda district. This deity is a kuladevata of many SB and GSB community residing in Goa, Karnataka and Maharashtra.If you are in this area on a Monday don't miss the Palaki Ustav and night Pooja which starts at 10 PM. goes on for an hour or so."
1,Hindu Devotional Temple,"Situated at Mangeshi village at Pirol, Ponda, Mangeshi temple is noted for the pillars which are considered to be the most beautiful among the temples in Goa. A good place to visit."
2,"Lord Mangueshi, an incarnation of Lord Shiva","This temple of Lord Shiva is ancient and Kuldaivat of Saraswat Brahmin community. It is neat & clean giving peace of mind. Ample parking space, availability of food and beautiful nature surrounding the temple attracts many tourists. Above all, there is no money minded people or activities carried on in this temple which are generally there in other temples."
3,Fantastic Temple ,"Mangeshi temple in Ponda is a nicely designed and serene temple. The Architecture is good and the deity is adorned beautifully. The prayers are done in a very divine manner and one can definitely find peace here. It can be very hot when one goes in the afternoon during sunny days.Vehicles are not allowed till the entrance of the temple but its around 150 to 200 metres walk from parking and the path is lined with shops. Its a 30 mins drive from Panaji and if one is travellin from South to North Goa, the route can be planned via Ponda to visit this temple."
4,Beautiful Temple with a lots of shops nearby,Architecture very similar to Shree Santhadurge temple near ponda. Resides on the way to Panajim from Ponda.
5,GSB (Goud Saraswat Brahmin's) Landmark Temple Of  Goa.,"This temple is  over four centuries old and is highly regarded by the local Hindus. Lord Manguesh is an incarnation of Lord Shiva - the omnipresent God - from north to south and from east to west in India. The temple campus is much sprawling with Agrashalas - a pilgrims resting place, canteens, etc. the temple trust does some remarkable charitable works like running schools etc. Tourist/pilgrims who travel by bus has to walk a little from main road/ bus stop to reach the temple  while those riding a car/taxi can go right upto the entrance of the main temple. A visitor may avail canteen facilities there inside the temple premises in the Agrashala. Out side the temple is line with shops     dealing in local fruits to beach clothes etc."
6,Clean Temple,"must visit this place.This temple had its origins in Kushasthali Cortalim, a village in Saxty (Salcette) which fell to the invading Portuguese in 1543. In the year 1560, when the Portuguese started Christian conversions in Salcete taluka, the Saraswats of Vatsa Gotra moved the Mangesh Linga from the original site at the Kushasthali or Cortalim on the banks of river Aghanashini (Zuari) to its present location at Mangeshi in Priol village of Atrunja Taluka, which was then ruled by the Hindu kings of Sonde of Antruz Mahal (Ponda),"
7,Nice Holy place,Mangeshi is Lord Shiva Temple located in Ponda. Temple is about 400 years old renovated recently. Inside temple entrance doors are covered with silver plates. One of the rich temple trust.
8,Could've been better.,"Beautiful temple of lord Shiva. This temple is the holy diety of Saraswat Brahmins Community. It is well maintained, and community members can stay here after pre confirmation of availability of rooms. There is a small flea market outside the temple."
9,Divine place,This was one of the oldest Hindu temple in Goa dedicated to lord Shiva in the form of Mangesh. Lot of devotees visited this temple. Actually we visited this temple in February end when the sun started becoming hot. The road to temple is blocked for vehicle movement so we walked. Lot of people were giving puja. We had good time.
10,Nice feeling.,Mangeshi temple is Lord Shiva's Temple. Around 15 KM far from panjim. Ladies and Girls in Short dresses are not allowed and many other warning are clearly written on the wall of the temple. So we recommend to read them before entering into the temple.
11,graet,"This temple is one of the oldest shiva temples in goa and based on the folklore of Mangesh is followed by another two temples of Mahalsa and Shantadurga.  The temple is approx 40 km from baga and the approx 20km from panjim. Though it's accessible by buses through panjim, I would suggest to do all the three temples by renting a car or self drive or riding on scooters.  Won't bank on the buses.  There is a good walk to the temple from the parking point too.  The temple has beautiful Architecture and is quite surreal too. Must visit while in goa."
12,Beautiful temple and divine darshan,This is said to be a location of Lata Mangeskar ji's location. This temple is a blend of Different architecture.
