,title,text
0,Lovely place,This is a lovely place to spend a few hours just strolling around There are some great bars and restaurants right on the marinaIt's a bit more expensive than away from the marina but it's a great place just to Sit with a drink and watch the world go by
1,Two oldies,The marina at Marmaris is lovely for a walk about there are lots of restaurants to have a drink or a meal also all the boats are there for the day trips also around the corner there is the shopping centre with hundreds of shops well worth a visit for some bargains
2,Review,A nice area to walk around and admire all the beautiful boats and stop for a coffee also some nice shops in the area and a small castle to see.
3,Very pretty,"A lovely place to stroll along in the evening, although quite busy. There are some very nice bars/restaurants where you can sit and watch the world go by."
4,Excellent ,Great to walk around day or night with loads of terrific restaurants.At night it is cooler and you can find a restaurant that is within your price range easily.
5,Really pretty,Went here mainly of an evening and the view was fantastic and there are loads of Bars and restaurants
6,Boat trip ,The marina is a great place to go see but the amount of hassle you get just walking past the restaurants is just silly. We walk down must nights and if your not hassled by the boat people try to sell you a trip then your hassled by the large restaurants trying to get you in. This can be very off putting so I suggest you try a walk the furthest side away and you get less hassle. Would be 5 star if it wasn't for all the hassle you have to contend with to have a quite walk around. I would return as some bars are good.
7,Walk,"Nice place for a walk with many restaurants, cafes and bars. There are many shops as well. You can also reach the Icmeler  by walking from the marina. It’s about 5 km."
8,Beautiful ,The Marina is a must to visit it has lots of nice shops and if you bargain you can get some great deals .. also the restaurants around this area serve exquisite seafood 👌 and the view is spectacular 👌
9,Great place,A nice walk along the marina checking out the amazing yachts and also good to sit and people watch whilst enjoying a drink. very busy in the evenings especially friday and saturday.
10,Beautiful Marina with nice shops & restaurants around,It's amazing walking along the marina so many amazing restaurants and bars. I could just sit and watch the world go by.
11,Beautiful and elegant ,What a lovely marina to walk around and people watch or boat watch! Great selection of restaurants and shops too. Keep an eye out for fish in the crystal clear water and the playful kitties.
12,Mamma Mia brilliant excursion ,We love going around the marinas anywhere to be fair. This one is great and all the bars and shops near by this Marina are cheap as most will know these places are normally over priced lovely few hours spent.
13, Beautiful Marina,Lovely place to walk with plenty of restaurants and shops nearby. I would highly recommend the restaurant Bono near the bridge over the river as the drinks were fantastic and the food looked amazing.
14,Overall ok ,Nice place to have a stroll to look at the boats and yachts with some great eateries at decent prices and access to Marmaris castle
15,Many choices of activities for day trips and great views,The view we had of the harbour was amazing.  It was lovely and clean and lots of restaurants bars and shops . Lovely day spent there . Defo reccomend visiting if your in marmaris .
16,Nice walk ,We enjoyed taking evening walks to the marina which has lots of interesting looking boats. We had fun taking selfies and pictures
17,Beautiful ,Really nice for a relaxing walk and a few stop offs. Loads of nice bars all overing stunning views. Boat trips available from here aswell that take you too different islands.
18,You get constantly mithered! ,The marina is such a beautiful place I regularly went for walks here day and night and absolutely loved the vibe it is opposite the grand Bazaar and there are plenty of places to eat and drink from this is where the boats embark on the day trips to Turtle beach and Turunch etc!  there is a wonderful waffle place near here i went to just opposite Burger King next to Disney shop!! I miss the marina walks! w
19,Amazing to walk around ,A lovely clean marina with lots of shops and restaurants around lovely looking at all the boats a great walk along the front
20,Fab,You cannot visit Marmaris without enjoying a walk around the Marina. Plenty of very friendly bars and cafes to relax and watch the world go by.
21,Early evening,"The marina is a great place just to sit and have a cold drink and watch the world go by.their is always something going on,coming and goings from the cruise ships,laundry vans servicing all the boats,supermarket deliveries to all the boats,it never ends,you can also watch the guys fishing,and of course the boats coming and going."
22,Boat trip ,Fantastic to simply walk around and see all the cafes and restaurants along with the wonderful boats moored nearby. Very lively and has a great vibe to it.
23,Truly beautiful marina,Nice to walk around - plenty of bars and eateries. good to walk around the indoor market plus you can visit the castle - although the entrance fee is expensive
24,Nice walk,Lovely place to sit and have a beer and watch the boats You can book all you boat trips and fishing trips here
25,Cruise ,This is a very lovely marina was surprised by how big it was and very busy. Loads of lovely restaurants and bars in the area just off the grand bazaar.  Made a great evenings entertainment.
