,title,text
0,Mystical magic,Viewing the Taj Mahal at sunset from across the river provides a different sensation than viewing it from the actual site. There is a mystical sense of peace and majesty- and quiet... This definitely gives you a full circle experience of the Taj Mahal - don’t miss it!
1,To view of Taj Mahal and the Yamuna wildlife ,It is wonderful feeling to saw the Taj Mahal from some distance at sunset across the yamuna river. We take some pictures of Taj. It is best &  less crowded place to click some beautiful pictures of Taj.
2,A different angle!,"This is the place to see the Taj Mahal at sunset. It was interesting to see this amazing building from across the river, framed by the trees of the garden. There weren't too many people there, so it was easy to get a good viewing place."
3,An ideal place to view the Taj Mahal at sunset.,Sunrise in summer will be ideal to take photos of the Taj Mahal from across the Yamuna River. It’s a really nice place to just sit and watch the sunset and the Taj Mahal. Really romantic. There is an entrance fee but as we hold an OCI card we paid local rates of Rupees 25 vs Rupees 300 for foreign tourists. It opens at sunrise and closes at sunset.
4,Peaceful place,"After experiencing the Taj Mahal at sunrise, you want to see at sunset.You will be driven to the opposite bank of Yamouna river and you will experience the Taj Mahal from the back with the sunrise changing its colour.They are currently building an impressive garden to improve the Customers experience. It will cost you as a foreigner 300 Rs. which I could say it is well spent money.Another must-see to say goodbye to Agra."
5,Magical evening at Mehtab Bagh,I loved seeing the Taj Mahal from the river side during the day.  It was beautiful to be able to see the Taj and be in the garden and enjoy nature at the same time and be able to grasp just how magical Agra is...
6,We arrived here in the evening before the sun set.  View Taj Mahal across this garden  So imprinted,Seeing the Taj Mahal from here was so amazing as you can see the truth symmetry. Parts of the garden are maintained but the original site is kept as is.  Very peaceful.
7,You can get the better view for free,To see the Taj Mahal from this side is simple amazing. It feels special like the Taj Mahal is yours for a moment. Only yours and no-one else around.
8,Only reason to visit for views of the Taj--else just an empty park,Most people flock to this place at sunset-time to watch the Taj Mahal change color in the golden light. The view from here is stunning.
9,Relaxing tranquil view of the Taj,Really great to see the Taj Mahal from the other side of the river. Somehow more 'intimate' and the site of the never completed 'Black Taj Mahal' which was to be his mausoleum. What a site that would have been!
10,Fab view of Taj Mahal,This wonderful garden in a peaceful location is an excellent place to see the Taj Mahal from the back across the Yamuna river.  You get great views of the Taj but there is now way to get to the river to get any reflections ... unfortunately.
11,Pictures of the Taj without people,Well worth visiting to get a different view of the Taj Mahal in a more relaxed atmosphere. Recommend going for sunrise or sunset.
12,A hidden gem,"By itself, this garden is not worth the entrance fee. However, for a view of the Taj Mahal and a place to sit and relax while enjoying the majesty of the place it was worth it for me.You can see the view of the Taj from outside the garden but it is not the same and it can get crowded plus there is no where to sit and relax. We went at sunset and it was very peaceful. It also made us happy that we went to see the Taj Mahal in the morning as the que in the afternoon was absolutely ridiculous. It seemed to be moving quickly though.One thing to note about this garden is that you cannot take any food inside. Not even a mint as they are afraid that you will litter."
13,Got to see the sunset view,A lesser known spot to quietly contemplate the majestic site of the Taj Mahal. Follow the road past the fort and find a haven of peace away from the trippers and hustlers.It is almost the extended gardens but across the other side of the river which depending on the season can give a different perspective.
14,Unfinished Taj,"We came here at sunset to see the other side of the Taj Mahal, from across the river. The gardens are just ok but the sight more than makes up for them. Well worth a visit."
15,Taj View - Mehtab Bagh,"Away from the heavily crwded Taj and Fort, this provides an alternate Taj viewing location from across the river"
16,The garden is ,Great photo of the Taj Mahal at sunset. One can get a panoramic view from the great gate to the mosque. Great side view of the Taj Mahal too especially at sunset.
17,Skip this place if you came to see the Taj,Metab Bagh is the perfect location to see the Taj Mahal at sunset on a Friday (when the Taj is closed). I didn’t know about this location until my guide brought me and I’m so glad I trusted him! It was great to see the Taj from afar and prepare myself to really see it and take it all in the following morning.
18,"Just use the view point next to the garden, its cheaper and same view","The view point, from where you can see Taj Mahal on a straight axe, is closed due to restoration. The wall from where you can get to that axe as well is closed with the fence (which makes nonsense, as you can walk from both sides of the fence on the same wall. No announcement is given."
19,Good view of Tajmahal in evening ,This just provided a view of the Taj from across the river Yamuna.There is really nothing else here apart from the view.
20,Garden view of back of Taj,"If you’d love the best view to watch Taj Mahal during sunset, this is the place. From my hotel (Atulyaa Taj Hotel) I had to take auto around INR40. The journey was about 15-20 mins because it is located at the opposite of Taj separated by Yamuna river. It depends on the traffic as well. The view was magnificent. Taj Mahal is a magical artifact. The building gets bigger when you are farer from it and it gets smaller when you are nearer to it. This cannot be captured by your camera. You have to witness it with your eyes. At least this is what I saw."
21,What could have been....,Beautiful gardens provide an incredible view - stunning first full-on view of the Taj Mahal.  So peaceful despite throngs of people.
22,Great place to photograph the Taj,"Translating to moonlight garden, Mehtab Bagh is the perfect spot for admiring the beauty of the Taj Mahal. Built by Babur, it is a square garden that was once resplendent with pools, fountains and trees. Today, it makes for a recreational tourist spot. A Mughal garden, it is perfectly aligned with the Taj Mahal along the Yamuna River and was described by Shah Jahan as the ideal spot for viewing the Taj Mahal.Due to frequent floods and extraction of building material by the villagers, the garden lay in ruins by the ‘90s. However, the Archaeological Survey of India (ASI) intervened and started work to restore the garden to its original state. They even made sure that the plants used in Mehtab Bagh were ones that were originally a part of Mughal gardens. These included guava, Ashoka, jamun, neem, hibiscus, etc. There were four sandstone towers too in the garden at its four corners, however, only one remains now. During the restoration, other structures were added to Mehtab Bagh that were not originally a part of it. Some of these include a statue of BR Ambedkar holding the constitution of India, a temple and nurseries. Visit Mehtab Bagh between 6 am to 7 pm, it is open on all days of the week."
23,Mehtab Bagh Taj View Point is Nice,"This garden provides a view of the back of the Taj Mahal. Nothing fancy, just another normal garden. Can be given a miss.Entry Fees-30 Rs.(Indian)"
24,Too Big and not maintained,This place is a must visit for some perfect photography with Taj Mahal.The view is simply spectacular.
