,title,text
0,a nice retreat in the city,"If there is a place that can make you forget you’re in a huge bustling city like Tokyo, walking towards this shrine is the place!You start walking into an area that is nicely wooden and gives you the impression that you are walking through some wilderness towards the shrine. The shrine itself was nice and is definitely worth a stop if you have some time in Tokyo. It’s a nice escape from the busy-ness of this cool city."
1,Solo adventure,An oasis in the middle of Tokyo. You almost forget you are in the middle of the most densely populated city in the world.To get the most of your experience try to visit it before going to Kyoto. Because after visiting Kyoto ...
2,"We walked past the Shrine, but the Walk was nice, empty Sake Barrels n All",Worth a bit of time when you’re in Tokyo. It’s a lovely area that makes you feel like you’re not in the heart of a city. Would absolutely recommend.
3,Serene and remarkable,"A lovely place to visit, really magnificent. Easy to get to when you have understood the subway system (easy!). Fairly busy, but has a one way system, so not too bad."
4,Tranquility abounds,In the middle of a huge city like a Tokyo this garden and shrine is a wonderful escape. A must visit.
5,A Forest within a city....Tokyo's answer to Central Park,This temple and grounds are so well done.  This area is so calm you forget you are in the middle of Tokyo.
6,Highly recommend place,You can’t come to Tokyo and not see the Meiji shrine. It is a shrine set in a lovely green expanse. Often there are weddings and you might be able to catch a procession. I loved the wall of wishes where visitors from all over the have pinned up their wishes. A truly beautiful place to visit in Tokyo.
7,Beautiful shrine and park,"I actually like the place.  You basically walk into the forest like park in the middle of the city.  The walk to the temple was wide and an easy walk. You don’t hear the traffic, so you can actually enjoy the peace.   There’s a sake wall to the walk to the shrine, great for pictures.  The shrine when was not that big but it’s ok, it’s not so crowded with tourist."
8,A walk through a beautiful park,A really lovely space. A few minutes in you would never know you were in Tokyo! Really recommend spending some time here.
9,Beautiful area to stroll around in the centre of Tokyo,"If there's one temple in Tokyo that you absolutely should not skip or miss, it is Meiji Jingu Temple. It can get pretty crowded so make sure to visit early in the morning."
10,"Tranquil, spiritual visit","A must see when in Tokyo, this haven in the midst of the busy city is serene and quiet. One doesn’t need to spend a whole lot of time there, but shouldn’t be given a miss."
11,Peaceful,"You absolutely must go to a Shinto Shrine, and a Buddhist Temple while in Tokyo, there is one probably within a few stops from you. Beautiful."
12,Shrine Visit Highlight,Can’t recommend this temple enough. You instantly forgot that you’re in the middle of a busy city. Great introduction to temple etiquette with easy to follow guides in the brochure. Recommend the inner garden for the extra 500 yen. Be sure to gain a charm to change your fortunes!
13,Praceful and traditional shrine in the heart of Tokyo city Centre,This has to be on everyone's must-see list to feel they have visited traditional Japan. It is in a beautiful wooded park. There are a number of graphic displays describing the shrine and it's history. There is also a shop and very well kept restrooms.
14,An oasis of green in the midle of concrete,"This sanctuary gives you the opportunity to go back in time, incredible walks in what appears to be a park that, like a curtain, opens to expose historical buildings.I recommend you visit with a guide so you can discover all the secrets of the Meiji Shrine.If you have a chance there are ceremonies for visitors where you will have the opportunity to live this experience in your own flesh.After the walk, you can visit the surrounding area, the shopping area is very worthwhile"
15,Beautiful oasis in a bustling city,This place is really magic. You will feel the real japanese culture here!Surrounded by nature is a must see stop on your trip to Tokyo.Stop by and buy also some of the amulets and make a pray for your dearest one.We loved the experience!
16,Beautiful shrine and surrounding park,Really nice place for a stroll around the park and to check out the shrine. Y500 gets you into a nice garden with koi fish and a natural spring. We were too early in the year for the flowers but I’m sure it’s amazing in springtime
17,Must visit and conveniently located,Right in the middle of the hustle and bustle you’ll find this little oasis. It was a stinking hot day and the shrine was the perfect escape. Would recommend to all visitors.
18,A must visit Shrine,I usually go to Meiji Jingu for quiet walks whenever I am in Tokyo. It's a  good place to reflect and participate in their traditions and customs. Also good to research about doing ritual cleanse before visiting
19,One of the best Shrines,"If you've seen lots of temples this one will feel average. Beautiful grounds in and around the temple, but if you're heading to Kyoto, the temples there will feel more impressive."
20,Beautiful ,"We found the city of Tokyo to be an even moving hustle of people and business, especially after the fun and madness of Shibuya crossing.    Walking through the massive Tori Gate into Yoyogi park surrounding the shrine was a gentle slide into a green calm.   Tourists thinned out as we got closer to the temple and we passed small side gardens, now closed, that we wish we'd be around earlier to explore them.    A second enormous Tori gate announces your arrival to the Meiji Shrine and you are entered into the grounds of the shrine itself.   We saw a lot of shrines over this trip and you get a little ""shrined out"" however the majesty of Meiji remained with us and cemented itself as our favorite.   We performed the ritual washing of the hands (some wash their mouth out as well) as an act of respect before proceeding into the shrine proper.   One inside, it opens itself to you and shows the grandeur of it's size.   Stop on the edge and wait for a few minutes, take it all in, feel the timber that surrounds you and see the construction while the sweet smell of cedar wood and incense.    A spiritual moment?   Maybe...    but for me, I really enjoy traditional timber construction and craftsmanship, along with the tactile sensations you get from them.    What can I say, it's my bag!   From there, move into the main courtyard and up to the actual shrine and burial place of Empower Meiji, the 122nd Emperor of Japan and the man who modernized the nation. I feel the shrine really is a cultural must-see for Tokyo visitors.   There are information boards all around describing the emperor and his rule.   The shrine itself is a beautiful thing to behold and like us, you will want to buy one or the prayer boards (500 yen), write a prayer on it and place it on the hanger for the priests to present and offer the next day.   You can also purchase any number of small charms for whatever luck you want.   This is a fun think and it gives you some unique souvenirs.   They may be a little pricey but if funds go to the upkeep and maintenance, I’m cool with that.   Toilets abound through the park and pathways and there is a large cafe/restraint complex with souvenir shop.   Good shop for traditional quality items over tacky fun ones.Getting there is easy, either by walking up from Shibuya like we did or getting off at Harjuku, right on the park entrance.  Come early or late as it appears the park gets busy in the main part of the day.   If you are in Tokyo for some cultural satisfaction, this really is a must."
21,Gorgeous gardens. Peaceful,It sits next to the busy area of Shibuya but takes you away from the hustle bustle. Perfect getaway from the city craziness and is a lot cooler during summer days.
