,title,text
0,Spacious historic rice plantation,"A beautiful place to walk and see the waterfront, ponds,  beautiful gardens, and statuary. There are horses, goats, and other farm animals. Reference to enslaved people was found in the rice mill and the freed slave's home.  A tour of the owner's historic home is an additional fee."
1,Absolutely Stunning,A glimpse into the past with expansive and lovely grounds.   Ponds and fountains with alligators on banks.
2,Loved our quick stop,The gardens at Middleton Place are beautiful beyond words. So many different flowers and plants to see. The Butterfly Lakes were really cool! As were the alligators and turtles basking in the sun. They also have a farm with many different animals. This is a fun place for families with younger children as well as elder.
3,Great in so many ways,"Beautiful place,  great food at the restaurant and a wonderful experience all round. Lots of wild life. We saw turtles, herons, an alligator, peacocks, geese, ducks, lizards, and more. The  Middleton oak is amazing,estimated near 1000 years old."
4,Love the Reflecting Pools,"Middleton Place and Gardens are beautiful, historic and informative.  Stroll the National historic gardens,  tour the plantation house, lunch at the restaurant and listen to the many docents who are highly knowledgeable on topics such as slavery, barrel making, history, spinning of yarn and other aspects of plantation life.  It is a very pastoral setting with sheep grazing, horses and carriage rides,  learning about rice production and of course beautiful views of the Ashley River. I would highly recommend a visit for visitors of all ages."
5,Three Tours at  Middleton Place  Plantation: Formal Gardens; Beyond the Fields(Slavery) ; Reserved House Tour,"Had a great ride through the rice fields and around the waters (ponds, rivers, etc.  Saw an alligator, large turtle in our path, blue herons and snowy egrets.  Guide was great, horse was fine.  It was 98°, but riding in the shade with a gentle breeze was a great experience.The equestrian facility is “to die for” with beautiful, well maintained dressage arenas, an event course, hosting a foxhunt, stadium jumps.  I highly recommend!"
6,Beautiful Grounds,"A must see. Absolutely beautiful grounds. Beautiful place to spend the morning or afternoon walking around the property. Take the tour inside the house and be sure to have lunch at the restaurant. It's 16 miles outside Charleston. We didn't have a car during our stay so we used Uber. May take little longer for driver to get there to pick you up, but it worked fine for us. Of course there are tours that take you there, but we prefer not being on someone else's time table."
7,Annual Mother/Daughter trip,"A beautiful and vast expanse of trees, flowers, ponds, elegant statues, cabins and acres and acres of manicured lawn. The rooms are large and comfortable, the setting unforgettable. Great for hikes, lounging around, and sipping wine."
8,Excellent place to visit,"Stunning gardens and view of the river. The history behind the property and family is truly fascinating. One artifact in the home was truly one-of-a-kind-a pass to get through the Union blockade written to a member of the family by President Abraham Lincoln. The second flank home is all that is left to tour, not the original house. However, I would still recommend visiting this gem."
9,Great Escape,"One immediately feels the peace and beauty of Middleton Place.  The large reflecting pool with its pair of graceful, white swans surrounded by flowering plants and trees with Spanish Moss evokes a bygone era of gentility. The guided tour of the last remaining building (there is an extra fee for this upon admission) affords insight as to what it the gentry lived like in those times. It was quite interesting to learn that Henry Midddleton's son, Arthur, signed the Declaration of Independence. Also, the various signs, educational posters and Eliza's house also give credit to the tremendous role the enslaved African Americans played in building and running the plantation.  The walking tour of the gardens is strongly recommended and it is included in the admission. It is highly informative and covers all the highlights of Middleton place.  It is also recommended that you wear comfortable walking shoes and leave  three - to-four hours for the tours and walking around the grounds.  Be sure to visit the restaurant.  The views are beautiful and the she-crab soup was one of the better versions in the region. We visited during the Christmas market, which was also fun."
