,title,text
0,finest walk? More likely most overrated,"Do the Milford Track, they said. It's the ""finest walk in the world"", they said.  Hardly ever in my life have I been more disappointed. I was partly disappointed in myself because I believed the hype about the track, but mostly because the Milford Track is just not worth the effort, the money nor the time.  Be aware: The Milford Track is located in one of the wettest places in the world. This alone should make you suspicious. The marketing people at DOC back in the day probably thought let's try and sell the wettest place in New Zealand by calling the Track the ""finest in the world"". Well, it should be called ""wettest in the world"". The problem is: You have to book so early in advance you never know what the weather will be like. Most likely it will pour down.  This means not only will you definitely get wet, you will get soaked, even if you have good gear. Because good rain gear will protect you from the rain, but you'll sweat because that gear won't let air out, so you'll get soaked from the inside (even if it's cold outside). And you can't dry your clothes or shoes, because the huts are not equiped for that. So be prepared to walk in wet shoes for three or four days. The DOC folks in Te Anau called the wetness ""part of the fun"". Yeah, good fun indeed for an hour, but certainly not for three days.  Another thing: You basically walk in a forest the entire time. All you see is bush and more bush with one or two clearings per day. It's nice bush, but after hours and hours in it it would be nice to see mountains or something else. And on the MacKinnon pass it probably rains so even there, where you're meant to have a beautiful view, you'll most likely see a wall of grey 50m in front of you. So if you're into views: Definitely don't do it. You'll be disappointed, no question.  Ah yes, have I mentioned the sandflies? As soon as you want to have a break, they attack you. So don't even think about having a peaceful lunch time break. You'll just want to eat your sandwich as quickly as possible and then carry on - screaming children for an entire night are more peaceful and enjoyable than that.  So no, never in my life would I recommend this walk. DOC does an awesome job at PR for a terrible track. I'm sure every time someone books it they laugh and say: ""Look, we've sold the wettest and most overrated walk in the world to another idiot!"" Don't buy it! There are dozens of walks alone in NZ that are nicer than the Milford, try them!…"
1,Magical,"I never could understand why the Milford Track was considered one of the best treks in the world until I did it... with Ultimate Hikes. The track itself is beautiful, and the scenery just one of the most diverse and lush one could ask for, but the hike with Ultimate Hikes raised it ever so much more! Just follow their instructions and you would be adequately equipped and not feel much burden to carry!The accommodation throughout the trek were well appointed, and the service and food way above expectation! The guides are well trained, and every so excited to share their knowledge and love of the Milford Track with you.Absolutely recommended!"
2,"Excellent service of Ultimate hike - guided walk for Milford Track, the only one I will recommend","We did the Milford Track with Ultimate Hikes out of Queenstown.  Just can't say enough good things about how they treated us.  Excellent food, great accommodations each night, the best guides you could ever have - they took care of our every need.  The guides would explain to us each night what to expect the next day, they were available anytime you needed them and they always made sure you made it to the lodge.  They would run ahead and have hot chocolate ready for you at the rest stop!  It was just a great trip that we shared with 43 other people.  The nice thing is there is plenty of space for everyone.  Many times we felt like we were the only 2 people on the trail but we knew that there was a guide in front and a guide in the read to help us if we should run into a problem.  The lodges were well equipped  with hot showers, nice beds, and drying rooms for your clothes.  It was truly a once in a lifetime experience.  We were lucky with the weather since it really on rained on the last day when we were touring the sound by boat.  This just made the sound all that more special as the falls were running at full speed!  If you get a chance to do the Milford Track you won't be sorry.  It's a memory I'll always treasure!"
3,Miserable management,"We did a half-day hike through Trips & Tramps on the Milford Track.  They're the only company that does it as otherwise, you have to do the full 4 day hike with permits and paying for huts and such.  We never knew how many days we would have off until the morning of so booking months (or a year+) in advance was not something we could do.  This alternative, booking the night before, was spot-on for us!We only hiked from the end of the trail up to Giant's Gate, a not even 2 hour hike in, but what we saw was beautiful, despite it down-pouring!  If you stopped too long, the sandflies were crazy so the small open areas on my legs and my exposed hands were pretty beaten up waiting for the rest of the group at the end of the hike (I hadn't been bite when I was moving prior to that).Everything was green and when we started our hike, when the rain wasn't as bad/hadn't been going for as long, the riverbeds were small.  When we hiked back through, not even 2 hours later, some were extremely large!  When you got into an open area, you could look up and see all the tremendous waterfalls - most created with the rain.  If it's not raining (or hasn't been raining recently), you won't see that many.I was so glad we got to do the Track, even if it was only 12% of the overall amount of time someone else spends on the track, covering less than 6% of the amount of land.  I can imagine the rest of it is equally or more gorgeous!"
4,EziHike,"Milford Track is said to be ""the finest walk in the world."" But at over 30 miles, it takes 4 days to finish. I only had one day there and made just over 4 miles into it in the several hours I was there. Since the trailhead is at the other end of Lake Te Anau, getting to the trailhead also requires an expensive ride on a boat shuttle (at least for the self-guided trips)But with however little I saw of Milford Track, I was lucky to hike through it with a full sun. In the bright sunlight, the the track was a walk through the most vibrantly lush forest I have seen. However, the sandflies were a nuisance and track is supposedly to be one of the rainiest place on earth if you decide to go hiking there."
5,Wonderful hike worth the effort!,"An English publication dubbed the Milford Track Walk as ""the finest walk in the world"" in 1908.Whilst there are many wonderful walks in the world this iconic 33.5 mile walk is hard to beat.  The walk can be completed as part of a group with a company called Ultimate Hikes who start groups of 50 every day (with 4 guides).  Accommodation is fully catered in very comfortable lodges along the track.  This is a 4 night / 5 day experience ... very well managed but quite expensive.Independent walkers can also walk the track and stay in quite comfortable public huts (must be pre booked).  40 independent walkers are permitted to start the track each day.  Each of the huts have mattresses and clean flush toilets.The walk itself is outstanding with amazing and diverse scenery.  We were fortunate to have largely fine weather on our walk;  the bonus being that we had extraordinary views from McKinnon Pass (the high point of the track).The walk would also be remarkable in wet weather when the numerous waterfalls and creeks would put on an even more impressive show.The only word of caution is to ensure you have been walking in the 4-6 weeks leading up to the walk including some hills if possible.  The fitter you are the more you will enjoy the walk.Don't delay any further ... start planning to walk this MUST DO experience for all ages (there was a 10 year old in our group through to 70+)"
6,"Fantastic 3,5 days in an unqiue and imressive nature","The Milford track is sometimes called ""The finest walk in the world"", and our family would have a hard time disagreeing. Make sure to book about a year in advance, because it is always sold out. The hike was beautiful, and everywhere you turn you see something amazing. It is a four day walk, independent or guided, our family did independent, which is much cheaper, and you get more of the real hiking experience. You take a boat to the starting point, and the first day is short for independent,  a little more than three miles. You stay in huts each night, and carry your own food, which you can cook on the gas stoves at the huts. Day two is about 10 miles, over flat ground. It was at the hut on day two that we saw the first Kea, which is a bird, similar in looks to a parrot. They will eat anything, so we had to hang our boots and not leave clothes to dry without supervision. Day three was around 10 miles over the pass and back down. This is the hardest day. The last day was 11 miles, but was completely flat. You then take a boat through the sound, and take a bus back. Each hiking group has about 40 people, and another great thing is that you meet a lot of interesting new people. We definitely recommend doing this hike."
7,OUTSTANDING - The best track in the world for a reason,"This really has to be the 'finest walk in the world', as it advertises itself. The scenery is extraordinarily beautiful and pristine. The walk is quite demanding, so don't consider it if you are unfit.I went with Ultimate Hikes, and there is much to commend them. The guides were excellent - 10/10. The Ultimate Hikes store in Queenstown is overpriced and the introductory talk was hopeless. Transportation by coach and boat was great. Accommodation and food, given the remoteness of the lodges, is of a very good standard. I chose to share a dormitory and would not do so again. I was extremely lucky that I only had to share with one very polite Japanese man, but if I'd had to share with 5 others in what are very small rooms the whole experience would have been very different. Definitely chose an en suite if the budget stretches to it. Another problem with dormitories is you have to carry a relatively heavy, and incredibly uncomfortable, bed sheet.We walked over Christmas and the staff at Pompolona lodge put on a fabulous Christmas party  -  many thanks all.In all, an experience to relish and one that I'll never forget."
8,Ok but...,"Totally lived up to it’s reputation as the World’s Most Beautiful hike.I have hiked in Australia, Canada, Nepal, India and Thailand.  This 4 day hike has the best that nature has to offer - rivers, lakes, forests, waterfalls and spectacular mountains.The DOC huts were not luxurious but they were perfect for cooking, eating, sleeping and meeting other hikers.I highly recommend packing insect repellent, ears plugs and a eye mask.We are in our late 50’s.  We trained for this hike.Overall we found it generally easy except for the hike through the emergency track on the downhill from McKinnon’s Pass - that was tough!!We were extremely lucky with the weather only a little rain on the second day.  The views throughout the hike were stunning, however McKinnon’s Pass was spectacular!!!!!!I highly recommend taking your time on this track - some hikers seem to race through it and then spend a lot of the day at the huts.  We were usually one of the last to leave a hut and the last to arrive.  This meant we had at least 40 minutes on McKinnon’s Pass where there was no one else but us.  That was sooooo special."
9,Great walk with some minor improvements needed,"I walked Milford Track in March 2010 with Ultimate Hikes. All was perfect: sunny weather, amazing scenery. I like to go  hiking in the Alps, where I live, and I think Milford Track is not hard but not so easy.We were a group of 50 people, most from Australia and New Zealand. The guides were fantastic and very helpful. Lodges and food were beyond expectation. First day I met 50 people, last day I left 50 friends.Now I hope to come back and do Routeburn Track next year.Thank you Greta, Toshi, Lizzy, Raenee. Thank you to my new 50 friends."
