,title,text
0,Lots of hype probably didn't help,Unfortunately less tourists during this COVID time means a smaller market and a little underwhelming after hearing so much about it. Sunset still pulled us through!
1,Markets,Sunset was very pretty at this location but don't expect to get any photos of a quiet beach. The markets nearby have great variety and many food options.
2,Pool pleasure,Had thought that there would more handicrafts etc was more devoted to food and very touristy in terms of what was for sale (understandable)
3,Thumbs up!,"The night markets on Thursday and Sunday nights only, is worth the visit (if not for the variety of food), it's a must for the sunset."
4,Love the mindil beach markets,Markets were a bit under whelming but Covid can be blamed for this.Still a great Darwin Sunset at the end of the day.😎
5,Sunday night markets !!!,We deliberately extended our stay to attend these markets and so glad we did. Crowds are massive it’s like an event on the Darwin social calendar. Heaps of food vans and so many stalls. Don’t overthink it just make your plans and head to these markets and enjoy the experience. Graham and Diana - Blaxland Blue Mountsins
6,COVID 19 ,"The market is great for food lovers, not so much for those looking for souvenirs. Had we researched prior to our visit, it is likely that we would have skipped this venue."
7,market,Mindil beach is magic with the sun setting.Although a struggle to find a park we enjoyed the atmosphere.Lots of food stalls although not a lot of healthy options.There are many other stalls selling different goods and entertainment.Most people go to sit on the beach and eat and watch the sunset.Gets very crowded but a must see in Darwin if possible.
8,SUNSET MARKETS,"How good are these markets? Visiting from Sydney it was amazing to see how many market and high quality food stalls there were! No price gouging, free water fill by the beach, and then that sunset! Must do!"
9,Stunning sunsets,"Since my last visit, Dec 2016 there seems to be more vendors, that is food vendors.  A good selection and good quality of native art and crafts.  Exceptionally busy as there was a promotion of car racing, although no cars, just the drivers, whoich seemed to draw and thrill the crowds."
10,Beautiful Sunsets,The market was lots of vans and stalls of fried food.  Could do with fresh eyes to offer more draft and local goods
11,A Darwin “must do”,"Will not be as crowded if avoid market nights (Thursday and Sunday from April to October) but the market experience is also highly recommended. A lovely beach for a pleasant stroll end to end. Sunsets will rarely disappoint. Safe for kids to swim, chase tiny crabs, collect shells or build sandcastles. Plenty of parking and toilets on site."
12,Amazing markets,Excellent place to spend a Thursday night visiting the markets. The dust on the beach is captivsting
13,Mixed feelings,So enjoyed the Sunday night market you can eat so many dishes from around Asia very reasonable prices the highlite to the market was the sunset on Mindil Beach
14,Must see,Beach and markets - a first for me with the crowd clapping the sunset.  A good range of food to sit back and enjoy the market atmosphere
15,A pretty beach,The vip area is great we were well looked after and had seat and table pre sunset and could tour the market at leisure They gave an esky to cool our gin ! Wonderful sunset and the beach atmosphere fantastic
16,Love of Mindil Beach Markets,"The Mindil Markets are amazing to see the all different cultures to come together selling items, listening to somegreat loca music and the sunsets are to die for. We  suit the markets every time we come for a holiday.!"
