,title,text
0,Miramar Beach 🌊,This beach is very close to my house and I’m very regular with this beach. It’s little crowded but you won’t find any problem if you maintain social distancing from each others. Good for morning and evening walk. And you will  have wonderful experience.
1,Quite and Less Commercialised,this beach is cool and there are a lot of food stalls outside this beach and  really good to chill with frnds
2,Not impressive,I have been to the beach in the morning and I enjoyed the the beach a lot.it is beautiful and less crowded beach. I like the beach.
3,Amazing place ,"There are a lot of food stalls on the road side- beach is not the purest- the sand is a bit darker than the other beautiful beaches of Goa in the north, across the Mondovi river."
4,Miramar Beach,This beach is in the Panjim City and very less crowded and a bit dirty. People go there for morning and evening walks.
5,Shady area also near beach,This beach isn't very dirty but yes it is way more commercialised than most beaches and can tend to get dirty
6,Nice ,"I have been to this beach with my family and kids ! This is one beach which is centrally located from the town and accessible The kids and family both enjoys it as the beach is not been explored by too many people's and it's clean beach ! There are lots of stalls of fast food , restaurant  and hawkers with balloons and other kids accessories which is very good and keep the kids engaged There are few swings also and area where people can sit and kids can enjoy Don't get into the water further as it's quite deep and steep in and you will not be able to figure out the depth of the same ! Enjoy the beach and weather"
7,Small beach beside coniferous Pine Forest,Its a really small beach. Locals don't even consider it as a beach. There are no activities to do over here. But if you are looking for a less crowded place than this is where you should be.
8,Less crowded beach in Panaji,"very nice beach, we had the privilege of staying at the marriot goa right in front of this beach so we can see the disembarks of people all day, was really fun"
9,A Polluted Paradise,The beach is so attractive that during my stay everyday I went to this beach and spent quite a long time as felt hypnotised. On enquiry it could be learnt that the original name of the beach was Porta de Gaspar Dias. Particularly the confluence of Mandovi river and Arabian Sea is very much attractive.
10,The place to go to have a very popular savoury called CHAAT.,"I've been walking this beach almost daily for some weeks now. It's a great place to get a good walk in, but I'd recommend avoiding the water. I do see many locals and domestic tourists wading in, but my calves get itchy and rashy just from wandering at the edge of the water.It's a great place to watch local guys play cricket, couples write love messages in the sand, and children romp about at the water's edge. On the weekends the cotton candy vendors are out in full force and the happy crowds of people are a delight to see. I don't understand it myself, but one hour party boats with blaring music seem quite popular with the domestic tourists. So if that's your cup of tea, it's available here.The sunsets are pretty, though a haze of pollution is common.As this is where the River Mondovi meets the Arabian Sea, much of the pollution and even visible trash winds up here. It saddens me to see the trash embedded in the sands as the tides withdraw."
11,Shade less beach,"This is classed as a ‘local spot’, a local beach. The beach was really really quiet. Perfect for me to be honest. I don’t like crowds upon crowds. Not many tourists around this area also so you will get the oddly stare from the people who live around the area. But really clean. And probably one of my favorite beaches I seen here in Goa! 💯"
12,Miramar Beach,not many people recommend the beach but i genuinely think its a nice beach specially during early morning and late evening for a stroll..
13,Just another beach...,"I went to this beach with my friends as i was staying near panjim area, and this beach was nearest to me, But this beach is like pile of dirt. its extremely dirty, You can't even sit there anywhere. Though its very crowded as this beach is near city area. you can try some street chaats at this beach, same like chaupati of mumbai.. Do try paav bhaji."
14,"Brown, black dirty ",It is a beautiful beach and very safe for playing with the kids. It has a great sunset view. Excellent for a few private momets
15,great,Its a good beach with sand and trees almost adjacent to each other. I saw a lot of ppl came with family for a picnic on this beach coz trees were giving a great shadow of happiness :)
16,Definitely not the best one.,this is the closest beach to the centre of Panjim. I was surprised by how empty it was but this was more a function of its sheer size than necessarily being devoid of people. it's not a touristy beach being more a hang out for the locals but it's as good as any to watch the sunset which is always spectacular here
17,Chance to see dolphin डॉल्फिन देखने का मौका,"Visited this beach with family. This beach is not crowded. There are no beach shacks, just a few vendors."
18,nice place to relax and enjoy,"It is small, there are much better places to go to in Panjim. It is also very dirty. When we were there we did not see any one swimming."
