,title,text
0,A lot to experience,"Visited with familyPros:1) This park can be reached via train and bus. Ensure to read and understand the directions carefully because it can be confusing.2) Best to visit with a full stomach and bring some drinks and snacks. My family and I visited right before lunch, luckily there was a small cafe inside the park which was quite a walk from the main entrance.3) There is a bike rental a few meters from the entrance. Suggest to rent one. The park is huge and easier to cycle than walk.4) There were many attractions to visit but my favorite is the pyramid-shaped museum and cycling around the park.5) Allot 1 whole day or at least half day to visit. It closes around 5pm so best to start early.6) It is definitely child-friendly.7) Best toilet to use is at the pyramid-shaped museum.8) Wear something comfortable since this is an outdoor place.The only con I can think of is the insects that appeared around 5pm on the way to the bus station. It was similar to the insects we experienced at the Shiroi Koibito Park.A must-visit."
1,Beautiful Landscape during Winter,"For 200yen you can hire a bike for two hours to ride around the park, which is highly recommended as it's such a huge park to cover by foot. Weather permitting, it's quite a relaxing half day in a very calm setting."
2,Very niceh art and leasure park near Sapporo,Rent a bicycle (minimum 200 yen for 2 hours) and round the park. It has a few cool spots and makes for a good evening activity.
3,Lovely pyramid and park,Beautiful park with a good view of the landscape and surrounding when you climbed up the Mt Moere and one could slide down the slope of Mt Moere with a skateboard.  There is bicycle rental should you wish to cycle round the park.   Very pleasant park especially for families with children.
4,worth the time to visit,"The spacious park includes art installents, hilld, many walking and cycling trails and and much more. Cycling is the best option. It offers great views of the city if you climb to the top of the hills."
5,Amazing views,"This is a very nice park to spend a leisurely morning/afternoon, and maybe outdoor picnic.  Recommend to drive as it's not accessible by train or subway."
6,a park designed like a museum,Rent a bicycle near entrance of park. 200 yen for 2 hours. It is better to see the park vs walking. Climb the 222 steps up Mt Moere to catch the breeze at the top & a panoramic view of the park. Interesting feature on the architect of the park Izamu Noguchi.
7,Beautiful!!!,"The place is so huge! Moerenuma Park is good for athletic people and nature lovers ♥ You can bring your pet and have a walk or you can visit there by yourself and enjoy the nature while jogging or exercise! I went there with my dad and climbed to the top of the mountain. The view is great and the breeze is fresh and good! You can see the Sapporo City 360-degree! This place is great for skiing during winter! From my experience, staying long at the top in spring season is not a good idea when you are just wearing light clothes. Even if the weather is good, the wind is strong and it gets cold after staying long. But except when it is summer season. There is a place there that full of cherry blossoms and good for resting."
8,We had a good time,"Enjoy cycling, strolling，relax with good scenes for taking photo. You can also bring your own food and sit on grasses to enjoy picnic there."
9,The best park in Hokkaido,The park is easily accessible but bus that is sharp on time.There different structures in the park and activities you can do around.Great place to spend 2 or 3 hours away from the city.
10,An eyesore becomes an tranquil haven,Impressive park. Nothing else like it. Go there. The sculpture is incredible. Take lunch with as cafe is limited if you don't want a sit down meal.
11,The most beautiful park I’ve ever been to,"This is a combination playground, park and art park, with great open spaces and makes a good place for a picnic"
12,Went here for sightseeing!,If you have kids you must go here! hire a sled or skis from the glass house and spend hours running up and down the hill!
13,One of a kind park,"Moerenuma Park is an incredible mixed use public park that is suitable for all ages and interests.  Mixing sculpture, architecture, public art, and diverse sensory experiences, it is a place that demands repeat visits in various seasons to enjoy the changing scenery.  From the artificial beach to the children's playgrounds, to Play Mountain and the Glass Pyramid, each region is unique yet seemingly integrated as a whole under Noguchi's artistic vision.  The location is a bit off the main Sapporo downtown requiring subway and then a 30 minute bus ride, but well worth the visit."
14,Beyond fantastic!,"Free to enter.  We rented bikes at very reasonable rate (200 yen for 2 hours) at the entrance and helped to move around, which saved our energy for walking up to various higher grounds for most charming views around.  We enjoyed the 15 minutes fountain show.  Check the schedule at the bike store."
15,Okay for a bike ride or a walk up the hill,They have bike rentals for 200 yen and I learned how to bike here while admiring the architectural structures around the park! Great place for families to spend an afternoon in the park and to get a great view of Sapporo from the hills here.
16,Magnifecent!,"The park is big, so renting a bicycle was a good option to enjoy this well maintained and lovely park.  Cherry blossoms were beautiful.   2 hours of bike rental only cost 200 Yen.  It is highly recommended."
17,Spacious park for cycling and running around for kids,"This park is okay for a bike ride or view from the top of the hill. The best part is the fountain, which sprays in various patterns."
18,Birch Forest was the Highlight,"This park is really huge and quite far away from city centre, you should  rent or bike or have a car or you can go there by public transport but it took about an hour by subway Sakaemachi station blue line and then transfer to bus. There is no entrance fee as well. The view from the top of the pyramid and from the top of the hill is very beautiful."
19,Worthed,"This is a really excellent space for kids, with several playgrounds (on the east side of the park), huge lawns broken up by wooded areas, a couple of big hills to climb and good views of the Sapporo area.  On the other hand I wasn't blown away by the sculpture and it's quite far out of town, so not ideal unless you have a car.  The bike rental place at the South entrance closes at 17:00, but the last rental is at 16:00 - we arrived at 16:10 so had to do the whole thing on foot, I think bike would have been more fun."
20,Heavy snow,"If you like art, it is great place to visit. This park was originally designed by Mr.Isamu Noguchi, who was a famous Japanese-American artist. The main building, glass pyramid, and large designed constructions can be found there. These are really warm and peaceful. The space is really large and open sky, thus it is really comfortable when the weather is good in sunny days.  The place is a little bit far from the center city. The public transportation is only a bus service from center city and not convenient. It is best to use a rental car. The park is beside a park ""Sapporo Sato-land"". This park is also very comfortable. If you have children, one of best place to visit."
21,Fun half day of bike riding,"This was a great park for walking and relaxing. It is a wonderful People watching park that is well used by the local Sapporans. It is also close the shopping and restaurants. It also has music venues and at the time of our visit it had a flower festival going on with many presentations sponsored by companies, it was an amazing display of Floral Artistry."
22,Unexpectedly nice,"Something for everyone! There are jungle gyms, mountains to climb, scultures to admire. If you are looking for a fun full morning or afternoon or both - moerenuma park is a lovely way to spend the day. There are multiple outdoor activities such as jungle gyms, scultures, forested areas to explore, mountains to climb. But there is also a glass pyramid with indoor exhibitions and a small cafe for food. There is even a gift shop. The only hard part is getting here if you do not have a car - it requres the subway, bus, and walking to get to the park. But it is worth it!"
23,Moerenumakoen ,It's very easy to navigate this park.  The theme of this park evolve around pyramids. There is glass pyramid here and other pyramid hills.  You can go in the glass pyramid but it's close on the first Monday of every month for maintenance.  Bicycle rental can be found at the first parking lot right as you enter the park and it cost 200 yen for 2 hours per bicycle. 300yen for special bicycle that has a toddler seat in the back.  Takes around 30 minutes to make a full loop around the park at a brisk pace.  The loop trail is shaded in some area and on certain part of the park you'll be riding along a river that has a lot of ducks near a bridge.  Great park if you want to enjoy some family fun.  I went on a weekday afternoon and only a few people there.
24,Great place to learn to bike,"Renting a bike was only 200 yen per person and I think made the scroll through the park much easier and enjoyable. The bikes had a self lock in each one, so it was very easy to leave the bike whenever we wanted to walk around. Great park!"
25,wheelchair-accessible park,"This is a huge public park and we wanted to visit the different attractions like the fountain, the hill and the Glass Pyramid.We underestimated our time.  We came to the park around 4pm and by the time we walked up to the top of the hill, it was sunset already.  The walk up was around 20 minutes.  It was dark and everything was closed by the time we came down.The view was amazing at the top as you can see the skyline of downtown Sapporo with the snow mountains in the background.  It was a bit chilly too due to the icy winds."
26,Something for everyone! Fun afternoon out in the sun!,The park is nice and filled with local people spending sunny days.  We visited the park during the special decoration from gardeners around the city.
27,Large Park,"Although most activities closed during winter but the view are wonderful, not much ppl there and we actually conquered the ""hill"" by walking up... a place must go when you at there"
28,"A lovely spot, but hard to get to","We visited during winter since we want to experience how is it like to play in snow.  This place did not disappoint us.  Since it was a holiday when we visited, there are only a few people there so we are able to explore and take nice photos.  Downside is that the park is closed on holidays and we were not able to rent sleds and play in that big hill in the middle.  But we enjoyed looking at the kids who did.Some tips though, taxis can be too expensive to go there on your own.  We noted that there were no public transportation in sight so we asked the taxi to wait for us.  The best option maybe is to go on a tour buses - you can go to the JR Station and inquire from there.Wish I could say more, but we have limited experience in this place."
29,Will return for summer time ,"The park is huge and lovely! It is special in its archtectural designs.  You would need a bike to go around and enjoy the fabulous park.  It is a great place for family day, or even travellers' get-away.  It is worth going!"
30,Great park designed by Isamu Noguchi ,This is a fun place to explore and interesting to experience being in a sculpture as well as enjoying the open spaces.  There is a rental bike shop near the entrance and I recommend getting one for an hour or two. The rate is ¥200/hour.  The place is so large it would be hard to see it all on foot.
