,title,text
0,Popular spot for climbing. Well maintained area with lovely view.,"Nice climb. I did 1N/2D trip to the summit and it was intense though was fun at the same time.The path are well maintained and relatively easy though there is no up and downs but constant climbing to the summit and the vice versa.I went there in early March 2020, and my guide said there are usually 100 climbers every day - I met quite a lot of foreign tourists - they are mostly in groups."
1,Ups and downs (pun intended),"I booked 3 days 2 nights climb with Amazing Borneo Tours. It was my first mountain climb and it was the most beautiful, special, magical and difficult adventure of my life. I consider myself to be in a good shape, but the altitude really affected my physical condition. Luckily I invested in a good pair of hiking boots, which was a big advantage. I was picked up at noon at my hotel. We went to Kinabalu National Park for the registration.Next morning we were brought by bus to Timpohon Gate (1866m), where we started the ascent each one with a private mountain guide. On our way up to Laban Rata Hostel (3272m) where we were supposed to sleep, we passed several shelters, where we could have a rest and eat lunch. In Laban Rata I started to feel a slight altitude sickness late afternoon. After dinner I went to bed, but I couldn't sleep properly, as I slept in a dormitory, where people were constantly entering the room, so I ended up getting only a few hours sleep, before getting up at 2 am, climbing the last part of the mountain in order to reach the summit before sunrise.This was one of the toughest parts of the climb, also considering the fact that my expensive gloves got wet, so my hands were freezing. On some particularly steep sections I had to haul myself up specially strong ropes. The view at the summit was simply spectacular. Looking down on the clouds was so awesome. An unforgettable million- dollar moment. The descent was difficult, but I was happy that I got hold of 2 walking sticks which helped me a lot. The climb was magical, starting at the lowland rainforest of the tropical zone, to the temperate zone until the last and alpine climate zone. Experiencing such different vegetation was truly special and unique.However, I wasn't satisfied with my guide, who was unmotivated, disinterested and unknowledgeable about the flora. I inquired a specific mountain guide prior to my climb, and I was promised to be provided with him.I paid a lot of money for the climb, and I didn't get neither a knowledgeable, nor a social/motivated mountain guide. I consider at least 3 important aspects of being a good mountain guide. The social, the psychological and the knowledge about the vegetation and wildlife. He seemed to be more occupied with his cell phone. A couple of times he told me to go ahead, and then he would catch up. He caught up after a couple of hours which isn't acceptable at all. When we made breaks at the shelters, he would sit in another place, as if he couldn't care less. I mentioned these aspects to him, but still he didn't change his behavior. He didn't know anything about the vegetation, which was very disappointing to me, as I am a true Nature Lover.  A mountain guide should always be beside the climber to give her/him the sufficient psychological support/encouragement, as it is a tough climb.In spite of this disappointment, I highly recommend the climb to this spectacular and sacred mountain. I felt satisfied with the length of the experience. You can also book the 2D/1N climb. I suggest NOT to climb the mountain in the rainy season, as the rocks get very slippery."
2,BORNEO G ADVENTURES TOUR,It's was brilliant experience once u reach the summit.was very lucky the weather was good although it was monsoon season.Such a great way to see one of the oldest rainforest in the world.
3,Was für eine Erfahrung ,"We did a 3D2N climb to the summit. Was an amazing expereince. The climb was tough, but people and facilities were good along the way and the views from the top were stunning."
4,Highest Peak in Southeast Asia,Great arrangement with personal pickup from your accomodation. We did the climb over 2 days with one night on the mountain.  We were both in good physique  but had a tough time the last hour on the first day. It is worth every single step to the summit. The views are truly breathtaking and it is amaizing to see how the nature changes the higher you get. Up is hard down is harder  One more thing. Prepare for aching muscles from hell a few days after you get down again. But over all. Worth every single step.
5,Amazing park ,"We did the 2d1n climb and booked with Amazing Borneo Tours. Highly recommend them as they were great and very professional, we received heaps of information prior the trip so we felt well prepared. I was very nervous about the climb itself as I had never done anything like it before and I am also a bit scared of heights. The four hour climb up to Laban Rata and the accommodation was hard. I thought this part was going to be fairly easy but it is steps all the way up as well as rocks...exhausting. Arriving to the accommodation and having the staff there bring you a cup of hot tea was the best. Waking up at 2 am for early supper, the rain was pouring down. The climb to the summit cannot take place if it is raining so we had to wait another hour before the ranger gave his ok to go. (There is a 3.30 cut off).This climb usually takes 2-3 hours, but as it was slippery after the rain we had to walk slowly. I was worried about this bit, especially about climbing in darkness. (BYO head torch). It was actually amazing. You have ropes all the way up basically and yes, it does require some serious use of both arm muscles (for holding on to the rope and pull yourself up) as well as leg muscles.Reaching the summit was amazing, what a feeling sitting up there and watching the beautiful views. Stunning!Going down from summit was not a problem, however, after breakfast the four hour descend to the gate was hard. Legs aching and it felt like it was taking forever getting down.All in all, highly recommended this climb. Yes it is hard, yes it is a bit scary climbing in darkness, but the reward up there makes it worth it and the feeling you have after accomplished it is amazing. Make sure to bring lots of snacks to keep energy levels up and extra set of clothes in case of rain."
6,Borneo highlight Mount Kinabalu,"We did it fantastic 2 day climb we had prepared well and took advice on equipment, It was far more challenging than we thought but great fun. TIP read up about mountain, take correct clothing &equipment, wear Marino wool base layer for summit v cold. Going down is harder than going up !!!!  PS We are both in our fifties &first climb for us !!"
7,Learning experience,Climbed for the 7th times and still it was very exciting especially when you go there with friend! The only thing we don't like is the weather (raining) which no one to be blame for this. Highly recommend for all traveler who like adventure and ready to be physically and mentally challenge by the Mt Kinabalu. Book your trip now (safest 5-6 month ahead) and enjoy the hike!
8,"Climbing the Mount Kinabalu, with problems",We did the 2 day Kinabalu climb to see sunrise from the top. Hard work but the guide was great. Worth the hard climb. Advice- take walking poles for the decent!
9,Moonscape!,the climb was pretty hard but doable and fun. the view at the top is astonishing and base camp accommo and food is good. its the getting back down that hurts!
