,title,text
0,Great View,Big part of our day trip tour to Mount Wellington. A fun day with stunning views and enjoyable walks.
1,Not a road less travelled,"We went up to the summit with Hobart Shuttle Bus, $30 tour the ultimate trip and it was fantastic. A must do on your visit to Hobart, worth every cent. Guide was fantastic, views were sensational, bus was comfortable. felt very safe at every point  throughout the tour. Highly recommend"
2,Wonderful Views,"Bus up the mountain, freewheel down!Great way to see the scenery. Very exciting at times! Loved it."
3,Brilliant on a clear day and amazing in winter,A great drive to teh summit with spectacular views over Hobart. Although we visited in January (summer) the summit was windy and very cold at 7 degrees so the viewing building was really appreciated. Rug up for your visit.
4,Night photography ,"We took the auto tour to the top of Mt Wellington on a beautiful clear blue sky day. Views at the top were absolutely breathtaking. There are several lookouts at different locations at the top so you can take advantage of views of Hobart, the bays, ocean and surrounding farmland and forest. Worth the 10 km drive on a very narrow 2-way road to the top. This is an outstanding free activity especially on a day with good weather."
5,Superb Views,Took a tour bus from Hobart to the Pinnacle at Mount Wellington and would highly recommend. Beautiful views down to Hobart CBD and surrounds
6,Great view of the city,So worth it. Took hop on hop off bus. Really good deal. Beautiful views. Commentary on the bus was great. We had half an hour to roam at the top. Just right.
7,Beautiful place ,"We booked a tour at the Information Centre to Mt Wellington. It was a lovely day... the sun is up. Our tour guide from Hobart Shuttle Bus Tour, Adrian, was so friendly & funny. This is the kind of tour we are expecting especially it's our first time to visit Hobart."
8,On Top of the World,"we had a beautiful Coach ride from the information centre at Hobart up to the top of  Mt Wellington the coach driver very knowledgeable and funny, no snow that day and is the only coach that will go though the gates if they are closed during snow.as they have the exclusive requirements to be able to drive in up to 1 meter of snow. be prepared is an excellent look over the town the only walking you need to do is from bus to lookout."
9,Awesome lookout over Hobart,"I enjoyed the coach tour of Hobart which started with a visit to the top of Mt Wellington. At the top there was some ice on the shrubs and plants, as well as little icicles on the wooden railings. There was some fog which obscured most of the view of Hobart but it looked mysterious and fascinating. I hadn't anticipated such a  wintry sight as it was only March. I loved the big boulders on the top of the mountain and enjoyed the whole trip."
10,mount wellington,"Was very cold & windy during our visit - Awesome lookout over Hobart, good to see a nice weather shelter with informative posters, toilets etc. Fairly easy access, well worth visiting for a look."
11,Good views,We drove up to Mt Wellington. It was super windy but has stunning views of Hobart and surrounding. Definitely recommend visiting
