,title,text
0,"So much, so cool ","If you want to know something of NT, visit here. FREE! And so much for the visitor to enjoy, plus extra exhibitions change over time. We though we were done, then found the maritime component, which is quite literally huge. We appreciated getting cultured while staying cool."
1,Wonderful experience,"A must do visit to the Museum and Art Gallery of the NT, there is so much to see you will need a few hours to see everything. I really enjoyed the Cyclone Tracy exhibit and the story of Sweetheart the crocodile. There is no cost to enter the museum and the air-conditioning is great!"
2,Interesting museum and stunning Art.,Very interesting and free visit. Full of history and on the bus route. Highly recommend . allow at least 1.5 hours plus.
3,Good Especially For Cyclone Tracy,My surprise as free entry to the museum.  So much to see and very interactive.  Great for kids too with the kids activity area.  Setting for the museum is wonderful and great just to go down and look at the water too.
4,Lovely museum,This museum is certainly worth a look if you are interested in laerning about Darwin and the NT. The staff are very helpful.The museum is easy to get to but you need to check the bus timetable if traveling by public transport.
5,Must do,There is lots to see and the displays are well presented. Allow about 2 -3 hours if you like to read all the information about the various displays.
6,A wonderful place,The museum was a great experience if you would like to learn more about Darwin's history and Indigenous culture. Its a very modern museum with an easy to navigate layout. This is also a perfect option for wet weather!
7,Darwin art and gallery museum ,Free entry and open daily. Well put together museum and galleries. You can Lear a lot about the native wildlife and the cyclone TRACY exhibit was very well done. Make the time and learn a little about the top end.
8,Definitely worth a visit,This museum has so many exhibits of interest that you really need to go to it more than once. As the entry is free this is easy to do. We were in Darwin for a week and we went 3 times nd still didn't get to see all it has to offer.
9,History and Ancient Art,You need to allow a few hours to visit this outstanding venue. Entry is free and there are several displays including a comprehensive display re Darwin and Cyclone Tracy. There is currently a Moon and Stars exhibition as well as 2019 Telstra Aboriginal art showcasing the outstanding work of native works. We had lunch in the cafe outside and would have to say this is a venue that Darwin people can be so proud of.
10,Cyclone Tracy History,"Fantastic art gallery and museum.  The Cyclone Tracey information was incredible to see and read about.Also, it is free, so its a great outing."
11,GOOD Display,Great historic museum- don’t miss any level and be sure to visit the outdoor area to see the turtle and fish.  Great stop and you can pick up the Hop on off bus in the front.
12,Fascinating Gallery,"Very much enjoyed my visit, It is informative and not to big to amble around. The dark room where the sound recording of Cyclone Tracey that ripped Darwin apart on Christmas Eve/Day 1974 is frightening. But the best part is admission is free."
13,Home schooling visit for History,Very interesting place to visit thoroughly enjoyed our time spent there and recommend it to anyone visiting Darwin
14,Darwin Museum,"The art and exhibits here are quite interesting and very NT. Enjoyed a leisurely stroll in air conditioned comfort, entertained and educated by the NT story and the indigenous birthright of of our country. However, The museum and gallery, housed in a wonderful building, could be so much more than it is. Maybe with time and funding."
15,Wonderful insight into the history of Northern Territory,"Love the shop, the cafe and thoroughly enjoyed the current exhibition. Another great place to visit in Darwin"
16,Fine museum ,FREE entry! Amazing exhibits. Friendly staff. Informative displays. We had such a great time here. Highly recommend.
17,History,"What a beautiful museum/ gallery to visit.  Thank you for having us. Great selection of local indigenous art, local attractions and exhibitions.  Great souvenir shop.  Such amazing staff.  So helpful. Congratulations."
18,"Excellently done, and free.","A well presented Museum and Art gallery, You could spend a long time here. There are so may different things to see, something for everyone."
19,A bit of culture,"Love this museum and art gallery, entry is by donation. Lots of very interesting displays, cyclone Tracey exhibit is amazing and confronting. If you bring a backpack, you need to put it in a locker at the front desk. I didn't have a $2 coin for this but staff leant me one which I gave back to them when I left, so lockers are free!"
20,Worthy of Your Visit,"Free admission, easy public bus ride from the city.We really enjoyed the museum, particularly the history of Darwin which is well displayed in the upstairs gallery.  The cyclone Tracey exhibit was good, as was the natural history section.  At the time we visited, the art gallery had only one exhibit, which was an interesting mix of science and art.A restaurant serves light meals and lunches on a terrace overlooking the harbour. Also very good."
21,Art gallery and museum,"You must visit Museum while in Darwin to discover about early history,  and the effect of Cyclone Tracy, and many more interesting facts.  Could have spent a whole day there, allow plenty of time to  absorb.  Also have a meal there if desired, looking over the waters of the top end. Darwin is a place of many interests. Take a holiday to thee top end,"
22,Wonderful Museum well presented,Really enjoyed this museum. Cyclone Tracey information was terrific. This is a lovely place to spend a couple of hours. Nice place for a coffee after too.
23,Great service and good food,Add this place to your list ! Very good and informative. Full size boats out back in the Maritime section. Wish we had more time.
24,Excellent display. Not bad view of the beach as well,Amazing display. Easy to to have a day there to see everything on offer. Great history and displays to view.
25,Very interesting experience in darwin,This is a must place to see when you are in Darwin. The exhibits here are very good especially the new lower level space exhibition. The museum is free to see which is great. This is a good place for families of all ages.
26,Modern and relevant,"It is easy to spend a couple of very informative hours in this excellent museum and art gallery. We thought it was all very well done and covered a wide range of topics, from natural history to Cyclone Tracey. It was nice to see lots of school children on visits here, as there was also much to educate and entertain them. Very highly recommended for anyone visiting Darwin."
27,Fabulous Cyclone Tracy Exhibit,Central location. Free entry. Great for kids with interactive displays. Very good section devoted to Cyclone Tracy. Cafe out the back over looking the bay with indoor and outdoor section. Good parking.
28,Outstanding Small Museum,"Museum is a jewel, fascinating to explore.  This was part of a cruise excursion, but the museum is free.  It has an eclectic  variety of works that cover nature, aborigine art, crafts, marine artifacts, as well as impressive special exhibits, etc..  Therese Ritchie's incredibly powerful, provocative, political,  poignant  and  oftentimes sardonic special exhibit will mesmerize -- it's called Bleeding Hearts - not to be missed; give yourself enough time to ponder it .   Fascinating, too, was  what looked like a permanent exhibit on the devastation wrought by Cyclone Tracy  around Christmastime 1974. Definitely worth your  visit should you be in this part of Australia. This time of year is summer in Australia, and the museum is wonderfully air conditioned."
