,title,text
0,"A 5, with an asterick","Family with a 8, 9, and 11 year old.  The museum is extremely well done.  With kids limited attention span, we started in Africa and Asia, and we probably should have started downstairs in the exhibits of famous musicians.  They basically have a small exhibit on almost every country in the world.  It is really cool.  However, much of it is similar and blends together.  We spent about 3 hours there.  You could spend 6+ hours there if you wanted to watch all the television clips."
1,Day Trip from Prescott,This is a fantastic experience for young or old.  Our family of 3 ( 8 year old and mid-forties) really enjoyed this.  This is more like a musical experience than a museum. You are given a headset that interacts with each of the music stations. Our daughter enjoyed the rooms where you can play all of the instruments.  So many unique instruments to try!  This place is huge and there is so much to see so I would plan for a minimum of 3 hours.  The food at the cafe was surprisingly good so be sure to give it a try!
2,Our only mistake was showing up at 3pm,This is a fun place for young and old.  Interactive displays are great.  Great history of music. Highly recommended.
3,"Awesome day-long fun for grown up music lovers (with kids, though, maybe an hour or two tops)",We spent 3 hours here and needed more. Really well put together and so comprehensive. Great museum and good for kids - young and older. Highly recommended.
4,Best Kept Secret,"MIM is a museum for all ages.  Everyone will find something they enjoy.  We have been 3 times with various friends and we all felt we wish we had set aside more time to visit.  There is a performer oriented section (think Taylor Swift, Johnny Cash, Elvis, etc), a genre oriented section (Country, Jazz, Blues, etc) and a country oriented section (Mexico, Brazil, US and even an Arizona specific section)."
5,So much to see!,This museum has something for everyone The kids liked all the touchable buttons & seemed to enjoy all the novel instruments. The adults enjoyed the unique instruments too as well the stories behind them. We will go back to glean more info without the kids sometime. There’s so much to see!
6,Interesting ,Very well done displays. Loved the audio tours of each area. Long dunno might be to much for young children but the do have interactive areas which children of all ages will enjoy.
7,“Over the top” museum experience!,This is a museum one could spend many many hours touring. Very interesting and educational. For anyone who enjoys music this is beyond a treat.
8,Over the top musical history experience!,"Plenty to view and even kept my 9 year old boy paying attention! If you are in the Phoenox area, you should spend a couple hours here and check it out!"
9,A Must-See (and Hear)!,This museum has something for everyone it is interactive and the kids absolutely love it because it’s not only educational but it’s fun. The exhibits are interesting for both adults and children.  I’ve also been there for several concerts and the acoustics are amazing and the performers that they book are always outstanding.  I highly recommend spending an afternoon at the MIM with or without children .
10,A Must-See (and Hear)!,"I was impressed how the Museum organized the 10,000 musical pieces throughout the very large museum. The upper level has the Geographic Galleries, staging the various pieces by world regions. It was interesting to see the evolutionon of drums, strings, horns of different types (including animal horns).  I now know the difference between lyres and guitars. I also know bagpipes aren't solely from Scotland."
11,Around the World,"This really needs a full day or two day visit.  We (party of 4) started with the special exhibits, had lunch, then went to the upstairs exhibits.  The upstairs is HUGE and in a way information overload for a full day.  We all thoroughly enjoyed it though."
12,Music Educational,"We really enjoyed the exhibits,  and found it very interesting. Lots to see and learn. We only bought the 1 day pass,  but could have gone back for another day."
13,A Special Event at MIM,"Plan to spend at least 3 hours at this Museum. It is full of history & very well laid out. The headphones provided with the ability of the ""self-guided"" exploration made this an exceptional experience!"
14,So interesting!,"So many musical instruments from around the world. Separated in regions. A head set tour that describes many of the exhibits as you walk to them. Educational, entertaining and fun."
15,Comfortable Shoes,"Fabulous facility and exhibits.  Well curated, including the accompanying videos.  We visited on a rainy Saturday.  The museum handled nearly 2000 visitors fairly comfortably - yes lots of people, but never felt rushed or having to wait.  Spent 6 hours including 45 minutes for lunch and a 30+ minute tribute concert for Ella Fitzgerald and felt we saw only about one-third of the exhibits.  If we ever return to Phoenix, MIM will definitely be a re-visit."
16,Superb museum,This museum  is a most see for anyone visiting AZ.  Music instruments and music culture from every country in the world.  Absolutely fantastic.
17,Utterly stunning and overwhelming,"The MIM is a great place to visit for adults and children.  We arrived in the morning and didn't leave until mid-afternoon.  We had lunch in the cafeteria which was clean, moderately priced and quite tasty.  We tried to see everything, but we too tired to do so."
18,Superb find,headphones to listen to the music was greatlayout detail made for good flow of exhibits throughout the museum
19,Maybe  the BEST MUSEUM in the World,This place is gigantic and you probably need 2 days to see all of it.  The mechanical instruments exhibit and the artist ones are awesome.  Playing different instruments was really fun too.  The way they have the audio system set up is so cool all you need to do is walk by an exhibit and you start hearing about it.  Definitely worth stopping in to see this place
20,A Musical Day,"Excellent Museum. The guided tour was fantastic, with musical accompaniment to pair with each instrument. Enjoyed the musicians' hall of fame, the mechanical instrument section and various countries' unique repertoires! I even got to play a theremin (it was on my bucket list!)."
21,Hits the right note!,Nice for the Music Buffs and History Buff. This well thought of and organized museum is nice to walk through. With headsets supplied you can take a gander at exhibits and get a taste of the indigenous feel of music and history. You can stop at a country you wish to learn of and observe the different tempos and styles of music.
22,Spring Training,Plan for a whole day at this exhibition - the self guided tour headset is amazing - lets you focus on the sounds of the instruments. I didn’t budget enough time though! We will be back!!
23,Fabulous museum,The admission fee of $20 is worth every penny. This museum is so extensive and well laid out. Words can barely describe this treasure!
24,Deserves it's #1 ranking,The MIM is amazing and the staff is very helpful. The largest collection is a must see if you are in the Phoenix area.
25,Incredible,"Excellent museum, we were really there in February, 2018.  So much to see and do related to musical instruments from all over the world — just a little overwhelming. They give concerts here, too."
26,A Must-see for Music Aficionados,"The MIM is an exceptional museum.  Plan the whole day as there is so much to see, even for the non musician in the family"
27,Amazing museum!,You can spend all day at this venue. There are two floors of exciting musical instruments. They have special exhibits in the second floor is full of instruments from different countries throughout the world. They have a great Cafe with healthy food! And a wonderful patio.
28,VERY interesting place!,Light and bright presentation of instruments from violins to calliopes.  Something for all ages of our family plus a lovely courtyard for lunch or a snack.
29,MIM,My friend and her 15 year old viola player son visited and thought this was an amazing museum as do I.  I also am a big fan of the concert venue and have been to many performances!!
30,Tour the world in a few hours.,Love this Museum! So many rooms and history to discover. You can see everything from old rock and roll 2 musical instruments from foreign countries. A lot of cool things I didn't even know existed! This is a great place to bring your kids we're just walk around and discover new things.
31,A Definite Must In Phoenix - Grt Museum - a Grt Staff,our family of nine including teenagers went to this and all found it very interesting. Very well laid out with helpful staff. Great value for the cost.
32,Perfect for a rainy day!,"Fantastic exhibits, amazing acoustics, clean and contemporary, we love the MIM and have seen at least a half dozen concerts here. Probably the best designed music venue in the southwest. Looking forward to seeing our next show there."
33,"An absolute gem.  Had not idea what to expect, but it is so well done!",We have visited the museum several times through the years and always enjoyed the new exhibits. MIM has exhibitions of musical instruments from around the world. Takes a full six hours to see.
34,Wonderful museum,An exceptional expert iui once and opportunity in Phoenix! E ticket helpful. No entry to spec iui al exhibit un loo ess you buy it to add to your entry ticket. Excellent food in cafeteria. Plan to spend 6 or more hours to see it all. Incredible
35,MIM is Fantastic,"They claim there is nothing like this museum, and I believe it. It has musical history displays (various instruments from the U.S. and around the world. It has displays featuring famous artists who have donated various things. It also has special displays that are either put together or on loan from elsewhere that rotate from time to time. Also - their concert venue is beautiful - simple and intimate. Good selection of artists and musical styles."
36,What an awesome museum,"We went with a group of kids and they loved the many interactive instruments, the unique musical history and the live piano that wes on the main floor."
37,Wonderful museum,The MIM is the most beautiful museum you will ever see. Guided tours too! Resturant starbucks. Events for children Concerts too. Preepare at least4 hours to see most things.. Reasonbly priced
38,Amazing look at music from different cultures!,"This is a very nice place for a concert, good acoustics, good view of the stage.  The museum is nice too."
39,Ecella t displays with audio systems,Great museum with so many interesting instruments. Everything is laid out nicely with plenty of space.  Allow at least a couple of hours to see everything.
40,Amazing Museum,You will LOVE this museum!  Take advantage of this amazing museum!! Take the kids or go alone it will be worth the visit!!
41,A True Gem the Desert,"Wow! Multiple galleries devoted to different continents. Audios were great. I agree in part with some reviews that not the best place to bring kids.But not only were the displays interesting, one also gets a geography and cultural lesson. Best $20 spent for the afternoon."
