,title,text
0,A Must ,"No trip to Beijing would be complete without a Great Wall tour. We came to this point because I’m pregnant and we wanted to take the cable car and not walking too much. We were lucky because wasn’t too crowded and the weather was nice however we had to wait in lines quite long time and there are some points overcrowded, it’s very difficult to walk or even move. In general I would recommend to come early and to choose an specific day to really enjoy or being able to take nice pictures!"
1,Best experience ever!,"Worth the long bus ride. We had a dinner included with the tour. We booked with KaiBeijing Travels, there is a slide down hill from the peak. Kids loved it."
2,Fantastic Experience!!!!,"Do not go to Beijing without visiting The Great Wall! We were slightly anxious about visiting in December but whilst there was snow on the ground the sky was beautifully clear! Layered clothing defiantly the answer. We took two public busses to get there because we missed the shuttle bus which leaves daily AT 8am not FROM 8am as the information we’d seen had suggested. If you’d going to take a public bus, have the destination written down in Chinese! We walked half an hour up to the wall, about two hours along it and then about 20 minutes back down. There’s a cable car and toboggan option down but I’m not sure it’s worth it, we got down faster walking!If you can keep walking along the top after the crowds have petered out, it’s steep but I promise it is totally worth it! Take a snack and if it’s winter, a flask of something warm! Enjoy it! You’ll remember it forever!"
3,A must see,This is my third time touring Mutianyu and I took my mom and friend here since they were visiting China. We took the ski lift up and the view was great. The mountains we covered in snow which made the experience so cool. We took the tobaggan slide down and it was so fun! Shops around the wall are bargain/barter friendly and accept USD.However do NOT take pictures with the men dressed in traditional chinese dress with swords. They put a sword in my hand for me to pose for a photo and then demanded ¥40 from me. Kind of took away from the experience.
4,My Experience at the Great Wall,An enjoyable day out and close to central Beijing - could have done with better signage to explain what we were looking at and a lot of it felt over restored. Tobogganing was fun
5,Serene get awasy!,We had Linda from Odynovo as our tour guide in Beijing for three days and she took us to this section of wall.  Excellent location.  Very scenic and postcard picture location.  The toboggan ride down was a hoot as well.  A must do in Beijing.
6,Where are the Otters? ,"We had two days in Beijing and planned to do a visit to the Great Wall on one day and see the Forbidden City and Tiananmen Square on the other day.We checked into our hotel late Thursday afternoon. The excursions office at reception was closed but later that evening it was open so we enquired about the Great Wall.The excursion on offer was quite interesting. It comprised travel by coach to a Ming Tomb, a visit to a Jade Factory, the Great Wall, with cablecar passes, and a tea tasting session. The cost was a shade over £50 each, including the cablecar tickets which wasn't included in the tour. That seemed to offer great value.We were picked up from the hotel at around 8 am next morning and the first stop was at the Ming Tomb. Quite interesting and impressive. Then we went to the Jade Factory. More of a shop than a factory as we only saw a couple of people actually making anything. We did get a very nice lunch there so I suppose it was worth it.Then on to the Wall. Unfortunately our guide wasn't that great. She spoke English but was almost unintelligible most of the time so we missed out on a lot of the information. She also walked very quickly and had no patience for anyone who doesn't, like me. She would race off into the distance and leave me way behind.    We eventually got to the entrance to the cable car and all joined the queue. Clearly our tickets didn't get us to the head of the queue as had been suggested.Having queued for about half an hour alarms sounded and a chap started bellowing something in Chinese through a loudhailer. We learned that due to high winds the cablecar had to be closed. That was unfortunate but I suppose can't be helped. Safety first and all that.So the guide told us we would walk to another entrance to the Wall. It was a long slog which I have to admit I struggled with but got there in the end. I didn't actually make it onto the Wall itself but got close enough. There was a huge queue waiting to climb a very steep set of steps about 100 metres up to the wall and then to come back down again. I decided I was close enough. I had got some good photos.We walked back to the coach and went on to the Tearoom, where we sampled some different types of tea. I haven't drunk a cup of tea for over 40 years and wasn't too keen to try these. I wasn't wrong! Most of them tasted pretty foul.All in all it wasn't a perfect outing in many respects but it was a once on a lifetime opportunity to see one more of the man made wonders of the world and I'm very glad I did it."
7,Incredible! ,You can't go to China without walking the Great Wall. It's of international importance and it didn't disappoint. China has done a very professional job in catering for the large numbers of tourists that visit.
8,China's iconic sight,"The most important thing while our time in China is that Chinese tours arrive at 10am at attractions. This is true for any attraction, of course, there are tour that go to different attractions between the day, but the main and biggest groups will arrive at that time and it is awful. We were in China during late November and early December and avoid all the crowds, but still we observe that at that a 10am the groups will arrive. For the great wall we used the transportation services of Mubus, and they offered buses in the early morning that arrive from around 10am at the wall and anther late service that leaves at noon and arrives before 2pm at the wall. We chose the late option, at the time because we wanted to visit the summer palace in the morning, but once in China it worked perfectly because we avoided the crows at both summer palace and the wall. The Mubus tour guide speaks Chinese and English and will give you a history about the wall as well the options to climb the wall and prices. The do not get any money for the tickets, you simply choose you ticket, give them the money and once at the wall they will buy the tickets for you at the same price, you do not have to make the line. For souvenirs wait until you meet the tour guide back at the restaurant, they have way better prices than the other places we visit. We a try to visit everything by ourselves but the public transportation to the wall was to much hassle and the money saved was not that much when compared to the Mubus price, and your reservation is made without paying the anything from their webpage. Once at the wall, you will have to walk a lot, we chose to take the lift to tower 14 and from that point climb (yes, climb since is only stair step from there) to tower 20. The view from tower 20 is not that great mainly because the walls of the tower itself that are too high, but the steps leading to tower 20 from tower 19 offer a great view. The steps look very step but is very doable, do not worry."
9,"Why, WHY WOULD YOU GO HERE??","I was only in China for a few months, but still the day I spent going to the wall was a waste. If you'e seen a picture you're good. Just skip this and have an extra day doing something interesting. Easily the worst day of my several trips to China. ANYTHING ELSE is better. Washrooms are disgusting too."
10,A Must Do in One's Lifetime,"Visiting This section of The Great Wall is an amazing experience. One word of caution. Even though there is a gondola to take you to the base of the wall, from where the shuttle drops you off, the road to the gondola requires a walk up a steep incline and is very difficult for someone with limited mobility. There was someone with a motorized cart that will transport people up to the gondola for a fee, but he is an independent business and we did not see any other means of assistance. We had two members in our party with limited mobility and assumed that the gondola would address their needs. The whole process took longer than expected, but once we made it to the wall, the experience was well worth it."
11,It was AMAZING!!,"Bought our voucher via Klook one day before the trip! Though last minute, everything was confirmed quickly. The pickup location was near our airbnb location at swiss hotel. Our tour guide for the day is Michael and he shared alot about the history of Great Wall with us. Funny and really helpful!"
12,Don't Miss this! Ride the Slide!,"We did the Great Wall with friends during a long layover in Beijing from U SUnbeknownst to me ( I didn’t do my research  so I didn’t fully know what was involved in touring it )I didn’t know you had to cable car up there ..I am afraid of heights . Very afraid!So now I had a problem either go back sit in the  airport for an over 20 hr layover Making everyone else in the group miserable ..hygyyyyOr muster up some courage go up there and see one of the wonders of the world !Well I opted for the latter . It wasn’t easy getting up there ..that’s another review of its own .. but I got up there climbed a few sections ..the steps aren’t even so it’s not easy but the good part is once you start climbing steps you can climb as high as you like or as low as you want or don’t climb at all.. you can just sit under the garrett and just take in the views  of the Wall from a distance .. there’s enough wall for all to see .. I’m told it spans some 26,000 miles ..The experience is grand We had perfect weather end of October I would not recommend it when it’s hot because uou expend a lot of energy ..if u do go stay hydrated ..We decided to toboggan down rather than take the terrorizing ride down with the cable car ..at least for me and my“ height fear “ it WAS terrorizing !The toboggan was a lot less intimidating even fun at times ..I felt better because w the lever you can stop it thereby keeping ME in control ..Well I got down it was exhilarating ..So Do Ii Recommend the Great Wall ?   By all means  if you have time and the means .. ( not afraid if heights that is)just make sure you fo your research and hav full understanding as to what it involves .... Enjoy .. take lots of water and snacks !"
13,Closest Wall to the City,"If you want to go individually, not with organized tour, we were offered the option to go by taxi. The taxi left us to the bus station were we bought tickets for the bus, the entrance and the cable. The bus left us at the cable station and the cable took us to the Wall. It was very easy and not so expensive and we arranged for the hours which were convenient for us."
14,Amazing Human Accomplishment,"We availed the Mutianyu whole day tour package from klook, (round trip transportation from Beijing, entrance ticket, English speaking guide, round trip cable car and lunch). It was a wonderful experience to be at such renown landmark. Great thing it was a very sunny day that we get to enjoy the view.  We took our time to stroll to the 20th Wall of Mutianyu great Wall part and hike til way down to 8th wall. The Mutianyu great Wall was not crowded at all. I highly recommend this part of Great wall to visit."
15,Great winter day with sun and only few other tourists,"Visiting the Great Wall At Mutianyu, Beijing has been on my list, I am so happy to tick off this attraction now. The great wall of china is surely massive and revered. It is over 6,000 kilometres long and extends over breath-taking scenery. It was cloudy on our day visit; this added a mysterious element to the whole experience. We reached the top via cable car ” or “teleferic. It is a UNESCO listed attraction and definitely worth visiting.  SEE photos."
16,Great Wall,There are several parts of the wall you can visit when in Beijing. We were recommended  Mutianyu and it did not disappoint. The scenery is stunning and my colleague and I really enjoyed the walk. Highly recommended!
17,Wonderful experience,"Unfortunately it rained when we visited the Great Wall. The cable car ride through the mist and clouds was marvelous. Walking and climbing the slippery steps to the wall was not so much fun. The photo provided for this review shows a blue sky which is a myth anyway given the pollution around Beijing. The locals call a blue sky Olympic Blue, meaning that clear skies are produced by the government for the tourists who attended the Olympics and not for the residents who live in Beijing. The wall of course is impressive and surprisingly wide. However, in winter it must have been a miserable place to have guard duty."
