,title,text
0,ASIA's Longest Drive IN Beach,Muzhappilangad Drive-in Beach is a Asia's longest drive in beach where you can enjoy your driving on sea shore. Entry fee is 40 for car and 20 for bike.Must visit place in Thalaserry
1,Good to see something unique,"Muzhappilangad Beach is famous for being Asia's only drive in beach. At about 7km from Thalassery in Kannur, you have 4 km of sand that awaits you to simply drive along as you soak in the view of the beautiful Malabar Coast.  Along the way, one gets to munch on delicacies from a number of shacks that offer authentic Malabar cuisine. It is often considered a swimmers paradise as the black rocks protect the beach from deep currents. This is a perfect way to relax and soak in this clean and well maintained beach."
2,Biking,Muzhappilangad Drive-in Beach is the only driving beach in kerala and the longest one also . driving here is a real experience to have
3,Nice & Clean,"Muzhappilangad is considered to be the longest drive-in beach in Asia. This beach is about 12 km south of Thottada, where we were staying, and about 15 km south of Kannur. It took about 15 minutes to drive down via NH66, the Panvel Kochi National Highway, till Edakkad, then we took a right turn at the Muzhappilangad Post Office to reach the beach. We had to pay an entry fee of ₹40 for the car. The ticket had a message from the Kerala Police which said that the speed limit on the beach is 20 kmph.There were all kinds of vehicles on the beach; buses, jeeps, cars, SUVs, motorcycles, vans, scooters, bicycles, tuk-tuks with passengers as well as tuk-tuks selling ice-creams and snacks. Still the beach did not look crowded and there was ample space for people to test their driving skills. Families were playing games like cricket and football and others having a swim in the sea.We had a cup of coffee at a nearby restaurant and drove down on the beach for about 3 km till we reached a break in the beach due to channel of flowing rain water from inland. There was a group of rocky islands further south, and an island known as the Dharmadam Island, which we could see in the distance. We could have gone further but that would mean driving into the seawater shallows. So we turned back in time to watch the sunset before driving back to Kannur. The total length of the drivable part of the beach must be between 5 to 6 km.The drive was very smooth and the sand was firm, but there were some undulations in the sand which acted as mild natural speed breakers as our car sailed over them quite gently. However, one must be careful not to keep the car stationary in the shallow water for too long as the receding waves wash the sand away under the tires and the vehicle may get stuck. And drive safe, as everyone thinks that they own the beach!"
4,Amazing Experience,Muzhappilangad Beach is one of the best drive beach in India. It is more than 5 KM lengthy. I have visited two times there. You won't find any food stalls over there.
5,"No Road Rules, But Learn Driving Here.",Muzhapilangad drive -in beach is largest drive -in beach in India.it is clean and quiet .the specialty of the beach is the thickness of the sand.And can drive 4 km distance of this beach with beautiful scenic.
6,What a place !!!!!,"Muzhapplilangad is arguably one of the best drive in beaches in India, it has 7km long drive path where you can drive your two-wheeler or car. The beach is never crowded and you will have complete privacy with family."
7,Clean beach,"One of the TOP 6 -DRIVE IN BEACHES of the WORLD is in KERALA-MUZHAPPILANGAD DRIVE-IN-BEACH is of 5.5 km length where most of the people come to drive rather than to play in water. This beach is the longest Drive-In Beach in India and is featured among the top 6 best beaches for driving in the world in BBC article for Autos. Even though Goa has many beautiful beaches, it does not have a Drive-in beach. You are allowed to drive for around 4 Kms."
8,Fun but watch out for speeding cars,"Muzhapilangad beach is the longest drive in beach in Kerala, situated in Kannur district. It has been portyayed in the malayalam film Thattathin marayathu and at times, adventure tourism events like para gliding, micro lote flying etc are being conducted. The beach sand has the fluid from a micro organism, due to which it can withstand vehicle weigt for some duration. If you park your vehicle in the beach for long duration, it may go down a bit in sand, not a big deal."
9,Family trip,"Muzhappilangad beach is the most popular tourist destination in Kannur district and rightly so. This is one of the very few drive-in beaches in Asia and has recently found a place in BBC's list of top drive-in beaches in the world. Apart from being a motorable beach, this place is blessed with immense natural beauty. Overall, a must visit place in Kannur."
10,Nice beach and awesome sunset,Also known as the drive in beach it's bout 10km from kannur town. The major attraction here is that it is the only beach in India on which u can drive a vehicle without the problem of the vehicle getting stuck in the sand .It's worth a visit and is very pleasant
11,Once in your life,This Beach is very nice beach in kannur district in kerala.we can drive through beach more than 5 km.from this beach we can se darmadam island also
12,One of rare beaches where you can drive but still not splash sea water on your car,"Muzhapillangad beach is one of the cleanest beaches I have been to in India, less crowded, almost a stretch of 5km beach where you can drive with waves hitting your car all through. Very scenic place, enjoyed taking pics. Stayed at a place called Samudra Homes, sea view from this home stay was amazing. But it wont be wise to spend more than a night here at Muzhapillangad, as there is no other place to visit apart from St Angelos Fort (at 10kms). Overall a nice experience for a one day trip."
13,Unexplored but polluted by Vehicles,Muzhappilangad Drive-in Beach is great for spending evening time.Please avoid Sundays to visit because beach almost crowded with vehicles and local tourists. There is a speed limit on the beach 20 KM/H.
14,Different experience,This beach is between Thalassery and Kannur and Muzhappilangad Beach is the only drive in beach in Kerala and the largest drive in beach in Asia .You can drive about 4kms in this beachThe sand is hard enough in this beach and you can drive your car on the entire stretch of the beach. The excitement of driving a bike or car over the waves is really high.
15,Nice Drive-in Beach,"Muzhappilangad beach, beautiful beach for driving, we all like and enjoy few hours here, good atmosphere and average facilities"
16,Unique experience,🇮🇳 indias one and only one drive in beach Our muzappilangad beachIs beautiful and unique beach Enriched with state and interstate tourists as well as foreigners Repeated accidents and lack of maintenance makes the beach little problematic
17,Best beach in India (biggest self drive in beach of Asia),"This is one of the most impressive places to visit in the whole of Kerala. The longest drive-in beach of Asia, this place will mostly be crowded on weekends, holidays and festival seasons. More than four kilometers of lone and level sands where you could drive by the waves is something you would find nowhere else in the country."
18,amazing ride,"Kerala’s only drive-in beach and perhaps india's only one, the Muzhappilangad beach which stretches across four kilometres of sand is a place, where one can drive down the entire length on his vehicle. It is also an ideal place  for sampling the famed Malabar cuisine from the many eateries available in the immediate hinterland. Big Black rocks protect this long, clean beach from the currents of the deep, making the shallow waters a swimmer’s paradise. These rocks also provide habitat for Blue mussel,  which also is a delicious seafood. The Beach attracts bird-watchers from all around the world as varied species of birds flock here during various seasons.The beach festival is held in the month of April and it forms one of the important tourist attraction of district Kannur in Kerala.This festival attracts largely young adventurous people who try many driving stunts in cars like drifting and wheeling in bikes.A little away 100m from this beach you find d find another beautiful attraction of private island Dharmadam island, which can be reached by walk at times of low tide."
19,Muzhappilangad beach,It was a awesome beach it was only one drive in beach in kerala. Kannur district's most visiting pace is muzhappilangadu drive in beach
