,title,text
0,"One of Best place , i visited ever","One Most beautiful place i visited ever. Yes , it is a crowded place. The architecture is wonderful and maintained well.The historical places with great views and beautiful garden outside and tiger statue.one government Store is also their, do buy whatever you want. You really get sandal items in cheap price as compare to other store in city.Note that washroom facility also available, so no worry."
1,"""Most Beautiful Palace""","It is the most important place to visit in Mysore as I understand. The architecture and artwork speak volumes about the mastery in  construction and love of art in the royal family.I have been there once as a kid and now 4 times in the last 5 years as I now live in Bengaluru and Mysore is the best place to visit unplanned when you have guests who want to see around. The palace is very crowded on weekends (all of my earlier trips were on weekend), so if you have an option to visit on a weekday, please do it. On our last trip, which was on a Friday, we got a view of the palace like never before as there were very few visitors."
2,Historical and beautiful ,"The palace was spectacular and very interesting to walk the halls. Great artwork abounds, along with very elaborate rooms. We had a guide who was very insightful and provided additional history to us. A must see in Mysuru."
3,Wonderful Architecture and Interesting Visit,"Most beautiful place. Too much crowded, go with family & friends.The architecture is wonderful.This is one of the historical places with great views and beautiful garden outside and inside washroom facilities available for all. Most attraction place in Mysore."
4,Spectacular Palace,The palace is good and worth a visit. However I felt that some areas are neglected and not maintained well. Although the palace is more than 100 years old some areas can be improved. Can be visited once.
5,Mysore Palace,"Well, it is indeed a beautiful palace. I loved the colours used in every corner of it. It is really well-maintained in spite of the huge crowd. But the lighting in some parts could be better as it was too dark."
6,Beautiful Indian heritage,"A place like this needs no mentioning. The interiors are so well maintained and from the outside, the Palace stands worthy of a national wonder. This is one of the underrated places despite its existing popularity and should be on the lines of Taj Mahal or better."
7,Amba vilas palace,The view is excellent. Very well maintained. Amongst the best palaces in India. When lit it looks very grand.
8,stunning,A real Wow. Beautiful building and very interesting. Lots to see and the grounds are lovely too.Lots of visitors there but do not rush your visit. Hang back until the groups have passed to get great photos
9,Night or day,"Must see place in Mysore. The Palace is mind blowing. Illumination/ Lighting is excellent at night. In my opinion, one of the best Palaces in India."
10,Imagine the riches of the maharajah of Mysore!,We visited the palace along with family and friends. We hired a guide. The palace is very beautiful with intricate designs. The colours used are a sight to see. The walls are lined with beautiful paintings and cultural traditions of coronation and festivals. Very enriching history.
11,Rich heritage,This palace is beautiful and highly decorative. A real gem beautifully maintained. With a guide you can appreciate the history behind it.
12,Gilded glory,"This is a beautiful place in Mysuru  South India The palace your takes you around the gardens , the rooms, the Durbar halls where the kind used to hold his sessions, the clothes and jewellery they used to wear The weapons The intricate designs on personal belongings Artifacts collected by them and a few presents given by a few kings and queens of yesteryears"
13,Osam,"Beautiful palace, a must visit in the city of Mysuru. The city itself is very calm. The only concern is the administration is not looking after it as a heritage property. THERE were crowds of people allowed inside the palace when we visited. When it is a heritage property, the administration needs to regulate the foot traffic."
14,"amazinfg palace, worth the drive from Bangalore","The Palace is an impressive place to visit during the day. The Architecture is superb and there is many items to see especially the paintings with faces that follow you. On Sunday nights the palace is adorned with 1,000s of bright lights making it a real spectacle."
15,Worth a Trip to Mysore Just for this Palace,I visited this palace with my wife recently. Really it was very huge palace. We found too much crowd and howevev the security personnel control the crowd nicely. It was rebuilt 125 years ago. We saw the Darbar Hall and the gallery . Very well designed . It is also a must see place in Mysore.
16,Impressive inside and out,"Very unique experience. The palace is huge and the courtyard is awesome. Inside you will get a chance to get some royal clicks. The only turn off was that you got to remove your shoes before entering, and it rained so it was all wet and muddy."
17,Beautiful palace,"Recently visited here with friends. Magnificent and well maintained  place with picturesque historic importance! One could truly enjoy the experience of visit, that would take back to its glorious history. Must visit place if you happen to be in Mysore or around."
18,Light switch on not to be misses ,The beautiful palace is just pEyes pleasing to watch. A heritage worth spending time here. Just amazing
19,Beautiful architecture,Mysuru palace is like no other. Absolutely stunning and well kept this tells story of wealthy and rich culture and life of wodiyar rulers
20,Must visit while in Mysuru,The palace is just beautiful. What luxury. Beautiful halls   the interior is just stunning. A truly beautiful place
21,Very interesting palace,The Mysore Palace is a must see for every visitor to the city. It’s well maintained and I particularly enjoyed the family portraits. Some of the paintings were originals by Raja Ravi Varma! The whole tour will take approximately 1 hour since only a small portion of the palace is open to public. Try going on a weekday as early as possible to avoid crowd.
22,Beautiful palace,"Travelled with family.  It’s nice to see the place with wonderful interiors and painting. It’s better with good tour guide as it would be interesting to know what Kings life style instead of looking at on your own. This palace is well maintained.  The paintings and wood carved doors are wonderful. There is a huge parking lot near palace entrance without any parking charges.  TIPS: There is a direct Karnataka government Cauvery showroom inside the palace and they sell genuine sandal and Mysore silk. This is one of the genuine outlet out of two in Mysuru. Please buy from this shop if you intend to buy silk or sandal wood. Please don’t buy silk Sari or sandal wood from outside outlets as there is no guarantee on quality. Tour guide and cab drivers bring you to many outside shops to get commission. Please don’t fall in trap.  If you are in other state registered cars, they approach you that government shops selling Mysore silk without GST and try to cheat you."
23,Worth a special trip,Absolutely stunning and marvelous structure. It is very big. You have to remove shoes to enter palace. It was very crowded may be because of saturday. We could not see full lighting. Certainly best place in Mysore.
24,What a magnificant place,Very good place . Palace is very beautiful and historic. Well maintained by the government.loved to be once again there
25,An insight into the Royal life,The lighting was really nice to watch in the night. The palace really attractive. The inside can only be visited in the day
26,Definitely worth a visit,The palace is epitome of beauty. Heritage well maintained. It gave feel of time travel. Entry fee is 70 rupees for Indian nationlity. There is arrangement for keeping shoes at minimal cost. At 7 PM entire palace was illuminated. You should not miss this. The best part is you can sit down on the grass in front of palace and enjoy the view. These images don't do justice to the actual view.
27,Interesting and highly decorative.,"the palace is lovely and makes you think of a different era. Lovely patterns on walls etc. You can walk around at your leisure. In the evening it is lit, which is stunning as it covers up the dirt and dust."
28,Breathtaking!,Mysore palace is very nice. History re-visited. The Royals always had a lavish life.Entry ticket is Rs. 70 per adult. Footwear is not allowed in the palace. You need to deposit at the counter.
29,Mysore Palace,"A beautiful palace, extraordinary architecture, colorful interiors. The murals are incredible, the paintings seem to turn and face you while you walk along them. A worth while visit!"
30,Icon of the Mysore..,"The site is simply gorgeous!Soo rich by its architecture, colors, style.Silver's doors, huge columnThe garden is also beautiful.The market is very close to the palace"
31,The Fairy Tale Palace,"The palace is one lovely place to go to to see the royal's experience of living. Though not all areas are open for public, the ones which are are nice and well maintained. I do think the exhibits are few in number. I could not find a guide handy and mostly did a walking tour on my own. highly recommend to get a guide."
32,Heritage,Awesome experience. Amazing preservation of historical items included sculptures and paintings. A wonderful cultural experience.
33,Boring,"A vast area very clean and serene, surely missed the lighted palace which is only on Sundays we were told. The buggy ride for all those who don't want to walk the campus is a pleasure ride with few titbits from the guide. Palace stroll is very pleasant and good to see the preserved artefacts and the palace area. Good place to have pictures shot with palace background."
34,Incredible architecture!!!,"It's a must see palace in India. One gets enchanted by beauty and unique design, color combination and extravagant aura in it.Flower show is also organized post christmas till first week of Jan and it's really good."
35,Magnificent Palace,Great place to visit with temple nearby on site. Huge building with great architecture.  What luxury for the king to have lived in and green gardens add to splendour. Believe family still live in some part of palace but it's simply beautiful and my second visit in a few years.
36,A MUST VIEW PALACE WITH BAD ADMINISTRATION,It's a very nice tourist destination which I feel every one should go if time permits car parking is available but not very much nearby it's one of the best architectural excellence I feel and it should be in your list if you are visiting Mysore.Small babies can be carried in prams but there are lot of steps that you need to climb inside so plan accordingly
37,Just from outside for lighting ,This is one of the best place I have visited which is cherished with Indian history and a noble example for Indian architecture. Also this is a place with history in rich. One must go destination in India
38,The Kong’s Palace,"The palace is really beautiful but it was sooooo crowded (Saturday) and there are no signs, no tour guides, no information anywhere."
39,Wonderful,If you are in Mysore this should be top of the list. Stunning Architecture and art. Even though it was crowded it was still great. Very cheap too.
40,Palatial palace!,"A beautiful masterpiece that is maintained well by the government. The architecture is great and the palace is massive and will take half a day to roam around, click photos and view all the places."
41,Just WOW,"It was my first visit to this place . It was simply outstanding . Paintings , lightings , architecture amazes you . The view and over all visit was once in a life time experience"
42,Well worth a second visit,It's a striking building and that's makes it interesting to see from the inside. However there's not so much to see. it gives you an idea of the Maharaja family through the years. Can be quite busy during the weekend and public holidays
43,Amazing,The palace is a must see with all its lighting and grandeur. It’s a must see. Use local transport to avoid getting stuck in traffic and see the palace in all directions. It’s a beautiful sight.
44,"The Palace at night.......100,000 bulbs ...... astonishing!",One of the best palaces in india.The Durban Hall and Marriage Pavilion are superb.Be aware that you have to remove shoes and despite online messages stating no photography we were allowed to take stills and movie’s.
45,Well Maintained Palace. Worth Visiting.,"Everyone who's travelling to Mysore visits this Palace. So, you guessed correctly, it is always crowded.There's so much to show and the crowds need to be managed. So, things are lined up and you just browse through them. The big halls have an impact but some audio-visual could have improved their great appeal. Everywhere, there are cheap ropes or signage to manage the crowd. The grandeur is somehow lost.Having said that, if one is patient and visits at a less busy hour one can come back with a very good understanding of local history and bagful of good memories."
46,Mysore palace review,No 1 place to see in Mysore. The paintings are true to life - Caveat : need some time and patience to really appreciate the work. Impressive architecture both inside and outside. Will be more enjoyable on a weekday.
47,Beautiful Night and Day,This palace provides very good view of ancient kingdoms and sculptures since it's hot we could not enjoy the outdoors but looks are really good ..only problem are there are no clear signages and no clear guidelines over which you should leave chappal which has very big queue and little unorganised ...over all good place to visit which is not well organised in there
48,Must visit palace,The best place in mysore to visit with friends or family. It gives you the feel of our history in each of the wall
49,Amazing place,"We were there on Christmas Day so very crowded, but well worth a visit and we were lucky to see the palace all lit up at night, which was amazing."
50,Magnificent,What a grand palace!!!. Great architecture and located right in the heart of Mysuru city. This monument is the pride of Mysuru and is a must visit
51,Mysore Palace,"It's really looks amazing at night , I recently visited and it was really amazing at night .It's open around 7 at night .For entry no tickets required after 7 ."
52,History beyond imagination,Palace is huge and is the main attraction. Well maintained. One can understand how talented is architects of our india. Lot of decorations and huge structure. Mobile photography is allowed. On weekends there is light show in the evening.
