,title,text
0,Such a disappointment after Hiroshima,"The scale model of the Bomb, time-lapse of the Explosion (ghoulish or what), the Display about the History of Nuclear Bomb Development, its Testing and their proliferation around the World since - they were good.The rest, I regret to say, was a big disappointment, as was the crowds inside (over-exited & out-of-control School Children, all in immaculate School Uniform comprising the majority). I have to stress, this was an exception - only time on 7 weeks.Being incredibly rushed, on a -round day Trip from Fukuoka, due to an error in Tour Planning, did not help, but this Museum compared very poorly with Hiroshima."
1,Destruction and Rebirth,"You can learn about the background to the bombing, see a model of the bomb, and see the bomb's effects on various objects.  There are also exhibits on its legacy, including interviews with survivors.  I was surprised to learn that Allied POWs were among the victims.  The exhibits are well presented."
2,Reminder of the horrors of nuclear war,"Factual and to the point, shows the true horror and total destruction that an atomic bomb produces. If you have not been to this or Hiroshima you should feel duty bound to visit if in the area."
3,A history everyone should remember,"Great learning experience with detailed explanation on effects of atomic bomb, and the importance of not using such a dangerous weapon. A must visit."
4,Impactful memory to the horrific consequences of the Nagasaki bombing,"The museum definitely is a highlight. Precise information is given what the detonation of a atomic bomb means for the buildings, fauna and flora that is hit by the blast. Also, consequences of radiation exposure are depicted and explained accurately. The detonation of an atomic bomb is a tragedy that must never happen again. Despite this, I would like to  congratulate the Nagasaki Atomic Bomb Museum for their great work in collecting, preserving and displaying information about it."
5,A Must Visit as a Reminder.,"The photos, the victims accounts, then where we stand today in terms of the threat of nuclear warfare.Heart wrenching, eye opening and scary"
6,"A Sobering Visit, but an Important One","Comprehensive presentation of the atomic bombing and it's aftermath with multimedia and static exhibits. Quite graphic in a couple of places but not gratuitously so, merely factual. Stands as a memorial and hopefully a deterrent."
7,Harrowing but I still visited twice,"Excellent job educating the public about the horrors of war. It explained the history behind the bombing and its tremendous heat that killed people and decimated objects. Their attempt to put into perspective when 80% of the city had collapsed and burned with strewn corpses was achieved visually with photographs, objects, personal effects left by the deceased and stories from the survivors. The vast destruction can be felt. Their pain and cry for world peace is a message you will take home from here."
8,emotional,"Thought provoking ,Historic museum ,to advise what the horrors of war can bring ,very solemn and disheartening feelings looking at some of the artefacts/photos/and descriptions from that horrifying moment in history , its worth taking your time to take in the meaning of all this ,in a very quiet and peaceful atmosphere . There is a park and memorial pond close by that is also worth a walk around ."
9,Well organized and informative museum,"Visited with colleagues in October.  What  an overwhelming exoerience. Seeing all the death and destruction created by the bomb in just few seconds. , the after effects felt by people to this day..... It makes you chill to your bones. Spending few hours in the museum is highly recommended and also that you read the plaques , description on exhibits and the video clips."
10,Informative Museum,"Really interesting, very well presented, this is the story of the awful day in August 1945 when the atomic. Bomb was dropped on Nagasaki. In general,the detail is clearly presented (it’s a pity that one wall is presented in Japanese, without translation), and one can see the twisted metal and artifacts remaining from the explosion. To anyone visiting this site it must be blindingly obvious that this must never, ever happen again, no matter what the provocation."
11,Sad but it happened on 9Aug1945,"We take all our visitors here.  Tells the story leading up to the blast, with an ominously ticking clock.  Tells the story after the blast, or course from the Japanese perspective.  They think the war would have ended anyway within a few months.  Not mentioned is the possibility that there might have been a land war in Japan.  Expect to have strong feelings.  A great museum."
