,title,text
0,Seen of jaipur,"The fort on the top of jaipur from there u can see arial view of jaipur from one palce can ride of solo scooter , sunset and surising points places local"
1,Not as impressive as Amber Fort,We went to fort and this is very beautiful and whole old jaipur you can view from the top Recommend early morning sun rise time
2,Can be skipped,"Beautiful fort in the pink city of Jaipur.  Great views from the Fort of the city and the walls.  Looks like the Great Wall of China, built on same type scale.  A must see in Jaipur."
3,The fort,"This place provides the best city view of Jaipur city, must recommend it to everyone who loves the city view."
4,Rang De Basanti Fort,"One of the key highlights of Jaipur, go before sunset. Beautiful fort with great history. Views from top are amazing."
5,Worth a visit,"This fort is great to visit in Jaipur. From the top of the fort you can see the entire city of Jaipur and it look amazing. The fort is great with the antique things placed in the fort which shows the history of the fort. After you visit the entire fort, then you can taste the…"
6,"Not too impressive, would skip this unless you have extra time","This place is good for those who love sunset. Also once you reach on the top you can see overview of Jaipur City..If you love nature you'd love this place. There is few restaurant if you want to eat otherwise RTDC ""पड़ाव"" is also there."
7,superb,When in Jaipur drive upto Nahargarh Fort. Enjoy this old rustic well defended monument of 18/19 centuries. Pay & 3/5 for tickets. Watch the sunset from high points while sitting down with tea snacks or beer. Sight monkeys. Enjoy the breeze. Bask in the sun in winter. Many other places in Fort to see and shop to buy from. Parking and wash rooms available. One in a lifetime visit when in Jaipur. See the Fort lighted up in night that govern the city as a sentinel on guard from danger and intrigue!
8,Lovely,"Beside sunset view and the view of Jaipur city, i didnt really liked this place. Seems to commercial and many of the things are too artistic probably. You need a different mindset to gulp in and enjoy this fort. Though grandness at those times, do definately amaze!!"
9,Beautiful fort in Jaipur,You have the most spectacular view of sunrise and sunset from Nahargarh fort. You can also see the vast view of the city from above. 
10,Now you need Ticket,"The best place in Jaipur for photography where you can click sunrise , sunset and whole Jaipur city photos"
11,Historical retreat,Naharghar fort in Jaipur is one of the best place to visit for tourists and also provide facility of restaurant at the top of fort.
12,Another historical slice! ,"Firstly, Nahargarh Fort, or ‘Tiger Fort’ is a brilliant place to visit. Beautiful views of Jaipur and the view at sunset was stunning and I highly recommend visiting here.   However, my trip here was unfortunately ruined by a man trying to look at me on the toilet here; I went…"
13,Very long forte,Another great fort with amazing views and fabulous for photographs.  We visited after the Amber Fort as they are close by. 
14,Great view. ,This is the smallest but best fort among the three main forts of Jaipur. Enjoy with yiur freinds at Padav and RDB point
15,Best for the view of Jaipur,"The fort is located at a height overlooking the entirety of Jaipur city. You will have to get through some twisty roads to reach here. The fort itself is an average attraction on its own, apart from the fabulous views from the top. You can get good camera clicks here. The…"
16,Nice fort,The fort is ideally located on top for a beautiful view of the jaipur city... especially with the sunset as the backdrop. The inside of the fort built for the many queens are quite good but no match for the views outside from the top of the nahargarh fort. worth the visit. not to miss.
17,Keep wondering why we went there ,"The nahargarh fort is a small fort but the road and the view from here is amazing, you can enjoy bauli (water storage) it's a great architecture, this is the place for photo and view liver from here you can see Jaipur"
18,"Don't visit, save an hour and spent it on Amber fort",Amazing place on top of a hill for sunset view of the pinkcity. A must visit place in every tourist's list.
19,"A Must see when in the Pink City, Breattaking Views all over.","A very beautiful view of Jaipur city. panoramic view of the city during sunset. Enjoy Sheesh Mahal, a more modern addition that houses a wax museum and a mirror room."
20,Great historical monument but disgusting wax museum and house if mirrors,The visit to the fort was interesting. Theview of Jaipur city from the fort isnice. In the evening the lighting of the fort is worth-seeing. Overall the fort is a nicetourist spot.
21,Worth visiting too see sunset,"Wax museum , sheesh mahal good attractions .If you visiting with children  pls make sure  keep there school college ID cards for concessional tickets ."
22,Amazing and picturesque view,"Nahargarh Fort is one of the most beautiful places I could ever see in Jaipur. Its beautiful sunrise point gives you the best view of the city which is worth seeing, the restaurants with lovely folk music & ethnic ambience are even lovelier. A place you could visit to take a break with your loved ones."
23,Visit,"Beautiful view of the city from the fort. Historic place built with amazing architecture by  the Maharaj fondly known as the Nahargarh fort. The entry fee to the fort for Indian citizen is INR 50 .  Great place for family hangout with ample of historical information.One would be advised to avoid the wax museum as it is very costly and you cannot take photograph from your mobile phone too, u need to hire a photographer inside who will charge you 300-400 for 8 to 15 photographs, its ticket price is INR 500 that includes entry to wax museum and sheesh mahal. Also in Sheesh Mahal they give wrong information to tourists that itz the only one in the world having a mirror floor. Lot of monkeys are there in the fort but they do not harm the tourists.A visit to the fort is highly recommended to those who love historical places."
24,The view outside more memorable,"The best part of this place is the complete view of the Glorious jaipur city during the sunset time or night. Apart from that, the authorities have added a great dine in and other activities in the fort for the entertainment of the visitors."
25,Best example of Public Private partnership,This fort is also a part of the 3fort circuit of jaipur and is a gud place to have a panoramic view of rhe city during sunset.  Entry closes at 5.30pm.
26,Jaipur visit ,"Nahargarh Fort is located a little outside the Jaipur city. Within the fort there are different attractions. Let me warn you it can be quite a walk with steep staircases. My mother is a senior citizen and has issues with walking long distances; however she did not face that much difficulty. Ask your car driver to drop you at the car park. That is very close to the gate, reduces the walk. Inside the fort, there is a wax museum and sheesh mahal (must see). The ticket is on the expensive side however if your budget permits, don't miss the Sheesh Mahal. It is very beautiful and the do listen to its audio carefully. It is very interesting. The wax museum is fun. You are not allowed to click pictures inside. However, you can request for a photographer. Soft copies of the photos are provided at an extra cost.There are some artists displaying their skills like pottery, traditional folk music and a magician. These are just to pass your time till your turn comes to visit the Sheesh Mahal. Limited people are permitted inside at a time. Next, there is a step well, and a water storage tank. Just gives you information on how rain water was harvested in olden days. The views from this fort are breath-taking. Please don't visit the fort on a Sunday, we did that mistake. It was very crowded. Finally, there is Madhavendra Bhawan. We hired a guide and it was helpful to understand the history of the palace, the queens' rooms, toilets, bathing areas, summer residence, winter residence, chimney, how the king entered and none of the queens knew in whose chamber he would spend his time.... was all very interesting. If your budget permits, do hire a guide. We were charged INR 200/-. The tour took us a lot of time because of the crowd and the fact that I had senior citizens with me who walked very slowly. There are steep, narrow staircases to climb inside Madhavendra Bhawan, not too many though. 2 - 3 hours are sufficient here. There are restaurants inside the fort including a fine dining restaurant. I recommend don't eat from here if you are on a budget. Moreover, the taste is not too great either. There is a small eatery outside the fort which is cheaper. Can't comment on the taste as I did not eat.Overall verdict - Must visit!"
27,Amazing Fort vd beautiful Sheeshmahal,"offering awesome views of the city, this fort is located on a hill surrounded by forest, truly adventurous and amazing"
28,Famous attraction of Pink City.,fort is good.. as compared to other fort in jaipur.. here is wax museum and sheesh mahal is additional you can visit.. 500 rs fees is overpriced but sheesh mahal is worth to watch. sunset and city view is awesome. no quide  requires here. plan to visit here in the evening so that you can enjoy sunset and city view.
29,Entertaining and Mesmerizing,The view from fort is good . But avoid buying tickets of wax museum it is about Rs 500 and believe me it is not worth it .
30,Don't let the drive scare you,Although people visit this place in day but if you want to see illuminated jaipur than visit at night.  It is a very romantic place in night.
31,Nice again,If you want to have full city view of jaipur. This is the best palace on hill with mind blowing food. There is wax museum also. Night view of city is amazing
32,The view is worthwhile during sunset,Its is on the top of the mountain nearby the pink city .. the only thing to visit last in pink city. .. from there u can see the whole world below
33,Fort is good,It's located around 15-20mins drive from Jaipur on the hill top. The palace offers nice Views of the Jaipur city. There are few resturants inside from where you can enjoy the views with some very expensive food for the average quality and service. With young children there is moderate walk and climb required.
34,"Fort is good, Avoid wax museum ",I love the restaurant that is located at nahargarh fort. It gives you a very cozy feeling after a you walk a kilometer to get there. 
35,tiger fort,Ideally you can sit and enjoy some tea and snacks at RTDC restaurant and enjoy the view of walled city of Jaipur. At night it's more beautiful to watch.
36,"Fort is good ,wax museum fees is too much ",Nahargarh Fort Amazing Place in jaipur really cool place. i listen many time about this place but this time was my first time for visit.
37,Tiger fort,"Although we didn't visit every high point in Jaipur, I feel confident in saying that the views from Nahargarh Fort are as good as they get.  Definitely worth the crazy drive to get there."
38,Nahargarh fort,So much fun to visit this fort took a bicycle ride up.  Refused to ride down way to fast.  Our guides were wonderful no problem they got us a car to come down.  At the summit we had the and refreshments .  Do not miss
39,Marvellous architecture and history,"A beautiful fort that has a small step well and palace. The palace building is beautiful and really appreciate how the architecture and the use of materials allows the occupants feel cool in the hot summer day. The rooftop offers a beautiful and awesome view of the Jaipur city, as well as a great spot for photography with it's beautiful dome shape water containers."
40,Nahargarh Fort,The entry fees are decent but inside the charges of wax museum and sheesh Mahal which are opened only few years back are having high charges. To add further to commercialization there are a couple of restaurants opened in Nahargarh fort. The sunset point is good one along with the rooms of the 9 wives which are similar in structure. Takes approx. 1 hour to have a full view of the places inside the fort. The view of Golf course and Jaipur city from Nahargarh is also an excellent one.
41,Nahargarh Fort,This is relatively a newrer fort overlooking the Jaipur city. The fort is now a location for modern art exhibitions. Some exhibition or the other is always going on. All Jaipur fort had elaborate water storage and purification facilities. This fort  also has a Bawdi and…
42,Very filmy,Had a great experience visiting Nahargarh fort.Visited Wax museum and Sheehmahal there which adds to the beauty of Fort.Must visit.
43,A Must Visit ..,"This fort and hill is one more gem to visit in Jaipur .. Jaipur being world famous for it's gems has lot of tourist place gems as well.The fort explains old royal life in Rajasthan, largest canon in world and very scenic view of Jaipur from hill top."
44,"Best for sunrise, sunset, and architecture.","Wax museum have limited place  not  worth for 500 rupees ...Fort and all good to visit ..Can see the view of Jaipur from the fort.really it was remember how the fort made in those days ...city view,jal Mahal view from the  fort can enjoy ..fort inside and top can see and enjoy ...food court availble inside ...."
45,The second best of the 3 forts in Jaipur. Don't Miss!!!,There is a road just by side of place and offers great view during evening. Suitable for making timelapse videos of city. Has pond where rangde basanti whs shot.
46,Great views,"It is located in the Aravali mountain range you can go there by drive and by public transport too but i will suggest  if you are okay with driving and can manage your drive than you should definitely go there by drive you will experience one of best the view of jaipur from there, the roads the view the sunrise and sunset makes the place so beautiful there are mini shop on the middle of the roads where you can eat and have maggie, chai and other snacks, there is one museum and inside the for you can spend and can get some history experience. There is one baori there where rang de basanti had been shooted, there is tickets for entry in the fort and for parking too. One of the best fort of rajasthan."
47,Just don’t. ,Nahargarh fort is one of the great place it was such a beautiful fort it was .nahargarh fort is very huge fort nice beautiful and i loved it
48,Maybe,This is the place which is srounded by 4 deewar awesome place srounded by beautyfull green hils and and their boundry wall's which is looking so beatyfull jaipur city looking awesome from top of the fort in evening their is some folk dancer  showing their cultural dance so awesome i want came heir again and again i have't words  awesome historical place with awesome rastourerant  also available  here for foode people
49,Absolute must-see!,Here is the place you must visit when you are in Jaipur.  Wax museum is really interesting. Though the restaurant there is a let you down completely.
50,Not as busy,"This place is great. Must visit. We had already seen jaigarh fort so didn't see much fort but the sheesh Mahal here is unlike anything I have ever seen for its sheer beauty. Cameras are not allowed and the photo package is very expensive, I think 10000 rupees"
51,Wonderful view of Jaipur city if not for the fog,"The fort has a great view of Jaipur city.  If you are lucky, you may be able to spot a peacock or some monkeys on your way up or down.  We were lucky when we visited the fort because there was some kind of an art exhibition and we saw some beautiful work of art there.  There is…"
52,Interesting Fort,"High architectural value, excellent craving and art work. A must visit place in Jaipur. Best thing is to watch sunset and sunrise from the fort.Food is avialble inside the fort but costly.You need to reserve vehicle to reach the fort"
53,Nice Views of the City,You have put a wrong photograph  of Naharagarh fortPleaze insert correct photo.Although Nahargarh  which also known  as Sudarshangarh was used as a stronghold for the protection of Jaipur.During the period of Maharaja Jagat singh Raskappor a Nautch girl who was trying to become queen of Jaipur was imprisoned  here.Later duding the reign of Maharaj Madho singh second the fort was  used as prison house for prisoners.
54,Fort culture,there is nothing much to see in this fort except fort the biggest cannon that reside here. its nearby amber fort. but with large group or family one can enjoy. the view from this palace is though very beautiful
55,Visit at night,"You need atleast 2 hr if you want to explore every corner of the fort. You can see wax museum, sheesh Mahal. Well Maintained. No issue for parking, you can park your vehicle inside. Parking for free. Best time to visit (October -November or March to May)"
56,Jaipur Nahargarh fort,Gives a terrific view of Jaipur city. A visit around sunset time is definitely worth it. Takes about 1 hour to see the place and watch the sunset from sunset pointThe auto guys pester you to visit the house of wax inside the fort complex as they get a good commission but we skipped itThe view from the top makes the trip much worth the long drive
57,Interesting fort on a hill,"Great fort, nice view of jaipur! Beautiful architecture with small rooms, labyrinth type. Definitely worth visiting."
58,Visit to the Fort,It was worth the drive for the view or Jaipur. Neat fort...ancient. Would highly recommend a local guide...would tip 200.00 rupee's if they take you all around.
59,A must visit place,Nahargarh fort was restored to great extent but modern art sulptures inside the Queen's room destroyed its natural beauty and old heritage which it displays. I personally couldn't understand the logic of bamboo sticks with broken plates arranged in a haphazard manner on top of ur head. In one room there was huge sulpture which totally hid the marvelous drawings on the walls
60,Brilliant views but a WARNING to FEMALE tourists,"Famous Attraction of Jaipur, built by Maharaja Jaisingh II. Basically this fort was the residence of 9 queens of King, separate same portion was made for each queen having. It also served as defence property for the rulers. Breath taking view of jaipur city can also be witnessed from there. There you find one wax museum  and sheesh mahal as famous attraction of there. In wax museum you can watch wax statues near to life  . Sheesh mahal is really mesmerizing Attraction of the property made up of glass work, 24 caratgold plated paintings.. not to miss."
61,A Historical Fort!,The for is built on a hill top that enables the view of the entire city although the fort itself wasn’t that great as have seen much better ones. But this is a good location to be at if ur at Jaipur and shouldn’t give it a miss in ur iternary.  Just ensure you avoid weekends as…
62,Great fort,Mahajan Jai Singh instituted this fort at Jaipur for defense purpose.at night it look most extravagant when lighted up.in the rainy season you will see greenery here .You can view the old city  from here.
63,Great Views from the top,I visited nahargarh fort one year ago with my Family ..  we enjoyed a lot and one of the best thing was the sunrise and sunset.
64,"""GREAT HISTORICAL PLACE""","Worth going. Cheap to get in. Visited on way to elephantastic. Good photo opportunities as so high up, great views."
65,Sunrise and Sunset ,Great place to visit at sunset/ sunrise. The views are spectacular!!The road up there is crazy and will keep you on your toes.
66,Beautiful place to visit,"To see the wall of India, experience a good evening temperature, see rang de basanti shot places. Visit nahargarh fort !"
67,Amazing Place Naharghar Fort,It’s a good trek to fort and interacting with local people and specially the musicians playing so good folk songs and instruments are hidden gems
68, very very bad service homeguard ,If you want to have a hawk view of Jaipur city than dont miss this place. If it's a rainy weather than it is picnic spot.
69,Picnic spot ,It is the one of the best hangout place for the teenager in the jaipur.. here there is a kund where the film rang de basanti shooting has been done.. the view of the city from the nahargarh is sureal.. such a breathtaking view.. when you are fedup with daily chaos need some rest…
70,Horrible sculptures,"Easy queue for purchasing tickets. Interested in the grandeur lifestyle of Bharatiya (Indian) kings or architecture, history and traditions? Walk through this fort. The fort was absolutely clean, secured and it is well-organized for tourism. Information and signage inside the fort are helpful. Like all forts/sights, the best way to learn about the fort is to have a knowledgeable tour guide. This fort offers views of the city and its old boundary wall running across the hilly range. This fort has also hosted shooting of many Indian movies. Added attractions such as wax museum are worth one time visit. Do not miss Sheesh (glass) Mahal and other displays. Step well is a very interesting (technical, mechanical, eco-friendly...) spot. A restaurant on roof which seems to be good but not sure about the food."
71,Nahargarh Fort,"there is nothing to see much here except for the big cannons. after the visit of amber fort, its lost its exictement . altouhg you are about the time of sunset, the view for here is pretty amazing and spectacular"
72,Magical place to be!!,"It is really worth the time. Really amazing view of the beautiful pink city from the top. It's good to visit the place with friends or family. I have personally always liked sunsets from a beach, however, sunset from the fort took my breath away. Would definitely recommend everyone to mark Nahargarh Fort as a to-do in their upcoming trip to beautiful Jaipur.…"
73,GREAT ARCHITECTURE,The highest hill in the area and best time to visit is during sunrise or sunset. You will be having the best view of the city and nature. Wax Museum and seeshplace are worth worth watching.
74,Fort top of mountain.,It is one of the most mesmerizing place in Jaipur. With the best view of the entire walled city with delicious n lip smacking food experience its  a must try for the tourist there is a lot to see including the wax statue museum n the fort it self.....n remember not to miss the sunset it is magical
75,India's great wall of china,This hill fort has spectacular view points. The interior is filled with art installations and is very different to other forts.
76,Forest View & Good for Sunset lover's,For all the lazy people get up and enjoy a romantic sunrise at nahargarh fort! This can’t be missed! And if you can’t get up then enjoy here at the night time where you can see whole JAIPUR lit up from the mountain top! Visit the sunset point. It is so beautiful and surreal that you will be awestruck. Go and give your eyes a treat!
77,Awesome!,On the top security naugarh staff talk very rude they don't have manners how to talk with their tourist
78,Interesting,This place is awesome. What a beautiful view of Jaipur city from this place. Great architecture and design.
79,Art exhibit doesn't belong here,"The Nahargarh Fort is not as impressive as Amber Fort and there isn't much to see. The drive up to Nahargarh Fort is nice and the view of Jaipur from the Fort is the only good thing about it. There are some ticketed attractions within the Fort, that seemed to me to be a bit amateurish. We spent around 30 minutes at the Fort, took some pictures and headed back down to Jaipur.…"
80,"Small, quiet but must visit",This place and the elevation are the pros of the nahargarh fort but they havent preserved it  well they are places which are very smelly and you cant enter inside them because of bats but on the other hand this has nice city view and you can enjoy sunrise or sunset here.
81,Amazing view.,It is a very Amazing place in Jaipur. If you want to go to a historical place. I recommend this place.
82,Amazing view of entire city,"Again just like Jaigarh fort, this one is nothing special compared to Amer. However, this fort gives a magnificent view of the city of Jaipur."
83,A bird's eye view of Jaipur,"Take advantage of the combined ticket which gives you entrance to 8 different sights, one of them being the Nahargarh Fort. You can enjoy the views from different viewpoints and don't miss the hidden passage way in the palace where the Maharaja could visit all his different wives unnoticed by the others."
84,Superb view,Separate tickets for Fort and Wax museum. Buy tickets only for Fort visit.  Privately run Wax museum not worth Rs 500 per person. Instead you would spend more time in Fort.
85,Nice fort.,We had been to this place on 31st Oct 2019. A glimpse of rajasthani fort culture. We hired a guide who explained the architectural beauty. A good place to visit.
86,Preserved History,Good forte for the journey there was very long area for walking good quality of the forte ancient memory
87,Another gem in Jaipur,"Not much to see at nahargarh fort, but don't forget to miss the sunset point as it gives a fantastic view of sunset. Reach atleast an hour before the sunset as the fort get closed before sunset so the tourist who are inside gets the opportunity to take some awesome snap of sunset!!"
