,title,text
0,An excellent viewpoint over Mereweather and Newcastle,"What a memorial walk, well planned and such spectacular views. Wide enough to safely distance and many spots to take some photos."
1,Great idea,The memorial walk is a wonderful place to take international visitors with spectacular views it’s an easy walk with ple got to see and lots of parking
2,Great wak and memorial ,A fantastic memorial really beautifully done. The views are stunning. A great place from which to spot whales at the right time of year.
3,Daily walk,Great for a nice scenic walk for locals and visitors.  Lovely views over Newcastle.  Good for pedestrians not to have to compete with pushbikes.
4,Breathtaking,"Such a wonderful walk, beautiful views the full moon was amazing, a place to walk day or night, well lit, fantastic atmosphere, photo look up at the walk from thebaech"
5,Newy your amazing! ,Awesome place with an awesome walk and the views are just out of this world.Must visit for any one travelling Newcastle.Best for photography and with young kids who would enjoy the reading about the Austtalian Heroes while walking.Early morning sunrise and sunset are the best for photography lovers.
6,Lovely Walk,"The most beautiful walk, views of right across Newcastle and the beaches. A great way to see what's around and also get your steps in for the day.Heaps of free parking at top and bottom of the walk :)"
7,Lovely,"great views, great location, well done memorial and a very pleasant walk. the weather was beautiful so well. easy parking."
8,Some of the best views in Newcastle,What a nice bridge/walk.  Good views of the beach and interesting information posted about the war.  Really enjoyed it.
9,Simply Beautiful,"Only a short walk over the bridge but the views are amazing, overlooking a beach and a lot of information provided on the bridge. Worth a visit."
10,Amazing,"Discovered the memorial walk what a great surprise, beautiful walk and spectacular views a must if you go to Newcastle . It also commemorates the sacrifice of our WW1 soldiers."
11,View view view ,"A bit of history here with a good memorial,  wonderful walk  with views everywhere.  Memorable were  the crashing waves far below while a turn of  your head reveals city views.  This walk is definitely worthwhile and certainly  not too difficult for most people.  We had driven from Sydney to Newcastle especially for the walk and were very  pleased to have had this worthwhile experience."
12,A beautiful walk,Part of the coast walk but easily accessible from a car park. Great tribute and beautiful views. Well worth the visit when in Newcastle.
13,"Crashing surf, recreational walkers and happy dogs",What great walk the view was breathtaking.Easy parking and accessible to all.Well looked after and enjoyed the stories along the way.
14,Great views and walk,Such an amazing experience to be able to walk along the bridge with great views out to sea and the walkway is a fantastic tribute to our wonderful soldiers who proudly served for our country
15,Enjoyable walk,Brilliant walk with amazing views all the way along. So interesting with loads to see. Walked from the Honeysuckle front all the way to Mereweather Surf House which was a great place to have lunch and rest up before the walk back.
16,Beautiful walk,"Wonderfully constructed board walk with a beautiful views of the ocean. Great history read on the way. Place to take whole family for an afternoon stroll. Highly recomend to anyone visiting Newcastle, NSW"
17,Newcastle views,"The Newcastle Memorial Walk is a beautiful, well kept walkway with amazing views of Newcastle and the ocean! A great way to spend a couple hours - walking, talking and taking in the sites!"
18,Sunset,On a beautiful day this is the most stunning view.Beautifully built to enjoy the amazing coastline and a wonderful tribute to those who have served our country.
19,Newcastle Memorial Walk,"This raised walkway across the coast of Newcastle is a must do for every visitor here, amazing views, possible whale and dolphin sightings, photography, exercise, history. It also revitalises your spirit as you go."
20,EXCELLENT WALK ABOVE THE sURFERS bEACH,Very nice walk with good information honoring heros who gave all. Stunning views of beaches and the town. Take time to stop and read the plaques and reflect on their sacrifice
21,Excellent - well marked,Great views and an easy walk. Best to park up somewhere and make a return walk. Eg kings park to Merewether. Don’t be fooled by clouds- you’ll still get burned here!! Quite busy- frustrating that not everyone knows or follows the keep left rule - a sign or two would help either side of memorial walk.
22,found it by accident,The best view across Newcastles best beaches. Excellent walk with plenty of stairs and resting spots
23,Magnificent views,"Another lovely walk that Newcastle has to offer, makes a nice evening walk, great place to see the sun rise.."
24,"Great views, lovely walk","Lovely walk with amazing views and great historical information, highly recommend! Well done Newcastle City Council"
25,Beautiful and informative,"Stunningly beautiful memorial walk around the coastline. Lots of war history, a real tribute to the men and women. Wear sturdy shoes as is a decent but easy walk quite high up so views are magnificent.No dogs allowed.Free to access, sun block or a hat is a good idea. Nice swimming beach at the end."
26,Stunning Walk and views ,"Fantastic short walk with amazing views! Wasn’t hard to walk round, no big steps or anything. Great view points in different places, best over looking the beach!"
27,Beautiful walk,A simple walk that you can drive to or walk up from the beach.  Great spot to see Newcastle as well as amazing views of the ocean.
28,A very enjoyable walk ,A great gentle walk with absolutely stunning views.  On a clear day you can see forever.Newcastle council is doing some wonderful things for their residents and visitors.
29,Brilliant,Awesome walk with great view .Have been here every time when we are in Newcastle .Such a great spot for a hangout.
30,One of the nicest walks I have done,"Such great views. I walked from Newcastle beach and along this walk. Great views of the beach, city and port. The memorial itself was also very movingRecommend."
31,Beautiful,"A beautiful short walk wit beautiful views of our beaches and coastal cliff's.  The council outdone themselves this time when they designed this walk. We are locals and enjoy this walk every time we do it. Come check it out for yourself, Newcastle has a lot to offer"
32,Boring bridge great location.,Definitely a must while in Newcastle - beautiful views.  Its a bit of a hike but worth every step.  We saw whales along the walk.  Amazing
33,Impressive views,"Short but sweet.The bridge itself is short, but had a wonderful view.Plenty of things to see like paragilders and hang gliders."
34,Great views,"Beautiful walk, built well, great views, lots of people. Able to walk/run and just enjoy some fantastic beaches."
35,Honour those who serve,"Beautiful walk. Amazing views. Very well done. Nice walk at night as well, the pathway is lit all along."
36,Stunning,This is a well made and well placed walk. Sunrise can be amazing if the weather is right. There is close access to other beach walks if you are feeling active.
37,Beautiful tribute,"Such an amazing place overseeing the oceans bank and walk through the history, truly stunning we enjoyed the scenery so much. Although it is winter and strong wind when we went but it was so nice to visit."
38,Day or Night - Beautiful for both. ,"A nice walk and view, steps up not to hard, good view of newcastle city and good view of beach, would be lovely at night"
39,Wonderful Walk,Such a lovely view to show of the amazing scenery .Great for a little exercise as well and you don’t even no you are doing it
40,Walking with a view,Had the pleasure to walk various parts of the this walk over the weekend and the Anzac walkway was breathtaking and also informative.Great idea!
41,Great City Night View ,"Beautiful walk, easy, very accessible, stunning views, very informative. We walk from Newcastle Beach to Bar Beach with a 4 years old boy, it was very easy, enough space to have some rest. You have to sort a couple of stairs."
42,Lovely spring walk.,"The most stunning place in Newcastle for walk solo or with family and friends. After the walk or run it’s always relaxing to sit and watch the surfers at bar beach, Dixon or Merewether."
43,Nice views ,"Scenic, reminds us of San Diego beaches. Great views. Nice trail to walk . Lots of stairs and hills should be noted.theAnzac bridge walk is nice"
44,Spectacular views of the coastline,Excellent views over the beach and City. The memorial walk is a great place for the whole family! The elevated walk way is even pram friendly.
45,Amazing tribute to the Anzacs,This is a fantastic walk with lots of historical facts to read along the way. The view of both Newcastle and the sea and beaches is magnificent. Part of the walk is wheelchair friendly but then there are lots of steps leading down to the beach. It is very popular and it easy to see why.
46,Beautiful views and history,"This is a wonderful initiative of Newcastle Council, the walk is just a beautiful area dedicated to Anzacs but looks over the beautiful coast of Newcastle, very easy walk would recommend for any age, there is some staircases towards the end but you can take them or leave them, great way to just a  fantastic way to spend some time on a beautiful day watching the Dolphins playing in the waves."
47,First World War,"Loved strolling this path, great views and we even saw some dolphins. Top afternoon out. It is an easy walk despite a few stairs but if you are even moderatley fit you'll be able to cope with this walk and you'll be glad you did it. Definitely recommend this activityy if visiting Newcastle."
48,Well done and definitely worth a look,"Superb design, poignant signage.Best to walk up The Hill from Bar Beach and then down the Memorial Way.  Great views plus the bonus of a breeze on hot days."
49,A Great Walk,A good stroll to see the coast of Newcastle. Pretty easy and good car parking if your passing through
50,A special place.,This is a great place to see all of newcastle. A great place for photographers or to start a morning walk. Every time a visitor comes to newcastle this is a must see place!
51,A must do in Newcastle,"It was beautiful driven past a few times and never realised such a breathtaking place laid behindVery interesting walk and I got to relive history by reading and getting to know the heroes, and fallen heroes of Newcastle. Very educational"
52,Great infrastructure and views,Great walk that can be taken casually or with a purpose for fitness. Up from the beach is a steady ascent and the return is an easy descent.
53,Wonderful,This walk is so worth doing. A beautiful view over the ocean. We even got a s Spectacular view of 5 whales  playing.
54,On a nice day you wouldn't want to be anywhere else.,"A must for all, easy walking , great views of coastline, great memorial to diggers, showcases what Newcastle has to offer ."
55,Nice little walk,"Linking cliff top spaces, this path reveals long coastline views. It can be windy but that’s one other reason to go."
56,Impressive walk,Loved the views and the walk altogether. Definitely do this walk I enjoyed the memorial on the bridge too
57,Great memorial to heroes,"WOW! What a great lookout area and walk along the edge of the country! On one side take in the stunning views of the city, and the other the ocean. It is just as beautiful at night as it is through the day. A great excuse to get out and get active."
58,Great memorial walk,This is an absolute must see whilst visiting Newcastle! Very informative and different memorial that stands out. The views are amazing along the walk. It was windy whilst we visited and being so high up it was extremely windy up on the bridge!! Hold onto your hats!!
59,Newcastle/Mereweather walk,A scenic short walk with beautiful views on the coastline and thoughtful silhouette sculptures.  There is discreet information on Australia’s participation in wars for those that want to read it.  No dogs allowed - helpful for non-dog lovers.  I did not see any wheel chair access which might make it difficult for some.
60,Enjoyed memorial walk,It’s just the most picturesque view and relaxing walk around which leads you from one great spot to another.
61,newcastle memorial walk,This is a great place for a stroll while enjoying magnificent views of the ocean and of Newcastle. It can get quite blustery up on the walkway so dress warmly in the winter.Along the walk there are great stories and tributes to many great Australian soldiers who have made the ultimate sacrifice. A great place to visit.
62,Great Views,Absolutely breathtaking view. Great little stroll. Can include as part of a longer walk from Merewether baths to Newcastle Baths.
