,title,text
0,Beautiful and tranquil,"This gorgeous national park, a quick train-ride from Tokyo, is a beautiful trip away from the rush and press of urban life.  It has breathtaking waterfalls and lots of hiking trails that cater to different levels, and there are nearby temples if you want to sit and relax for a bit."
1,Amazing National Park!,"This park is beautiful, and only a few hours from the hustle and bustle of Tokyo. The scenery is spectacular, from the temples to the waterfall and lake to the huge trees and mountains."
2,"Surprising, Natural Nikko National Park","It's a perfect day trip from Tokyo to Nikko; and Nikko National Park is a must place to visit. The park has all Nikko Top Attractions, including Shinkyo bridge, Rinno Ji, Nikko Toshogu and Futarasan Jinja.It's highly recommended to get an early train from Tokyo as many visitors visit Nikko late morning."
3,Popular Autumn Trip,"What a wonderful time ! Just a few hours outside Tokyo you can find historic temples and shrines, beautiful scenery and fabulousness Japanese style accommodations. The Onsens (natural hot baths) are fabulous. We had a marvelous time."
4,A Fun Weekend Trip with Friends,Nikko is worthy of a day trip from Tokyo. A stunning place with amazing examples of historic shrines and temples. A little crowded but hey...its Japan.
5,Deep History within the Nature,"This is such a scenic place relatively close to Tokyo, yet you will need to plan a good day away for it! And be sure to be camera ready! Ideally Autumn with the magical color display by nature! (Visited November)"
6,Nice program,"It was quite the walk from the train station (shuttles are available, but the walk was an experience on its own). A nice walk, really. When I'm in a new place, I like to walk as much as possible so I can take in the local scenery. And once you get to the park, the feeling is unreal. The scenery is gorgeous. We spent quite a few hours exploring, along with visiting the temples and shrines. The entire time, I was awestruck at the nature all around me. The melodic streams, the lush green, thick treetops, bits of wildlife here and there, and the refreshing smell of the outdoors. We ate at a little restaurant not far from the train station, but if I go again, I think I'd rather pack a lunch and eat outdoors at the park. It's such a peaceful place to be, and there wasn't a huge crowd when we visited, which was nice. I'm sure it can get crowded, but luckily it wasn't bad when we went. If you're thinking about going to Nikko, just go!"
7,Nikko National Park ,The trip is quite long from Tokyo. We had this tour together with Edo Wonderland. It's a lovely place during our autumn visit though the place is much crowded. But the tour guide gives us a wonderful background of the place.
8,"Excellent in cloudy weather, check out the cafe at the entrance","Absolutely scenic place and worth a days side trip from Tokyo..one can buy a 2 day Nikko pass to travel from Tokyo..if you have more time, the all nikko pass allows you to travel more to see the waterfalls and onsen and lake"
9,Nice day trip to visit world heritage sites,"Nikko is an amazing part of Japanese history! With beautiful temples and buildings! One thing for the English speaking tourists, all of the signs are in Japanese and very little information in English! If you wish to market to tourism you should have all your signs in both English and Japanese at least."
10,Beautiful ,Quite a far bus ride from Tokyo but this UNESCO World Heritage Site is worth the visit.  It is quite large so you need hustle a bit to see the entire place given a short time given by the tour.
11,Beautiful,"We did this as a day trip from Tokyo, and loved how different it was to the bustling city. It's the Japan of old that you imagine, with beautiful temples hidden in woods, and fantastic hikes. I cannot recommend coming to Nikko enough."
12,Great area to escape to from Tokyo,"What a great place to visit, just two hours from Tokyo.  Cool, fresh mountain air and waterfalls.Unforgettable!"
13,Lovely National Park,I had a great day exploring Nikko using the Tobu train and bus day pass. Easy to explore a beautiful area rich in history. Highly recommend
14,Absolute tranquility!,"Nikko is a day trip from Tokyo, and we were happy to do it. The area is well maintained, the temples beautiful and the atmosphere full of religious respect. Just remember that in summer it can be very hot, bring a hat and some water for your stroll."
15,Stunning view of Mt. Fuji-san,"During our time in Nikko we spent a lot of time enjoying what this National Park has to offer from the magnificent Temple and Shrines to the lovely waterfalls, lakes rivers, towering mountains  and so much beautifull nature scenes and it's history. This is a must place to visit if you are in Japan. Nikko town itself is very nice plenty of places to eat and stay and good shopping, easy to get to by train as the station is right in town.We loved our time here and apparently The Japanese say you have not finished if you have not been to Nikko , put it on your bucket list."
