,title,text
0,Beautiful ,"Beautiful. It is really worth visiting if you are staying in Tokyo, only 2 hours away. Our kids - 8 and 10 also enjoyed it."
1,That's World Cultural Heritage. There is very famous animals!,"If you’re going to come to Nikko this is the place to go.  Very touristy (read: lots of people, even on a week day) and also a bit pricey at ¥1300 entry.  Also check out the equally impressive Taiyū-in temple nearby."
2,A Must Visit,"Highly recommended a day trip in nikko from Tokyo with JRP.A location very nice in the nature, all the area is interesting, temple, park..Location perfect also for a family or a group"
3,Gorgeous and stunning,"Great place to spend the day (if you still like temples and shrines)In autumn this is spectacular. Just bring enough cash, because card payments are most of the times not possible in the temples."
4,Must visit,Certainly a highlight of Japan.  A must if you are in Nikko.  Though try get there early to avoid the crowds as it can get very busy and ruin the ambiance slightly.
5,Just stunning,"Definitely a place I would recommend seeing.  A great day trip out of Tokyo and setting is just wonderful.  Lots of temples surrounded by trees, very peaceful."
6,Breathtaking Temple,Definitely a must go place if you visit Japan. It is magnificent series of historical monuments (39!) in a beautiful setting. It is peaceful and inspiring. It does not have the reputation of Kyoto but the main gate “Yomeimon” is second to no monuments in Kyoto and in itself is worth the trip.
7,Serene historic site,This is the only reason we are there in Nikko.Must visit although the entrance fee is JPY1300. The whole area is rather big and can spend around 1 hour to visit.
8,fantastic!,"Spent the day here and it is a very nice temple. 2hrs by train from Tokyo so it’s quite a nice day trip. You can get the bus outside the station to the temple.  One thing to note, in Japan you get on the bus at the back entrance and you exit the bus by the front which is when you pay.  Note the number on the screen on the bus when you get on. It will say your stop number and a price, you pay that as you get off.  It’s about 290 yen per person from the station to the temple, so have change on you."
9,Stunning,If you came to Nikko you came for this place. Simply wonderful. The temple is located at some minutes walk from the train station and it was easy to find. Absolutely impossible to skip.
10,Japan twice Nikko twice,"a wonderful site, of exceptional quality.I visited it twice, it is part of my favorites in Japan.And I will certainly return as soon as I can. I always discover something new."
11,Amazing tempe,"There is no question about it.This shrine is the greatest in Japan. After I visited here.I would like to write a couple of tips in order to enjoy Toshogu.1.You have to walk.You can use a bus or taxi.But you have to walk in the shrine.Japanese love walking.But if you don't like walking.You need to give up visiting here.I was not sure if Toshogu has a courtesy wheel chair service. 2.Please study Japanese history.At least, you need to learn Ieyasu Tokugawa's achievements. This is his shrine.You need to learn him.3.I visited here on April 17th 2019.I could enjoy sakura flowers(Cherry blossoms) It was relatively warm.But Nikko is usually cold like Canada or North Europe.I guess that months from April to October are a good time to go.4.Please respect no photograph policies.Toshogu doesn't allow you to take pictures at some of the buildings.5.If you can, please walk from Nikko stations to Toshogu.There are many interesting stores restaurants. There is a tourist information center between the stations and Toshogu.6.Please try local cuisine 'Yuba"".(tofu skin)/Enjoy Nikko!"
12,Winter feel of the Shine,If you only see one temple in Japan this should be it. Staying overnight inNikko allowed us to be at the temple before any crowds. We didn’t hire audio guides and found there was sufficient information in English around the sights to give us adequate background information.…
13,"Stands out from many other shrines, super ornate","Nikko is a perfect day trip from Tokyo. Very easy connect by Train. Highly recommended to get a Tokyo pass and reserve the seat at the airport. It's also highly recommended to try the onsen, there are quite a few in Nikko, but close during the lunch time."
14,Very nice ,"It goes without saying that this is the place you will definitely visit when in Nikko. The architecture is amazing and the statues and decorations also. It takes about 30 minutes to get there by foot from the station and about another hour to visit. A guide makes sense. Entrance is 1300 Yen.If you are in a hurry, you can skip the Rinnoji temple on the way, it’s not that impressive."
15,Nice,Nikko Tosho-gu temple it's a great place to visit. 2hrs far from Tokyo can be reach comfortably by train. The location is absolutely outstanding and fulfilled of spirituality! If you go there to visit the Tosho-gu shire temple buy the audio guide and enjoy the visit!
16,Amazing place ,The temple in Nikko is a Beaut and one of my favourite in Japan - nestled in the woods and full of colour and marvel.The bridge is also a good viewing point and right next to the templeWe didn’t have time to go to the waterfall and lake but looks awesome in photos (little cry missing out :) )We stayed over night in a real gem of a Japanese experience hotel Tsuganoki (expensive but worth it)Real Japanese food and premium diningAwesome Onsen public and private hot tubs on balacony of your roomPersonal guided tour of your room and explaining it all in Japanese (didn’t understand a word but was funny and got the point)
17,Fency,All the buildings and the nature around Nikko are very fascinating. You definitely need to play 1 or maybe 2 days for visiting the whole complex. I maybe come a second time there.
18,Grand Japanese heritage ,"This is an interesting shrine and we took a day trip from Tokyo to visit this shrine and a few others. Renovations to the main gate had just been completed, very shiny and clean and in my view detracts slightly from the expected ""look"" for an ancient shrine. Nevertheless, it was a pleasant experience, we did not feel crowded out although there were many folks visiting at the same time but getting a nice picture was a little difficult. Do take the many steps up to the reputed resting place of the shogun (but this part is not for old folks or very young children). You can take the shuttle bus from the nikko station but please be mindful of the timings in case you need to take the train back to Tokyo on the same day."
19,Easy to navigate and lots of photo opportunities...,Well worth the trip out of Tokyo.  We were on a tour so only had 90 mins to visit so it was more rushed than we would have liked.   The buildings are stunning and there is so much to look at.   Would suggest looking at the map and making sure you see the highlights.   Worth the…
20,Absolute must-see,"We were on an organized trip for veterans, it was not difficult to climb the stairs. A wonderful mystic place with sculptured temples, a city like a dream. there is a temple with the three famous monkeys and even a temple with a beautiful white cat. A must view!"
21,The World Heritage Shrines of Nikko are simply stunning.,"Nikko is a fantastic place, if coming by train your last link takes you onto a beautiful retro styled train up the mountainside to Nikko proper. outside the station to a countryside square. The village looks up the small valley to a forest of trees (covered in snow in my trips). If you wander up the hill you will find yourself at the start of the major shrine complex of Tosho-gu just after crossing the river. The stone steps and ramps wind their way up till you make the enormous tori gates. The complex itself has a combination of the more subtle Japanese Temples, but is also one of the most gaudy i have been to done in filigree and ivory. The carvings are stunning. If visiting i strongly recommend bringing your Goshuincho, or purchasing one to be filled out. (Just make sure to pay your respects first), as their are several spots on site to receive the stamp.I've been to Japan twice as well as Nikko now and will plan to make Nikko at least my one re occurring stop every trip from now. If you like nature and temple or shrines architecture and history stay a few days. Theres a lot to see."
22,Loved the setting and the temples,"Tosho-gu is the must see temple in Nikko, and probably your Japan trip if you can spare the time. A highlight besides Tokugawa Ieyasu's mausoleum was Honjido Hall as the ""Crying Dragon"" was very interesting.One thing I did'nt know until I arrived was that on May 17-18, Tosho-gu has a festival, something I wish I'd known before arriving(I was there the 13th).Also as most popular temples, if you want the Goshuin, make sure you go to that counter before exploring the temple, because most likely you will have you leave your Goshuincho(your Goshuin book,you can also buy one here) here and come back for it later, there's also another Goshuin at the mausoleum's site, but that one is prewritten in a sheet of paper for an obvious reason."
23,Temples and shrines.,"If you are in Tokyo, I highly recommend taking a short train ride to Nikko (1.5 hours).  There are so many things to see and do!  Just beautiful!!My wife and I visited from Canada in May 2018.  We walked to Toshogu Shrine from the train station - about 45 minute walk (one way).  The shrine has many colourful and decorative structures.  It was quite busy with crowds, so it may be worthwhile to visit during non-peak times.  That being said, Nikko is a very popular destination.I recommend Toshogu shrine very much!!"
24,BEST SHRINE COMPLEX I'VE EVER SEEN,"A great place to spend all day long.We do it by ourselves.We take nearly 5 hours to visit all.The principle shrine is tremendous. We take the audio gide with an electric pencil and a map that it was easy to use.If you want to go download the app ""navi nikko"" that its a free app with all the audio information without internet  conection,It make the travell easy.We were using the free wifi app ""travel japan"" that uses all the free hot spots of free wifi on the underground and stations and malls. Its sooooo great.We also used the app  ""maps and me""that do not use internet and is a gps to localitzate the place"
25,Well worth overnight trip to Nikko from Tokyo,"If you like shuffling around shoulder to shoulder with hundreds of other tourists then this is the place for you!In my opinion this place is too commercialized and it ruins the overall atmosphere of what is a beautiful collections of shrines. After hearing about the history of Nikko I was keen to visit here but I left exhausted and disappointed.Big tour groups ruin the experience for other travelers here with loud microphones, tens of peoples chasing after a umbrella holding guide barging anyone else in existence out of the way. If you are not obligated to go here because of a booked tour, please go somewhere else, it will be more enjoyable. The only quiet area was up a lot of steps where it was much nicer and a good view from the top."
26,Unique Shrine Experience - Lots of Stairs!,It's a great place to visit. Get close to nature as you walk towards the main shrine. Ieyasu Tokugawa's grave can also be found here. Don't miss the iconic three monkeys.
27,"Nice, big, expensive","toshogu shrine is a place one can't miss if visiting  Japan, specially one  has any remote interest in history & culture you can reach Nikko easily by car or train, how ever anybody who visiting  Japan and have done little research would know that driving is the least expensive mode of transport in Japan if you don't  get any traffic tickets, that is. January sees a moderate snow fall in the area and so it is advisable to be  preparedspecially for windy weather. I would advice to visit the museum first which is right before entering the shrine and watch the video and the movie before you enter shrine so that it is easy and much more relatable to observe shrine. Management at the place is excellent as most attractions in Japan. overall a must visit place irrespective of the weather."
28,Wicked experience,"Wonderful wooden sculptures and great colours. There are many steps, so watch out. We were there on a day full of school kids that came to practice their English with us. Was sort of funny, didn't really have a silent moment in the place."
29,Overwhelming Nikko Tosho-gu,"To see Nikko properly you need two full days. A day trip from Tokyo is tricky to do more than one of the following. - TIME: You’ll have to take the JR Nikko or Tobu rail to Nikko station which takes about 40 mins from Utsumoniya. Then either walk 30 mins into town (seeing all the shops on the way) or take a bus pass so you can reach all the sights. Get there as early as possible if you’re there for the day. - BUS PASS: about 3000 yen each for the two day pass. Or less for a day pass. It’s worth it to save your legs and time! If you only have 5 hrs then just relax and aim only for the shrines - Toshogu and other shrines: it’s NOT cheap to go around the shrines. To get into Toshogu it’s 1300 yen as an adult and 500 yen for the audio guide. id definitely pay to go in and get the audio guide to the main sights. Lots of explanation. If you get there early you miss the crowds. This will take about 2 hours at least! - relax over lunch: find a local restaurant to enjoy Yubu which is a local delicacy! - Shinkyō bridge: don’t have to pay 300 yen each to cross the bridge, you get to see it very clearly and get a better photo from the man made bridge right next to it!Lake and waterfall: if you have one day you REaLLY CANT do the shrines and this and also enjoy yourself. After taking the JR Nikko you have to take a 50-60 min bus to reach this area. Then it’s about 3-4 hrs to enjoy the walks and scenes minimum. Maybe take a sandwich, definitely take water if hiking or doing a long walking."
30,Beautiful! Deserve more than a day trip,"A must visit for any visitor to Japan. All the history, delightful Japanese intricate architecture, culture, history, serenity....all rolled into one. This entire place will set you back as there are multiple entry fees to different sites. But it's all worth while. Take your time and budget sufficient time to soak in the wonders of this place. We spent 1 entire day here. Can't get enough of it."
31,AMAZING,This is the must see sight for Nikko. So nice to wander and climb amongst the unique buildings in a tranquil forest setting. The main hall is still partially covered by scaffolding as part of overrunning renovations. This a shame but still a must see. It would be 5 star when that is completed. It can get very busy but if you stay nearby you can get there midweek before the tours.Recommended.
32,Famous building legacy in the world,What a great day trip from Tokyo.  The train trip from Tokyo was relaxing and once there you get on the bus that takes you to the Shrine.  It is a UNESCO World Heritage Site and you will know why when you visit.  The Shrine was completed in 1636 and it took 4.5 million artisans and workers 1.5 years to complete the groups of buildings that are more elaborate and gorgeous than any other Japanese temple or shrine.  There are a lot of steps but it is doable if you are not rushed.  Especially the steps to Leuasu Toshogu's grave site.  One thing to know is that the Shinzo Sacred Bridge is an extra fee to cross and once you get across you have to go back across to exit that site and go on to the Shrine.
33,Stunning buildings but so busy!!,"Yes, it is worth a day trip from Tokyo! The bullet train takes you to the transfer station and the signs are well marked, you can do this.   The tourist information office in Nikko will set you up with a bus ticket, there is loop through town so you ride for 10 minutes to the…"
34,Wouldn't do as a day trip from tokyo,"As stated it is a major site for tourism. If you like the history of early Japan and visiting shrines, it is one of the best.The buildings are quite spectacular you can be in awe of the craftmanship.You are shuffled through a couple of significant buildings, walk past the burial site of the first shogun.The buildings of which there are many are truly majestic.It is a site worth visiting.Possibly not suitable for the very young."
35,Am-az-ing!,"Though a one day round trip from Tokyo, it’s well worth a visit. The trip out is a superb chance to see rural Japan with rice fields and small villages along the way. If you time it right you’ll also see cherry blossoms at their best. The Toshogu itself is a perfectly restored world heritage site that really does show the best of Edo times artful structures."
36,Great place,It is reason of why we are going to Nikko. Good place and so many to see something. Very interesting
37,Wonderful historical place,It is beautiful it is magic. It has to be done and it is not so far from tokyo so guys it is up to you 
38,Not-to-be-missed shrine in Nikko,"Amazing Shinto Shrine situated a couple of hours from Tokyo and easily reached by rail and then either a short bus ride or 2 km walk from the station (though the rather pretty town). The Shrine is a stunning example, combining Chinese, Thai and Japanese architectural and…"
39,Highlight of the trip to Nikko,"There are many places you must visit in the case you are nearby. However, this is a place where it is worth to have a long train from Tokyo.Try to avoid the crowd, if you visit in a predictably crowded day, then try to get there as early as possible."
40,Amazing,This was one of our favourite temples in Japan - the architecture is exquisite and there is heaps to see including a cat shrine! But it is very popular and full of tourists so loses a bit of its charm because of that. The surroundings area and little streets are gorgeous and worth wandering around in.
41,Big hordes of tourists,"There are a vast number of shrines you can visit in Japan, I liked this one. The wood archetype was special to me"
42,Worth the day trip to Nikko!,"There are so many temple and shrines to visit. One day is not enough! If you have the chance to get off the beaten path and wonder through the woods, definitely do so, you’ll stumble across so many hidden temples."
43,Impressive!!! ,"This is one of the most famous temples in Nikko, it is packed with tourists so brace yourself for the crowd! It is stunning and colourfully painted with many intricate details. Worth a visit!"
44,Great and peaceful place ,"If you like Japanese architecture, this visit is a must. I would say it is one of the most impressive temples in Japan. Very nice visit surrounded by nature."
45,Unbelievable! Must Visit!,"This is an absolutely must-see when in Nikko. My husband and I went to the other temples/shrines/mausoleums before going to the big one, probably best to do in that order. Get the English audio guide for ¥500 (we got one between the two of us), it makes the tour more impressive with the information they provide. GO FIRST THING IN THE MORNING. The crowds, particularly the bus tour groups, get ridiculous as the day goes on. We went on a Monday at 11am and it was very busy."
46,Just before closure,Maybe because of a Japanese holiday it was very busy with long queues .  You can take a train from Tokyo to Nikko - change after 50 mins then another 40 min on Nikko Express . However there was a 40 min gap between trains so had time for lunch .  Start out early as main…
47,"Lovely, check out the dragon shrine","On our 3rd tour of Japan, we have visited many shrines and temples, but this is our favorite.  Still undergoing renovation and very crowded, the statues, carvings, ceilings et al are spectacular, all set in a lovely old cedar forest.  The only downside is the number of stone…"
48,Amazing architecture ,"This is a great one day tour from Tokyo. The tour I took also went to lake Chuzenji and Kegon cascade, all beautiful places but the shrine is the best. The woodwork, different temples, buildings, the dragon call, etc make this probably the most magnificent shrine I saw. The tomb…"
49,Highlight of Nikko,We were lucky to visit the Shine after snow fall to have the feel of winter in this famous world heritage site. The compound of this Shine is big and the buildings are very well preserved in each of the corner. Prepare to walk in on long and steep steps as the Shine is built on a hill. Visit in the early morning is a better strategy to avoid crowds from tour buses.
50,A wonder,"There are few places on earth where one can hit up 3 World Heritage sites in one day, so Nikko is a contender for the ""super achiever"" award if you`re a Heritage Site junkie.If you lean more to the Japanophile side, you cannot find a better example of the excesses of the early Edo Shogunate; if you are interested in Shintoism and the veneration of once-living people as gods post-mortem, then you also are in the right place.Even if you don`t fall into either of the previous categories, Nikko Toshogu is a beautiful place to experience traditional (albeit blinged-out) Japanese architecture, and see firsthand(eye?) some of Japanese most enduring motifs (like the Three Monkeys - hear no evil, speak no evil, see no evil.) There are many structures to explore, but you are almost guaranteed a huge crowd at nearly any time of the day. If you can, avoid Japanese national holiday times and come here on a weekday... maybe it will be less packed! We went on a weekend and it was pretty much one slow moving line through everywhere, and it was hard to take the time to really enjoy the views."
