,title,text
0,Couples holiday ,"Really enjoyed our week here, better than expected, beach nice but very pebbly once into the sea, Blue lagoon beautiful and free pick ups. Plenty bars and restaurants to choose from and good value for money. Lots of trips available also great prices all day boat trip lunch for £15, £5 for pedalos or paddle boards so did lots of activities. Would definitely return!"
1,"Lovely beach, bit stoney","Been to several beaches on  the lagoon all very nice, always get a sunbed, billys beach, sea horse beach, sugar beach all great , free bus to and from the beach , we staying at the turqoise hotel so we got on that beach for free, beaches seem to be getting dearer and dearer, but still a great day , billys beach has nice food, 2 sunbeds ans 1 parasol 30 tl, thats just over £4, great value"
2,Nicest beach in turkey,"The lagoon is beautiful, clear sea, no waves, ideal place to spend a day with additional activities. Well worth the small entrance fee. However the food in the Blue Lagoon Cafe is terrible. Cold, tasteless & expensive."
3,Dream place,"I visited the lagoon with my done, it's beautiful the sea warm and lots of cover from the sun.My issue, over crowded and too touristy.  The locals have seized the opportunity to turn this into a real commercial entity and in doing so it's lost something"
4,It's worth it. ,Had a great day at the beach. Two sun beds around £6 for the day.  Clean warm sea and fun to watch the paragliders coming in to land.  Plenty of excellent restaurants for food.
5,Very clean water ,Beautiful beach and lovely sea views nice restaurants close buy to.Loved seeing the turtle aswell well worth a visit this place is breathtaking
6,Most beautiful beach in Turkey.,Love the blue lagoon. Ate at the first big restaurant on beach. Food excellent quality and really well priced.
7,Lovely ,"Had a recent day visit to the blue lagoon. It is a peaceful retreat perfect for a relaxing day! Beach is mainly pebbles, plenty of sun beds with the added opportunity to hire a pedalo. I would advise visiting one of the other beaches on the other side of the lagoon as they have bars, restaurants and WiFi!!"
8,Awesome,"It’s a rock beach but water was clean and the coulor was magnificent. Good place to spend nice time with all variation.  Beach ,parasailing , boat trips etc"
9,The beach is better viewed from afar.,"Lovely beach for a stroll on the front or simply having a lazy day, the blue lagoon is further down towards the right , many excellent boat trips leave from this end"
10,Pot luck with good results,"Visited today for the 1st time,beautiful place,more than enough sun beds,amazing to be in the water with fish swimming around you,deffo must se if visiting the area"
11,Too busy,Stopped here lovely water and beach no real need to swim as you float water salty so so relaxing turtles in water so amazing
12,Didn’t meet the expectations,Long rough sandy beach surrounded by a beautiful landscape.But very crowded in July and August - off season is fine!
13,Stoney and very rocky beach - tide is not suitable for young children,"Loved the blue lagoon, relaxing atmosphere, lovely warm water, great views, sun trap. Cheap to get in and for food and drink."
14,Great,Fabulous beach easy access to the sea. Billys bar offers great food and drink great day out. Easy to get too with free buses.
15,One of the worst beaches I have ever been,"Beach beautiful, family friendly, great choice of bars and shops. Very friendly helpful people. Would definitely recommend and am going back next year."
16,Enjoy 50 shades of blue,"Fantastic beach, handy toilets, lots of snack bars and drinks, loungers reasonable. Planning next trip as we speak!"
17,Beautiful Beach. Turquoise Water.,"Billys Beach Bar on the lagoon, great position for sunbathing and a good restaurant. Having got married on the Blue Lagoon in 2016 it will always be a special place for us."
18,Very nice Long stony Beach!,"Spent the whole day at the blue lagoon so relaxing, they also have toilets changing rooms, and showers, all are very clean. Cafe/bars very good food and service.You pay an entrance fee of about a pound, and just under six uk pounds for 2 sun beds and a parasol for the day."
19,Hard to Swim,"Takes place in a national park, nice and clean beach,the sea is super blue. Getting deep so suddenly!The cafes and restaurants are overpriced."
20,Amazing place,Lovely beach even though it's stoney. Lagoon is a great swim and plenty of reasonably priced good food and drink.
21,Sunbathing,"Visited the blue lagoon beach several times during our stay in olu deniz, and it is beautiful, nice flat seashore made it easy to swim, plenty of sunbeds, and a few nice beach cafes which have great food, reasonably priced too, would definitely come back"
22,One of my favorite places,"We went to the Blue Lagoon. So relaxing in a beautiful setting. Water lovely to swim in so went back the next day for more. And probably would have again if we weren't coming home. Beautiful, pure bliss."
23,Beautiful beach,"Lovely beach, we had a wonderful time on the beach and swimming in the sea. There is s bar for drinks...."
24,Beautiful Beach,"Fantastic place excellent service and views are amazing, has a really good time here, the staff was really polite and helpful."
25,"Beautiful scenery, clear water, pebble beach, but can be crowded","Amazing views from this white pebbly beach of mountains & islands. Like paradise with clear water turning to deep turquoise which is warm. Plenty of cafe's, showers & toilets."
26,Empty at this time of year ,"Beautiful environment, very clean beach and lagoon. Enjoyed several days chilling in the sun and swimming in the clear water."
27,Lovely lagoon,Lovely gated beach. Only 7 lire to get in very clean and safe. Lovely to swim in the lagoon and the sea. Prices in the snack bars very reasonable.
28,Crystal clear Med and Paragliders,Shallow water great for young kids but beware of the rocks further out sea shoes a must staff on beach are great and food and drink excellent and cheap
29,Beach,Such a beautiful place beautiful Beautiful warm water spent many days there would highly recommend Golden Sands Beach club was excellent fantastic food and good service
30,Stoney beach,"Nice beach, water very shallow, plenty of sunbeds, lovely for a day out, great for snorkeling, also water sports available"
31,Overrated ,Great views and facilities really recommend a visit. Nice clean restaurants with good service and beach views. Exciting to see the paragliders landing
32,Blue 'What'😱,"Loved it here. 15tl for a sunbed and table, beautiful beach and the water is fairly warm and a clear turquoise.  Spent a lovely day here finished by a fab cocktail :)"
33,Overrated,"Love this place, free WiFi even works as far as in the sea. Lots of fish, good for snorkeling, can hire kayak or pedalo for cheap £8 for an hour. Best cocktail in Olu Deniz Banana banshee."
34,Overrated ,Lovely sea very clear and warm. The lagoon is breath taking my beautiful. Watching the gliders coming down of the mountains. Lots of boat trips available too. Expensive food but it is providing a service on a private beach area. Only disappointment was it's a stone beach rather than a sandy beach but you can't have everything for a relaxing breath taking view and day!
35,Just beautiful and love coming back here.,"Beautiful water shame the beach was so rocky, no sand just lge pebbles and grit, but the water was lovely."
36,Magnificent Shoreline ,"Really relaxing beach nice and quite. Stunning scenery, lots of amenities like toilets and showers and a few beach bars and cafes. Really great for snorkling as it's really calm and clear"
37,Lovely Beach & calm waters,For me it’s the best beach in turkey clean and peaceful it do get hectic in busy summer with families but you can always find a peaceful spot to lay down
