,title,text
0,Museum of museums,"Visiting Pit Rivers is like going back in time. It is how museums used to be - which isn't necessarily good but it really shows how things were presented and the attitudes prevalent at the time. Lots of recent controversy surrounding shrunken heads fits in with the whole ethos of the place. I worry a bit about being too self righteous about the past when viewed from a modern perspective. Things happened, that we cant change, but we can learn lessons from them. Well worth a visit"
1,Poor judgement,"This is one of those museums where if they don't have it, it probably doesn't exist.If anything, it's overstocked and there certainly isn't too much space to move around, but every corner turned leads to a new eye-opening sight.I'd go again tomorrow if I could."
2,Great ,"I loved this place. If you've been to the Horniman museum in London, it's similar in that it's a collection of different wonders from around the world. There's loads of stuff at ceiling level so don't forget to look up...I could have spent hours here if I hadn't arranged a timed city tour"
3,Bring back our shrunken heads please?!,"This is like no other museum on earth.  Instead of stuff being arranged by age or era it is arrange schematically and this is the glory of it all.  I could spend hours here, it is fantastic and brilliantly put together.  An absolute gem"
4,Great.,"Really excellent, a museum as museums used to be - total clutter but in a gentle logical (may be idiosyncratic) way. I've taken grandchildren and 'adoptive' grandchildren around lots of times and got them excited about the cultures of the world. Yes, even the shrunken heads."
5,One of the best museum!,"Excellent that the museum has remained the 'old way' -cabinet after cabinet of jam packed collections, a real sensory overload at times!I think it's great that the original tiny handwritten labels are on pieces. Its neck craning,slightly dim and you squeeze past the displays. Some of the collection has probably been accquired in insensitive ways, but that is history, it is of its time.Really worth a visit and several hours"
6,Take's you by supprize! Just keep's Giving!,"Pitt Rivers is the museum behind (at the back of) the Oxford Museum of Natural History.It's an utterly amazing and fascinating eclectic mix of things.Go and visit, you'll love it"
7,Mouse hunt!! ,"This is like no other museum I've ever visited.  It's organised, not by period or location but by anthropological usage - so you might for example find a case containing specimens of masks, from the ancient world right up to the present day, and from Japan, Africa, North America, Spain, New Zealand, etc, etc.  Another will contain model boats, again from all ages and all over the globe;  or whistles, or knives, and so on.  It's endlessly fascinating;  you'll need several visits to do it full justice.  What's more, it's free entrance!"
8,Packed to the rafters with artefacts and oddities.,"I absolutely love the Pitt Rivers, which for me is the best museum anywhere.Full of weird eclectic collections, you just never get bored wanfdering around,  And it's free!"
9,Excellent Experience,This museum is AMAZING.  Each area is like someone’s personal collection of stuff they were passionate about - and all the displays have interesting explanatory information. There are exhibits from 4.5million years ago to 20 years ago. There is no way you can see everything in one or even a couple of visits - you would have to keep going back and back. Luckily it’s free (donations gratefully received) so you can. It’s supremely clean for a museum with so much stuff.  Fascinating.
10,A Museum of a museum!,Iv been visiting the Pitt Rivers for around 45 years and I still get excited every time I go through the big wooden doors and down the stairs to the main hall and look up at all the artefacts from a totem pole to a samurai warrior
11,A fascinating hodge-podge of cultures and objects,"This place is wonderfully ""Oxford"". Hidden away at the back of the Natural Museum, it has lots of ethnological exhibits. Nothing interactive or computerised, you wonder around the displays, exhibited behind glass, you read the labels - and it is all wonderfully captivating. A special from one of my last visits: if you can, visit on one of the ""Museum nights"". Once or twice a year, the museums in Oxford stay open until late night. You get a torch at the entrance, and you can start exploring. It is a special experience to wonder around multiple glass cabinets in the dark, with a torch, and with most people trying to find the famous ""shrunken heads"" to add to the slightly eerie atmosphere - very good fun!"
12,Interesting!!,"Have been to Oxford a few times, and this was our first visit to the museum. It is filled with hundreds of exhibits, so I think there is something to interest every member of the family. And it’s FREE!! Donations can be made."
13,Amazing,The Pitts River is so different as you will see the moment you walk in from the National History Museum. It's got a completely different atmosphere. I recommend starting at the top floor 3 and working your way down.Thay so many items on display and just look above and below where the Swords are and check out how many more Swords they have stored. Absolutely fascinating.
14,Very interesting place,If you like Ancient times and like History this is the place to go. There is so much to see you woul not believe how Amazing this Museum is and how many years History there is to See. There is so much Humbling Surprise's to see as well. Definitely worth a visit.
