,title,text
0,Poovar island ,Very good place. Very attractive and lovely. Family and friends like to visit this place in holidays.
1,Golden Sand beach - one of the most amazing views ever,Beach is good and water is clean and blue. But cannot swim in these waters. interesting to see the meeting of the waters here.
2,Serene and beautiful ☺️,"One of the best beach in South India.clear and clean blue water ,golden sand, neat shore. Very exiting view of waves will take you in a different world"
3,Offbeat,"Nature is beautiful and one can enjoy it in this poovar island with backwaters leading to beach. The area is so good and we can go for boating either early morning or in the evening to completely get immersed in it. Backwaters leading to beach is so good.But Boating cost is way too high and makes it less deserving. If you have seen a mudhaliyarkuppam or a pichavaram boating in tamilnadu or even the aleppey boating is cheaper compared to boating in Poovar and there are several private operators who show fancy pamphlets for the sightseeing but they are all highly overrated. If you are okay to spend money on it, go for it.. else stay in poovar island to enjoy and relax near backwaters. There are many options for the stay and some are decently priced as well.Also, there are so much of plastic and littering everywhere around the backwaters which needs to be taken care and tourists should have some concern over littering as such. Its a habitat for so many birds and other living creatures and we shouldnt spoil the living in the name of tourism."
4,Best place for Meditation!,We took a boat. This island was included in boat tour. It has a very clean water. Very good view and very quite place. 
5,Beautiful place to visit,Enjoy beautiful place & its worth watching backwaters. I was amazed by its cleanliness. Golden coloured sand
6,Great Experience,"an Estuary where Arabian Sea, lake and river meets. Visited in evening and excellent location. The sea is very rough and not advisable to go near or swim at all."
7,Very nice property but needs maintenance,Beautiful Beach with less commercialization. There is backwaters just next to the beach. Life guards present at beach. Sea is generally rough here
8,A beautiful place - but spoiled by the boat operators,"This is a beautiful place. Tranquil backwaters, mangrove forests, a clean river entering the sea on a wonderful beach.But you see all of it only a tiring and annoying negotiation with boat operators who quote you double or triple the actual price. Of course, all reviews here warn you about that and even advise you to negotiate - but it just leaves bad taste in your mouth and unable to appreciate the beauty around you.This was the only negative experience I had in Kerala. Try as I might, I just couldn't enjoy the backwaters with a surly boatman and after knowing that I had been duped. Enjoy the place, if you can."
9,Awesome and highly recommended,"Poovar island is a beautiful place with a lovely view of the golden sand beach. There are a lot of resorts on the island. The boating aroung is very good, and there are boats which take you to the beach. The other side of the island has a view of the ghats. The boats take you around the mangroves."
