,title,text
0,Everyone is so polite and they would lead you anywhere!,"What an extraordinary piece of history! Although scientists took out the mummies inside for studies, to be honest it is a recommended place to visit. It would have been better if we saw the real mummies in the pyramid that were left untouched."
1,A dream came true,"As one of the original World Wonders the pyramids are still very much worth while to visit. Even now that the city of Caïro has almost sprawled out to the foot of the pyramids (or the sfinx anyway) and the dessert sharm of these buildings in the dessert has gone a bit. Be weary of the touts who can be very annoying surely now that visitor numbers are still  quit low. Other side of the medal is that the lac of tourists makes for a much nicer visit with almost no waiting que. Hors carriage or camel rides are readily available but shorely not a must, all of the monuments are also reachable by foot, but takes a lot of walking..."
2,Beautiful!,"Just think they were built 40 centuryes ago, and they're still there, absolutely magnificent, absolutely astonishing... You must go there once in a life. It's one of the most impressive spots in the world. You really can feel History there.And if possible, you must go inside one of the pyramids. I went into Kefren's. I was afraid It could be claustrophobic, but It wasn't as narrow as I imagined, there weren't problems to breathe, it wasn't too hot...It only takes 10 minutes to arrive the main camera and sincerely It's worth paying the price."
3,Can't believe how small we are next to them!!,"Seeing these magnificent structures, still standing after millennia, is very humbling. All we see with our eyes has been marveled over by many through the centuries and we still are not sure how they were achieved. It is surrounded by sand and rocks...and vendors. You can't blame them, they are making a living. They have some very interesting stuff but I just want my memories. The camel ride of 10 minutes was enjoyed by some but it feels a little like a little kid pulled on a pony. The views are hard to describe until you are there."
4,Nice visit at Pyramids of Giza,"If you love Egyptian history the pyramids are absolutely amazing! The entire necropolis is a must see.I prefer going to these areas alone as then there is no restriction on the time that I can spend. JUST A PRE WARNING, ENTRANCE TO THE AREA AND THE PYRAMIDS CLOSE AT 4pm. The pyramids are also closed between 1-2pm and if you are thinking of going inside it can be claustrophobic.The reason I have to give this place 4 stars is because the number of locals that con you. DO NOT ENTERTAIN ANYONE until you get to the official ticket booth which is at the top of the hill.If you stop for the locals they will make up a number of lies to force you to go with them. They will point you towards their own ‘ticket offices’ they will say you aren’t allowed to walk up to the pyramid by yourself.You also have a number of ‘fake ticket inspectors’ within the complex who will then say they will give you a so called ‘free’ tour. Don’t fall for it as they will try and charge you at the end. The only place your ticket gets checked is the entrance to the pyramids and the entrance to the complex Also don’t believe anyone when they say about ‘government ID’. They have just printed badges off.Don’t let locals take a picture for you as they will expect a tip, just ask other tourists Finally Uber is extremely cheap in this country but most drivers don’t know their way around so  add about 20 minutes to journey. It is a really enjoyable place to visit, but just ignore all locals.ALSO THEY ONLY ACCEPT CASH AT THE TICKET OFFICE.Adult: 200 E£ for area entry Adult: 400 E£ for pyramids entry"
5,An experience of a lifetime,"A beautiful site to see.  They are absolutely amazing.  My time here was ruined however by the constant disturbance by hecklers.  My husband speaks Arabic and they were calling each other to inform them of where we were to bother us for tips.  That was the first mistake we made is tipping someone. The utter abuse of their horses is disgusting.  Please do not take a horse carriage ride.  The government should not allow any horses in there and use trolleys like they use in Luxor to transport people.  The horses were malnourished, searching for food and slipping and sliding on paved roads going down hill not able to stop the carriage.  Stray dogs everywhere searching for food.  I couldn’t really appreciate the beauty of the pyramids because of the utter horrifying scene surrounding it. Wish things were different.  I gave it a two for these reasons and because when I look back and think about my experience I feel sad.   I don’t think I could go back unless things were different there."
6,Great pyramids of Giza ,"Of course the pyramids and the Sphinx are very impressive world class attractions, which is why so many people make the effort to visit. But one shouldn't underestimate the hassle factor involved when visiting - touts, camel ride sellers, all kinds of scams and rip-offs and hordes of tourists. It's a very overwhelming experience, but still worth the effort. Be prepared to spend at least half a day here in order to see the site properly."
7,"Pyramids of Giza, A World Treasure",An absolute must see in Egypt and Cairo. The construction of these world treasures has continued to be a serious debate amongst archaeologists and engineers and seeing them in person just confirms what a monumental task the construction must have been. It is well worth purchasing the extra ticket to climb inside the Great Pyramid of Khufu. Low ceilings and walking up a steep incline can be a bit daunting.
8,Won’t be having a third visit,"These are the most famous monuments around the world. No trip in Egypt is complete without a visit to these amazing works standing proudly for millenia, from the dawn of civilization. Be warned, there are lots of street sellers buzzing around the tourists. Good idea to visit the museum of the royal ship of Khufu, just around his pyramid."
9,Highlight of Cairo,"The pyramids continue to be a mystery and standing at the foot of the pyramids was a fascinating experience. It is helpful to go with a guide, and also choose a time when there are fewer tourists. We travelled in February, their winter months (although it is still quite hot around 25C).  Wear comfortable shoes, a good hat and sunglasses as the sandstorms can suddenly just arise.  The pyramids do not have much of a touristy feel to it. There are camel rides on offer.  The sphinx is close by and there are toilets available at exorbitant fees of 2 euros."
