,title,text
0,Incredible,I went there with my wife & friends. It is situated nearby to Hyderabad Airport. I just loved the place. I saw so many sets of different films. It took complete one day to go through each and every part of Ramoji Film City. It's a complete one day picnic. I have enjoyed throughly.
1,Fun filled day visit,I visited Ramoji film City with my family. This park is very versatile and there is something for everyone.
2,A dreamland,Awesome place where I enjoyed a lot with my friends. It is one of the best places in Hyderabad. Well equipped infrastructure greenary and awesome look. The place which attracts many people.
3,attractive place,The only tourist location we decided to later in Hyderabad this trip was to Ramoji film city. The place is quite far from city center. we had booked premium experience and it was a good start. The dances and shows were very impressive.It took all day and was very tiring. Can package the trip differently if possible.
4,Best Place to Visit with whole family,Best attraction of Hyderabad is Ramoji Film City. I travelled here a lot of times before and it has always been good to go.
5,Awesome ,This is a place for Film lovers and it is about 30 kms from the city. We should reach the place by early morning or by 9 AM. There are different packages which includes everything. It is a place where we get to feel the essence of Film making.
6,Absolutely amazing experience,"We have visited Ramoji Film City, Hyderabad. It is really wonderful experience to all of us, now a days all major film shootings are taking place in it because it is having all in one like Airport, Bus Station, Railway Station scenes and wonderful garden spots, water fountain spots, children exhibitions, amusement parks etc. For visitors they are charging Rs.1500/- per head and it is really worthfull entertainment trip. It is famous in Asia."
7,Biggest film city park ,We have had a day trip with family to Ramoji film city. It's a humongous studio with different shooting sets of Indian cinema. There are not many rides but lot of theater shows. The birds park is one of the best in India. If you're visiting for rides and thrill it's not a place to visit as there are very limited options.
8,Interesting look at Indian Film Making,"So during our visit to hyderabad, we planned on to visit this place with our family. The trip started on a not very good note, as we were travelling by our own vehicle we reached directly to the main entrance of the film city. On reaching there we were told that we have to go back some 4-5 kms, park our vehicle & take a bus from there for entry inside the film city. Mind here this is just an entry & not the inside tour. They could have allowed parking there only as anyways outside vehicles are not allowed & we have to take there accomodation only for travelling inside.Moving on, as we had a child with us so we were carrying certain food items with us, now while security checking they asked us to keep some of our food items into the baggage room. Point to be noted is they asked some items to be kept outside & not all , and even after applying all my logics i couldn't understand that how she came to the conclusion as to which food item should be allowed & which should not.After all this as we entered the film city, it was a little tough for someone visiting the place for the first time to understand to go in which direction thankfully we had a couple with us who was little familiar with the place. So, first we watched a show in Alpana which was a good one & by the time the performance we all were hungry, so our search for a veg restaurant took us to chanakya which was blocked for group packages only. It was an April afternoon, temperaure touching 40'C & now we were moving all the way back to Dil Se restraunt. Food was ok but only option available was buffet. Next we had to take the bus for the inside tour, when we saw the line for the bus it reminded me of some pilgrimage. I couldn't understand why do you have to gather the crowd make them stand in lines & then after doing tapasya you are given the opportunity to sit in the bus that too for 2 mins, because you have to get down at next stop which is 2 mins away, & then roam aroung in that stop which again takes hardly 5 mins go for another bus...ufff...typing itself is making me tired. So after taking some 3-4 buses & roaming at some 3-4 stops we were about to go for the ""Bahubali"" set but suddenly it started raining. And it was raining so hard that we couldn't get out of the bus only.After waiting for some 15 mins inside the bus the rain stopped & we got down at the bahubali stop, it was water all over. The set was not at all in the good condition & before we could see any further it started raining heavily again & there was no place to hide, so we were trying to save ourselves by standing below a horse statue. But, as I said that poor horse couldn't save us from the heavy rains. After standing for some half an hour when there was no sign of rains stopping a watchman came to ask us to go to the bus point as the bahubali set is not looking visitable anymore. So in those non-stop rains we were running towards the bus point to take us back. We thought the bus will take us back to the parking place but no there was more drama to unfold. It took us back to our starting point of tour inside ramoji, now we again have to stand & wait for a bus which can take us to our car parking place & yeah  i would like to mention here that the rain had not stopped yet. So after waiting for some 45 mins in full heavy rain with a child we got a bus to our parking spot & our dreadful journey ended."
9,One of the top tourist place in hyderabad,"I had wonderful reviews of this place from all my friends who had visited Hyderabad, hence paid this place a visit. I shall only say that this place was short of my expectations. Maybe the reason was that I do not go to the movies often. Hope that maybe they allow personal vehicles inside the complex some day, so that we may have better options to visit the parks on our own."
