,title,text
0,Good day out but will be better when fully open,We enjoyed it but could onlySee floors 2 and 4 as others closed due to covid Was a interesting day out Will be back to see the remaining floors when they reopen
1,Great Artifacts. Interesting Stories.,"We managed the first 3 floors but I was scared from the 2nd floor as the lifts are glass and the stairs are open and there are glass bridges to cross from one exhibit to another. The layout is a bit disorganised too.It would be better laid out in time order to see progression. However, what I did see was impressive. The displays and shows were good too. We caught the water taxi from the train station straight to the armouries. That was fun and only £1 each. Lots of places to eat next door if you don't fancy the museum restaurant You could easily spend a day out at this museum if you read all there is to read (&manage to get up to all the floors 🤦🏻‍♀️🤣)"
2,95% fantastic. ,"Great free museum! Many of the interactive parts of the museum weren’t working which was a shame! Some great, informative displays! Can become a bit tiresome!"
3,Interesting collection of weapons and armor.,we were not expecintg to see this place here but found it whilst walking by the docks and noticing a strange looking building which people kept going into. well worth the visit.
4,Loved it,Lovely historic place to visit. Was well impressed how big the collection was on 5 floors. Entry was free as well but donation boxes near the exit. Lovely cafe on 3rd floor was a nice touch to rest as alot of walking involved. Situation at the side of Leeds lock which is a nice place to walk if you come to Leeds it's a must see.
5,Superb,"As this was a 70th year treat as one of my choices we were quite disappointed, the museum is badly laid out and a bit disjointed. However the displays of suits of armour, one of my interests and the Asiatic galleries were interesting. Some of the displays notably the Elephant Tiger Hunt could do with a good clean and a dust. Also some of the descriptions on the exhibits were not very clear and quite bafly lit, we appreciate that light can damage certain exhibits but not others. All in all we were glad it was free entry. You cannot compare the quality of the Tower of London Armouries to this Leeds is a poor comparison."
6,Blow my mind!!!,Fantastic huge very varied displays and free we only had a few hours here which was not enough time to get round.
7,White Collar Boxing,"We visited this attraction and had a fantastic day out so much to see a real eye opener into arms of the past and the not so distant past.  You even have the opportunity to fire a cross bow for a very reasonable price and it was good fun.  There were different shows put on which the younger visitors seem to love very much,  The actual building stands in a very beautiful position and it was all very clean. I would say there was something for everybody there is a lot to see."
8,Great day out,"Visited Leeds for the day ,this was on our to do list even though it was a sunny day,was so much more than I expected,we were greeted by a pleasant young man who welcomed us and provided a programme  and told us that a performance was due in 10 min s and gave us clear directions to the gallery,and what a performance I was enthralled ,I could have been at the aftermath of the battle of stamford  bridge so vivid was his telling ,and a great prequel to the the usual 1066 and all that ,if this young man was sent in to schools every pupil would love history lessons nothing dry and dusty about this ,dont know if other periods are retold if so I would travel over the pennines again to here of agincourt or charge of the light brigade.This was followed in another gallery by a display of hand to hand combat between a saxon and a viking again really well done and informative .There was also a very good exhibit  of the sepoy rebellion ,and many other interesting things ."
9,Fascinating piece of History let down by the lack of maintenance,"Visited the Royal Armouries as we had been advised that it is a must see attraction. However as we left it until our final day in Leeds , it was impossible to really take in all the ares of interest in 6 hours. Another trip will have to be made in the future"
10,Excellent day out,"Visited with family aged from 75 down to 4, females and males we all thoroughly enjoyed a full day very informative and plenty to see and all the staff were great from Thor and iron man at the entrance right through to the leaflet guy, info staff and the cafe staff all were polite helpful and working their socks off well done to all"
11,Great Museum,"We thought our visit would take a few hours at most but in the end we stayed for five!Static displays are interesting and comprehensive, especially if you like armour, swords, guns etc. However for me the best thing was the half hour talks and re-enactments which were all superb and pitched just at the right level. Very nice and good value cafe on ground and second floors."
12,Perfect for a afternoon.,"Well the answer to that is definitely no!What a fantastic place, we only had three hours which barely scratched the surface, if you are studying the exhibits in detail.You could spend an hour alone at the huge model of the battle of Waterloo! The huge model of Agincourt could swallow another 30 minutes.I suspect it will take another two visits to do it justice.I can’t wait 😃👍🏼"
13,Great collection,"What a gem. We spent at least 4 hours in the Armoury. There are 5 floors of treasures all reachable by lifts or stairs. Wheelchair access is excellent.There are folding seats which hang on the walls of every floor. Just lift one down and take the weright of your feet, then replace it and get another when you need it. The famous mask\helmet belonging to Henry V111 is on display. Reenactments take place about every hour. All this is for free. The staff are very friendly and helpful. When you think you have walked enough, you can enjoy refreshments in one of the cafes. There is also a good gift shop. You can try your skill with a crossbow. 8 bolts for £3.00. Enjoy."
14,Must-See Museum.,4 floors of extremely interesting items even if you’re not into weapons etc. The elephant and horse armour were great. Most of them were works of art.
15,ONE Day is not enough time to get the full benefit of a visit,4 floors of mainly armour but very interesting and free to get in. Interactive events bring history to life. Great for a rainy day. Wheelchair accessible. Only criticism is could be better signposted to get around each floor as was hard to know where to start.
16,Disappointed ,Our first visit to Leeds but I accompanied my husband to this place as he really wanted to visit I found it interesting for a while but we came across a show at lunchtime about the Spanish Armada and I have to say the young man had his audience mesmerised even the young children sat and listened and we all enjoyed it  I would highly recommend this and all free
17,Good day out,"An excellent surprise, didn't have much time as we were in Leeds for the triathlon, only did one floor, but fascinating! Will return to see more next time, both cafes very nice, very user friendly, a great place. The Leeds Dock area was very good, we took the water taxi back to the station, check out the underground arches and tunnels for the river, all lit up, amazing! River taxi 'captain' was entertaining, friendly and knowledgeable. Really worthwhile trip!"
18,Fabulous and free,Attended a Company meeting hosted on Level 3. Room was suitable for the number of people but inconvenient not having any restrooms on this level. Unfortunately didn’t get chance to look around but what I could see was interesting.
19,A look around ,"Was taken away by the amount on display on 5 floor, amazing history and very helpful staff. Well worth a visit."
20,Badly organised,We had visited the Museum on a previous vist.   the Museum is very large - exhibits cover four floors so it can become a bit overwhelming.    It is certainly a full day visit or preferably a visit spread over two days.   the exhibits are wonderful and well set out
21,Very interesting ,My sister and niece of 11 years visited from the Wirral. Enjoyed the visit especially the crossbow activity. Lots to see and do with other interactive displays available. There were live shows almost every hour to keep people of all ages to enjoy. Best part is it was all free. Keep up the good work and thank you for the time and effert put into the museum.
22,Always a pleasure!,"An extensive collection with in depth information. Only issue was that it was half term and you could hardly move in some areas. Had to wait ten minutes for a lift due to queues by them and having a pushchair. The short shows required waiting for 30+minutes if you wanted a view, and lasted 5 minutes. The areas they have the shows are hemmed in by display cabinets, which make it impossible for many to view the shows. Only concession is it is free, so I can't complain too much. Will visit again at a term time weekend."
23,"So busy, but extensive collection.","We went here on the 31 oct 2019 it was s fabulous day out we spent 4 hours here just gazing around at the artifacts and amazing Intel that it gives you, there was also reenactments for the children with the ghost busters and other shows which we didnt watch but they were around the museum. A great day out for cold weather plus really friendly staff and a well stocked gift shop which can be a little pricey for certain things, but it all depends what your looking for ... but considering it is free they have to make their money somewhere csnt wait to take the rest of the family"
24,How many guns and swords?,"This is an interesting place to spend the afternoon. The exhibits were well done and my children enjoyed the demo in the theatre. Admission is free, so take advantage of this museum if you find yourself in Leeds."
25,Great attraction,Visited with my family my two children aged 7 really enjoyed looking at all the different weapons from history and so did I really informative and loads to look at.
26,Interesting collections,"Went here on a wet Sunday as came up as a place of interest on trip advisor.Ended up spending 2. 5 hours here as the place is fascinating. Never seen such a large collection of weapons from over 600 years ago. Easy to move around and every floor has a different theme.Had coffee and cake at the cafe which was very nice.Can't believe it's free to get in. Probably a lovely spot in the summer by the river, but not in January.Worth visiting if you're in Leeds for the weekend as we were."
27,Underwhelming,Ideal for kids that enjoy weapons and history. Free to Enter so ideal if your in the area. Shop not too expensive and cafes all over.
28,Wonderful day out!,"A Brilliant Free Museum, with plenty to see for all Age’s, this place is huge so make sure you have plenty of free time to explore it fully, during school holidays they also have lots of extra things to do from jousting events to talks & shows around the galleries, not only does this place have great exhibits but also the views of Leeds from the many floors are amazing, another Stakes Family top place to visit."
