,title,text
0,One of Identities of Awadh,"A very beautiful Awadhi architecture masterpiece, certainly Lucknow’s most photographed place. However this structure needs good maintenance to keep its glory."
1,A grand gateway,"This gateway looks grand, built near Bara Imambara, an iconic and signature structure of Lucknow. This looks great at any part of the day. However, sometimes, it hampers free flow of traffic as well!"
2,"Architechtural landmark, the USP of lucknow","A symbol of Lucknow! A gateway made in a beautiful Awadhi style is a must visit place when you are in Lucknow. Situated in between Bada Imambara and Chhota Imambara, it takes you to 19 th century charm. If you have affinity for old culture you will live this place."
3,Awesome ,"Beautiful heritage gate serves as a lovely testament to the Awadh architecture in Lucknow. The gate looks like a regular city gate from one side and has a wide arch and open area on the other side. Horse-drawn carriages still ply along this route, so one can hitch a ride when here. On one side of this is the Bara Imambara and on the other is the Clock Tower."
4,Rumi Darwaza,The Rumi Durwaza ia magnificent monument and must see place in Lucknow. This is a big gate and beautiful from bothe the sides front and back. the arch is so beautiful but the road is too busy so you have to wander it form a distance.
5,Door,A structure with Mughal era architecture that stands tall and beautiful in the middle of the roads of Lucknow.
6,Marvellous,It's a beautiful historical gateway in the city of Lucknow... very close to the Bara Imambara.. beautiful architecture ... definitely worth making the effort of taking a look!!
7,Old world charm ,This is very famous landmark in Lucknow. It is famous for its architecture. Good for first time visitors. Well cleaned and maintained place.
8,SYMBOL OF NAWAB,"This memorial has been of emblem of Lucknow and awadh culture. a must see place near bara imambara and chowk (known for mughalai cuisine,)"
9,Big Gate,This is the most and beautiful monument of lucknow.It really look amazing looking at the rumi darwaza.Its very tradition and beautiful monument.
10,Good,"Very beautiful place to visit in lucknow.its near bara imambara,chowk lucknow.the architectual work of this gate is awesome"
11,It's a huge gate,"Rumi Darwaza is an architectural marvel and an iconic landmark gateway of the city of Lucknow.  This was built by Nawab Asaf-Ud-daula during the late 18th century.  There was severe drought conditions for several years in Lucknow during those days and to help the people earn money, the Nawab decided to built this iconic structure.  11 years' period was consumed in building this gateway.  In order to let people continue to earn livelihood, the Nawab used to get construction works done during day time and destruction partially during the night hours so that maximum period is consumed and help in the form of wages can be accorded for the betterment of the public at large.  It is a huge structure and traffic pass through this.  It is adjacent to the Bada Imambara."
12,Old Gate,Excellent Place and a Landmark of Lucknow. It is basically a road passing through this Gate (Darwaja) it is the main entrance of BhoolBHulaiya too.
13,Magnificent ,Ancient place of historic importance. Architecture is good and it’s part of heritage of the city of Lucknow. Take a few snaps there and move on. Nothing much special for common people but for history lovers it’s important place.
14,Gate in the middle of the road…,This place is open for all and i think it has a magnificent view as well. It is well maintained archaeological site and you can able to take the essence of Mughal Architecture.
15,A short visit to feel the history,"Fumigate or Rumidarwaja known as the entrance gate of old Lucknow city. Built with magnificent design is must watch for city tourists. It,s a landmark piece of architecture providing entrance to famous Bhul bhulaiya (Labyrinth) of Lucknow"
16,Very famous landmark,Located just outside of Bara Imambara in Old Lucknow...this area is definately worth visiting to appreciate the beautiful architecture.
17,"Stunning, but hard to get a close look at",This Is amazing gateway build in Lucknow during the Mugal Period and thousands of people pass through it daily. Its an architecture worth seeing in Lucknow.
18,Just a gate,its one of the best example of awadhi architecture and is easily related to the name of  lucknow.a must visit
