,title,text
0,Monument to Pugachyov's ally,"The monument to Salavat Yulayev is a dominant sight and I would sat even the official symbol of Ufa and the whole of the Republic of Bashkortostan.It stands on a high bank of Belaya river.I visted it in the morning, in the afternoon and in the evening - in the last rays of the sun."
1,Great Views ,"The horse of this sculpture is the biggest in Russia. The placement of the monument is very thoughtful - it is seen from all  the trains passing Ufa r/w bridge on the way from Moscow to Siberia.At night it looks really impressive,  being nicely illuminated. There's a restaurant in a neighbouring Congress Hall with a stunning river landscape and monument view."
2,Remarkable monument,Nice park with ultimate history and the view is superb that was the area I visited with мамуля  thank you a lot and be with me forever lov u
3,Must see ,"One of the most popular selfie-places in Ufa. The great monument of national hero of Bashkortostan - Salavat Yulaev. It's located near the Congress Hall and ""Vatan"" park. Best place for walking."
4,Brilliant Monument,"This area around the Salavat Yulaev Monument offers a spectacular view over the Belaya river, a great outdoor area with fountains, the Congress Hall and in walking distance also the Old Muslim Cemetary, well worth a visit. Of course this area should be visited in spring, summer and autumn. The Salavat Yulaev Monument itself is very impressive, built in 1967 it stretches about 10 meters to the sky. One of the biggest horse-riding monuments in Russia, if not the biggest."
5,Great views,This monument is the symbol of the Ufa where has very beautiful park around it also. You have to visit it before you leave!
6,Monument ,Ufa's the most popular attraction. The statue of Savat Yulaev is the symbol of Ufa. Also local hockey team has the same name. The view near this statue pretty amazing
7,Very impressive monument,The most beautiful spot in Ufa city! All visitors of capital of Bashkortostan must see. Amazing view!
8,Symbol,"This monument is the symbolic monument in Ufa, and is located in a nice park that offers beautiful views of the river and countryside."
9,The nicest spot in Ufa,The statue is a great monument. It overlooks the river and the residential part of the city. There is a scenic view here.
10,Amazing,"Salavat (Salawat) Yulaev was a Bashkir hero, there is still a lot of stuff named after him. He sits on a horse, overlooking the entire area."
11,Enjoy the view,"The place were the monument is located is awesome, it is on a hill facing upon the Belaia and the big forest. The monument it self is huge and nice. The place offers also a small park where kids can enjoy."
12,Nice panorama,Spectacular views over the river and the country. Wonderful statue and gardens. Its in the old part of Ufa. Many activities going on there during summer.
13,Monumental monument ,"The monument is set in public space full of greens and with many people around, in the heart of Ufa. There are beautiful view on the mound on which the monument is set. Don't miss it when visiting Bashkortostan."
14,Great monument to visit while in town,"The largest horse statue mounted on just three supports depicting a national hero of Bashkortostan is must-see. The park around is also good for outdoor activities. Recommended time of the year is Indian Summer, when you can see all the colours nature has to show behind  the picturesque Belaya river."
15,Very nice place to spend a few hours,"Probably it is the best point to see the lower coast of the Belaya river. From the high place near monument you can see the Russian huge space, impressing autumn time especially"
16,Symbol of Ufa,Great statue of hero from this region of the world.  Great views across the river. If you only go to Ufa for short stay then this is one place to go as a tourist.
