,title,text
0,Amazing,"Breathtakingly beautiful, historic, dreamy, clean, safe, interesting... I can't say enough! I loved it!"
1,So Much To See and Just Beautiful ,"I use this word too much but WOW, breathtaking, inspirational, magic, magnificent...etc Such care and detail has gone into the preservation of original  architecture and styles of the  period.DO NOT miss this area of Savannah!"
2,Gorgeous ,"Just beautiful.. so much history. The architecture and the squares, breathtaking. So much to see. I definitely recommend a trolley tour learning about the history."
3,A MUST,"Beautiful, historic, walkable, enchanting gardens on the squares. We came in February 2019, and everything was in bloom. Walked this over two two days with kids 9 and 13, moved the car a few times. We did an overview of highlights on day one, then day two I let the kids pick where to go. We learned a lot! We put on several miles walking. I recommend finding a place to pay to park (it’s only $1-2). Be careful where the cobblestone pops up from tree roots; my son managed to trip. I would like to come back with my husband for a long weekend."
4,Amazing For Historic Learning and the Beauty of the City!,Charming and historic but vibrant and full of life. A must city to visit if you are in Georgia. There's always something to do. Worth exploring!
5,Very peaceful tour,It’s easy to walk all 22 squares in the Historic District and well worth doing so.  Simply stunning.  Hop off the Old Town Trolley tour and walk around if you are not staying here
6,Tour of historic Savannah ,"Fun and easy to walk through the district...the squares are lush, gorgeous and have historic markers an statues to see."
7,Savannah historic tour and steamboat ,"If you love history and architecture, this is for you. Beautifully laid out and maintained; many photographic spots and places to sit in the shade."
8,Savannah Stroll!,"Beautiful, clean, serene...We stayed across the street from the fountain. The best spot ever! We loved the area and ease of movement in the area. A Kroger to stock our apt fridge, Betty Bombers to eat, a great place to exercise. The best place I ever enjoyed “living” at in a new city for 4 days!"
9,Shop till ya drop!,"This property lacks nothing. Location is perfect.  Staff is the best ever.  It’s well built, quiet, classy, comfortable, fun.  You just can’t go wrong."
10,Beautiful ,"Savannah is beautiful, is easy to navigate, and just exudes history. A must see southern city! Don’t miss All the statues, the parks, and all the delicious food."
11,Don’t miss Savannah! ,"Savannah’s Historic District is quiet, so very pedestrian friendly, and loaded with history.  The small squares are lovely with statues and monuments and checking them out is an easy way to learn a lot of history from colonial times through the Civil War.  All have benches and the live oaks dripping with Spanish moss provide shade if needed.  Easy to spend a lot of time here just wandering and reading the plaques."
12,So convenient and informative ,"Loved the beauty of Savannah, it's history and it's lovely squares.  Many people walking (with or without pets), all seem happy."
13,Savannah is a Gem!,Beautiful area to peruse and see all the iconic sites and sounds.  The buildings and the trees are surreal and it brings you back to the old days and how life used to be lived.  Very quaint and special and worth the trip if you are ever in the south.
14,Nice State but not very nice with drivers,This town is beautiful in landscape and architecture. Had a lot of history. The hop on hop off was beneficial in seeing a lot of the town. Excellent restaurants.
15,Great historic houses.,"It's 2.5 square miles of awesome architecture, 22+ beautiful park squares, moss-hung tree-shaded streets, monuments, history brass plaques, inns, bars, restaurants, shopping, and people-watching. Though very walkable or bikeable, the tour company buses cover the entire area with excellent, completely informative live guides. Horse-drawn carriage rides are popular. Many feature films have used the area landmarks as unique and unforgettable backdrops. The natives are friendly, and the business managers are welcoming and helpful. You can see it all in a day, but you could spend years getting to know it."
16,What a quaint city!,"I love this city.  Walking around this area was wonderfu--the architecture, the climate, the moss on the trees. We were there on a day when not all businesses were open (New Year's).  I would've liked to see some of the antique shops and restaurants.  I love every square foot of it."
17,Beautiful area,"Historic southern city with lots of history, charm, great restaurants, and ghosts! Beautiful historic homes and relaxing squares or upscale hotels and unique restaurants on River St make Savannah a vacation destination for a weekend or longer! This is one of my favor cities in the US."
18,Great visit to an awesome city,"Fascinating place. I could live here. The Squares were charming and beautiful. Took several tours, including the Hop On, Hop Off which was a good introduction to much the city had to offer. The Shrimp and Grits at the Public House were inspirational."
19,Dee Nunn stand up comic,"So many beautiful outdoor spaces.  Each square has its own story and piece of history.  All are beautiful and well maintained.  Stroll through, stop for a picnic or to people watch."
20,The Historic District is why we moved to Savannah.,"Walking the streets of Savannah is a trip through history, so many amazing houses, churches and museums, so many delightful squares and parks. So much food and drink. Do the bus tour, then take a walk around. Pop into the small restaurants, the local businesses, take in the sights, sounds and smells of Svannah."
21,Vacation with my Bride,"Amazing historic district, very nice people, I recommend this for families, kids, parents, and pretty much every one who is interested in history, plus it has a river by it so you can go out on boat tours, to the beach, and North Carolina is right next to it, so if you haven't been there, it's a bridge away from Savannah, Ga!"
22,Interesting area and very walkable ,Just a terrific walking tour of this beautiful area. So much history here and presented so intriguingly.
23,Very enjoyable visit,"The most beautiful and historic cities! This is a must visit while in Savannah... If you can get a hotel in the district, you'd be doing yourself a favor! Walking on the historic roads were very enchanting... My favorite place to visit..."
24,Fun!,"This city is breathtaking and a place where time almost stands still.We are from Australia and have 3 daughters 10,8 and 6.Between the beautiful historic landscape, the trolly tour and ghost tour, the SCAD museum and the general friendliness of the locals, we have all had an amazing time here.  So glad we came, thank you Savannah Historic district, you were a walk through time that we all absolutely enjoyed."
25,Great Walking town!!,Great for walking. Interesting of all squares and what is around it. Lots of revolutionary history and civil war history. If you drive you will pay to park everywhere. Take the shuttle or park at a central location.
26,Beautiful!,The architecture of old Savannah is stunning. Spent 2 days just walking through the squares and streets. Fantastic!
27,Beautiful walk in history,The historic district is just beautiful.  The houses and parks are gorgeous to admire and visit. BUT! When sun sets stay away from the parks and the streets. Drunks and bums are common on all the benches in several of the parks. Young and aggressive men roam the area and can scare the s... out of you.  We were just too old to enjoy this. A shame!
28,You will fall in love with Savannah!,"Built around ""squares;"" beautiful parks, really, with ancient oaks and spectacular fountains/statues, Savannah is really a must-see.  By all means, take the trolley tour (we prefer the white one - Old Savannah Trolley Tours) and save steps and parking hassles.  The narrated tours are well worth the money, and you can hop on/hop off at any of 15+ stops.  The churches and historic homes are everywhere, and each has a story.  Stay in the historic district if you can afford a splurge, but you should visit Savannah.  The people are very friendly and polite, and Southern charm prevails.  Oh, and the FOOD!"
29,Beautiful historic architecture and lots to do,"Check it out!  Savannah’s Historic District is great for all kinds of travelers!....Business, Family, Friends....There is plenty to see and do!  Take a walk down Jones Street to see the stately homes.  Check out all the squares.  Stay in a B&B to enjoy some Southern hospitality!  Relax on a Hop-on-Hop Off tour to truly understand the rich history of the area.  Go for a meal at The Olde Pink House.  Tour the Telfair museums.  Shop, eat and sightsee or party with friends on River Street or City Market.  In my opinion, save your money and skip the ghost tours!Whatever your fancy, you’ll find it in Savannah!  Kick back and enjoy!"
30,Still beautiful ,Just walking around all the squares gives you a feeling of being in another time. Lovely! Architecture is fabulous.
31,Love Savannah,"Old Savannah is beautiful, charming, and rich with history. Walk from square to square and visit Forsyth Park. It's a magical place with the Spanish moss and gorgeous architecture."
32,Charming ,"Amazing architecture with its old and historic properties, beautiful squares and great food. The city is worth visiting."
33,Time Warp of Historic Proportions,"My husband and I were absolutely enchanted by Historic Savannah!  This place is amazing!  It is soooo beautiful, the locals are friendly, the food and drink is plentiful and it is very easy to get around.  There is a lot of information such as maps, transportation guides and local advise to make your stay overwhelmingly remarkable.  I would highly recommend Savannah for couples who are just looking to have a leisurely vacation.  Set your own pace.  Research the sites and head out for the experiences!!"
34,Come learn about revolutionary American.,"Architecture, parks, statues, fountains, all don't miss things to see. You have to make this a main part of your visit to the historic district."
35,Beautiful walk and restful informative trolley rides with Old Town Trolley Tours,"The Savannah historic district is beautiful and rich with history, lovely buildings and things to see and do."
36,Fans of history will love it!,"Savannah has it going on. Terrific trip very historic city. The Historic District is very rich in lore, history and culture.  The houses are beautiful and what you would expect from Savannah.  Take the Ols Savannah tour and experience it for yourself."
37,Simply Beautiful,"Beautiful homes. Full of history and charm. The town is laid out on ""squares"" that each have beautiful parks and gardens. Ghost tours, haunted houses, cemeteries and tasty southern restaurant with plenty of seafood flair."
38,Great Sites!,Charming and fantastic walking city!  Loved strolling and exploring the many squares.  It is truly picturesque and enjoyable.  Food in general is great.  Be sure to buy a parking pass from the city or possibly hotel.  The hotels closest to River Street charge an excessive daily amount....$35-40/night.  I bought a 2 day metered parking pass for $24.
39,Always a nice visit,"Savannah is known for its charm, architecture and ambiance. The historic district offers all this, lovely houses, moss draped trees, really nice parks. Easy walking and appeared safe and clean."
40,Lovely south.,"One of the most walkable cities I have been in. Just start walking. Historic district has the charm and the beautiful squares every few blocks. Quaint coffee shops, antique shops etc. And so clean, no litter anywhere."
41,Beautiful Neighborhoods,beautiful historical town that is easy and lovely to walk while enjoying a crazy mixture of architecture
42,Great downtown historic district ,"Savannah is unique and beautiful.The historic area has limited parking so walking is best.Lots of restaurants and bars, Covid practices everywhere we saw.  Masks and 1/2 capacity with sanitizer on most tables.River Street is very cool but not a place to walk in flip flops as the cobble stones are very large and uneven."
43,Historically Rich,Savannah's historic district is an amazing place to visit! So rich in history and the locals went above and beyond with that Southern hospitality!
44,Historic Savannah ,"Very beautiful historic area of town. Architecture is amazing, trees and foilage beautiful. Lots of history."
45,Weekend in Savannah ,Words cannot express what Savannah is like unless you’ve actually been there.  Over the top beauty filled with history and a place you would definitely want to visit again and again.
46,Walking Historic Streets Step back in Time,I love the historic district of Savannah. It's such a walkable and dog-friendly town! There are fun little shops throughout--very civilized!
47,Southern Charm,Just go here. The sites and history are great!! Many places to visit or relax in one of the 22 squares around town.
48,Beautiful,"The area is just gorgeous and lovely. So many little shops, great restaurants, activities, and amazing B&Bs and Hotels to stay in. Looking for the Old South? Here it is..."
49,The Best Part of our Visit,"The old houses in the Historic District were truly lovely to look at and staying at a lovely carriage house there, I could walk in any direction and see these lovely old houses as they were and as they are. Even walks at night were quite peaceful, except for when passing by the old Colonial Cemetery. It was quite creepy, which I found quite interesting. Yes, there are ghosts about, but not the Hollywood type."
50,Vacation,"Great place to visit, Australians would love the history and nightlife, American culture at its best"
51,"You have to walk around, it's outstanding!","Great city and very walkable. A lot of great places to eat and drink. Took a river cruise, visited Tybee island and ate at several restaurants."
52,Walking tour,"We were very impressed with the beauty of this historic district, full of beautifully-restored homes on lovely squares.  The town plan allowed for the leafy squares to show off the architecture of the homes.  Very harmonious.  People all around enjoying it all."
53,Day in Savanah ,"Highly recommend a stroll thru the historic district. Feels safe, epic history lesson and near the river area for an afternoon beverage or meal!"
54,Walk in time,"A lovely experience, big thanks to John! Go Hawks! Also, Í loved the massage and service and playfulness"
55,Gorgeous Mansions,"Love the historical district.  Both the architecture of the buildings, the trees, plants and flowers, and the way everything is laid out with the squares and parks makes the area an absolute treasure to wander through.  Also so many historical buildings and events to learn about.  The Visitors Center in Savannah is wonderful and extremely helpful to guide you according to your time and interests.  Many great restaurants and museums along the way that you can also partake in as you walk/wander around."
56,"Great place, but don't go right now if you need social distancing",Savannah's Historic District is drenched in the Southern charm! The scenery on every street is quaint and charming. It certainly didn't disappoint. And each Square had a uniqueness and feature that was beautiful while offering a piece of knowledge of Savannah. Absolutely loved it!
57,Great place to Visit,"This is what you go to the classic South for and Savannah offers a concentrated dose. Incredible architecture, squares, flowers, fountains... did we say architecture?This deserves long casual strolls. There are many wonderful properties to stay within the District along with shops, great restaurants, and bars to enjoy.Find your self a seat and soak it up. You deserve it!"
58,Why is it so dirty??!!!,Savannah’s historic district is the most beautiful place I’ve ever seen. My fiancé and I are absolutely in love with Savannah! We want to move or come back VERY soon!
59,The HOMES!,"A great opportunity to walk and see.Some amazing homes, history and wonder through the streets.Allow yourself plenty of time to wander but do have a map to guide you."
60,Won’t regret it ,First time visitor...great and interesting history. Stayed at a Hampton Inn close to the river...very easy walking city. Beautiful homes and parks.
61,  Beautiful walk,"Visiting Historic Savannah was reminiscent of a visit to New Orleans garden district.  Beautiful architecture, delectable food, delicious libations and outstanding hospitality!  A great place for couples and families alike. A definite must add to any bucket list.  I will be returning one day. 3 days was not enough to savor the southern spirit there. Relax and stroll the beautiful tree lined streets.  Take picnic in one of the lush green squares. Have a fabulous dinner and one of many outstanding restaurants.  There is something for everyone."
62,"Spend a day, or take years",Stayed at the DeSoto in the middle of the Historic District. Great location could walk to many attractions. Beautiful homes and buildings in the area. Note there was a lot of renovations at this time of the year.
63,Great place to visit,"We really enjoyed our time here. So many historic buildings, preserved (and not), in all their glory. The squares with grandiose oak trees and stunning Spanish moss are a sight to behold. Great views of the river, a cobblestone street, and a great promenade. So many restaurants and clubs serving all levels of food and drink. All with such a welcoming and graceful feel. One of the most unique, and historic places we have ever been."
64,One of a kind,took land and sea tour through historic district.  architecture is stunning and stories very entertaining and educational
65,Beautiful city,"Fabulous restaurants, unique shops and gorgeous historic buildings and gardens. Loved the park squares. Of course, the riverfront is the highlight with the factor's walk  being my favorite."
66,Was good considering we were here during the covid-19 time.,Savannah Georgia is a beautiful city full of history. We were there for business but I highly recommend it for a vacation. We will probably go back and stay a week just to see all of the sites that are in this area. The city is built on squares and walking around the city is safe clean and enjoyable. The trees are absolutely magnificent.
67,Strolling through the squares,"Savannah is one of the most delightful and friendly places on earth.  Very walkable city.  Tours available for every kind of interest.  It has also become a good Mecca in recent years.  So many historic homes to tour and restaurants to choose from, you could easily stay a month and do something different every day!"
68,Savannah Historic District ...... WOW!,The feeling of the historic district captured my heart. The beauty of the architecture of homes with tree lined streets and spanish moss dripping from their limbs is a sight to behold.
69,Beautiful way to soak in history,"seeing the historic side of savannah was beautiful. There is so much history and beauty here and so many amazing ways to tour. We did the Adventure tours in motion with Carolyn as our guide through the town. Riding the Segway made the tour fun, but allowed us to get around a lot faster than on foot so we could see as much as possible. Def recommend site seeing savannah!!"
70,Touring,"A must vacation.  The southern charm in incredible, the live oaks withe the Spanish moss and the resurrection moss in something to see.   An old time southern town with the tree forming tunnels cannot be described it must be witnessed."
