,title,text
0,Quiet Visit to Winter Gardens,Was surprised that the Winter Gardens were open when I visited to see the CRUCIBLE. So went in after asking the staff member on duty if it was OK. Spent about 30 minutes  inside looking at the various displays of palms and exotic trees. Surprised how tall they were. Unfortunately the eateries and cafes were all shut. Took a few photos  while there.
1,Break away,The winter garden is quite small but pleasant. The surprise was how good the art museum in it. We easily spent an hour looking at some art with explanations of what they depicted and the history of Sheffield steel. I was in ad wheelchair and everything was accessible  and easy to manoeuvre  around.
2,Mindfulness Journey,"A lovely atmosphere to sit and chill. Spent abit of time on here after visiting the museum as the back entrance leads to it. Nice palm tres and plants. Very peaceful, near to bars and coffee shops."
3,Nice building,"We were walking through Sheffield and had been told of the Winter Gardens. We found the Peace Gardens amongst some fabulous old stone buildings. The Winter Gardens was hidden down a side street behind a very modern glass facade. Inside we found paved paths through flower beds planted with tropical plants, trees and models of animals. It isn't large but it is covered and so on a wet cold day it offered some respite from the weather."
4,a must see !!!,"Went to the winter garden with my grandsons during the school holidays and we enjoyed our visit, the garden itself is fabulous and one of my grandchildren couldn't believe the plants were real, they had to touch them to see, the colours and care taken to look after them is great, we visited the museum and we loved the artist showroom with the different effects on the floor, good food and drink available, good place to sit and read, and warm. What's not to like"
5,Peaceful,Came across the winter garden on a recent visit.Worth a look around the tropical plants and the free museum.Enjoyed it very much.
6,Amazing,Walked through on our way back to the hotel. The structure of this buildings is very interesting and the plants inside are lovely. Some of the shops/cafes around the edge looked a little ‘sad’ but I was interested in the plants and not the shopping. A very nice thing to have in the centre of a city
7,"Nice, cozy and entertaining.","At first I thought it was a simple greenhouse garden, and not very pretty, but turn out there are exhibitions and coffee shop. I think it’s a really nice place for taking photos, to chill and relax."
8,Lovely spot for coffee,The Winter Garden is small but nice to walk round. Nice places to sit and relax. We came into look at the Lego. Nice that Winter Garden was a part of that. We would visit again when in Sheffield.
9,Marvellous ,"I took a walk while waiting to go into a local restaurant. It’s nice, peaceful when I was there. Worth the minor de-tour if you’re nearby."
10,Nice,"Came here and viewed the modern art exhibition, and it was really great. The other long standing exhibitions were also good, especially the one about the steel works."
11,Small but worth a visit,Myself and my husband stay at the mecure every year and as its attached to the winter gardens we always go into the gardens to have a drink and snack in the beautiful surroundings
12,Peaceful setting,"Went in to look around and have coffee, looking around was fine, fabric flowers a bit odd but didn’t stay as no seating for coffee."
13,Worth a visit,"I visit this place regularly, if I'm passing through or going to the connected Millennium Galleries..a green space in the city centre lovely to sit and read or visit the exhibitions."
14,Nice place to sit for lunch.,"Came to Sheffield specifically to find and visit this place. I knew where it was rougly located, but it still took a while to find it. Did not see a single signpost for it, or anything else either, for that matter. Nice, bright, clean and airy inside. Several exhibitions on at the moment and expressions of Sheffield life, past and present.It is small, but it's well maintained and clean throughout.I enjoyed my little visit.See photos."
15,Unexpected art,"I have been in The Winter Gardens many times since its construction, to look at the wonderful botanical specimens, to rest awhile on one of the benches, to look at something being exhibited there, or perhaps to see an occasional performance, to purchase lunch, to meet someone or merely to use it as access from one place to another.However this was the first time that I have stayed there to have an afternoon meal with others. Although the number of tables and chairs is limited, there was sufficient space for all and the exotic flora provided a pleasant atmosphere for dining and convivial chat.There was a fair selection to choose from on the menu which was reasonably priced. It certainly made a very suitable venue for the afternoon.There are a couple of other shops selling mainly souvenir stationery and other mementos, and should these not suffice there is further available in the adjoining Millennium Galleries.The Winter Gardens are cool and well ventilated, but also have underfloor heating. There are steps at one entrance but also a relatively gentle access ramp. The opposite end opens out onto a flat pedestrian precinct for easy access.Although it can be a busy place at times, there is always a sense of space and openness, perhaps a few more plants might not go amiss. The plants are generally labelled but one or two occasionally lack such. The general information boards though cannot be faulted.However The Winter Gardens is a well designed, wonderfully constructed, Ideally sited gem that combines natural beauty with architectural skill. A place for a single visit, or more likely one to return to time and again."
16,Winter garden,We came to see the photo exhibition that is on at the moment and were very impressed by the Winter Garden.Great place to stop off and eat your lunch on a cold November day.
