,title,text
0,Shurijo Castle Totally Burned,"The castle was burned last year then there is nothing to see there now, so if you go there you will lose your time."
1,Shuri castle,"The place is very small, nothing to see (except if you pay more to enter the castle), a little bit dissapointing if you asked me."
2,Awesome !!!,"The place burned to the ground a few days after we visited so, not much to see if you go now.  The good news is that it had been destroyed once before during the second world war and beautifully restored.  Hence, we know they know how to restore it.  Only a matter of time!"
3,Beautiful park - amazing castle before the fire :-(,Very cool to see the castle. There is a great lookout over the city (so go at night). There is no charge for a basic visit but you can pay to see some more specific areas inside. The castle is a bit of a hike from the monorail.
4,Very sad .....,You have to watch your route. Then you will find the way back easy! The outside of the castle is in reconstruction. Therefore no good pictures were possible to take. The park is nice and once can do a relax walk.
5,Must see in Okinawa!,"It's 110% worthwhile to visit the castle ground now, although the main castle is burned down. It was painful to see the damage, but in a big picture, this is one example of how history evolves. I believe it was meaningful for our kids to see the site as well.   It's completely…"
6,Nothing much to see as the main area was burnt down,We visit Shurijo castle again after 12 years and nothing much has changed .This place is great to know local history and the Ryukyu kingdom and how closely related they are to the Chinese empire . They are undergoing painting refurbishment now so the front part of the castle is covered with but within the castle it is still accessible .The whole place can be covered within an hour and a few areas to rest and shops for souvenirs . This place works better for family with older kids and teenagers .
7,Nice quiet place to walk around,"This used to be a very special place to visit, I cried and my heart hurt when I heard about the Castle burning down, right after the Notre Dame in Paris burnt down. What a lost to the world community. But I know that it will be restored once again for the third or fourth time during it's existance. I visited it in the 1960'sm the 1980's and finally in 2002 with my wife. Ever time I visited the Castle it had had some improvements made to it. Over time there were many historic artifacts included in the restoration. Some will be able to be replaced or duplicated due to the many pictures of the Castle that exist. And thank god that there are other artifacts in the many museums around the island. It will take many years to get it back to what it looked like in 2002 when I last visited. I was a student of Dr. Barbara Golden, who received her PHd in the history of the Ryukyuian island culture by the University of the Ryukyus. Many of the things she discovered over the 35+ years on the islands, were either kept in the Castle, at the University of the Ryukyus, or in one of the many museums affiliated with the University. She was the author of several Japanese books on the history and on the different cultures in the Ryukyuian chain of islands. One of her books, I believe was on the 27 different castles on Okinawa when there were 27 kingdoms there. I would like to visit the castle one more time before I die."
8,Still worth to see while it is under the construction!,"This is a bit of a walk from the train station, the Castle has very little inside to see, views are nice at the viewing point, if your under pressure for time this wouldn’t  be the must see place for me. On our day there was lots of scaffolding and some of the roads being dug up, would have been nice to know before paying the entrance fee."
9,World heritage!,We visited this castle very early morning and there were not many people yet there. We learnt Okinawa's history in the museaum and it was a good place to start sightseeing in Naha.
10,Historical castle,"It not pretty good and will only take around an hour or two to view the castle and castle park below the castle. Castle itself is not big, however, it still is very pretty and also the view of the city from the castle is also nice."
