,title,text
0,This is the Jewel BOX of America!,Many of the most important works that we Americans have on loan or otherwise are so elegantly held here.Very peaceful way to spend a couple of hours every day ypu are visiting DC
1,Not to compare with AMNH in NY but worth to visit.,This museum houses many of America's treasures. There is something for everyone: a mix of artifacts for intellectuals and popular culture. Give yourself at least 2 hours because the museum is huge!
2,Maybe too high expectations ,A must-see if you’re in Washington DC.  This is truly a great museum that has many high quality items that are really well presented...  and it’s free to the public.  You can easily spend a day making your through museum.  We visited in early September and we were surprised that there was no wait to get in the museum and the museum was not crowded.
3,Nice and Secure,"We love this museum! It has so many wonderful things to see and and enjoy. Young or old, it's a must do on your list. You won't be disappointed!"
4,Crowded and not unusual enough to prioritize in DC,"This is always a fun museum for those who are fascinated by nature. The Minerals are lways great and the new fossil exhibit is very good. They don't have the extensive NYC fossil collection, of course, but it is still well worth an hour or two. Bottom line, now that we are solidly in the Anthropocene age, everybody should take an interest in the world around us."
5,Adventure Through Natural History,Don't miss this must see museum.  Very well done exhibits and phenomenal specimens of our natural world.  Something for everyone.
6,Bring an Empty Memory Card,National Museum of Natural History is a must visit museum while in DC. Their exhibits are spectacular. So much informative placards to read through and audio & visual presentations to participate in. You can spend several days browsing and still wouldn’t be enough time to see everything. The National Gem Gallery has the Hope Diamond on display. An awesome museum and it’s free. But be ready for lots of noisy student groups in the museum daily.
7,free and very good,This place is crammed with wonderful exhibits. All aspects of life on this planet were represented and we particularly enjoyed the Dinosaur displays.
8,A Great Natural History Museum,This is one of many must see museums in the Nation's Capital. Being a Marylander we take these venues way too much for granted. It has been a while since I had visited and this time I took my grandchildren who loved it. The new displays and up grades are excellent and the interactive sections for children great. There is bag screening so you will wait a bit in line especially at 10 when the building opens. It is no worse than an amusement park so take a breathe and relax. You will enjoy your visit I guarantee you.
9,Lovely option for a fun day of gaining knowledge ,"There are many Smithsonian Museum in Washington but the Natural History Museum is the wonderful place to visit..It shows the evolution of Man,animals and the earth in a beautiful way.there is a separate Dianasaur section so good.. this i think the no 1 tourist place"
10,Love a free museum,Best museum I’ve ever visited! So much information in so many different and interesting formats to keep everyone interested and enthralled. Definitely one for the “must visit” list.
11,Great place,"We spend a few good hours in here. Free entrance as well. It has something for everyone! Great collection, wasnt that crowded either"
12,Well worth a visit,"We enjoyed several hours of colorful and informative exhibits at this Museum. There's little or no parking in the downtown DC area, so its best to take the metro in and just make the short walk."
13,Excellent museum for all ages,"This museum is fantastic and a must see.  I enjoyed the marine, dinosaur, and jewel exhibits especially.  And don't forget to see the Hope Diamond!"
14,A Great Day! ,"I was excited to see the Hope Diamond and other natural treasures. Unfortunately, this museum is in need of some TLC. We found it to be a bit outdated especially the restrooms. Also overrun with small children the day we were there."
15,New updated Smithsonian ,"I have a special interest in minerals and have visited mineral exhibits all over the world.  This one is the best.  Displays are state-of-the-art with superb lighting and labeling.  Outstanding gems are here.  The emeralds, topazes, and diamonds are particularly good.  The Hope Diamond is displayed in its own room and is worth it.  Recreated mine settings are well done.    Great for kids of all ages.  I easily spent 2 hours here."
16,Overwhelming and big but worth seeing a gallery at a time,"Such an amazing place to visit in DC. So much to feel and learn about Ametican art and history. Feel like  coming again and again it's so beautiful and attractive in it's own way. Painting  pieces of art,  sculptures are breathtaking. Can spend hours and hours in the Museum. Cafeteria is an addition to its beauty."
17,"great place, lots of info, but beware of the kids (noise)","Visited several Smithsonian museums, this was our favorited. The fossil and dinosaur rooms were remarkable. Spent about two and a half hours, should allow more time. Also interesting were some of the older exhibits which effectively displayed the questionable ethics of earlier archeology."
18,"A ""can't miss"" museum  for naturalists of all ages.","It's free as it's a Smithsonian Museum. It's very popular with families and children and is very child friendly. The dinosaur and geology exhibits seemed to be the best areas from my perspective. There are very few if any actual fossils on display - they are mostly casts of originals. But this does not detract from the visit as it's an excellent exhibition. In the geology area they actually have quite a bit of very expensive jewellery including the Hope Diamond (bit dull actually though could be due to how it's displayed) and Marie Antoinette's earrings - well the diamonds from them anyway. But some of the quartz, topaz,  meteorites and other minerals are actually more impressive to look at than the Hope Diamond etc. so take your time over these. Quite colourful and some glow in the dark! They also have some moon rocks on display of course. This area is quieter than the dino area but still fairly busy.Better than some other natural history museums I've visited in the past but this one may just be more state of the art, and the others may also have been revamped in a similar way. Didn't bother too much with the stuffed animal bits. But there were fewer than I was expecting and I've seen elsewhere. These museums have I think moved away from just being a large storehouse of stuffed animals and rather boringly exhibited rocks in recent years."
19,Tons to see,My son and I visited the Museum of Natural History on our visit to DC.  The museum has a wonderful collection of dinosaur fossils presented in a very engaging manner.  There is also a large collection of taxidermy animals from all over the planet.  Those two exhibits are some of the most fascinating parts of the museum in my experience.  Of course the main attraction of the museum is the Hope Diamond.  It is a 45.52 carat diamond with an exotic and glamorous history.  It is reputed to have come from India; some even claim there is a curse on the jewel.  It used to belong to King Louis XIV of France.  It was stole and recut at one point.  The story is very interesting and is recounted in the exhibit.The museum is definitely worth a visit if you are in DC.  I highly recommend it.
20,Not to miss,"This is a great museum for people of all ages! And if you have a little one in your family, I think this could work for you!"
21,Beautifully Extensive,"And this was a treasure of a tour. We highly recommend it. It can be for larger corporate groups as well as more intimate groups like church groups and family reunions.  Our hosts were incredibly knowledgeable, excellent communicators, and flexible. And best of all just plain personable and fun. The focus was to uncover the rich forgotten African American history of the area. We met our hosts and travelled in their SUV for 3 to 4 hours all around the city of Dallas. Cemeteries and vibrant neighborhoods, hotels and places in the Green Book featured in the movie by the same name, and so much more were seen along the way. The final stop was at the African American Museum which helped in pulling it all together. We highly recommend this activity."
22,Fun Museum to visit!,This is a must see on a trip to DC. We both found it fascinating and enjoyed all the exhibits You don't get much for free these days so drop in - you'll be really glad you did.
23,Why? It’s Science!!!,This museum was pretty cool and I think it is very well organized. I enjoyed my time here and we especially liked spending time with the butterflies and the opportunity to hold insects and watch a tarantula being fed. The staff is very kind and helpful. My only wish is that I had more time at the museum but I plan to return.
24,Enjoyed my time,"While it didn’t make me weepy as the American History Museum did, it is still a great free museum for anyone interested in nature and the Earth. Take time to see it if you can while you are there. Many cities make you pay for similar, not as good facilities. 2013 visit for me."
25,"Great place, a little dated",Love this museum. The history shown here is very educational. Go on time in order to view all levels. So much to learn and appreciate.
26,Captivating experience!,"This is a wonderful place to get away from Washington politics. There is no entrance fee, to this, one of my top two favourite museums in the USA. The displays are beautiful and many massive, including one of the world’s largest real Tyrannosaurus Rex skeletons."
27,Breathtakingly Curated,"Although the gem and rock collection is amazing, I am not a fan of stuffed animals.  But all of the exhibits are interesting and well laid out."
28,A lot of amazing artifacts ,"From the National Museum of American History to the National Archives, there is something for everyone here. Carefully curated and expertly preserved, the exhibits are informative and beautiful. Be sure to wear good walking shoes and carry as little as possible. There is a lot of walking and each museum has a security checkpoint at the entrances. The museums are for all to enjoy and they are free of charge. Allow yourself plenty of time to truly explore."
29,Butterfly Exhibit and Insect Live instructions,A great museum. Lots of interesting stuff from the Hope Diamond to animal skeletons. A wonderful for kids and adults with cool and well-organized exhibits. You can spend hours reading stories behind the precious jewels. You will be amazed by the magnificent rocks. Especially the fluorite rocks. The only disappointment was that the skeletons were made out of plastic.
30,great place to spend some hours,The National Museum of African American History and Culture was AMAZING!!! I will be visiting again because there is so much information that I need more than one visit to get the full experience!!!
31,Best activities to do in Washington,"The refurbished museum is a fantastic, world class exhibits, so much interesting stuff. Certainly lives up to the hype."
32,Well worth a visit. ,Just to say that this is a very impressive museum. So much to see and do - you need a while in this place. My kids loved it and the exhibits are really fab.
33,Really cool and it's FREE!,"Wonderful museum, and well worth your visit. So much to look at, to read about, you need a half day here at the least. The displays are fabulous and interesting. There is a cafeteria on site, but do check the hours. When we finally decided we were hungry it had closed. Some great gift shops as well."
34,Something for everyone,The Smithsonian Museums were wonderful to visit. So many things to see and learn about. I only wish we had an entire week to explore this museum. Be aware that mostly everything in DC shuts down at 5pm so get an early start.
35,Multiple topics,Great museum with rare and interesting exhibits.Highly recommend if your visiting DC for the first time.
36,"""Awesome experience at the Smithsonian""",Our family - including two young adults- thoroughly enjoyed wandering through the large museum! There is something for everyone - from the prehistoric era to gemstones to special exhibits. Take the time to read about the displays to broaden your knowledge base.
37,Excellent Guided Tour of Deep Time,"I have been to quite a few Natural History Museums, and this one was pretty good. The various wings were well organized and engaging, with lots of signage.  Not the most outstanding of its type, overall.   However, the geology section was mind boggling.  I went back twice, just to spend more time in that wing of the museum."
38,Love the Dinos !!,"The museum displays several exhibits that one would expect from a museum of natural history - and we did not see all of it. There was a lot to see and to read. What, however, puzzled me was the department of ""African Voices"": Although I did find this exhibition quite interesting and informative, I still cannot come up with an appropriate answer as to why African culture should be displayed in a museum of natural history out of all places."
39,Time Bandit (another National Mall hours stealer).,"This is one of the greatest Museums I have ever visited. You need a whole half day to see it all, but it is worth. Free entrance, marvelous settings, very complete, very nice spaces and good information for visitors!"
40,Wealth of Information!,"Exhibits are interesting, numerous, and free! Learned a lot today by attending the museum. Great time to go, as much quieter in January."
41,Fantastic ,"This museum is great for all ages... Today, we enjoyed seeing the Ocean exhibit, the Mammals exhibits and the Gems. This museum is very informative and tastefully done. Lots of displays which really allows you to absorb the information. The ocean exhibit is wonderful and we never get tired of seeing The Hope Diamond and all the gems & minerals. Great museum for young & old. Enjoy!"
42,Museum of Natural history,"The dinosaurs are just amazing .. so well put together as an exhibit, and a real eye opener to the museum. you can loose yourself for hours in here. a must do as a child or an adult."
