,title,text
0,Great place,"Amazing gardens and area in general.Being an ex Victorian, comparisons between both South Banks was inevitable. Got to say not even close...Brisbane and the gardens, the pool/swimming...just excels.Well done Brisvegas"
1,Best place to relax!,"Visiting family in Brisbane, we were advised to check out Southbank Parklands. Wow, what a place this is. Take a stroll along the Brisbane river, with its sights, views, activities and man made beach!Sat along side the river, under the views of the city skyline, is a hive of activity. A swimming pool and man made beach full of locals, tourists and visitors from all over. We came here 4 times in our 3 week visit. A great way to get some pool/beach time right in the heart of the city. Loads of local shops and bars, a huge variety of food options, meal deals, sweets, cakes and ice creams.We came back on a Saturday afternoon for the markets and the place was buzzing. Market stalls lined the central avenue, all of the bars were busy, all allowing kids in too. Live music at the plough inn and a real buzz around. Southbank by night has a real city feel to it. Great scenes, a very pleasant walk to the Brisbane sign and wheel along the river and still people in the pools at 10pm. I cant stress how good this place is. Possibly the highlight of our visit to Brisbane!"
2,Pleasant Outing,"We had breakfast at Next Door Cafe in South Bank (excellent) then wandered around the South Bank Parkland what a great place for families of all ages. The beach, entertainment, markets, cafes or just wander amongst the gardens.  Sit and watch the Brisbane River traffic always interesting and relaxing Look forward to visiting again."
3,Excellent place to spend a few hours,Marvellous use of the riverside in the middle of a city. Great for kids and plenty of nice restaurants for the grownups
4,The veggie garden!!!,Whether enjoying the sites of the city from the South bank cool lush gardens to lounging in a tropical lagoon. South bank has something for every one. Regular markets are held each week and a variety of entertainment can be found. Loads of food options in a variety of eaterys. Catch a ferry and travel along the Brisbane River to South Bank and have a great day out.
5,Just go there!,"A beautiful cobination of gardens, water features and local wildlife. Well maintained, clean and just amazing.A short walk out of the CBD, or 1 stop on the train from the city.Enjoyed a pleasant sunny Sunday afternoon strole around the grounds."
6,Great family activity,"South Bank Parklands is a ""must do"" when in Brisbane, beautiful park and ""Streets Beach"" right in the city... Awesome!  Easy access with the free... yes free City Hopper Ferry.  Open 07:00 - Midnight and it is free!"
7,Worth a look,Southbank Parklands on the Brisbane River has something for absolutely everyone. After wandering east through the bougainvillea -covered walkway we made our way down to the beautiful grassed area and sat to watch the city light up as it got dark. Then dinner up behind the lawn at River Quays. Delicious seafood and cold wine looking across the river lit by the city and the Story Bridge. Just beautiful!
8,Well kept family space.,"I really enjoyed the walk and the scenery, something different. A must visit place in Brisbane, recommended !"
9,The Main Attraction The Wheel Not Operating.,Visited here with our Brisbane Greeter on our tour.  The way the South Bank was developed after Expo 88 is really beautiful and seems very successful.The beach area is unexpected and so inviting.  I wish I had time to swim or had my grandchildren with me.
10,Beautifull well kept family friendly and clean spaces,"This place is amazing! Right on the Brisbane River amongst CBD. Wer had a great day.  Ice cream stalls and plenty of yum eateries. Life guards patrolling all areas, but very safe. So much fun for the family."
11,Under construction ,"Southbank parklands is a lovely place to visit; the gardens are beautiful with an archway of bright bougainvilleas growing over the top of it and beautiful gardens. There is a man-made beach that is very popular with families and walking alongside the river is lovely, particularly at night time where the city lights shine and reflect on the water."
12,Such a great day out,Great place to wander through tropical gardens and lovely sandy beaches right in the CBD.  Ride the Wheel of Brisbane for great city views.   Great place for families.
13,What a wonderful place!,"One of ""must to visit"" places when in Brisbane. Lot of happy faces tell you about it. When you tired of walking, find you spot and enjoy people watching and beer. On your own or not, one will have a nice relaxing time. More bars and street food would suit better than chain restaurants."
14,Just a get together.,"South banks has something for everyone of any age day and night. Chill by the man made lagoon at beach street, grab a cool drink at one of the may bars, have a picnic or stroll the river. Kids water parks nearby and of a weekend a lovely market. Not a place to be missed."
15,Always nice to wander along the river but very ugly due to construction atm,If only other councils followed the lead of Brisbane free across river ferries for access area gorgeous.
16,It's beautiful ,"This is a lovely precinct of Brisbane, and def worth seeing if you are visiting.  Whether it is a day swimming at the 'beaches' and having ice creams or an after dinner stroll and hot chocolate, this area has everything you need.  Located very close (walking distance) to the city centre, it also is the area that has the Performing Arts Complex (QPAC) as well as Museum etc.  Well worth a a visit."
17,great place to relax,"So many different experiences in this magical part of Brisbane - you can enjoy the man made beach, stroll through beautifully manicured gardens and areas of rainforest, spot the water dragons along curved pathways, soak in the atmosphere of the Nepalese Peace pagoda or enjoy a coffee, meal or a drink at one of the myriad restaurants, cafes and pubs which are scattered throughout these extensive Parklands. Good for all ages, and a wonderful vantage point for fireworks if you happen to be in Brisbane at New Year or RiverFire during the Brisbane Festival annually in September."
