,title,text
0,Padmanabha swamy temple,"Very old historical temple. In this placeLocated in Trivandrum,Kerala. Very biggest gold items are there in the temple."
1,Divine ,"Temple has a rich heritage n history. Must visit place in Trivandrum.It has strict dress code for men n women. Must check before going.Huge serpentine queues would be waiting. Plan accordingly. Buy tinned prasadam for 200 Rs, it's handy if u r traveling further.Seeing the architecture was second best thing for me apart from darshan.No photography allowed. In fact no phones allowed. Carry a pouch with change currency for donations at many places."
2,A must-visit during Kerala trip,Padmanabhswamy temple is well known ancient temple of south India. It is historical and beautiful architectural legend of India. It has it's strict rituals  and you will not be allowed to go inside without wearing dhoti which is available out side on rent and on sale too. Temple…
3,Perfect Destination for Pilgrimage in India,This is the holly place of Hindu temple. Famous richest temple in the world. This belongs to lord Vishnu.
4,Christmas vacation,One of the most popular temple in Kerala as well as in South India. This temple is located in large area. Temple fully covered  with security measures. Photographs are prohibited in some area.  A good temple with highly  spiritual energy.
5,My luck,"World famous temple, very beautyfull, god is vishnu, keralas very traditional temple, superb place ,,"
6,Beautiful temple,"Very good temple so many people from ll over india comes, inside the temple is very much maintained but the entrance looks very narrow ( not actually) "
7,Beautiful temple but poor management. ,This is one of the very old temple with its rich architecture and the its amazing to see huge stone pillars all around the temple. One has to admire the art and artisans who made it possible. The presiding Deity is very powerful and many sincere prayers gets answered. Its saddening to see it getting converted to a Tourist spot.
8,hari anant hari katha ananta - anantsayanam lord one and onlyDIVINE .WONDER,"One of the richest temple holding huge quantities of gold. This is revered and an old temple dedicated to Lord Vishnu called as Padmanaswamy in this temple. The temple is steeped in orthodoxy with males allowed entrance only in a white lungi, divested of all clothes. The females…"
9,A must visit for all,Landmark of trivandrum.... beautiful traditional and vry spiritual. Till date the temple follows the old age custom and rituals . You can go into the temple only in proper dress code. The one and only of this kind
10,Awe-inspiring experience ,"This is one of the oldest temples in Trivandrum. It is very famous and powerful. One must spend considerable time here to have a glimpse of all the important places like, the main deity sree Padmanabhan, darshan of all other deities inside, visit around the premises full of sculptures etcA crowded temple with limited darshan timings and dress codes.A visit to this temple will certainly make you satisfied, fulfilled and happy. Many poojas are available here to suit varied prayers of devotees.Definitely a must see temple and land mark in Trivandrum."
11,Must visit in Trivandrum,"A majestic temple built by travancore maharajas. Great architecture work. Must see once in life time. Padmanabha swamy to be viewed thro three gates one side head, middle portion and leg part"
12,Nice Experience,A very famous temple of Lord Vishnu and the idol is very big and brethtaking view. The dress code is very strict and any mobiles/smartwatches are not allowed inside temple premises. There are private rooms just outside the temple entrance for fresh-up or change dress. It's very rush when we visited and so took special entry ticket.
13,Sree Padmanabhaswamy Temple,Really nice temple to visit still looks ancient inside and posture of Sree padma Swamy is must see. Don’t take more than 1000 rupees to be safe. Leave ur credit cards and wallet at safe place. Men should wear dhoti to enter temple and women must wear sarre or dhoti below…
14,Not very peaceful and inspiring experience,"The temple is probably the primary reason one would visit Trivandrum for. The temple is beautiful and it's a must visit for the religious ones. Others can also visit once for the experience.Do take care that you follow the dress code and the timings. Won't write much about it as it's well documented in other reviews. Do note that standard timings do not apply these days due to renovation work. Buy the premium entry tickets only if you see the place crowded.You can buy extra prasadam for friends and family after the darshan. It costs Rs. 80 per box. The dressing rules for women are a farce as we saw ladies in shorts/beach clothes being allowed entry by wrapping a near see-through dhoti, whereas traditional salwar suits and churidars are not allowed. Anyways, I won't get into the debate, it's just doesn't make mush sense to me.A note for non Hindus - you will not be allowed entry. :)"
15,WEARING DHOTI IS A MUST FOR MEN,It is a very old temple which to be visited. Near by two more place to visit. 1. Kuthiramalika and Chitralaya to bee seen .
16,Amazing,I glad that i visited this temple and admired beauty of dravidian architecture. When i visited this place it was less crowded. You have to buy dhoti from near by shops in price range from 40 to 50 to 150 because it is compulsory.   Odd thing i found there is that even after you…
17,Richest deity in the world...,"Sree padmaswamy temple is know as richest temple in Asia but I believe it's the most beautiful temple. Though cameras aren't allowed inside. There is a very beautiful sculpture of lord vishnu and lord narasimha. Lord Vishnu's sculpture is huge and made out of gold. This place reminds me of the old times. This place is has a beautiful architecture and ancient painting of all the hindu deit,ies on all the walls of the temple. There is a dress code too for women it is compulsory to wear saree though you can wear long skirts too and for men it's a bit strict they have to wear only dhotis with no shirts or vests."
18,Good temple in South india,"If you are in trivendrum then it is must visit, age old temple with traditional values. Must fallow the strict dress code and also they have timings in morning and evening, please ensure before. The visit will bring you a Devine feeling which gives you peace"
19,None Hindu not allowed inside the temple!,"This is an ancient temple in the heart of Trivandrum city and there are certain customs assoicated with it, especially about what devotees are supposed to wear. There's a beautiful pond near the temple. devotees can expect long queues for Bhagwan Vishnu's darshan. overall a very amazing experience!"
20,Best visit,"With underground wealth worth billions, this temple is one of the major attractions in Trivandrum as it offers Lord Vishnu's blessings as well as a glimpse to lost architecture and history. One must wear traditional clothes to enter the temple. With black stone architecture, it is one of the best temple in India."
21,"Beautiful temple, arrogant management and admistrators",Sree Padmanabhaswami temple is a great temple with historical importance.A real holy divine place.No words can explain the Experience.
22,Heritage temple,Must visit the temple of Maha Vishnu .The architecture of the temple is fusion of kerela It's beautiful .We visited the place on the Sunday afternoon it was hot day but we enjoyed the darshan.🙏
23,Anniversary,This temple is one of the most sacred temple where you will get to see giant and rare pose of diety of Lord Vishnu.
24,Beautiful Temple,"It's an old temple of india, considered as richest god. It's completely divine. Temple is made of stone and has gold around the idol. Diyas, are natural. No artificial light inside the temple."
25,A memorable experience,"Padmanabha temple in Trivandrum is a must visit temple for Hindus. Situated in fort area this ancient temple of Lord  Vishnu on Adisesha is famous for its historical and religious reasons. The temple has some rituals which every visitor is expected to follow, men have to remove shirts and wear dhothis and women have to wear saris or cover dresses with dhothis. Mobiles, camera and other electronic devices are not allowed and outside the temple there are shops for dhothis and changing rooms with lockers at very low cost. Temple is crowded with devotees but everything is well organised and causes no inconvenience. The main Sanctus sanctorum has three doors and one can see head , mid body and padam( lotus feet) of the Lord with each door. A ticket for 20₹ offers Darshan from the frontline and can get Prasadam also . The complex also has temples for Ganesha, Garuda and krishna"
26,Amazing,"We went for early morning Abhishekm time. Huge temple complex, may be the biggest in Kerala. The entry timings are very restricted. It is advisable to enquire beforehand. Dress code also very strict. No electronics devices are allowed including electronic watch."
27,A Devine experience,The Padmanabhaswamy Temple is the most famous historical important landmark of the city with wonderful styles of architecture.Only Hindus are allowed to enter the temple but it is definitely worthwhile to see the Incredibly amazing architectural of the Gopuram from outside.
28,Divine feel,One of the richest temples of Hindustan and near to Railway Station but you have to wear Panche (no lungi and formal) dress should be traditional.
29,tour cum internship,Temple is very grand and darshan of Lord Vishnu is unbelievable . U will have devine feeling during your visit of Lord Vishnu .. rituals are very interesting . Men and boys have to wear men's dhoti and take off upper clothes . Ladies and girls to wear either Sarees or skirt. Temple is very big and beautiful. Must visit in trivendram .
30,Temple visit,"This temple is really very old and the major temple in Thiruvanantpuram. The Temple is closed after Noon till about 4, pls check the exact timings. Also, they have a dress code which is why i gave entering the temple a miss. There's a Museum right next to the Temple which is…"
31,Ashamed to be a Hindu - please avoid this hypocrisy!,Must visit place. Well worth the visit. One has not visited Kerala if this place is not visited. Historical and full of legends and mystery.
32,Pilgrimage trip,One of the best temple in Kerala. Its really very wondering temple. It gives so much peace to everyone.
33,Padmanabha swami temple,Sree Padmanabhaswamy Temple is a best place to visit in trivandrum. large premises. this is among 108 places to worship lord vishnu.   
34,Mesmerizing and magnanimous,"Just love this Temple and amazing history. Claims are, activities on this site date back 5000 years with a statue of Vishnu being found on the site. Also recently discovered foundation walls filled with todays estimated value around 20 billion in gold. Beautiful architecture and…"
35,Beautiful Temple,"This temple of lord vishnu tales you glory of Prachin Hindustan. Non Hindu may not like it as they are not allowed inside temple but this is our belief.  Temple u dose not  looks great from outside but once u enter inside, the parikramama marg with carving pillers makes u…"
36,Wonderful temple,Shree Padmanabhaswamy temple so beautiful & nice place.  Everybody one time should be visited this place. 
37,Openly Racist temple. Worst experience. Morally bankrupt temple.,"It's an amazing temple to visit where you have Darshan of Vishnu ji in 3 parts. One with Sheshnag and his hand on Shivlinga, in second part goddess Laxmi and Brahma ji in lotus coming out of his naval, in third this feet. Got the opportunity to have Darshans twice."
38,Good temple Unruly Crowd Arrogant and useless Security,This is one of the best temple available in india. This is architectural marvel in the country. Must visit
39,Visited with my friends,This is the temple which follow strict tradition and one should visit this temple once in a life time. The architecture of the temple is very nice .
40,Ancient temple ,It is one of most ancient temples of India.Must visit for all the devotees.It gives ultimate peace when you visit this place.This temple also holds great history.
41,Serene and imposing!,Padmanabhswamy temple is in the city of Trivandrum and must be visited. They sell lovely things outside the temple. No foreigners are allowed inside. There is also a museum there.
42,Nice ambience,"A Must visit place , havent seen a deity idol like that. Campus is very well maintained and the history of the temple is very interesting.  Must wear dhotis only for males and females : Saree or Top+Dhoti"
43,Great place of divinity,"Famous ancient temple with main deity Vishnu , in lying down position , entire sculpture is spread over large area covered by 3 adjacent doors , on the left showing head n face , middle showing tummy or naval n right door showing legs , temple remain open at different times , one must check the timing before visiting the temple, apart from free darshan one can avail paid darshan at rs 200 for 2 with prasad at rs 50 , dress code which is compulsory , gentleman to wear dhoti without any garment on top , ladies to wear saree Only ."
44,Only For Hindus,The temple is good and has large complex.  Compulsory purchase of Dhoti is a bit negative. They should also make it available on rent. Ppl who purchase Rs 250 tickets for express line can have closer darshan at the Vishnu God idol. Temple Complex is very large.
45,Exterior review,Sree Padmanabhaswamy Temple is one of the most revered places of Trivandrum. Very famous and have lot of followers. You need to follow dress decorum.
46,A dazzling experience,Visited may times ..awesome temple with high positive feelings..its in the center of the city and by the temple name only city named as thiruvanathapuram..such a nice place 
47,A place to remember,"it is very nice temple to see, good architecture of the temple, be clear on the timings to visit. it is very near to railway station around 2kms. dress code is very strict."
