,title,text
0,First among 108 Divya desam..,"Recently I visited this temple. Neatly maintained and due to covid-19 , the temple allows devotees in small groups with proper social distancing.. mask should be weared, hands are sanitised using an automatic hand sanitizer machine..  since there are only limited people allowed  for Darshan, you could have a good Darshan of Lord Ranga..…"
1,One of the Pride of Indians,I recently visited this temple with family.The temple is the must visit temple in trichy.The temple holds its pride with various history and depicting paintings all around.The mail lord here is lord Vishnu and it is one of the 108 Divya Desams stalams.Do visit it to get amazed more.
2,Awesome experience,For first timers this visit to the temple will be unforgettable. With the highest temple Gopuram in India the temple is vast complex and a must visit place for all Hindus. You have to select the correct dates to visit the temple to have dharshan of Swami Ranganathar with less…
3,Not to be missed.,A temple that must be visited by every person who visits trichy. The beauty has been maintained except the shoes based inside the temple.
4,Massive temple complex!,A huge temple and a must for any temple visitor. We were lucky to get accommodation near the temple and spend quite a team visiting this huge temple complex.
5,What to see in Srirangam,Very clean but very crowdy always. Here lord vishnu is in laid position. It's a very famous temple in Trichy
6,Magnificent temple,"What a beauty. Excellent temple and a must visit one . Main deity is lord Vishnu . we have visited last week . its was crowded and can see long queues . But there are paid queues for Rs .50 and Rs.250 . if yo uhave any other plans please don't go here coz we don't know how long it will take to get the Darsan . Anyway you will be satisfied the moment you see Perumal and all the pain , that you were suffered will go . the big temple towers will comes to your mind when you try to remember Srirangam be in your mind . I swear ."
7,Massive,This is a must see temple in south india.  Great maintenance of temple.  Lord is amazing.   We could spend any amount of time sitting in the temple peacefully.
8,Abode of penance,"This temple has many Temples within. Takes about few hours to explore the entire temple. There was a queue to pray to the main deity, Sri Ranganathar. However it was worth the wait to get in to be blessed. Of course there are various opportunities to avoid the queue. One of it is paying to skip the line. The temple has a pleasant and peaceful atmosphere. The priests will explain the history and rationale behind the deities and the positioning and this provided good learning moments while we were there. This is a must visit temple at Trichy and suggest to plan a few hours for this visit. Worth it."
9,do not miss the shopping in the first & second level,This Temple is relatively known wide by almost all the people.This Temple is famous for its -01. Entrance high Gopuram whichbcab be seen miles away from srirangam.. 02. Very tall Garudan sitting in the entrance of the Ranganatha swamy sannithi 03. Amirtha kalasam yenthiya karudan sannithi opposite to the Prasadam stall.. 04. Sonna vannam seitha perumal sannithi.. 05. Dhanvanthiri sannithi 06. Kambar mandapam07. Sorkavaasal dharsinam 08. Mettu azhagiya singer sannithi09. Ramanujar (Udayavar sannithi) This Temple has around 80 sannithis. All are important..  I have mentioned the sannithis which many people are not seeing..
10,Had been there to witness Vaikunda Ekadasi.,Its a very big temple with many entrance and not that much crowded. Must visit the thayaar sanidhi behind.
11,Perumal Temple,The temple is big like many other south Indian temples. The structure is very old but well maintained. Temples do not have proper guidance and signage for first-time visitors.
12,The devotee is nobody,"This temple is dedicated to Vishnu.  It has 49 separate shrines, and feels like it’s own city.  Go in the morning when it is cool.  You have to remove your shoes and pay 10 rupees to the shoe keeper.  There is a charge to go in."
13,What a temple is!! Tough to see main lord,"A must visit while in the area or even otherwise.  Divine for the faithfuls.  Well maintained and crowded with devotees at all times.  However, there is a special entry fee of 250.00 in local currency for a hassle free line."
14,SRI RANGAM,Love this temple for the architecture and the serene environment & atmosphere. Awesome Entrance(Rajagopuram).  Historic place.  Greenery everywhere.
15,Absolutely stunning temple!,A nicely build temple with lot of hardworks.. an must visit place in trichy . Good  icon and devotional place to know about Sri ranganathaswamy.
16,A divine experience,"This is one of the holy places in India. This temple complex is pretty huge. Wheelchair is available for differently-able people. Vishnu is the main deity. The sleeping posture of the deity is so divine. During festival seasons and holidays, expect a huge crowd. Would recommend…"
17,Beautiful and huge Temple,Huge site. Wonderful site with many structures. Most temples are adorned with colourful sculptures but there is also a white temple as well as a golden temple. A photographers delight. Excellent.
18,Wonderful experience of rich culture and traditions ,"I visiting this temple on 2/9/2018, Very big and beautiful temple😍 In Sri Ranganathaswamy Temple reclining form of the Hindu deity Vishnu, located in Srirangam, Tiruchirapalli, Tamil Nadu, India!🙏"
19,A sacred Temple Visit,"The temple complex is huge, spacious and beautiful. We visited the temple in the evening and also the following morning. The evening time was good since it was not very hot. But it started raining heavily just as we got out of the temple. In the morning, we reached there at…"
20,Very very poor organization!,Rs 250 is the special entry charge per person to have quick Darshan without any xtra frills. Temple is ancient and must visit for everyone!
21,Temple timings,"This is a great temple but if one wants to get Sri Ranganathar's darshan, I'll would strongly suggest to go to the temple in the morning from 5am onward but before 7am as the main sanctum will be closed at 7.30am and open at 09.30am. However, the timing is not predictable other than morning 5am onward. It will take about 2 to 3 hours to complete viewing the temple completely. Some sannathis are closed at 09.30am and some at 10.30am. Timing is really confusing. Worth visiting even it is going to take you 3 hours."
22,Divya Dharsan,"This is a huge temple in Sri rangam. We had a great darshan, once in the evening and once early in the morning. Lots of deities are there. The viswarupa seva in the morning between 6am and 7.15 am is very good. We went at about 5.30 am and got tickets. The tickets are limited. So you need to go early to get them. The morning darshan was very pleasant."
23,MUST VISIT TEMPLE,"This is really a huge and impressive Temple complex. Unfortunately, owing some repair/maintenance work, some areas were not accessible in March 2018. Since we were not aware that the main sanctum of the temple remains closed from 5.30 to 7 pm, we had to spend time moving around…"
24,Beautiful temple.,"We visited on 15th June 2018. The temple complex is in a vast area of 156 acres. It has 7 prakaras or enclosures.There are 21 magnificient towers in all prakaras. This temple lies on an islet formed by twin rivers Cauvery and Coleroon. This temple is thousanda of years old. The presiding deity is lord Ranganather. There are about 53 upa-sannathis.The important sannathis are for Thayar, Chakkarathazwar,Ramanujar,Garudalwar and Hayagrevar."
25,vaishnavite thivya thesam temple visit enriched my cells,The best part of this place: 1 is a good fighter 6 offers to see the entire Temple premises. Also this is built so huge that it takes nearly a 4-5 hour walk to see the every bit of the marvelous architecture. The entrances of the temples are huge and great. The architectural…
26,Gopurams Galore,Good temple to visit. But it is commercialized with different categories of entry fees. Family who are carrying babies can avoid standing in a queue because it is suffocating due to the crowd. The ground level staff who manages the crowd doesn't treat and respect people good.
27,Architectural Wonder,"The colour , sounds and smells of this temple are a sensory overload . This is a very active temple with a long history.  Streets are filled with worshippers , incense , garlands of flowers and the soaring temple itself make for a visual feast. Find a café and just sit and…"
28,"""An ancient vast Vaishnava temple on the banks of the River Cauvery & Kollidam....""","The layout of the temple is interesting, and it is easy to reach by bus.The architecture is similar to Minakshi temple, though not quite as elaborate."
29,Family visit,This is a great temple but not well maintained and some of the priests can be rather rude chasing everyone rather than allow the people some peace to view the deity. You might want to pay for the 'express pass' and at least with that they will provide a bit more respect and…
30,Ancient temple unique architecture,If you like Dravidian architecture & appreciate the scale of time to build these temples then you will not be disappointed. The walk around is certainly worth it and it is also worthwhile going with a guide to enrich the experience. 
31,Holy Place,Peace and Calm place to visit. But people and Priest make it difficult to view the Lord idol. However i had a some good time spending extras. Its very huge temple.
32,flight hub,"Dedicated to Vishnu, this is a massive temple complex. The main entrance gate is massive and highly decorates. You walk thru a number of gates before you get to the centre of the complex( where only Hindus can enter). The central parts of the complex are well carve and there are a lot of granite pillars, there is a a large Garuda shrine but no photos. All in all I thought this was really worth visiting.  You can wear socks here and ....... you should as there are a lot of hot stone slabs!…"
33,Devotional,Winter months are seasonal months for visit. Grand temple with 7 Praharams. Architecture is splendid as is a feature of temples of Southern India. Lord Vishnu can be seen in a lying down position. It is first of the 108 Divya Desams of Lord Vishnu. A must-visit temple any Vaishnavite or people interested in Pilgrimage.
34,Good temple but expensive on the tickets,"its a huge temple complex with many towers, very well maintained, many local shops around and inside the temple, I visited about 10:30 and found it was crowded, I took and auto from the hotel to the temple as locals suggested its difficult find space for parking and it was true - I highly recommend this temple, A must visit"
35,The very first Temple of 108 Divyadesams.. ,The temple is designed for the lord vishnu.It is a very famouse temple.The temple is always crowded.
36,Great and amazing divine place,Best place to visit. One day is not enough to see all the deities within this temple complex. Best time to visit is during Ekadesi (Mid December to Jan) pagal pathu and ra pathu (10 days & 10 Nights).And this temple has festivals throughout the year. Variety Rice in Prasad Stall is awesome. Its my all time favorite. Must try once.
37,❤️,One of the 108 Divya Desam. Temple is beautiful. We need to really wonder at the architecture. How can one construct such a heavenly temple without modern equipment. Hats off. One of the oldest temples of TamilNadu. SriRanganatha Swamy (Mahavishnu in reclining form) and Thayar…
38,Nice temple ,Must visit place to see the beauty of Tamigzh Architecture. One of the largest hindhu temple in India.
39,"2nd Largest temple in the world - Amazing construction, architecture and the sannidhis",Interesting temple and even more interesting architecture - well planned. However beware of people asking for money for special blessings or performing special pooja(prayers ) for you.
40,Battery car available for Main Sannadhi s,Very nice place. Ancient temple. Built by 7 kings and it's the second largest hindu temple. They allow cameras till 3 circle of the temple. Last 2 circles they won't allow cameras but can carry mobile. They charge for cameras and top view. Don't miss the top view where one can see all the 21 gopurams  (temple tower)
41,One of the 108 Divya Desams of Vaishnavites,"visit the temple at 430 to avoid long queues and take the special darshan Rs 50 INR as it avoids too much queue and is as good as the 250 one.the temple is an standing testimonial to the Hindu culture and houses many small deities inside which will take atleast three to four hours to visit all. evenings are the best time to visit and avoid public holidays as its get excessively crowded.you can carry your camera inside and take photos except of the main deity.a must visit place just to see the sheer massiveness of the temple complex and the ''Gopurams""."
42,Excellent piece of history and knowledge,"Must visit one of the best South Indian temple. Huge , built with GRANITE.  IT'S SUGGESTED TO attend early morning DARSHAN, aarti * "
43,similar to kerala temple,Full of divine vibration. park your car comfortably in the north gopuram entrance. Do not miss to visit Ramanujar temple in the south east corner
44,One of the Divya Desam,"The whole temple is built by granite single stones.The main tower is a wonder , you may feel like this was not built by human being. There are 3 options of Q for darsanam. Free,₹50 & ₹250. Check for the crowd before you opt for 250 Q. Never visit during 11 am - 4 pm. You can't…"
45,Devotional,"biggest temple in India ( its really huge), we have visited this temple on sunday afternoon and we have got very good darashana of load Ranganatha.normally some of the devotees will cover all three temples of ranganatha swamy on one day (adi ranga(srirangapattana, karnataka),  madhya ranga (Shivanasamudra, karnataka) and antya ranga (Srirangam, Tamilnadu)).But we just visited this temple directly, we enter the main enterance at 1:30 PM and in en-query section told us that temple will open (ranganatha swamy) at 2;30 PM and we dont have any rush so he stand for normal darashana.If you need urgent darashana there is an option of 50 rs and 250 rs darashana.As there was very less crowd so we gone for normal darashana and it take us around 45 min to get darashana.there is lot of other temples inside the premises, so it will take you around 2 hours to cover all the temples.Note: -if you are travelling in summer please dont leave your footwear in the 1st gopuram, in the 3rd gopuram, there is a clock room and footwear stand for pilgrims."
46,Visit to Kanchipuram and Trichy.,It's one of the famous vaishnava temple and I believe it's historical origin is from 11th century. It is such a huge temple and spread across more than 100 acres. The temple is located between Cauvery and kolladam rivers. The interesting feature is one can have darshan of main diety from close proximity. The temple is truly symbol of marvellous Dravidian architecture.
47,One of the Must Visit Temple,"Very beautiful and historic temple. Lord Vishnu in full splendor. A very divine experience.We started from Bengaluru at 4 in the morning on our trip of Adi Ranga (Srirangapattana, Karnataka), Madhya Ranga (Shivanasamudra, Karnataka) and Anthya Ranga (Srirangam, Tamilnadu).…"
48,Temple complex with Mythological and Engineering excellence.,"One of greatest and ancient temples in and around trichy on the bank of cavery river.One should not miss this great shrine when you pass south India,the cleanest city,trichy or known as trichirappalli.Spend some time here to view and admire the fantastic architecture,did so many years before.Even a person with out believing God,will get inspired and get that good worshiping feeling,when you are here.Really we all gifted and blessed by our parents and grandchildren grand parents to visit such a divine place"
49,Vaikuntum of The Boolokam (Earth),The place has vibrant energy dedicated to lord Vishnu though in south india most of temple dedicated to lord Vishnu but this temple is something unique and different with beautiful gopurams and colourful gates and vibrant energy of followers who make this place and unique !!!…
50,Nice temple,"Always crowded, next to Tirupathi, again because of better crowd management, Dharshan is peaceful..Better avoid holiday and Sabarimala season to have more time to see the god.. Don't missing ramanujam 1000 pillar hall, beauty of main gopuram and coffee just outside of the main…"
51,Divine blessings from Lord Ranganatha,This is one of the most ancient and sacred Vishnu temples in India abut its ruined by the greedy Management. The only temple after Tirupati to charge 250 Rs to see the god but cant be compared to the cleanliness and efficient management of Tirupati. This Temple is ruined by the…
52,Religious Visit,"One of the most revered temples in South India but amazing architecture and gopurams. However, the queues are too long even for paid darshans. it took us 4 hours to have darshan despite being in the fastest queue. and the pundits kept pulling people away as soon as the turn…"
53,Just divine,The temple itself a City of Master piece creation. Truly Divine with Aadhi Vishnu a Prime Lord. Must visit temple and well maintained.
54,Largest Temple in India?,This is very good and big temple in Trichy.  This is main temple in this city.  Very beautiful entrence. 
55,Ancient Temple,"Beautiful temple , my family and I had a Great experience looking around the Temple .Fulfilling Darshan."
56,Perumal Sri Ranganathar in “Kidantha” kolam & Bashya Ramanujar,A very nice temple but it was quite crowded as we went on the first day of the Tamil month. Good Darshan.
57,Magnificent Vishnu temple,"Rich with history, amazing architecture , this temple , the largest functioning temple of Sanatan Dharma in the world, is simply awe inspiring. Many superlatives are used to describe the temple - the big idol of Vishnu, resting as Sheshnaga; the large area - more than 150 acres;…"
58,Calm and serene atmosphere,Beautiful temple The ancient temple and positive vibes definitely contribute to a very spiritual experience.
59,No words could explain the speciality of this Temple.. ,"This place is so beautiful and the art is awesome unmatchable art , As said this very old temple probably 11th Century. This should be a must visit temple normally queue takes 2 -4 hrs or VIP darshan 30 minutes to 1 hour need to pay for it "
60,Awesome temple,"This is an architectural marvel with huge Temple towers and many prakaras and excellent workmanship in stone.It is located on an Island between River Cauvery and Kolladam and estimated to be 1300 yrs old.The northern tower, which was not completed for nearly 350 yrs,as it collapsed several times in 16th century,was completed by 44th Ahobila Mutt Jeer.It can be seen from quite a distance with a height of 250 feet.Srirangam is 15 KM away from Trichy."
