,title,text
0,Just one of many historical sites that makes an attractive backdrop for this town,"Side was clearly an influential port to the ancient Romans, & evidence of their history here can be found all around the town. It does make an attractive backdrop to the town"
1,Takne by surprise,"Very interesting site most of it free to enter, the main Roman road through site is still being uncovered now."
2,So romantic,"The ancient Roman ruins are a must see , not just the Temple of Apollo but many other areas all around Side in Turkey . There is a lot to see and some bits are intact but they are being worked on everyday and being added to by today's workmen . Some of the repairs in some areas are very poor . Just look at the poor rendering done to the columns of the temple . It is a must see but much of it are just solid walls of mixed old and new stone ."
3,Sightseeing ,In the centre of Side one can wander through these impressive Roman remains..It is close to the ancient Roman harbour.
4,A wonderful sight to behold!,overlooking the sea it's an impressive site with lots of ancient stone work surrounding it worth a visit.
5,Holiday ,Less to see than other artefacts but still impressive how these columns are still standing after hundreds of years. They are free to see and make a good location for photos especially out to sea. worth visiting then having a drink looking out over the harbour and chill an hour away.
6,Apollo Heaven,A walk down towards the Old Town and via these ample and magnificent part of Turkish History is a must.....You could mistake yourself for walking in Rome.
7,Nice trip from hotel ,Some great historical landmarks available to see. The temple of Apollo was very easily accessible and there were good historic descriptions  in multiple languages for people to read.
8,Must see,Wonderfully preserved and in touch with what the Romans accomplished all those years ago. Idyllic back drop for some wonderfull timed photos
9,Worth a visit,"The Roman ruins are all open plan and free to visit. Amazing to see,  and all within walking distance of each other."
10,Beautiful place,"Very impressive ruins, positioned overlooking the coast, the arrangements of the damaged rocks around are well thought out and well preserved, although the tourist do keep climbing on them for the ‘perfect selfie’ – shame, but otherwise a great sight worth going to."
11,It's a temple,"Spent a couple of hours exploring the ancient sites in Side. Very accessable sites including the amphitheatre, temple of Apollo and the Byzantine hospital. Well worth a visit."
12,Amazing,"We only managed to visit at night, but this ancient ruin - the Temple of Apollo, is well lit and freely accessible at the end of Side harbour. After eating at one of the nearby Restaurants (Liman or Aphrodite) its good to stroll to the end of he harbour and take in the view of the Temple, which is dominated by the Huge remaining doorway structure, as can be seen in the photos.Side is literally littered with Ancient Roman ruins, this is a famous one and well visited even at night."
13,Must Visit ,"Apollo's temple  and the other  ruins are well worth  a visit  in  Side.  We took the bus feom our hotel whoch was only 5 turkish lira each, much cheaper than the taxis, and they drop you at the bus station so you take  a lovely walk through all  of the ruins, passing the  amphitheatre down through the old town gates to the temple.Unlike here in Britain with some historic sites, the temple is fully accessible which makes this a magical and tactile experience.As we also did  the boat tour a different day - we had the opportunity  to see it  from the sea, imagining what it was like many years ago when others may have come tonthw temple and harbour in this way.Well worth a visit."
14,Lovely,The ruins are fantastic in this area and the harbour is lovely but in our experience all the shop owners and restaurant owners ruin the experience as you cannot walk 5 minutes without being pestered which gets rather tiresome. Also try to go later in the day when it cools off a bit as was way too hot for us which ended up with us leaving early.
15,So lovely,"The whole of Side seems to be built in to, on, and around the ruins. Apollos temple sits proudly just off the harbour. Interesting monument and very photogenic"
16,Beautiful sunset scene,"Make the temple of Apollo a part of the stunning tour of the ancient ruins around Side. My family and I were fortunate to walk the streets (old and new) of Side on a beautiful day, which made the Temple that even more amazing with the contrasting white stone against the turquoise sea and blue cloudless sky.Definitely worth taking a few hours or an afternoon to enjoy the town and all it has to offer."
17,Harbour then walk,"Very impressive structure right by the sea. Well worth a visit loads of ancient stone work all around, fascinating to think how these were fashioned and erected so long ago."
18,Sunset wow,"I'm so glad I saw the Temple of Apollo years ago, on previous visits to Side;  when I was able to walk. Unfortunately I am in a wheelchair now and unable to access the grounds. Side is under major renovation, so wheelchair access should be considered for disabled people to see the historic sights."
19,A lot to see and free,This is why we came to Side. A beautiful piece of history. Stunning especially when the backdrop is a clear blue sky which meets the sea.
20,Gorgeous Location,Lovely to stroll ruins on the sea front.Temple of Appollo close to the Harbour and centre of the very attractive Side.
