,title,text
0,Best place to visit,Beatles is best place to visit in Rishikesh.  Fans and lovers occasionally stole in to scrawl their names in the empty buildings.
1,The Inner Light,Must visit if u are in rishikesh you will get to know historical pictures of Beatles still exist in rishikesh
2,great place to visit,"Beatles Ashram was a major attraction for foreigners and it was free. Where they created very nice Graffiti, painting around the Beatles Ashram. Now Indian government took over this place and cashing out :) Entry time to this place is from 9am to 5 pm Entree fee is Rs 600 for foreigners, Indian Rs 150..under 18 it's free so I sent my 7 years old son and he took some pictures inside it. Even though Rs 600 is the entry fee, I have seen a foreign lady entered it paying Just 300 or maybe less (not asking for a ticket). This trick may help you... Welcome to India :)"
3,Travel back in time with The Beatles,I believe beatles ashram is must visit place in rishikesh.oddly satisfying and haunted place to vist.. not really haunted but yeah if u have a imagination you could feel :D
4,A graffiti  lovers paradise,This place is one of the tourist place in Rishikesh which is globally acclaimed after the Beatles visited the Maharishi Mahesh Yogi ashram in the year February 1968.
5,Overpriced but good,Its situated in the Rajaji park in RishikeshIt has the memories of beatles when they visited the maharaj ji ashram in 1960’sThey have some preaching done which are well exhibited there in the buildingThey charge you to visit this place so if you are going as student carry your id to have discount.They have some good graffitis I liked few and some are destroyedBut visit once
6,Pleasant quiet space,"Ticket prices are bit too high.. Beatles Ashram is one of the good places to wander, Its little away from the noise of town which is good. I like the nature around however it needed to be maintained and clean."
7,Good,Disappointed that the buildings have been vandalised. Still a magically place especially when some sings Beatles white album as you go round
8,So good I have been twice ,Best place to showcase your photography skills in luxury green atmosphere.Graffiti artwork at the beatles ashram is also one of the famous thing.Now it’s deserted but with lush green ambience in the suburban alleys of Rishikesh will greet you inside.
9,Nature claims the ashram,"A small poster that highlights the major tourist spot of  at Chaurasi Kutiya, more famous as the Beatles Ashram."
10,Beatles ashram ,"Definitely make it a point to visit this part open art gallery, part abandoned buildings, part museum of Beatles stay."
