,title,text
0,Colourful in Autumn,We visited here at the end of September.  Wow the gardenersdo an excellent job here.  So many flowers and plants and so much colour.  Took a photo of the map at the entrance to find our way around.  Considering this garden  is free to visit I would recommend anyone coming to Sheffield to pay a visit.  It is as good as Kew Gardens just smaller
1,Waste of time ,We visited the Botanical Gardens last summer for a craft event.It's a very nice place for a short visit and also has a cafe if you fancy lunch there.Be aware though that it's a bit steep in places!
2,Really enjoyable place,The garden is simply awesome. Some lovely hardwotking staff have maintained it pretty well. Was able to see some plants and trees from around the world under one roof which was spectacular. Especially my 6 year old enjoyed being there.Highly recommend for families to visit with their kids. Thank you
3,Ideal peaceful place for a walk,Our son took us here after lunch for a Sunday afternoon stroll. Never been here before but very pleasant & the greenhouses were open and have some good plant specimens.
4,"Car parking, except for the disabled, is not easy.","These botanical gardens are lovely, a real gem and a credit to the staff that look after them. We visited at the weekend so got rather wet! But still managed to enjoy the gardens and the hot house.Fabulous array of plants from around the world and some quite stunning cactus."
5,Beautiful and peace place People so obviously work hard to tend these beautiful special beds.,Pleasant gardens even on a autumnal day. The greenhouses were very good. Nicely laid out. I imagine it will be spectacular in the spring and summer seasons. Well worth the visit.
6,Unpleasant posh locals.,These are beautiful gardens and lovely large greenhouses.We have visited in summer and winter and both times have found plenty to look at and admire
7,Really nice area,"We make a point of visiting the gardens when the magnificent display of crocus are out.The park is nicely kept although I object to parents playing football with children ruining the grass.     It attracts families and dog walkers and is especially busy when the weather is nice.Parking can be difficult.The cafe is Ok service is poor with young students who probably don't want to be there. Chairs and tables outside could be cleaner, disappointing scones are not ready when cafe opens.    Please be aware on our last visit there was a wedding and the toilets had been closed to accommodate this.   Needs more public toilets as you are not allowed to use the kitchen toilet due to Health and Safety  in my opinion the cafe should  not open if they cannot provide this service."
8,Lovey ,"Me and the partner come here all the time . Very well kept and has beautiful landscapes throughout the seasons. The squirrels are a great attraction for the kids, but plants look healthy and are lovely"
9,Green and pleasant getaway,Botanical Gardens are beautiful all year round. There’s a lovely cafe call the Curator and perfect to sit out in the summer.They offer hot and cold food and drinks. There is also plenty of seating inside.The bear pit which is from the Victorian era is interesting and there’s alway hungry squirrels to food. There not shy and come close. Adults and children alike enjoy feeding them.The gardens themselves are stunning in all seasons but none more than in summer .There is plenty of grass area for picnicking or simply sun bathing whist reading a book .And of of course the glass house is simply stunning housing exotic planes.You can also get married there.
10,Lovely garden,Beautiful gardens and interesting hot houses. The staff in the greenhouses are happy to talk about the plants and the different zones.The cafe has a nice terrace when the weather is good.
11,Very Pleasant Gardens,Always love to visit the botanical gardens for a walk around. Especially in spring and summer. Well maintained and beautiful.
12,Lovely March afternoon ,We had a lovely walk around the stunning gardens and tropical house. Perfect for a picnic if the weathers nice. Nice cafe for a coffee or lunch.
13,Always peaceful,"What a find, gardens are beautiful ,lovely walks and lots to see.Changes with the seasons obviously, so always something new to see."
14,Botanical gardens,"We were looking forward to our first visit but were sorely disappointed.  The plants in the pretty glass pavilions are uncared for and looking very sad.  One of the large beds in the garden is infested with Equisetum and a gardener was just chopping it off on the surface which is a completely ineffectual remedy.  Weeds abound.  Four men were casually working on one small bed putting in bedding plants when two would have been sufficient.  This place needs a proper professional head gardener.  Award winning gardens like Renishaw can deliver perfection with just four gardeners.  Come on Sheffield, get your act together!"
15,Beautiful Botanics!!,We went late afternoon/early evening so we only saw about a dozen other people. What a wonderful place. Most of the trees and shrubs were labelled as well as some of the flowers. Fragrances changed as we wandered through. Spent about an hour just taking in the peaceful atmosphere. The glass  houses and cafe were shut so a return visit is needed.
16,Love the glass house ,"We visited this garden in February on a very cold day but there was still much to see both inside the Pavilions (warm and sheltered) and outside. If you looked carefully, there was plenty in flower including snowdrops, hellebores, witch hazel and Christmas box. The box had a wonderful scent and the witch hazel had various colours from lemon yellow to orange. To warm up we visited the cafe for coffees and bacon sandwiches, yum!"
17,Hidden Gem,"I saw 10CC here in the summer and it's such a gorgeous venue with a great (if expensive) bar and lots of toilets (no queue!). They also sell the local Our Cow Molly ice cream, which is lovely.I don't know about the place when nothing is on though, I've only visited for an event, but it is very picturesque :)"
18,A lovely place  to wander,"I visited this Botanical garden,last year when it was my first day out with my girlfriend.actually was a good option since we both wanted to visit the gardens.i liked the flowers and little squirrels inside this big botanical park.and i definitely recommend a visit inside winter garden since you can see some, out of Europe ,trees and plants."
19,Dogs not kept on a lead and unsupervised kids climbing trees.,"We were visiting Sheffield and as it was a pleasant day went to the Botanical Gardens. It’s a lovely place, something I wish we had closer to home. Such a nice place to walk around or sit and relax. Nice to see people of all ages visiting."
20,Nice walk and cafe,"My partner is from Sheffield and she showed me the gardens and for the size of it, it’s really good. Peaceful and great feature in Sheffield-worth having a look if your around sheffield or need to relax for a few minutes."
21,Beautiful,I love this garden. So much to see and the squirrels are so friendly! There’s a nice toilet block on site too.
22,"Beautiful plants, nice walk.",We took the grandkids here and what a beautiful place to spend a couple of hours. We had a lovely stroll through and a walk through the glass House the kids loved it. This really is a credit to Sheffield very well maintained clean and tidy. Must be ten years since we came here but won't leave it so long next time.
23,Beautiful gardens,Hadn’t visited for years. The gardens are just so lovely. Plenty of quiet places to sit. Had a scone and cup of tea at the cafe which was very pleasant and the scone was delicious 😋 would highly recommend a visit.
24,Nice for a walk,"As per previous reviews- the Botanicals is stunning whatever the weather and we picked an especially lovely day to visit after Endcliffe Park with our new baby.The squirrels were particularly boisterous which is always an absolute pleasure to meet them.Our baby girl loved the place and even though it was a flying visit, we are delighted she loves it just as much as we do.Immaculately kept as always (well done staff!) and its great to see the fountain having a bit of TLC also."
25,Lovely quiet place in the edge of Sheffield and most calming and pleasurable.,We brought a dog here and had a nice walk through lovely gardens. Parked at bottom of hill (Tesco parking lot). We came to the gates at the top of the park next to the tea shop and some other store. Tea shop was dog friendly but the store owner is not. I would not give her any business.
26,Beautiful gardens,"Very nice gardens near the heart of town. Lots of space, plants and a stunning glasshouse. Free entry too. Also a nice cafe on site."
27,Gardner’s Treat,I remember when the place had an Avery and tropical fish ‘ I remember the parrots outside. The place is ok but not the same. Less is not the best. Bring back the best
28,Beautiful Place To Visit,We went there on our last morning as it was two minutes from the hotel. It was absolutely delightful. It is small but perfectly formed with a huge variety of trees. Total peace.
29,Opens up the enticing prospect of further visits in different seasons,"Amazing  , calm and relaxing. I have been around also in spring and summer and I truly love this place . Good maintenance and very clean."
30,Something of interest all the year around,What a beautiful well maintained place. I went with friends & children & took a picnic. It was stunning & the little cafe was so friendly x
31,Beautiful even in January!,"What a delightful place, especially in the Spring, a riot of colour. Great for all ages, a nice cafe in the north east corner. Lots of hungry squirrels for the kids to feed."
32,Lovely gardens,"Took a walk round here after dropping off our son at university. Very beautiful, nicely laid out, great variety of plants and trees. Didn’t use the cafe so no idea about that. Will definitely go again when we visit him. I think dogs are allowed but on leads."
33,A great relaxing location in the summer,Beautiful gardens with a tropical hot house. The squirrels really are friendly. Well worth a visit. Plenty of seating and comfortable seating areas.
34,Magical illuminations ,Been here many times it's different every visitIts so peaceful even when busy The flower  bed are so well maintained Hopefully a return visit soon in the spring time hopefully
35,Nice surprise ,"Have visited the gardens on numerous occasions and always admire the high level of maintenance and care for them. Even in the winter there’s always birds, squirrels and a few plants to see. It is so relaxing to walk around the gardens, head to the cafe for a hot drink and some lovely pastries. Well worth a visit. Highly recommended"
36,A well kept garden,The gardens are not huge but they are very well kept. It's a little green paradise really close to town.
37,Parents visiting uni student,"Loved this place. Recommended to us by my daughter. Great service, great food, reasonable prices. Lovely clean restaurant. It has a garden/fairy lights theme which makes a lovely setting. Cocktails available. Children allowed."
38,Escafeld art society,Great place for a walk round. Beautiful flowers and plants all named and a lovely sight for squirrels and birds. Well kept and maintained gardens. Would highly recommend a visit
39,Illuminate ,"This is a must visit place. It’s free and a very beautiful garden and greenhouses. Just do it. The selection of plants from around the world is superb, nothing else like it in South Yorkshire."
40,So many hidden gems,A very pleasant walk and hosts some brilliant events throughout the year.  The cafe is usually good although the last time we ate there the bread in the sandwich was mouldy so that’s put me off.  I’ll probably give it another go though as it’s so handy!
