,title,text
0,Lovely and relaxing,"The Broads National Park is great for walks, picnics and boat trips!  The scenery is stunning and I found it to be really peaceful.  I'd definitely recommend visiting."
1,"Enjoying the scenery aboard Tower Bridge, lovely.","The Broads National Park is a great place for exploring, it's very clean and beautiful! Be sure to visit if you're in the local area"
2,Pretty place,"The Norfolk Broads are a delightful place to visit with relaxing country side, it's even better if you go by boat and get some good weather.  There's plenty of wildlife and plenty of places to visit, out on the broads you can find peaceful places to relax or if you like a bit of hustle and bustle you can visit Great Yarmouth or Norwich.I am not sure why other reviewers are reviewing their boats or the weather, when it is about reviewing the broads as a place.  But for me the broads provides one of the best British holidays."
3,4 nights exploring the Norfolk Broads,Fabulous four days hosting on The Norfolk Broads.The scenery is beautiful. Lots of wildlife and some lovely villages to visit.
4,Fabulous boat trip,Took a boat ride in this famed area of lakes and waterways and the views were fantastic.  There are also numerous birds and waterfowls to spot and identify.  On the whole an interesting and lovely place to explore.
5,Beautiful,A drive around the villages and inlets is a must whilst in the area. Beautiful and outstanding scenery along with plenty of paths down to the broads to give you the best views possible
6,Wroxham and the River overcrowded.,"Hired a day boat to explore the Broads. It is a very tranquil area. Lots of boats sailing past , all with a friendly wave. Lots of little coves to pull into and watch the boats and birds go by . Not as many pubs/ shops around the broads as we imagined, so you’d be advised to walk with your food and drink and settle in for a very quiet day ."
7,Clean sweep trip,"We spent a very relaxing five days sailing on the Broads.  The scenery and wildlife was stunning.  I wish the same could be said about the boat.  We hired Horizon 2 from Hoseasons and picked it up from Richardson’s boatyard at  Stalham.  I think the boat was built at the same time as the ark.  It was very tired and in desperate need of some tic.  The motor however was pristine.  The boat was very long and difficult to reverse and moor in some places.  We visited Ludham, Coltishall, Wroxham then returned to Stalham.    Some tips, hire a hairdryer if you need one, there are no sockets on the boat, make sure you have a 12v plug to charge up phones.  Take your own pillows or ask for extra.  The ones we had were so flat we had to sleep on folded up blankets and clothes.  Showers are fine if you are 5 foot or under.  Having said all that we had a lovely time.  Definitely wouldn’t hire that boat again though."
8,"A rainy, windy fun day!",Stunning place to visit with so much to see especially the beautiful bird life there. Perfect for lovers of wildlife and beauty a deffinate place to visit with the family.
9,Best seen in a Canoe,"A wonderful way to see Norfolk at its best. Lots of wildlife to see, places of interest to visit and places to stop off to eat or have a drink. All types of boats available to hire, or you can go on a Broads Tour where you will have a guide to point out various things of interest."
10,Complete waste of time!!,"I had a great day out here with a group of students and staff from school. Lots of great walks and views, or if you have time take a boat out and enjoy the fantasy wildlife and tranquility of the area."
11,Hired a boat,Beautiful scenery and relaxing time on a boat trip through the Broads. Really relaxing pace of life!
12,Amazing,"Lovely riverside pubs,  boat hire. Holiday lets. Fishing, lots of wildlife and plenty to see and do. Stately homes to see, norwich castle. Close to beaches"
13,Day trip ,We hired a day boat from Potter heigham and the views are amazing we also stopped of at a pub and the mooring was free.You see a lot of wildlife
14,Love the broads,"We took a nice stroll around Whitlingham broad this morning in the brilliant sunshine and it was gorgeous! A beautiful walk on a flat travelled path that go around the whole broad. Great company, great sunshine and not many other visitors so the pooch had a lovely walk! The cafe was open when we finished up, so we had a coffee and bit of lunch sitting out in the sun. A couple of hours later and 2.40 into the parking machine we went home rather satisfied with our successfully morning."
15,The broads,"If you love the water and boats this is the place to visit. Very unique setting, peaceful and calm. The weather was sunny and warm so this added to a lovely visit."
16,Reedham to Great Yarmouth - a stunningly beautiful walk,"The broads is a great way to explore some magnificent parts of Norfolk, however to truly get the best experience you need a canoe or kayak to get to the parts inaccessible by motor boat. We regularly put our canoe on at various locations and explore new hidden gems of the broads."
17,Great nature reserve,"Beautiful scenery, with great photo opps! Wildlife was plentiful with sailboats running in all directions. Friendly people all around with OK parking!"
18,A little part of wonderful Norfolk,"The broads is a beautiful, relaxing place and you have to come at least once. Particularly the North Broads is full of quaint old villages, lovely broads and plenty of good pubs to have a pint by the water or eat some tasty grub. Nature is in abundance and if you keep your eyes open you'll see plenty you won't have seen elsewhere. Recommend Barnes Brinkcraft boats. Take a short break (Mon - Fri) and just take it steady. Perfect"
19,Beautiful and peaceful ,"The Norfolk broads offer something for everyone. Quiet, peaceful, loads of wildlife  lovely pubs and restaurants and time to watch the world go buy. You can hire boats yourself or go on organised trips but whatever you do you will see this lovely area of beauty. Everyone is so friendly and always willing to help the novice boaters, even taking the boat in August was busy but we were able to moor up each night with a little bit of planning.  Just take a little care and plan the tides with some of the bridges."
20,amazing place 3 times now on a hire boat gets better everytime,Absolutely gorgeous. Loved the area. Stunning views and so relaxing cruising around. Loads of good boat hire companies arouncMust see
21,Shame about the weather,"We hired a motor boat for a few hours to see the Broads for the first time.  The scenery is something to behold as are the houses that back down to the water.  However, in some parts it was like the M25 on a Friday rush hour.  You have to give way to sail and there were yachts criss-crossing the water so steering our boat became reminiscent of the dodgems at the funfair.Others may be more sanguine than I am but how we didn't collide with anything remains a mystery.  If we went again I'd take one of the commercial cruises, much easier on the nervous system."
22,Walking off the Xmas dinner!!,"The Broads are delightfully unspoilt, even allowing for the numbers of tourists around. There are lovely little villages around but, of course, the waterways are the attraction. The best way to see the area - almost the only way - is from the water. A trip on a Mississippi River boat sounds a tad garish, but is a good way to find out a lot about the Broads in a short time - the skippers give and excellent commentary. Our trip taught us, amongst others,  about the harvesting of reeds for the thatched roofs and we say Greater Crested Grebes fishing and the rare March Harriers hunting - you are unlikely to see them from a car. A longer waterborne holiday is a good idea."
23,12 glorious years,"Just spent a week afloat on the broads on a stunning boat, the scenery is amazing we were blessed with good weather, no rain, so were able to dine on deck four days out of seven. The only disappointing aspect was the lack of decent places to eat as we traveled along, if you are a fan of deep fried rubbish with chips then fine but we aren’t! The outstanding place we found was the waters edge at Bramerton. The rest were decidedly average with a similar menu which you could take from one place to the next Brakes must be raking it in in this part of the world. That aside our boat had fantastic galley facilities which enabled us to prepare excellent meals aboard. Great trip will do it again next year as I doubt plane travel will be on our agenda for some time to come!"
24,A lovely day out on the broads,"We have had fantastic days out on the broads. Boat hire is reasonable, we often take family to Wroxham when they visit the area and go out on a day boat or you can go on a cruise for a few hours.They also have boats with a lift on the back for wheelchair users which is very easily accessible."
25,Relaxing and fun,Best way to see the Broads is to take a boat tour with commentary so you can learn about all of the nature around the rivers. Favourite places for us to visit are Horning and Coltishall. Lots of pubs and cafes around and Wroxham is a large place with lots of shops and boat yards.
26,Messing about on the river ,Whether you hire a boat on the Broads or stay in the area it is all very worthwhile and there is so much of interest. Nature at its best. Lots of lovely Norfolk villages and easy to visit other places nearby.
27,"Peak time, still a good time.","On a boat, plenty of free mooring places, beautiful scenery.  Windmills, wildlife including otters and kingfishers.  Potter Heigham - Bridge Stores cafe - well worth the visit - wonderful cakes!"
28,A great boating adventure,We were able to take a 90 minute boat trip through the Broads national park on a fine sunny afternoon. It was our first trip to this part of the UK but the scenery was outstanding and I am sure we will be back.
29,The Beautiful Broads,"If you avoid the popular spots in high season, you can have a very peaceful time, boating, walking and enjoying nature."
30,Lovely Scenery Pity About The Boat,"We hired a beautiful boat for a week. Tranquil and beautiful sailing on the Broads. Everyone is so friendly on their boats, plenty of moorings and so much wildlife to see."
31,Beautiful place to visit and/or takeout a boat to explore.,"My family and me have just returned from a weeks boating holiday cruising the rivers of the Broads National Park and no matter how many times we visit, there is always something different and mystical about the place. Drive through it and around it and it's amazing; cruise through it and it's just breathtaking. Thoroughly recommended is this part of the UK."
32,Trip down memory lane,"On a sunny day we enjoyed a 45 minute guided walk round the circular nature trail which took us round two islands connected by two foot bridges. Our guide Elaine pointed out many species of birds, insects and plants. You have to get there by boat and in our case we had booked the Salhouse Broad ferry. For £10 each we got the ferry to the nature trail (about 5 mins), a guided walk round the trail, and a 45 min trip round the Broad in the ferry (a small open boat max 5 passengers). If you are on your own boat or hired craft you can moor up and enjoy the walk without a guide free (donations requested). Back on shore there is a kiosk selling hot drinks and snacks. Car parking at Salhouse Broad is free and there are public loos in the car park. There is a 10 to 15 min walk from the car park to the Broad. It was a very enjoyable outing highly recommended on a sunny day."
33,Rented a boat from Richardson's for one week at the end of September.,Lovely area with plenty of pretty villages to explore and boats to hire or go on an organised trip. Lots of tea rooms and pubs en route.
34,Interesting going under Wroxham Bridge,"Well worth a visit even in the winter . Pretty , peaceful and lots of birds and other wildlife to see. A bit too cold for boating today but amazing in the summer . Definitely a place to visit on a warm day to get away !"
35,Boat trip from Wroxham,Forgot how beautiful and relaxing the broads where. Had our honeymoon here back in 1997 and our return was fantastic. Some lovely little towns and villages to visit with wonderful bars and restaurants a plenty. If you've never holidayed on the broads i would highly recommend it.
36,"Boat tour gave a great overview, views & birds",Call me biased but I love the county of Norfolk and the Norfolk Broads. The countryside and vistas differ from one area of the County to another. There is always something to do plenty of walking sailing boating on the Broads bird watching plenty of entertainment friendly people Norfolk is the place to be
37,A winderful refuge from modern life,It has been many many years since I last took a break on the Norfolk broads.The bird life is amazing
38,A unique area of English countrside,We have made several trips out on our boat to visit the far ends of the Broads and many places and restaurants on the way. With good weather it is hard to beat!
39,Norfolk Broads Direct's Fair Commissioner - Brilliant!,"the norfolk broads is what norfolk is best known for.there is so much to do here.you can spend a relaxing week on a boat cruising the water ways,or just a day trip!don't like boats,then rent a house on the river.there is loads of places for the kids to explore and learn about nature,or grab a fishing rod and go fishing.in the evening you can pop in one of the many pubs and restaurants that are about.a great place for the whole family,young and old."
40,Relaxing and tranquil,"I thoroughly enjoyed my visit here. There were shops, cafes, restaurants as well as lovely scenery. We rented out a boat for a few hours and that was the highlight of the trip."
41,Day trips on the broads,The broads are a great place for an absolute beginner to boating to come and have a go slow speed is a must to avoid damaging the banks. The wildlife in the quite area is amazing .Bird watching paradise .The village's and pubs along many routes provide tasty food and a good selection of beer.
42,great week in the sun cruising,We enjoyed a wonderful week in a cottage right on the river at Horning. So peaceful  and relaxing doing a spot of fishing and watching the world go by in their boats. You can visit the busy centres or lose yourself in the villages or go visit the wonderful beaches. The best break ever. You simply must...
43,Hoseasons boat on Broads,"Just returned from a lovely boating holiday which was quite magical. A lovely place to be if you appreciate the wilds of nature! I would recommend having a loose plan though as some of the more popular areas to moor get full up (these are often the ones with more facilities and shops). The boat had surprisingly good storage space so I would stock up on food beforehand, just in case you can't find a mooring space in time to have an evening meal at a pub. Our best night was being mudweighted in the middle of a gorgeous wild broad, cooking jar-based curry for dinner! (Our boat also had a decent sized microwave which could accommodate ready meals). Having said all that, we were able to moor everywhere we wanted to, and were blessed with unusually beautiful weather!"
44,Wonderful holiday as always!,"Go frequently on boating holidays here and there are plenty of riverside hostelries for lunch, dinner or just drinks"
45,Very enjoyable day ,"great place for family fun, walks boat hire of just people watching a real gem of Norfolk we love it here."
46,Day boat hire,"Beautiful area to visit for a relaxing time. Boats maybe hired for the day or you can go fishing, subject to having a rod license ofcourse. The area has plenty of shops and cafes too so there is something for most people. It's a great place to visit!"
47,Trip on the broads,Any Season but Autumn Colours are stunning this time of year xxThe birdlife and wildlife are plentiful and easily visible
48,The Broads-but NOT a national park!,I took a two hour boat tour and it was a very interesting trip through gorgeous scenery. The captain/tour guide pointed out local flora and fauna in a relaxing and informative way. The boat was spacious and served basic drinks and snacks.
49,Relaxing boat trip to unwind and drift away..,Sucha beautiful setting and would recommend a visit even not being in the water! We went walking around and just boat watching but would hire a boat next time!
50,A stunning location,You cannot come to Norfolk without visiting the Broads. Birds and ither wildlife are abundant. If you are a birdwatcher. You must visit the Broads.
51,Top class service!,"Birds, fish, otters and lots of rest.All of this can be found in the Norfolk Broads.Friendly people in a unique world of rivers, lakes and reeds"
52,Exquisite,"This is quite a special place, my second time.A maze of waterways lined with nature & some beautiful houses.One can go on a cruise or hire your own boat.Lots of bird life."
53,Beautiful area,"The Norfolk Broads used to be a paradise for cruisers and sailing boats. Unfortunately moorings are in short supply, very often when you find one the bank is in poor shape and usually totally impassable if you have a crew member with a wheelchair. The North Rivers are very congested but the Upper reaches of the Waveney and the Yare can still be very pleasant. The fishing can still be superb out of season but to get the big stuff you need to hire a guide, well worth the cost."
54,Boat trip,Easy Access and lots of things to see and do with great eating out places on the edge of Broad s and rivers - some cracking real ale pubs out of the way and log fires in winter.
