,title,text
0,Beautiful view and a good place to walk also cycle around,A must place to visit when in Shanghai. Many western bars around and also roof top bars.  Amazing place to walk around at night and to take good pictures.
1,What a view!!!,Great scenic view of the city. Must visit place if you’re in Shanghai. Best time to visit is in the evening when the sun is setting and the city is lighted up. Great architectural buildings along The Bund worthy of any architectural geeks 🖐.
2,Good views. ,A must visit in Shanghai.  Amazing view of the modern skyline of Shanghai.  Great view during the day but even a better view at night with many of building lit up with beautiful lighting.  It is over crowded at the beginning of The Bund but if you walk a bit further away from the crowd it is better and you can take better pictures of the city.  Equally impressive is all the British colonial buildings lit up beautifully at night.
3,Wonderful views,unique view to towers and great feeling of Shanghai. try it morning and night. easy to reach by train or taxi.
4,Good place to visit,"The most touristy place in Shanghai is the Bund. Exceptional location for all the photo enthusiasts as the skyline is clearly visible from this location. A much crowded and lively place, this place gives you the vibe of true spirits of Shangai. Lights, High Rise Building, Glitter and Ecited Faces, the place simply gives you a very urban feeling. Around the place you will find many restaurants and historic buildings. Shopping is all over the place."
5,Spectacular iconic view of Shanghai,It a must go place in China as the view is very amazing and the light is very nice. There are also a lot of nice food and place to shop at the bund and Nanjing road area. Light is open at 6pm there.
6,Awesome night view with colourful lights!,"Bund in Shanghai is one of those places to visit during the life is beautiful to take pictures and stay for a while. After 30 minutes and al the pictures took is time to go because is too crowd with the police’s speakers saying something in Chinese many  times and you want to go for a closed bar to drink something, but let me know is very expensive ..... up to you"
7,Excellent view. especially at night,This is one of the most must visit point when in Shanghai.  The view is very beautiful (both day and night) - hopefully there would be no low hanging clouds or mist.  I would suggest to visit both sides of the river to see the different views as for me both sides are equally worth the view.
8,A must-see experience,Amazing place to taking a panoramic pictures..Also there are a lot of shopping malls and cafes around the place
9,Nice View,"This place is definitely a must visit when you’re in Shanghai!! So amazed by the city lights and it was also breathtaking during the daytime! However, if possible do avoid visiting during the weekend as it might get overly crowded."
10,Unique river view,"on the river bank of Huangpu river where you can walk and take amazing photos especially and nights with towers , see ships and people The surrounding area also is full of great buildings never miss it , this tour can be do with other activities in city center like Nanjing Road  & old street start with old street to The Bund (Wai Tan) to Nanjing Road to people square"
11,Shanghai's iconic sight,"The Bund area is wonderful for daytime and nighttime walks. Although, most amazingly colourful and night. Good restaurants and cafes in the area. Very scenic."
12,Enjoyable stroll,Must go place in Shanghai for the postcard view. Very crowded but the local authority has very good crowd control measure to allow only one direction walking path from / to Nanjing East Road metro station.
13,Very Historic,"Is the most European place  in Shanghai, is really beautiful and have a lot of Fun there, is really full of high level brands and shops. Really interesting the street market"
14,"Beautiful walk, even on a gloomy rainy day","Shanghai main attraction is The Bund and view over Huangpu river. Normally area is full of tourists took all similar photos about skyscrapers another side of river.I reccommend visit there at a time of sunrise, less people and nice colour of light make whole place look different.If you visit at time of dark, notice that city switch off skyscrapers light at 10.00 PMIf you are interesting about history i recommend that after took photo of skyscrapers go to walk around that area. Lot of old western style buildings wait you. Many of buildings have small plate on wall which shortly tell history of building."
15,The most amazing view of Shanghai,"There are many many places to enjoy and spend time near the Bund. Possibly, Grand Kempinski In Lujiazui on the Pudong side is one of the best choice. Recently, I spent a lot of time in the Grand Kempinski Lujiazui on the Bund. I like the Bund view from the Executive Lounge on the 28th Floor. Amazing view from here at any time of the day. Its a huge lounge with 180 degrees open Bund view with free flow F&B throughout the day for the guests. I also like the view from the Havana Bar, Gym and Spa on the Top Floor (30th Floor). Kempinski has a lot of beautiful rooms with great Bund view. I also noticed last week, when I was having Brunch with my kids that they have good view from the Italian Restaurant and also from the Chinese Restaurant. But my most favorite Bund view is from the Jacuzzi, also on the 30th floor inside the locker room of the Gym & Spa. Its stunning! Day or Night."
16,If you're not a nature lover,A walk along the Bund is a must do when in Shanghai! The light show is spectacular & unlike anything anywhere!
17,like,"This is the place everyone must visit when in Shanghai. The promenade is filled with tourists - local and foreign. Every one is capturing the views of the opposite shore Liujiazui, Putong and the Huangpu River.The scene with the nightly lights up is beautiful, but too packed with people. In the early morning next day, there are much, much lesser people. People there go for jogging, walking, saw one even flying kite. It is much nicer to walk along the promenade in the early morning then night."
18,Nightmare to visit during May Day holidays,"The Bund is a must visit when in Shanghai. It offers an amazing view of the Shanghai skyline, especially at night."
19,Why?,"Very touristy area, with lots to see. Many excellent restaurants, cafes, bars, and shopping in the area."
20,Nice stroll,"This is a must go to place while in Shanghai as its an iconic area where the first jetties were built in 1880s and from there expanded into a economic area.You need to go there at least twice, one in the daytime and another in the night time. But you may need to trips if you want to admire the designs of the buildings along the whole stretch of the road which is more than 1 kilometer.The area is easily reacheable via the subway with the nearest station being East Nanjing Road station. From there it is a short walk towards the beginning of The Bund which is the McBain building(No 1).Take your time to walk along the stretch and soak in the sights."
21,Nice For a Stroll Along the River,"beautiful walking tour with a fantastic view, much better to be done in autumn days, once there are no shaded spots. tip: get lost in the surroundings streets, such as fuzhou road, where there are very nice ink and brushes shops and small but great local restaurants."
22,Walking ... People watching.... and Historic Buildings...,"What a beautiful sight, a must see when in Shanghai. It is a busy spot because everyone would appreciate the spectacular lights, but there’s plenty of room to walk around."
23,"The bund, a must-see when in Shanghai",One of the scenic and a must -see area of Shanghai. Visitors will see the old buildings of Shianghai and the new Pearl Tower on the other side of the river.
24,must see,"The bund is a really nice place to chill out morning or evening and it is a close distance to excellent hotels like the Westin bund center at Henan road and close to Nanjing road the shopping street, more colourful to take a evening cruise with the light show"
25,visit because you have to!,"It’s beautiful and very scenic. You can see both sides of Shanghai, the rich heritage buildings on one side and the skyscrapers on the other. Best time to visit is post sunset when all the lights are lit and the view is stunning."
26,Have a Bound on the Bund,"This is a beautiful area of the city where you can walk along the park that goes along the river and view all the lights and buildings lit up on both sides of the river.  The whole scenery reminded me of Times Square in New York, but maybe more beautiful with the boats, the river, and the two opposing sides having different lights and views."
27,Amazing for memories photos ,"This is certainly a must see in Shanghai. Nice area, very crowded, plenty to do and see. Enjoy the views of Shanghai skyline with all the 3 “kitchen tools” towers and the pearl. Best views in the afternoon with the sun lighting the scene."
28,City view ,The bund is by far one of the best scenic things in Shanghai. See the old buildings with the view across the river of Pudong. The lights at night light up the buildings and on holidays they have light shows.
29,A living Museum along the River,Lovely area to walk along the river and watch the boats going up and down the river. also Has excellent views of the city outline
30,Unique Experience for a Westerner!,Highly recommended for night view seriously no one want to go back from this place the buildings view is best in world
31,Bundtastic ,This place is so popular. Always have a lot of people walking around. A lot of restaurant nearby that after walking and you feel hungry there's some place that you can choose to eat. A nice view especially in the evening looking around is so relaxing..
32,A good way to spend an hour or two,Have to do Bund on trip to Shanghai!  Must see as it offers amazing view of Pudong! Close proximity to East Nanjing Road for shopping and French Concession.
33,A must see place if you visit Shanghai,pleasant walk along the river and the view to the ultra modern building of Pudong is amazing at night
