,title,text
0,"Good, even for a rainy day","We started our day in the drizzle and explored the large sculpture collection. The grounds are beautiful and the sculptures are nicely spaced and arranged. The pond has a small network of little paths coming off it which take you to various hidden gems. Bring 10 or 100¥ coins to feed the enormous koi! There are bathrooms in several different places through the grounds (by the two children's attractions and the gift shops) and the paths are wide enough to accommodate the traffic. My kids did ok with the scavenger hunt in the Picasso hall (otherwise would have suffered greatly) but they loved playing in the tree of nets but start there, it's gets crowded by 10-11 o'clock. We enjoyed the foot onsen, a nice break from the sculptures and art exhibits. Do this after the stairs up the tower--dont skip the tower, it may look unimpressive outside but it's amazing inside!The water was very comfortable and the seating easily accomodates social distancing (but not wheelchair accessible). We got a beer and some baked gods from the restaurant and it's expensive compared to the states and I've had better food from other food counters at attraction in Japan but the lemongrass beer was good and the muffin vanished even though it was a big dry. Not all spaces are stroller or wheelchair friendly (the tower, the pond, and the star garden) but the indoor exhibits all have access for mobility challenged.We stayed for about 2.5 hours and got lunch at Lawson's and ate in the parking lot (the other restaurants were closed for off season or packed)"
1,So refreshingly fun!,"We visited on a sunny day and spent around 3 hours at the park. The sculptures are modern and vary in style, including Moore, Miro and Picasso. It is quite breathtaking seeing the modern art surrounded by autumn leaves on the mountains. There is also lots of spots for kids to enjoy, a foot spa and a place to feed fish. The cafe has a nice selection of food, drinks and ice cream."
2,Art from the Far Side - a planet far far away,"What a gorgeous setting for many sculptures.We spent 2 hours walking the grounds, appreciating the topography, views, and thoughtfully located sculptures throughout the site. There was a surprise/ reveal around every corner and along the paths.The restaurant was mediocre but had a great view."
3,Don't miss this,We spent two hours here with friends. It is spectacular. We were very lucky with the weather. The sculptures are arranged very thoughtfully in the gardens. The Henry Moore collection must be one of the best anywhere and certainly the most elegantly set into the landscape.
4,World class,We loved walking around looking at all of the outdoor sculptures. I really enjoyed the Symphonic Sculpture. It is beautiful and I’m sorry I missed seeing it illuminated from the inside at night. Near the end you will see a silver sphere suspended above the walkway. It effects the surroundings.
5,Really enjoyed roaming around outside admiring the art.,We really enjoyed our visit to this open air museum the gardens are beautiful and they have wonderful Sculptures on show We enjoyed the Henri Moore sculptures and also the Picasso displayThis is a nice way to spend a few hours while in the area
6,Must check out when in Hakone,This was our first stop in Hakone and very enjoyable with interesting sculptures walking around the open air field and discovering rather fun interpretations.The symphonic tower is a beautiful kaleidoscope of coloured glass and Picasso museum is not to be missed.
7,"Outsized contemporary sculpture dotting the jills beside meandering paths, nice tea house, too","This museum was a surprise to us. Beautiful, the magnificent gardens are incredible. All the masterpieces where perfectly curated! Its a must on a trip to Hakone-Machi"
8,"Our first stop, checked",This museum was fantastic. Such a lovely set up with great walking tracks and pathways. Even the fish were a joy to feed. Loved the sculpture for children too.
9,"Even if you're not into museums, this one is a must","Great place to visit. A lot of different art on show, we really enjoyed our afternoon roaming around the grounds."
10,Wish we had planned ahead,Beautiful landscape and exhibition of modern art. Everything is perfectly kept and it's amazing walking in the park and enjoying art at the same time. The Picasso and Manzú expo are very interesting and add a very good reason to go.
11,Finish with a hot springs foot bath!,"Walking by we spot the museum and we were compelled to go inside.   Plenty of large art figures scattered throughout the property.  Highlight is the Picasso works within the museum complex.   Take your time, as the collection covers a long period of his life and is well organized.  Hot day requires lots of water and hat."
12,"Aboslutely fantastic, even in the rain!","We lucked out and had a beautiful day to enjoy the museum, which definitely added to our experience.  It is very well done with the outdoor sculptures, the lawns, the trees, etc. all set against the beautiful green mountain scenery.  We had a nice leisurely stroll, taking in the outdoor artwork, which is nicely spread out.  The Picasso exhibit was very good.  The foot bath was a nice relaxing rest part way through our visit."
13,Unexpectedly rich in sculpture and art,The exhibits are very special and interesting. We spent long time moving around and enjoying exhibition.
14,Great place,"Worth the time to visit this place, it's interesting to find the sculpture and museum with impressive colours and shapes."
15,", SPECIAL AND UNEXPECTED","What an amazing setting to enjoy art. There is a huge variety of sculptures set on beautiful grounds overlooking Hakone. The art is unique and visually interesting so there is something that everyone will enjoy, even if you aren't an art lover. Also a great picasso collection. One of the best places we went to in Hakone and just a short ride from Gora station on the bus or short walk."
16,Fantastic,"We absolutely loved this Museum. The collection is amazing, many great works of art. I particularly liked the tower with the stained glass. We put our feet into the hot spring water too."
17,Art Overload ,"We thoroughly enjoyed this visit exploring works by great European and Japanese artists under the sunshine.  The Symphonic Sculpture was so cool to climb up through the prisms of color.  Children's netted play space actually lured more than a few adults, too."
18,Unique displays,"We had a really lovely afternoon at this unique outdoors museum. The setting is wonderful, really special to be able to regard these works of art against the Hakone mountain backdrop. Although we have no kids with us we were really impressed at how kid friendly this museum is. But it's the 2000 individual works of art which are the real appeal, a really nice Picasso exhibition and numerous other objects by artists around the world that both challenge and reward you.Highly recommended"
19,A gem in Hakone,This is a beautiful mostly outdoor museum. The exhibits and artwork are fascinating. It is a great place to bring your kids. Much of the art is hands on. There’s also a unique playground inside a building that resembles Jenga blocks. There’s a warm and relaxing foot bath. The Picasso exhibit is indoors and comprehensive. This museum is like a combination park and museum. I really enjoyed the day.
20,Best Art Museum Ever,This is not a typical museum but quite amazing out door art gallery where the sculptures are beautifully set out in a garden landscape which on a clear day was a great experience to wander around and admire.and if tou really like art work this is a place you should not miss
21,What a great expereince,"Our visit to the sculpture park was excellent. Henry Moore pieces and others set amongst a beautifully kept Japanese garden. We are sculpture fsns and spolit to have Yorkshire Sculpture Park in our doorstep, so our expectations were high, but this place delivered. Great interactive sculptures for children too. Well worth the visit. Lovely to soak tired feet in foot onsen in the park."
22,Great open air museum,"We were so impressed by the quality of the sculptures at the open air museum. It’s set in a beautiful surrounding of mountains and it rivals almost all sculpture gardens we’ve ever been to. If inHakone this is a must see. P,an a few hours to enjoy the gardens. Also they have a few interactive sculptures for young children"
23,Amazingly beautiful setting to view art,"We spent an unexpectedly delightful afternoon, quietly exploring the open air exhibits. Don't forget to view the Picasso museum, you won't be disappointed and the Museum also has a lovely shop as you leave the facility."
24,super museum,We were surprised at how interesting the Hakone Open-Air Museum was.  Very interesting and different art works.
25,Must see,What a fantastic place to visit. Very unexpected. Wonderful sculptures throughout the outdoor gardens and  then you get to gallery. Thoroughly recommend
26,Hakone is amazing!,"The sculpture exhibitions are wonderful, set in a beautiful location and easy to walk around. A good variety of work here, I was not impressed by the Picasso exhibit but that is because I think he is overrated."
27,Must visit ,"This is a nicely landscapes park with a good selection of modern and contemporary sculptures. There are lots of pieces from Henry Moore scattered throughout the rolling landscape. During the spring, the cherry blossoms are a beautiful backdrop. The museum is a quick walk from the train stop."
28,You must visit,Take the time to wonder around and experience this wonderful art destination. It is a beautiful trip up to the location in the mountains and worth the visit for the trip alone. The gallery itself is stunning.
29,Amazing,"Our first visit and we thought it was very well done. They have a number of exhibits that kids enjoy, making it a nice place for the family to enjoy together. Disappointed that the Picasso exhibit is closed until July but we’ll just have to go again"
30,A really interesting open air museum.,This is a spectacular sculpture museum in a beautiful setting. Its probably the most impressive place we visited in the area.
31,Beautiful ,Wow! What an awesome experience. We absolutely loved our visit. Lots of interesting sculptures on display amongst really beautiful gardens. Really worth the visit.
32,Amazing and beautiful,"Loved this place, beautiful artworks in a stunning location. Easy to reach from the train, we had a lovely relaxing afternoon wandering around."
33,Amazing Sculpture Garden and Picasso Exhibit,"This was a wonderful open air sculpture museum with a decent indoor Picasso collection.  The backdrop of Hakone is beautiful and as a pleasant surprise - there are several features of this museum that are quite engaging for children (we traveled with our 9 year old twins).  There is a tower that consists of a spiral staircase with ever-changing mosaics within the tower, and two sculptures that are actually designed for children to use as play structures.  The entire family had a wonderful time and well worth taking the time to visit while in Hakone."
34,Great museum!,"We recently visited with our 9 and 11 year old children. So much of the museum is interactive. The grounds are just beautiful. This visit was enjoyed by our kids just as much as DisneySea and probably a lot more enjoyable for us parents. We spent about 2-3 hours there. Not a lot of great food options. The restaurant area had s buffet and an alacarte, neither looked that appealing. We caught s taxi there from Hakone- Yumoto area (about 40 aud approx) and caught a bus back (train still not in operation after typhoon damage). They ran every 30 mins. The bus stop was right out front."
35,Amazing Museum,"This open museum is a beautiful museum, featuring a number of sculptures with stunning views of the valley and the surrounding mountains. Among the sculptures you will find in the museum's garden are sculptures by Yigal Tumarkin, the Israeli sculptor. The museum also has several interior spaces, including the Picasso Hall, which consists of two floors of works of art and sculptures, created by Picasso himself. Reasonable entrance fee. Opening hours: Daily from 9:00 to 17:00. How long should I visit? Between one and two and a half hours."
