,title,text
0,Awe inspiring,The most amazing thing I've ever seen.  Incredible history and we were able to get fairly close and we had the first hour here to ourselves.
1,Spectacular,"I visited the terracotta warriors on a group trip and is was amazing. I had not realised the scale of the  exhibition and learning about it was fascinating. We were able to just look around but many groups were having tour guides explain more in detail about the history.It was very busy when we went at around lunch time. I would recommend trying to go at the beginning of the day as i imagine it is quieter then.A definite must see if in the area, but be prepared for the crowds"
2,Horrible Experience! Never again!!,"DO NOT GO HERE! Just skip it! I went on 8/15 and I had a horrible experience. I have a green health QR code but because I’m a foreigner they took me out of line and and wrote down my passport number. Basess discrimination. I had to buy a physical ticket because I’m not Chinese. A ticket that you can ONLY buy with cash. No one uses cash. I needed to ask 5 people to give me 100 RMB Cash and give them WeChat pay in exchange. No one was social distancing, not everyone was wearing masks and Covid is still a very real problem here. It was a mess. You walk from 1 ticket check to another ticket check 500 meters away. Because in your 500 meters somehow your admission into the place must be called into question. You walk more into this big building. Take 1 picture and leave. This whole process takes 90 mins for 1 picture of the warriors. Just horrible! . Also to make matters worse it was 100 degrees and I had two younger children with me.What made it even worse was the fact someone shoved my wife and she almost fell down the stairs. Never never never again! This is 100% factual!"
3,Impressive collection but VERY touristy.,"Visited the warriors and we were not disappointed. We had our own guide, arranged beforehand and was able to learn so much. Living in  china has enabled to see so many things we thought we’d never see including these. The main pit is humongous and the warriors all lined up is amazing! Pure sight of awe. Looking at the others are interesting too, including the bronze statues and the different warriors in the glass display cabinets. Best fact- every SINGLE one has different facial features. No two are the same. Amazing"
4,Awesome Visit with Tour Guide,"Visited August 2017:One of the greatest archeological discoveries of modern time. An extraordinary underground treasure, an entire army of life size terrain cotta soldiers and horses interred for more than 2,000 years. A must see!"
5,Amazing bucket list trip,"My wife has wanted to see the Warriors since she heard about them 20 years ago! It was well worth the wait! We would recommend getting a tour guide while you have questions and they wait outside the ticket office. We found a great one in Emily who spoke excellent English and has been giving tours for 16 years!If you are a foreigner make sure to scan in for health code and have your passport ready. There are separate lines for foreigners in the ticket office and as far as I can tell foreigners cannot book tickets online. Ticket cost is 120 RMB and you can negotiate a tour guide for 300-400 RMB (do keep in mind that tour guides have to buy a 120 RMB ticket as well).To get here you can take a Didi for 100 RMB/car from the city or metro/bus for 10 RMB/per person. For public transport get to Fangzhicheng metro station, take exit A, turn right when you reach the road and walk 100 m to the bus stop to take 306 out there.Remember to bring cash with you. The terracotta museum and bus only take cash. The bus will only accept small bills (10-20). It is also easier to give the tour guides cash for their services. We would recommend to avoid mid to late day as it can get very busy. The beginning of the day for our friends seemed to be less crowded."
6,Must do list,"We visited as part of an organised tour.It’s a large site and takes roughly 2 hours to explore.The Warriors are in three different covered pits where ongoing archaeological digs can be seen.Have your breath taken  away at the sheer number of warriors (more than 6000) all with different faces, which were buried with the first Emperor of China, and unearthed in 1974.It gets very busy, you just need to be patient to wait until you get to the front.  There are so many warriors there is always plenty of opportunity for “that great picture”."
7,Highlight of our Xi'an trip,Took a taxi to the Park and selected a guide at the Museum.  Best to get a guide and he saved us lot of time and seen the impostant locations.
8,The guardians of the first emperor of China,"This is probably the main attraction in Xian.  We took a bus from the railway station. had to queue up with lots of people but buses move as soon as it was full.  Had to pay 120 yuan per person, but free for seniors 65 years and above.  Quite interesting to see the various excavation sites and the terra cotta warriors.  Very crowded with tourists and need to jostle for space to take photos.  Lots of walking and outside sun is hot when walking between buildings. Bring hat and water. Wear comfortable shoes. Need a day trip to visit here."
9,A Must Visit When in Xian,"It's a once in a lifetime trip but the jostling is unbearable. We had a lovely guide who helped us navigate. My recommendation to a Western person, is that you should have a guide"
