,title,text
0,A Must See,The WWII Museum is very well done and they keep adding more. I have been there two years in a row and still would keep going back. It is a must see if in NOLA!
1,Greedy wankers.,I have worked in museums and visited museum around the world and this is the best one I’ve ever seen. Fabulous exhibit made me cry. So thorough. Make sure you have the whole day to look around. The cafe is good too. We shopped at the gift shop too which was excellent.
2,Excellent,"Went to this Museum and spent a whole day here, I must say it was amazing.  So much information and wonderful displays. If you have a chance to go I would make sure you take the time."
3,Best museum I’ve visited ,"I had a fantastic experience at the WWII museum. The movie ""Beyond All Boundaries"" was phenomenal and the exhibits provided facts and testaments that gave me a new perspective on the war. I have been to many museums focused on the Holocaust aspect, but I had never been to one that showed the American soldier's perspective of the war.I especially appreciated the exhibit on the brave Japanese American soldiers who fought for the United States even though some of their families were in internment camps.I spent five hours at the museum and time flew by. I would highly recommend this museum to anyone."
4,Amazing,I have been here several times and every time I am happy I came.  The place is clean and the people are great.  It is worth every dollar. I have come here several times and every time I learn something new.  The place is huge and if you visit you might want to make sure that you at least give yourself a half a day to really enjoy what the museum has to offer.  The road to Berlin was my favorite.
5,Wow!  Worth a visit.,"This museum is simply amazing!  My wife and I really enjoyed visiting.  The museum is broken  up by different buildings and levels.  The aircraft and other WWII items are truly stunning.  There are several interpretive stories, lots of WWII era items to view, and personal stories of servicemembers who served in the war.  This is an absolute must-see museum!"
6,Amazing!!!,This museum just keeps getting better and better. Even my two teenagers loved it and learned so much.
7,Fist time visit to Museum ,I am a veteran and wanted to see the museum. i was told I have to stop and visit. WOW what a great place. The 4D theater was AWESOME and the exhibits where unbelievable. The story's from the troops that were over in the WWII theater stole our hearts. A word to the wise it will take more than 2 days if you want to grasp the entire museum.
8,History ,"This is a really good museum.  Well thought out and well planned.  We were able to go through the basic part of the museum in one long afternoon.  There are other options as well for what to see, which cost more, but we decided to go with the basic.  So well worth the time and the trip.  Fascinating look into WWII."
9,Good addition to a trip,"This museum is packed with so much information! I am particularly interested in WWII history so of course I loved it but I think it would be worth visiting even if you aren't. I recommend planning out your visit since there is so much to see. Definitely don't miss the building with all the airplanes. The museum is open with reduced capacity, social distancing guidelines, and extra cleaning. Take this into consideration when planning your visit and buy tickets online before you go if possible."
10,National WWII Museum,This is one of the best museums I have ever been to. It is PACKED with great stories and interactive displays. Plan for an entire day if you want to see everything.
11,Amazing Museum,"My wife and I were amazed at the National WWII Museum. The multimedia experience was very well designed and involving. The videos of servicemen and women in action, oral histories of real veterans and informative descriptive displays were outstanding. Highly recommended when visiting NOLA."
12,Lovely,My husband and I spent the day in the museum. It is very well done and very informative. I loved the dog tag experience!
13,Great venue and staff.,"This is one of the best museums we have ever visited.  The displays were vivid and disturbing, as the effects were like I've never seen.  I would highly recommend this museum to anyone that respects learning about the events that lead to WWII and beyond."
14,Must See when in New Orleans,"I loved this museum. I spent 10 hours there one day and wanted to go back. I’m a history nerd and this place did not disappoint. If visiting NO, this place is a must."
15,Excellent!  Plan to spend a solid 4 to 5 hours here! ,"We spent 2 days touring the WWII Museum and probably could have spent another day too!  Very well done and laid out.  Staff were fantastic, facility was spotless and very aware of COVID prevention,  There was a special exhibit on glass collected from Europe's churches and made into are that was fantastic.  They had a European, Pacific and another special wing that were superb.  We did not do the 4D movie - kinda wishing now we had.  Did get a $2 off coupon and then the 2nd day back was $7.  A must see when in New Orleans!"
