,title,text
0,Spectacular city of St Petersburg of grandeur and antiquities,"We were very intrigued with the spectacular views of grand heritage buildings and churches with colourful domes of St Petersburg. We couldn’t take our eyes off the opulent buildings lining both sides of the Neva River. We were awed by the extravagant exhibits in the museums backed with interesting and descriptive information from our wonderful local tour guide, Marina, who spoke English well. Hermitage Museum, Peterhof Palace and Pushkin’s Catherine Palace are not to be missed. We had 3 funtastic memorable days touring St Petersburg, well taken care of by local guide Marina who was thoughtful in organising and maximising visits to the impressive itineraries. Highly recommend Marina Slobozhaninova, contactable at slobozhaninovamd@mail.ru  or  +7911 123-80-89  She has good command of English. She’s attentive to our safety and enjoyment under her wings."
1,A  must vist for every fan of the arts,"My view of the summer palace got completely changed after visiting the palace.The museum has got rich collection of history and a day is not enough to see even 30% of the collectionsI strongly recommend, it is worth to see once in a life time"
2,Too big to enjoy,"In St. Petersburg you will have to visit this museum. It is huge and the known objects, like the peacock are really worth a look."
3,Tour guide couldn't be more vague,Of course we visited the Hermitage. Incredible the greatness of this place and its history. We bought the audio guide tour in the Apple shop on line. Fantastic experience!
4,Not enough time for all!,"We and our kids spend almost 3 hours in the hermitage, the kind were really impressed by all the beautiful rooms. As soon they got bored we slowly moved to the exit.Very nice!"
5,Fantastic,"Beautiful architecture. Not expensive tickets, perfect for seeing the history of Russia. Very royal objects. Very beautiful."
6,Absolute must-do while in St.Peterburg,"We had an amazing experience taking in the beauty, opulence, architecture and paintings. The Prodigal by Rembrandt was a must see for us and we were not disappointed! It was larger than we expected and we could take as long as we wanted.One review recommended the cafe in the General Staff building, so we collected our coats, rugged up and crossed the square. Our ticket covered that building. We wanted to see the Impressionist paintings anyway. The cafe there had tasty, generous servings and the best mushroom soup! Thanks for the tip!"
7,Virtual Tour of the Hermitage,Several Rooms and Paintings.Sculptures as well as icons. Loved the outer pillars. Humanoid structures supporting the roof.
8,Wonderful museum,The Museum itself is in the Winter Palace as well as four other amazing buildings that are all attached.  Our guide mentioned she had to study for a month and pass an exam to qualify as a tour-guide of this place! It is beyond the pale experience.
9,"Fleeting visit, enough to whet the appetite!",The whole of Romanov dynasty that made modern Russia is depicted here with exquisite art work and paintings.It’s a must do activity to know about the Russian history from the time Tsar Peter the great moves the capital to St. Petersburg from Moscow which stood till the October 17th revolution
10,Hermitage,Amazing museum with such a number of chefs d’œuvre !And the palace is really beautiful !Then the other part which is more modern contains a collection of paintings we’d never seen! A really nice day in the Ermitage
11,Precious museum,"You needs a day or two to see this place. It is spectacular but criminals target tourists in St. Petersburg and I would not recommend visiting St.Petersburg due to the criminal activity there. We were robbed and it was so well organised, the criminals are professionals. I would recommend Yekaterinburg or Novosibirsk of Irkutsk, even Moscow over going to St. Petersburg."
12,WOW!,"We visited in winter, it was easy accessible. The winter palace surrounded by snow was magical!  Chilly outside, so make use of the cloakrooms. This is a vast museum, residence and art collection in one!Think Versailles&Louvre in one breath! Allow yourself enough time to admire. The floors, walls, ceilings, light fittings, curtains, and then there is art! Remember the BC collection on the ground floor... it is mind boggling to see that great artifacts are part of this collection. But after a few hours in here, vodka and comfort food is a must!"
13,Absolutely beautiful,This had so many wonderful things to see. We loved the Peacock Clock and were awed by this immense palace. Problem....it is so crowded that you can't always get close to what you want to see
14,Fantastic but don’t waste your time on the Peacock Clock,"Huge and impressive, much like the rest of St Petersburg, could spend hours visiting this immense museum. Quite busy even in January, but worth it , good value."
15,Unique experience,The huge collection of the Hermitage is impressive. We visited the Winter palace and the Staff building. For us the impressionist collection in the Staff building was amazing.The winterpalace itself is a beautiful palace but unfortunately the various rooms were not explained at all. In various  Art in the room was disturbing; the roomS were beautiful and the art was distracting
16,HUUUUUUUGE museum.....Challenge you see it all.,"We visited this magnificient art museum and palace - it is literally full of art works that it is simply not possible to see it all in one day. We had the foresight to book a tour (my wife and I were alone) and on the day and time we duly found Ms Alyona waiting for us who took us directly to the main entrance without us having to wait in a queue. She was very well versed in all that there was to see, and explained all to us in very good comprehensible EnglishWe were impressed by her very good knowledge of where the works which we wished to see were located especially the one and only Caravaggio - It did not take long for us to realise that we were in very good hands and we spent four hours of viewing, admiring and enjoying both the beauty of the art works themselves as well as the beauty of the Palace itself.The Tsars certainly had very good taste as far as art is concerned.Thank you very much Ms Alyona and Ulko Tours for rendering our visit a memorable one - ray"
17,"Well-preserved interiors and excellent collections , a pearl on the map of Russia",Very beautiful museum/palace inside and outside! You need to check this out if you are in St. Petersburg.
18,Highlight of our trip,The best museum and historical miracle I have seen in my life before. It is very big and planned. You can follow the monuments in historical schedule at museum . The best work art
19,A MUST!!!,"This museum is like nothing I've ever seen before! The beautiful art works displayed amongst the grandeur of Catherine's Winter Palace is breathtaking and mindblowing at the same time....each room you enter is more grand than the next...you hardly know where to look first!We were lucky enough to do a roughly 3 hour guided night tour of the Hermitage (an on-shore cruise excursion)...we were basically the only group in the entire museum so could get up close to the exhibits without the crowds and make our way through more of the rooms to optimise our experience there...it was the perfect way to see what in reality was just a snippet of this entire place. No matter whether you're an art lover or there just to see the opulence of the Tsar's era...this is a MUST DO....crowds or not, this museum would be worth the wait!!!"
20,A must visit,Beautiful museum and gorgeous building. Sadly we only had half a day so could only see a fraction of the exhibits.
21,Must-Do in Saint Petersburg!,Charming esperience. Please go also the next front door Palace which has collections from Impressionism to Fauves.
22,Hernitage,"The Hermitage Museum is fascinating. There were rooms of different royal architectural style showing the extreme opulance of the former Tsars and Tsarinas. But what we found very fascinating when we had enough of the opulance, was the excellent exhibition halls on ancient Asia and Siberian culture. The ancient mellow frescoes were beautiful as were artifacts from burial mounds or kurgans. These included a horse buried with its warrior king. The ancient textiles and domestic objects were beautiful and though there was not a huge amount of English there was enough to understand what it all was and you can always follow up after if you want. Photography was allowed and guides and Russian public who spoke English also tried their best to give more information. It was a welcome quiet corner of a very busy museum."
23,BIG,"Couldn’t imagine the wealth of items inside its walls! Beautifully presented.with respect to their history everyone should visit! Use the audio guide as it helps a lot! Impressive, regal and unique! Give it ample time, then go opposite to see the paintings and around the corner to see Peter the firsts home, all with the same ticket!"
24,Horrible employees,"Wonderful museums, with a huge collection of paintings, and several buildings, however, the excessive crowd, very long queues and the security procedure are just frustrating."
25,Mesmerising,"Great city, great architecture. Worth visiting for 100%. Feeling you will have staying on the Palace square are impossible to describe. Need to come and to try. The Hermitage inside is one of the world masterpieces."
