,title,text
0,Ganga aarati Main attraction ,"We reached little late to join the Ganga aarati, but still it was nice. Less crowded, but didn't look like people following any distancing in Covid19 times......neat and clean place though, despite giving space to cattle, stay dogs and beggars."
1,Triveni Aarti,The aarti was a unique experience.  But the ghat was crowded and it took some time to get there. The first 2 rows were paid and we had to sit towards the back.
2,Naturally made creations,"the arati in the evening was fantastic. though the sitting area is very congested, one can have a good view from distance. every evening the arati is performed. one can reach the area by little walk from the main road."
3,best attraction in Rishikesh,"I never miss the Ganga aarti here in Rishikesh. Less touristy, less crowded and you’ll be able to find a seat by the steps and watch the whole procession beautifully."
4,Beautiful,"Very nice aarti , spectacular ! And without unmanageable crowd. The river current is fast, and this ensures cleanliness. The ghat area is also clean. The sight of people from various countries dancing together after the aarti was a bonus."
5,trivet,Ganga Aarti at Triveni Ghat was an amazing experience!It was well organised and comfortable than the Ganga Aarti we experienced at Har ki pauri in Haridwar!
6,Ganga Aarti,Triveni Ghat is very spiritual but a lot smaller and more intimate Aarti than other places. I preferred the evening ceremony here.
7,Unique experience,Aaarti in the evening is amazing. Very tranquil and spiritual by the river Ganga. A must if you are in Rishikesh.
8,Pure and Divine,We reached the ghat at 6 pm and got seats in second row.Mesmerising Aarti by 16 pandits and team of singers and accompanists started right away.We really had a nice experience listening to shlokas and Aarti.
9,One of The Best Ganga Aarti,We visited the place during the day time. And hence missed the Ganga Arti. But yet sitting by the riverside was so comforting  and calming.
10,Triveni Ghat aarti,"Its a lovely beautiful experience to have attended the Ganga Aarti with nice bhajans also playing. Though found things a bit commercial but that doesn't matter because its everywhere, till the time you are happy and in solace seeing the Aarti. Felt beautifully connected with the River Ganga 👌🌷"
11,Much neatly maintained than expected,There are ceremonies in the evening on both sides of the Ganges and both are quite different. Nice walk over the suspension bridge. Watch out for the monkeys.
12,Divine vibes ,The Ganga Aarti at Triveni Ghat was not  crowded like Har ki Pauri.It was well organised and conducted very systematically.It was truly a divine experience.The best part is that the Ganga is not dumped with a lot of rubbish.There are no touts extracting money.Loved the entire experience Would recommend it any day.
13,Aarti @ Triveni Ghat,Very well organised and spectacular arati performed at Triveni Ghat. Atmosphere was great with the devotional songs and spontaneous dance.
14,Nice time doing the pooja ...,"Incredible Aarti ceremony on the banks of the Ganges was beautuful, interesting and a moving spiritual experience."
15,munni ki reti,"We attended 2 aarti. First time in Parmath Niketan, near Ram Jhula. Full of foreigners dancing. Felt so weird.The second time, it was here at Triveni Ghat. i sat among locals who chanted and sang along the music, with respectful minds. Even little kids like 3 years old sat clapping their hands. Before the ceremony, just hang around the ghat or the market nearby."
16,A truly inspiring night,The Triveni Ghat at a glance appears just a ghat but by the evening hours the whole area transforms into a magical vibrant energy as the song and prayer gets added on.
17,Good place Good Vibes,"Me and my friend loved seeing the traditional evening events at the ghat, songs, dance, fire it was great.My heart yearns to go back there.This devotion is done every night and has been going on for thousands of years.India is a gift to the world"
18,Pious & Serene !!!,"Triveni Ghat is a little away from Tapovan area, it's where we were staying so. Triveni Ghat is in Rishikesh Town area. Like every other Ghat , this Ghat also has Ganga Aarti every evening at sunset. We've seen a lot of Ganga Aartis in India but Triveni Ghat is our favorite. It was such a spiritual experience. The songs, the beats, the diyas. Everything was so mesmerizing. We felt truly blessed to have attended this aarti. According to me, the aarti here is a must visit"
19,Mesmerizing Arati,Amazing place at night with the Ganga Arti ceremony.  Fantastic atmosphere.  It is worth the trip to go to Rishikesh  just for this let alone seeing the Ganga
20,Beautiful and peaceful aarti ,"The arti though not commercialized, but enjoyed the whole ambience. It is a good place also to sit and relax by dipping feet in the ganga."
21,Beautiful Temple with Inspiring Ceremony ,The Ganga Arti on Triveni ghat is a good experience. It is very crowded. But chanting of prayer with Aarti is quite captivating. Parking is a big problem.
22,Ganga arti was superb,It was an awesome experience just around SUNSET on the GANGA. Must visit if you are in Rishikesh.  Also floating the small leaf vessel with flowers and diya is beautiful view
23,Beautiful AARTI at Triveni Ghat,The ganga arti at triveni ghat was heavenly and was really a truely superb experience. Totally worth the visit and highly recommended
24,Devine,The Aarti was very well organized. Its already famous for the aarti and we were lucky to get a mesmerizing view of Aarti. It feels very peaceful to be part of aarti
