,title,text
0,A lot more to see,"Most people think there isn't much to see in Troy but if you get the feel of the place and the various levels of troy it really is special. Read up the legend of Paris and Helen, stand by the stone roadway where hector rode down to meet Achillis. Look out at the land that was once water and imagine those 1,000 ships. The Iliad talks of this windy place with such poetry that when you stand at Troy you are with Homer and his words. Loved, loved the place."
1,Not much to see,"It is an interesting place only if you visit it with a tour guide that provides all the neccesary information for you to understand what you are seeing. Otherwise, you will see a lot of ruins without meaning. There is a lot to walk in uneven grounds so it is not a good visit for the elderly."
2,Bringing the Myth to life ,"It was good to go there and see a little bit about history.The place is not so big, You do not need so much time.İn summer is really hot."
3,Fascinating history!,Great to be able to see the site. The history is amazing and gives a little realism to the myths we read/see. Amazing how many layers of history with so many generations building on top of the last. Saw the replica horse at the site and then the wooden horse that was used in the movie is in cannukle town.
4,amazing historical site,very nice experience to see this very old city and how they build it . if you have read homer them you will be much more better
5,Myths and Legends,"Nice historical place to visit, but it is so much more attractive because of the famous story behind the site. We were there end of season so we had the whole site almost to our self. Combine this trip with a trip to the Canakkale Martyrs Monument and Anzac /Gallipoli"
6,Troy,"this is a long trek around the grounds but well worth it , the heritage is there to see everywhere you go there's pillars or coffins and parts of buildings great if you like archaeology"
7,The Troy Archeological Museum is top drawer!,Amazing place for a day out for history lovers. Definitely visit the museum and drive to this place is equally beautiful.
8,leisure trip to turkey,"Not much to see, just the ruins, that too incomplete. Troy Museum is the only attraction worth visiting.If travelling from Istanbul on a day tour, worthwhile skipping Troy altogether  to save time."
9,Interesting site,"The recreated wooden horse is not very impressive but a walk through the site is amazing. Do make sure somebody explains the site to you, or read about it in advance. The multi-layered city was very important in history even though Helen of Troy may have been a myth."
10,Eye Opening ! Archeological Wonder !,"Fun to see this Hollywood re-creation Located along the waterfront, it is nice to stroll around the area and pick up an ear of steamed or roasted corn.   Worth about 30 minutes"
11,The must for archaeology lovers,"a great place if you loved the story of troy or you love history all together, its a quick bus ride up from Canakkale and is definitely worth it. there is also a nice big field with beautiful flowers and views right at troy"
12,More than just the wooden horse ,"Not usually a fan of guided tours, but the truth is that not a lot of Troy is left standing and you need someone knowledgeable to explain the layers of Troy 1 to 7. We went with Hassle Free tours whose guide was splendid."
