,title,text
0,Limited covid tour,"We had been wanting to visit this vessel for many years. The tour was good but we were a bit disappointed to miss quite a few sections, which were closed due to covid restrictions. If you have be waiting to visit this, like we have, I’d maybe delay your visit."
1,Even One Hour Was Great,It was a nice tour as there are many volunteer veterans telling stories. It was great to see the ship but we were disappointed that the tour is extremely limited to only the hangar deck and the flight deck due to Covid-19. They haven't reduced the price accordingly.
2,It was so much fun!!,I have toured a few Navy vessels and this is the best.  We arrived early to purchase tickets and had a very short wait.  There are senior and military discounts at the window.  Once aboard we were handed a audio tour instrument which is activated at various points throughout the ship. We headed straight to the bridge as later in the day this area involves a long wait.  From there it was on to areas below deck.  I think the only thing we might have missed was the engine room although not sure it was accessible to the public.  The aircraft displays on and below deck were very interesting and informative.
3,Uss midway ,Our family truly enjoyed our visit to the USS Midway.  It was very interesting and we especially loved all the veterans and volunteers who helped with the tours and put on talks.   Don't miss this piece of history.
4,USS Midway tour,"It was nice to visit the uss midway for the 2nd time, although very disappointed that many of the tour sections were closed and off limits."
5,US Midway - excellent day adventure,"We thought we would visit this museum for an hour or 2 and stayed for 4.  It was an amazing experience.  We started with the tour that commences at the bridge.  This was a smart thing to do because it gave you a deep understanding of the boat, the planes and her achievements. After that we spent the next 3 hours looking around, speaking to the volunteers who are all ex-service people and then we stumbled onto another highlight - a presentation of how the planes land on the deck.  This also a must see - the tent where this is held is in the centre of the runway deck.  You cant miss it. Finally, finish with the video re; the Battle of Midway.  It is in the cinema on the middle level of the boat.  It is exceptionally moving!!! Must Do: 1. The formal tour.2. Grab and use the audio set3. The presentation on how to land on deck4. Cinema experience  - Battle of Midway."
6,Nice very limited tour due to Covid-19,We purchased our tickets ahead of time & were glad to skip the line. The audio-tour provides great information and insight. Presenters on the flight deck gave additional information. Wear comfortable shoes & be prepared to walk & climb stairs.
7,Glorious History ,We visited the Midway pre-COVID-19 and were able to tour the ship comfortably.  It was fascinating and displays were great.   My sons loved getting close to the planes and listening to the docents who are veterans sharing their experiences.
8,About as good as it gets,"My daughter and I decided to visit the USS Midway. We weren't sure we would stay very long because of our interest level, but the visit was surprisingly fun. We did not buy our tickets in advance and arrived at the entrance 20 minutes before the attraction opened and purchased our tickets within minutes. While waiting on line, we were given advice to head up to the flight deck to take the Guided Island Tour first because it tends to get busy. After that we wandered through what seemed like the entire ship and saw many of the exhibits, movies, and talks. It was fun to sit in several of the jet fighters and other aircraft units. The free self guided audio tour was helpful as well as the many explanations from knowledgeable Midway volunteers.  We stayed so long that we purchased lunch at the cafe and ate outside on a deck that had seating. It was very pleasant and gave us a break from all the walking. We must have been there over 4 hours. I wasn't sure it would be a must see as others have said, but I do agree now."
9,Very Stately,"Really enjoyed it. We had only an hour to do something local & we were glad we chose the Midway Museum. Though some areas were closed due to COVID, there we still so many interesting things to see. The volunteers were great; super informative & seemed quiet happy to be able to share their knowledge. They didn't push us through, and we could wander wherever we chose. Can get hot & bright on the top deck, with amazing views of the water & the city.  Ideally, set aside at least two hours to explore. If you're a factoid junkie, you can easily spend 3+ hours listening to audio commentary and just looking at planes, choppers, muintions, and operational gadgets. Even my wife --who is a great sport, but doesn't dig museums like i do -- really enjoyed it. Bathrooms were accessible. We didn't get to the gift shop, but there appeared to be endless products. Also, you can buy a commemorative photo at the end. Proceeds support the museum. Our kids are grown, but if we had school-aged kids or teens, I'd go for it as it's big and there's plenty of walking & touching & learning if ya want. If we get to SD again, we'll likely go again!"
10,So much to see,"I would like to suggest everybody to visit this museum when visiting San Diego. We learned a lot in our 3 hours' visit. It is like the combination of an aviation museum and a ship museum. My daughter, a teenager, was so interested that she did not  want to leave until the museum was closed for the day."
11,Do this to complete the American experience,"Practically everybody gives this attraction 5 stars and it deserves it. On Saturday we spent 4 hours touring the ship . We were staying across the street so we came back for free the next day ( make sure you get the pass) On Sunday ,we spent another 3 hours there. The yellow hats are volunteers who in most cases served in the service and in some cases on the Midway. They love telling stories and are very passionate about what they do. On Sunday we had one as a personal guide for 1.5 hours as he explained what he did on board and the dynamics of the operation. For the most part, they do not worry about being political correct and we found that refreshing. We plan on going back ,since it is nearby."
12,Old sailor vistis,"This past weekend, we spent two delightful hours on the Midway. We were very impressed with how the information was presented and the ability to walk around the ship and see a variety of aircraft. Unfortunately, the Covid pandemic prevented us from observing everything that a normal tour entails.We suggest you buy your tickets online the day before your visit."
13,Always a Sight To See,We enjoyed every part of this tour and we had been onboard before.  Excellent guides to provide all the info that you want about the ship.
14,USS Midway,All the volunteers were happy to tell us all about the ship. We learned a lot of details about the planes and the functioning of the ship itself. Pretty interesting stuff!
15,Outstanding Experience,We truly enjoyed the 4 hours we spent on the Midway. The docents were amazing. You need to climb stairs and have plenty of time.
16,great tour great history,"We love visiting the Midway and have done it many times over the years.  While I appreciate all the work done and the employees/volunteers, this trip was rather disappointing.  Due to COVID, you have to buy your tickets online in advance and choose your entry time (this was not a problem, we did it from the parking lot and got right in).  They have plenty of signs regarding COVID, social distancing, etc (and hand sanitizer stations everywhere).  The disappointing part was that we weren't able to go down below inside the ship or up to the bridge.  It's understandable due to those being very confined areas, but had we known in advance we probably wouldn't skipped it this trip (it may already indicate such on their website, it's very possible I just missed it).  I still give it 4/5 stars because everyone should experience this great piece of history."
17,Good experience,This was an amazing site to see. The self guided tour was great and very informative. I also enjoyed seeing and talking with actual retired crew members who could give a level of insight on the day to day that otherwise couldn’t have been understood. This tour was amazing for families. There are a few tight spaces during the self guided tour so if you're not a fan be for-warned! The view on the deck was amazing as well!
18,boys day out,This was a great place to visit with family. Several interesting tours within the ship and also the guys enjoying talking about the activities on board. We stayed for 2-3 hours and ended our visit with the kids flying the simulators placed on the entrance deck. Can recommend a visit but it ain’t for free.
19,History,It's amazing to see how much of the ship they have opened to visitors.  I think we spent 4-5 hours there.  It really gives you perspective on the  day-to-day life on a carrier.  If you're a fan of military history & the Navy ( retired Navy chief here) then you will certainly enjoy this visit.  I was stationed in Yokosuka when the Midway was still home-ported there.  In the flight island tour they had a map that laid out where the ship docked along with outlines of the base as a whole.   More than a little nostalgia looking at the base & picturing the layout in my mind from some 30 years ago.
20,Patriotic!,We had a great time exploring this beauty. Very very cool experience!! Seems like they hire vets too that either worked on the ship or one like it. Very informative!
21,Outstanding and Highly Recommended,Luckily the crowds were low but it was a very moving experience and I highly recommend it. The island tower was awesom
22,Bucket List Done!,My husband & I so enjoyed our self guided tour of the USS Midway Museum. We loved exploring the inside and outside areas and getting the chance to see how the navy men lived on the ship. There were plenty of veterans around to answer questions and lots of informative posters on the walls with personal remarks from some of the previous men who had served aboard.
23,Wonderful History Lesson,"Was a very interesting tour, I like the fact that you could wonder all over the parts of the ship that were open, I was on an aircraft carrier in the late 70’s so it was also a nostalgically thing for me"
24,Well informed,"My experience at the midway was great. The ship was is great condition and well maintained. The docents were very helpful and wore the proper face protection. During COVID-19, parts of the ship were not open, the only open parts are the hangar and the flight deck. When it fully opens up, I would gladly go back to finish the tour."
25,Fantastic museum,"We thoroughly enjoyed our visit to the Midway. We had a group of 8 ranging from 3 to 82 and everyone liked the day we spent there. The kids loved the simulator rides and getting in the airplanes. They also did the scavenger hunt to get their ""wings"". The adults all liked the information shared. The retired volunteer veterans were great."
26,Brilliant resource,"A bit pricey but we felt this museum was so worth it. There is so much information that it is hard to read it all in the time we were there and we spent 4 hours there.  As a surprise plus, we were there when the Navy Frogjumpers (parachuters) performed in the air then landed on the top deck!  There are also docents throughout the ship who are very knowledgable.  This is a place worth seeing."
