,title,text
0,Staff altitude is very bad!! ,this place staff be so spoiled from all vistor before covid crisis then even now is on same altitude... didt know nothing about service industry just very lucky to be on this island. Refuse to accept people from far entrance even if have handicap becouse want you rent a wilchair in entrance never be here anymore one of wast place in Japan!
1,Uminonakamichi Seaside Park Has Something for All Ages,i highly recommend for couple bike this place. included zoo and small amusement park. great place enjoying dating for u.
2,Uminonakamichi Seaside Park,"You can visited this place everywhere. Beautiful views and many entertainment.Mini zoo, flowers,ocean seashore,that you can see allow have great vacantion. I get absolutely pleasure to be there. I was here in April. This the best time to travel. Weather warm,but not hot. Everything blossomed,so we can enjoy the beauty of nature. Don't forget catch some food (you exactly will  want eat in nature) and you can eat in someone cafe and try delicious Asian food. I recommend this place. Welcome to the park!"
3,Best Park all-around park in Japan 10/10,"This place is one stop park for family, they have a zoo, gigantic trampoline, flower park, playground for kids. The entrance fee very cheap around 400yen, you can rent a bike for your convenience, because this park is very large. Come to this place especially at spring, around April, at that time this park has the best view"
4,Beautiful place with marvelous view for relax),"This was an unexpected surprise for us. We saw it briefly on trip advisor, but wehn we saw how far away it was from Hakata (where we were staying) we almost didn't bother. Glad we did! The trains were a bit hard to figure out, as they were on the JR line, rather than standard, and the switch for trains in Kashii was pretty confusing -regional lines seem to presume you know what you're doing- basically you head from Kashii to Umi No Nakamichi and it's the second last stop. Don't fret if you go to far, it's a 10 minutes wait and the train reverses. However we had to switch trains the stop before Umi no Nakamichi - not sure why, but the captain wandered through, spotted us and directed us to opposite side :)We clearly went in off peak, but had a blast. Hire a bike definitely but don't leave any food in your baskets when you get to each stop - it will be taken by the birds - there's warning signs everywhere.We hired a 2 person bike and you just follow the blue lines - there's maps everywhere with where to go and what to stop at. We spent about 3 hours there, and missed most of the sights as we spent the majority of the time enjoying the ride and playing at the forest park - which is essentially a massive petting zoo. Keep in mind we are 2x 30 something year olds, but it was great. The area was massive, the creatures were clean and there were things there I'd never heard of. There are hand washing stations anywhere, so don't pat anything unless you have thoroughly washed. And there are also some cool vending machines that give you these odd biscuit things that snap onhalf and are full of food pellets. The animals know that sound of the machine and head straight to you. From inside their respective areas, the animals are mainly free to roam, so many will mooch right on up to you for a pat.It looked like there were also water rides and rose gardens etc etc, which we didn't get around to, and didn't really try because we went coming into December and figured it would be a touch cold to bother.If you have kids, make a day of it. If you don't, enjoy the ride and stop wherever you want. We had a blast here! (there's also a marine park across the road from this where most people who got off at the trainstop went.)"
5,Nice park at the right timing,Just a friendly reminder that the Ferris wheel is now gone 😓Also would suggest to go during before end of November so there would still be flowers.
6,Lots of space for kids to play.,"It is very nice place to relax with family after business week. There are comfortable sand beach, nice restaurants, convenient places for relaxation."
7,Beautiful flowers with camera/phone stand ,"We came with family of 2 young children, we rented 2 bicycles which can carry one kid each. The park is so big. You must rent a bike. The staff at the bike shop near the train station entrance was so helpful and nice. We arrived around 2pm and the park closed at 5pm. So it was a bit short of time. We rented the bike for 3 hours at 400 yen. Our kid can sit in the front. It was really nice weather. Sunny with breeze. The kids got to play at the playground and slides. And they just didn't want to leave.  As the park was so big. We didn't even get to visit other part of the park. Eventually we decided to come again the next day. And this time we also rented the bike at went to the mini zoo first, than had our mini picnic lunch at a massive field than went to the blue flower bed. It was truly beautiful. And besides that, there was another children's playground. Our kids get to play their for a while. If u go. I suggest to to early. As their is so much to do there. And such a relaxing family days. At low low price.  Highly recommended family with kids."
8,Must visit!,Fukouka tower should be seen in night for colorful illuminations according to the day of the week. on our visit it was MILKYWAY with white & blue combination .its a treat to the eyes. the city view is excellent and  tie  on wishlist is an attraction
9,Huge and great park to visit ,"its near the waters so do bring along a windbreaker. we visited the park on 2 apr and there isnt many cherry blossoms, the park was about to close at 5.30pm and we were somewhat the last guests around... its a nice stroll... did not get to ride a bike as we intended to... the park has parking spaces and is accessible via public bus. it feels serene to walk around the park..."
10,"Vast spaces, great for relaxation","It is a really huge park, a rental bike is available. Recommended to in Spring where a lovely seasonal flower is everywhere."
11,Beautiful park,"Great for children. Amusement area is dated but, still lots of fun. Sunshine pool was not open early July."
12,Wide open spaces and beautiful flowers,"I visited Umi no nakamichi seaside park during Dec 2012. It was my first destination once my family and I reached Fukuoka. Unfortunately, it was raining on the day i visited and the wind was extremely strong. Thus, we were not able to enjoy the park properly. The park was very huge, however, there was not much things to see and do. Many of the attractions such as the go-cart were not open. Even the 'food court' does not seem to be open even thought it is already noon when I visited the place. We finally found the ferris wheel after a long walk, however, the price seemed a little towards the high side and therefore we felt it wasn't worth the price. We did bought some food to feed the fish which we thought was quite fun!It would be better to enjoy the park when the weather is not freezing cold!"
13,Biking tour around the park,We visited on 31 March and was disappointed as the cherries trees has not blossomed yet.  The whole place was deserted.
14,Blue Nemophila,"This park blew my expectations out the window!  410yen per adult gives you access to the huge park with beautiful gardens, ponds, woody paths and wetland area. Inside are a number of attractions for additional cost including a zoo. I rented a bike in the late afternoon and cycled the perimeter only stopping at a few garden/ nature areas due to time. The roses and hydrangeas were in bloom and were stunning. The park offers guide maps in many languages including English and the staff spoke English enough for me to understand where bike rental was and how to return it. Everyone I encountered was very kind. I spent 2 hours in the park but could easily spend 5 or 6 hours- not including time for the additional cost entertainment."
15,Splendid for All Ages!,"If you are in Fukuoka with young children and its a beautiful sunny day - head here. If you have seen the other reviews, you will no doubt already know that this is a large park. But large is an understatement - it is absolutely sprawling.First - the logistics. You can get here by stopping at either Uminonakamichi Station, or Saitozaki Station, which is approximately 45 - 50 minutes from Hakata Station.. Stop at Uminonakamichi if you want to hit the Whale Cloud / Go Karting / Slides area first. If you prefer to get closer to the Dolphin Playground and Animal area, stop at Saitozaki instead.It is possible to rent bicycles or walk the park. We chose to walk as we had a pleasant summer day. While there is an internal shuttle bus, its not very frequent (we were there on a weekday and it was on an hourly basis). You can check the website to see a picture of the map and you should do so if you have young kids in tow as this place is so large, that you cannot actually get from one attraction to another without quite a bit of walking / cycling. You will be able to see the list of attractions from the website but what is not obvious from the website is the incredible quality and high standards of maintenance this park has at every attraction. The Whale Cloud which is like a huge bouncy was an incredible amount of fun, the Go Kart (which is payable) is well worth the money and you can choose between a Bumpy Route and a Smooth Route - and you get on these motorised cars and drive them on a short, but fun route. The playground with long, fun slides were fantastic. The Waterside Playpark offers a more challenging play area for slightly older children with rope like challenges, the Sky Dolphin play area had more slides and rope play areas. While the animal area is not large, it was very well maintained, and the animals well looked after. You get to feed the goats , sheep, ducks and swans (food can be purchased at 100 yen) and pet the Guinea Pigs. You can touch the rabbits and turtles as well. There were beautiful flamingoes, monkeys, capybara, peacocks, kangaroos, turtles, cranes, rabbits and many more animals. On top of all the kid friendly exhibits and play areas, the grounds are expansive, beautiful, and even though we spent 5 hours in the park, we barely managed to cover a quarter of the park. The one thing that you need to note when coming here, is that there is a lack of food. I am not sure if this is the case on weekends as there certainly were some food areas designated and there were food pictures on the website but they were not open while we were there. Drinks are available in the form of vending machines all over the park but food was not. There was a snack store at the animal area but only selling donuts and ice cream. This was the kids best day in Fukuoka and their most memorable. It was an awesome day for the adults too. One of the best playground and park we have ever seen."
16,Use JR Pass for a free fun day,"We choose flower season when we visit here. We chose nemophila and rose this time. We always drive from city centre. Our typical plan is that we drop in at Aeon Mall Kashiihama to buy bento or sandwich and some soft drink on the way to the park. Both nemophila hill and rose garden is near the west entrance gate, which is closer to Shikanoshima. There's also car park there. Nemophila hill is on the left side from the entrance gate and the rose garden can be reached by walking straight.Baby stroller and wheelchair can be freely rented at the entrance."
17,"Park with flowers, playgrounds, scenary","This is a very huge park with all kinds of activities.  If you are interesting in flowers, don't get off at the park JR station, get off at the last station of the line.Flowers are beautiful.  Gardeners upkeeping the park very well.Another thumbs up of this park is: it provides camera/phone stand at every scenery point.  So its easy to take solo/group pics without asking for help"
18,Most enjoyable park,this is beautiful park to spend the day if the weather permits. We went in May so the flowers were in bloom and the gardens were spectacular. It is huge and takes a few hours to get around but if you have kids you can relax in the playgrounds with them. There is a kiosk where you can buy limited food and drinks near the playground but if you grab a map before entering it shows where the various sections of the park are. Great place to take a break and unwind but is crowded on weekends so weekdays are better. Not sure of transport to get there as we went by private car.
19,Best park ever,The park itself is very beautiful. Lots of fun play grounds through out which is great if you have kids with you . I went with my teenager so we ended up just renting bikes at 700 yen for a day and cycling around the island . It was relaxing and got to stop off at all the recommended spots . They had a go cart. That was a plus.
20,Flowers Day!!,"The park is quite big & has quite a few attractions. It has a beach, a mini zoo & playgrounds. There wasn't much flowers to see as they are not in season. Fortunately for us, we at least get to see the roses & few other flowers bloomed at the rose garden."
21,Beautiful ,"The park is huge and has lots to do (though some of the attractions were under going rennovation when we went, such as the aquarium). There's lots of play areas for kids, hire bikes to cycle around the whole park, a miniature zoo (which is actually decent and the animals have space to roam and move about and seem happy) would recommend and if you get the chance to bring a picnic."
22,Picture perfect,"Great for activities, can walk, hike or cycle.   Beautiful view of blue flowers and cherry blossoms. Enjoy the coastline scenary.  Great place to educate children on nature, environment, and animals.  Sunshine pool is available during summer.  Children's playground is enough to keep children busy."
23,Lots of happy people taking pictures. ,Went when the park was venue to a rugby tournament - very tranquil and well laid out.  Lots of attractions - didn't get around to them all but fun was had by all!  The ladies in our group were very impressed with the flower meadow!!!
24,Nice park with many attractions,"I liked this park pretty much but perhaps it is one of the good parks you can find from many cities. If it is your first trip to Fukuoka, perhaps its priority will not be very high. However still good to spend some lazy Sunday afternoon."
25,Great family day out destination,"Nice garden and petting zoo at the park.We hired a bicycle (must do) to get around; the petting zoo was nice with lots of different animalsThe garden was great... there was a hill full of wild flowers.  However, the rose garden was not good due to the season were were here... Overall, nice place to spend a relaxing day... Big hint... Bring your own food for a picnic lunch... did not see any place that sells food.  Best to pick up a bento box when at the Hakata train station."
26,Disappointing...there was no vast cosmos field. Nov 2018...,"For families w children, skip the Marine Park (boring zzzz...) and go straight to this outdoor park. Maybe a bit far out from the city but for the kids, this is Fukuoka attraction no 1 having spent 10 days in fukuoka. Entrance fee is insignificant but the following attractions are mind boggling; 1. 3 of the longest downhill slides i hv ever seen, more than 50m downhill. 2. The waterpark is fantastic with aka ninja warrior obstacles for the kids built over a meandering stream. Sense of challenge, motor abilities and achievement 3. The go kart was a wild ride gteed to bring glee to many kids faces... 4. The giant bouncing castle at the entrance... This underrated and seldom publicised giant park exceeded our expectatiobs. We came here as a side trip after the Marine Park but spent many hours here till it closed at 5pm.   And my kids insisted on comg here again...on its own."
27,Must see for families!,"We saw the sunset here.There is a promenade and a special building on the pier but, it was closed for a private function.We found a street stall and had octopus balls and warm sake."
28,The most beautiful park I have ever been!,"It is a great place for children to go around.  It is a must to rent a bike cos the place is big.  They even have bicycles with training wheels so that the young ones could join in the fund.  There is a small zoo there where you could buy feeds for the ducks, swans, sheeps,goats, etc.    It was quite on weekdays but I do believe it would be crowded during weekends."
29,A joyful place for a family with kids,Great place to bring kids & for young people to enjoy cycling around. Huge park with playgrounds & small zoo. We went to see the blue nemophila flowers which bloom this season. Spectacular!TakeJR train to Kashi & transfer to smaller train to park.
