,title,text
0,Hot spring natural hot water coming from mountain amazing.,Hot spring natural hot water coming from mountain amazing. It take time to take a dip as water is so hot. It taje time to adjust with the hotness of water but it's a great place to be in and temples around it are beautiful historical.
1,Another top attraction,Interesting place to observe nature/god creation of hot water spring in a cold place like Manali. No doubt Vasisth Maharishi choose this place for tapas..such a serene and blissful place.
2,Vashisht temple,"Ancient time temple with natural hot water bath at cold place, shows the power of nature. Was good experience there"
3,Vashist Temple,Natural Hot water Stream Flowing to a place where we can take bath. Many foreigners were having a bath in this Place. Very amazing and surprise to get a hot water spring from a very cold place like this.
4,Local sightseeing in Manali,This is a small place with hot water spring. There are small rooms where you can enjoy hot water bath for a limited time.
5,Vashisht Temple & Water Kund,its a cool old Hindu temple. the best part is its hot water spring bath. u can take bath here and feel fresh. its like 30 mins drive from the city and 15 mins walk from the parking place. the village is cool too with many food places and shops.
6,Vashisht temple and hot springs,if you are in mood to visit temple and see the hot springs you can visit here. Hot spring baths will be crowded and doesnt seem to be managed well.
7,Vashisht Temple,This place is really good. We really enjoyed taking bath in this hot water spring. Must visit place in manali
8,Rejuvenating ,"It’s very beautiful magical place with open people, great spa witch makes skin like silk and gives good energy"
9,HOT water! ,water hot spring is very small and dirty. water comes through a pipe. so u cant see natural phenomenon. if you have lots of time then only visit.
10,Too hot water,Nice temple. Like the view and hot water. Market surrounding to this temple is really good but if you are going to purchase please bargain.
11,Ever interesting and heritage,Temple is beautiful and hot water bath is amazing. it was really good and must visit the place in manali
12,A good experience,Very peaceful and blissful place. There was some secret warm water source. People were taking a bath near temple.
13,Okay okay place,This is very old temple with natural hot water coming from mountain naturally Please take extra cloths and undergarments and soap and shampoo when u visit this templeThere is separate bath area for ladies and gents. So this is appropriate place for ladies also take bath in hot water
14,Manali tour,"was awesome to visit hot water spring and to have a bath ,well seight seen waterfall few min distance from vashisht"
15,Hot spring,"we visited the place to have a bath in hot water spring. the pond is not maintained properly, the water is not clean"
16,Dismal Condition,"Hot water bath is the attraction in manali. There are 2,3 hot water springs it seems but we went to vasisht bath only. hot water always flushing to the tanks is different experience"
17,Amazing experience..,Another big attraction in Manali where you can enjoy hot springs (sulphur water) which some say has healing power to cure skin diseases.
18,Vashisht Hot Springs,Very hot water is available even in -2 degree. Wn we visited temp was very down still that water was tooooooo hot. One line is available outside of tmpl so local people use it in daily activities. Male n female area are different n quite enjoyable.
19,Small temple near a hot spring,"Its next to Vashisht and Ram Temple, just walk past the temples. The pool like area to take a dip is for males only. Was told its a unique experience, so must try but I was in a rush and not ready. Have experienced it though when I was young."
20,Very good,Its a holy place where one should  visit. This place has a natural hot water and People usually take bath in this hot water.
21,Hot water spring and temple ,Can do this with Jogini falls. Old temple. The attraction here is the hot water springs. But found the bathing place very smelly. Water actually was coming thru a pipe. Wonder where the springs actually are.
22,A Beautiful Small Temple with Hot Spring Near to It.,"Guys there are 2 temples here...apart from this,main attraction for me is natural hot water was coming there origin was unknown ....must visit thing...notice it when I visit... people have a belief that bath from that water is sacred"
23,Live music and awesome food,It was a different experience to take a early morning dip in Vashisth hot water spring. The water is really very hot and feels very comfortable to take a dip specially in early hours. It's a must visit place while in Manali.
24,Historical place ,It is very famous because of hot water coming naturally (Kund)There is separate area for taking bath for men and women.This water is very useful for skin decease.Very Nice and attactive
25,Nice onsen in Bashisht,The temple has the hot springs and people usually bathe before worship. You need to walk up for nearly 20 mins from the parking lott.
26,Soo happy to see this and tke bath,there is hot water kund for bath very good fluting on wood looks very nice. you can visit once nice place.
27,Bathing,"This is a old vasishth temple and water, Now a days renovation is going on. Need to walk to reach there as its on heights. good place"
28,Hot spring,its holy place and there is hot water inside it . there was bath house for men and women separate. best part is that water which  come out is naturally boiling hot .
29,"Vashisht Temple and Hot Water Springs, Manali, Himachal Pradesh",Good place and nice market around. there is a sulfur water source as well where you can take a dip as well..
30,Floating particles...,"as the name suggests this place is famous for hot water springs wherein you can take a bath. there are different areas for men and women. the hot spring is surrounded by three iconic temples and each one of them is a piece of art. you can get a spectacular view of the snow covered mountains from this place even during the summer days. however the road leading to this place is quite small and you should ideally prefer to walk instead of travelling through vehicle. Also the story behind this place is also nice to hear, this place provides you with positive vibes."
31,Totally Different Culture,Good place to visit temple of Rama and if you wish bath in hot sprigs bath located along the temple. There is separate provision for male & female visitors to bath.
32,Holy river,"place is little far from mall road and on top of city. a hot bath kund is here for bath, water as too hot in 0-1 degree but you will get relaxed after bath. kund not clean but still its amazing"
33,Unique experience,"It is amazing there is a hot water spring in this cold freezing climate. Indian people believe that their illnesses will cure with a nude bath in this hot water pool. Two places for male and female. Some are staying in the pool for hours while some are just taking a dip. However, a different cultural thing in India."
34,Must Visit !!,This place is actually famous for its hot water springs though we did not have a bath considering the extreme cold temperatures and it being crowded. The temple in itself is an old small temple but great surroundings and hot water springs in its vicinity. Paid parking available.
35,Good to see,The Hot springs near the temple have extremely hot water and are very pleasant to be in chilly weather. Its a nature's miracle and you must experience it once in a lifetime
36,Heritage temple,Vashisth baths have hot springs where they made separate place for ladies to take bath. Not so clean place for men to have bath. People wash clothes which they not supposed to do. There is one Rama & shiva temple near to this place.
37,Needs Cleaning and proper managing,I visited this place with my family in month of June still in this month water in tap and river was chilling but at vashisht we get natural hot water which is really amazing. People take bath in hot water . There is different facility for gents and ladies. Also temple is nice and worth visiting.
38,guru vashisht temple,Temple is very common like other temple in manali but hot springs made it different. Many persons goes for taking bath in hot springs (Kund). It is situated in a very good market place mostly by Kashmiri people.
39,Try to Visit,Miracle!!! Hot water from the himalayas at this temple.its a holy place. There are opportunities for taking a dip at this hot stream separately for gents and ladies.
40,Temple and Hot springs - skip if visiting Manikaran,Its a superb place with markets .. temples and natural hotspring in same place . HOT spring is nice and perfect place to relax yourself .
41,Visit,"Vashist Temple are located very far from the manali, attraction for Bath with natural warm water.. male and female separate bathing area defined by committe of temple.Many temples are located in the vashisht complex.. There are many markets outside the temples"
42,natural hot springs,Wonderful experience in this area.There are separately facility for men a d women. Hot water bath is relaxing whole body
43,Vasistha and Lord Ram Temple,A very good temple having hot spring . This is having seperate bath facility in hot spring for gents & ladies. This temple is located at the top of the hill surrounded by Shiva and Sita Ram temples.
44,Vashisht Baths,"one should definitely visit this temple while in Manali. soothing temple, there is a hot spring water one can take shower. market place to temple has variety of thinks to pick. like the woolen clothes and muffler. Eben like the Maggi being served there."
45,Long walk up from the parking,"There is a natural hot water spring where you can take bath.Not very near to Mall road, have to take auto and there is a parking space on a walkable distance if you have your own vehicle.Its deep inside the local market."
46,Vashishta and Ram Temple,well its a temple at vashisht and there is a bath area where natural hot water is collected in a pool.  you can go there and have bath in natural hot water. but there is a good market for tourists also.
47,sulphur baths,Very small temple with small water tank which is called Vashist springs.we can find two separate bathing sections for both ladies and gents
48,Hot Water Spring,the hot water nullah where u can bath & feel relax. remind you of Ramayana story of Guru Vashisht. nice place
49,Beautiful natural formation struggling with the population,This is a really nice place. And this place giving relax all of you. This place separate for baths men and women.
50,Spiritual,A spiritual peaceful place.Amazing hot spring water for bathing. The temple is ancient guru Vasishtha . there is another temple of Taghunathji right opposite to this .
51,Ultimate relaxing experience,just a basic temple with a pond having natural hot water. can u good for one time visit. nothing special
52,Review of hotel,Vashist has beautiful hot water sulphur spring and temple . Here people come to take therapeutic bath . It’s a must visit place
53,Nice temple,"This place is approx 20 min drive from the city center . It has a small pond type pool where the hot spring is let out by two ways . One by the water connection from the top and one from the natural spring . The water was quite hot but by the time you get into the pool , you can feel the body adjust with the temperature. There are separate pools for ladies and gents . But do have a bath for sure"
54,Historical and mythological,When we rich to this place we decided to take shower. Than we went to this place and enjoy with hot bath and in this time it's very nice to take shower in vashishth bath
