,title,text
0,Victoria Memorial,"A British memorial, Victoria memorial is dedicated to Queen Victoria, the erstwhile queen of England and British India. The entire structure is made up of white marbles. Its's an excellent masterpiece and a great place to hangout with friends and families. The place also has a museum which is the most visited museum in India. The museum has an collection of British and Indian history. It's a must visit place for anybody visiting Kolkata."
1,historical,"The building is dedicated to Victoria, Queen of the United Kingdom and Empress of India. White Makrana marbles were used in the construction of Victoria Memorial Hall.The Victoria Memorial is massive in its size and stands enclosed within blooming gardens. It has a Museum, Royal Gallery housing a number of portraits of Queen Victoria and Prince Albert and paintings illustrating their life, National Leader’s Gallery, containing the portraits and relics relating to Indian independence. Spectacular Creation.We could see the view of Hooghly Bridge from the gardens of Victoria Memorial Hall.Foods are available. The work of the palace is eye-catching.Peace Park, in front of Victoria Memorial, is a  nice, green and quiet spot"
2,Fun,During the British period it was Queen Victoria's Palace.That is why it is called the Victoria Memorial.It's a historical place of Kolkata.Tickets price only 20 rupees.
3,Have visited several times with family. Wonderful environment,"This historical monument was built by Britishers in memory of British Queen Victoria, now is a Museum.  Structural Large design and exquisite marble carvings are worth seeing.   Front side is beautiful with garden and  items displayed inside(Museum) also is wonderful."
4,Grand Historical Site,"The place is built as a memorial to the England queen Victoria in 1906 after she died in 1901 by then viceroy of india ,lord curzon.this has a beautiful museum with a  large garden around. This place is closed by the time we reached there around 4.30pm and so missed a inside visit still had a great time around the gardens around here.the lion statue in front  is a must to be mentioned here."
5,beautiful evening spent,Victoria memorial is dedicated to queen elizabeth by the then british government and its made of marble. Building is surrounded by a well maintained garden.
6,Historical place in india,The Victoria Memorial is a large beautiful marble building built between 1906 and 1921 during the British era. Has lustrous green garden around the building and a small part of the building has been opened up as a museum. Nice place for a picnic / family outing.
7,Victoria visit,What a marvellous building to commemorate Queen Victoria.  Built between 1916 to 1920 it is a tribute to British design and architecture. A must place to visit although the entry fee is 30rupees for Indians but 500rupees for us foreigners. Racial discrimination that would not be tolerated in UK. Did not detract from my enjoyment at being there.
8,Very nice,"Located in Kolkata, West Bengal. The Victoria Memorial is dedicated to queen Victoria and is a large white marble building. The building houses many galleries like the Royal gallery, Calcutta gallery with numerous portraits and exhibits.The memorial is located centrally in the city in the famous Maidan area and is also nearby Hooghly river. There is an entry fee to this place. Opening hours are from 10 A.M to 6 P.M except on national holidays and Monday's. A top tourist attraction in Kolkata with many historical offerings within."
9,Visit to Victoria Memorial,"The Kolkata Victoria Memorial is one of the city's biggest landmarks. Built in the memory of Queen Victoria, this beautiful structure is a museum and a tourist attraction.The structure is constructed using a combination of British and Mughal architecture known as Indo-Saracenic Revival architecture, an architectural style that was followed in British India in the late 19th century. It is one of the most famous tourist place of Kolkata."
10,Superb collection!,Bright marble celebration of the British Raj with statues of all the main players of the late 19th and early 20th century.  A great experience inside and out.
11,A beautiful piece of architecture,"A wonderful monument of British India. The Victoria Memorial is a large marble building in Kolkata, which was built between 1906 and 1921. It is dedicated to the memory of Queen Victoria (1819–1901) and is now a museum. In January 1901, on the death of Queen Victoria, The 1st Baron Curzon of Kedleston (later created The 1st Marquess Curzon of Kedleston), the then Viceroy of India, suggested the creation of a fitting memorial. Lord Curzon proposed the construction of a grand building with a museum and gardens. The Prince of Wales, later King George V, laid the foundation stone on 4 January 1906, and it was formally opened to the public in 1921.      It is currently a grand museum. From perfectly preserved and maintained in excellent condition"
12,Awesome,"This Kolkata landmark, which is a memorial built for Queen Victoria, is a must visit. Set over 57 acres of garden (not all of it is open to the public), the marble memorial, with beautiful statues on all sides, really stands out. There are free hourly guided tours for the museum inside, where you might be pleasantly surprised by the Indian and Western paintings and memorabilia. The gardens are open to the public from 5.30 AM till 6 PM and the museum opens from 11 till 6."
13,Most Evident Remnants of The Colonial Past,This place are so beautiful. This Place Based On Queen Victoria Memories. Here Is Queen Victoria's Museum..
14,Beautiful Structure worth Visiting,"Victoria Memorial needs no introduction. Built during the British Raj, this museum is a must visit place in the City of Joy. The lush greeneries around the place and the adjacent Maidaan area is absolutely mesmerizing"
15,Victoria Memorial Hall,The Victoria Memorial hall in Kolkata is perhaps the grandest sign of the British Raj. The building itself is imposing and majestic in well laid out spacious grounds. The many interesting displays and galleries in the building are also a well maintained and interesting.
16,amazing plsce,Place worth to visit. Monument of Self-importance and Loyalty to the Queen. Build by Indian for British.  Worth to stay couple of hours with a good camera. Tickets for foreigners are much much more than RS 20-30.
