,title,text
0,Very peaceful,This is a great place to visit. A very efficient ferry service takes you there. Runs every 10 minutes. Nice monument. Not ancient. Was built in the 20th century
1,Spiritual Place In Indian Ocean,"You will have to buy a ticket and then reach there by a short ferry ride, it's nice and worth visiting once."
2,kanyakumari footprints + vivekanand dhyan rock,We visited this place in December 2018. There is a big queue to get the entry tickets to the ferry that takes us to this rock memorial where you have to buy entry ticket again to go inside the memorial. Nothing phenomenal about this place except the history associated with this place. It is one of the tourist attractions in Kanyakumari.
3,General,You can reach this place by ferry. When we reached there it was very nice weather. Nice cold wind. Nothing much to see but you can enjoy the view and feel the peace.
4,Monument in the Ocean!,"It is nice to get there on one of the little ferryboats. When you get there on a holiday try to get VIP-tickets that are sold at a higher price at the ticket booth. The normal line is insane!When you get there it is nice to walk around, there are some shops offering religious material and don’t miss the meditation room."
5,AN EXCELLENT MEMORABLE  DAY-TRIP,Amazing place. You have to take the ferry to reach it . The line for the ferry was so long but well organized. The ferry cost INR 50. The ferry ride takes only 4 minutes. Then you have to buy another ticket INR 20 to enter the two temples. The sight is amazing. Inside the temple there are religious figures where devotees donate money. From this site you can also see the Thiruvalluvar Statue. Such awesome view. Not to be missed.
6,Serene,"This is another popular site and an attractive place to visit. One has to go there by a boat and must get on it before 4 pm. This was built in 1970 in honor of Swami Vivekanand with a belief that he attained enlightenment on this rock. View from distance is much better but it is recommended to also visit onsite to see the detailing, including a dhyan mandapan (meditation hall)."
7,Simply amazing!,"this was well worth the visit. the trip across is by ferry. The ferry is well maintained and safe, each traveller is issued with a safety vest, and the ferry has a capacity for seated passengers only. My tip is to go into the premier line and pay just a few rupees more to be…"
8,Vivekananda Rock at Kanyakumarika,We need to go by the ferry.Nice view of the seas and ocean the ferries are too frequent. Very peaceful calm and spiritual place. Well maintained and beautiful.
9,Vivekananda Rock Memorial,"You take a 5 min boat trip to the island. It was very windy on that day. The area is serene, you can see the nearby townships."
10,Beautiful,it is a small iland in the sea.you have to go by a steamer. it has got two main things to see.one is the temple where parvati worshipped lord shiva standing on one feet .the image of the feet is worshipped here.2nd is bibekananda temple.here inside the temple a big statue of…
11,Inspiring holy place,"You have to board a ferry from the jetty and approx. 5-10 min. sea ride to reach there. Its not like the ferry is overstuffed like most other places. But still, the ride is little bumpy and scary. Though you’re provided a life jacket. Once you reach there, its a completely different experience. Even in extremely hot and sunny afternoon, you have cool sea breeze to soothe you. However, the sheer force of the wind is something you probably wouldn’t have experienced before. You’d feel being pushed by the wind. So take care of your hairs, caps, dupattas and anything that could be blown away. Its not just the wind, even the sound of strong sea waves crashing the rock is mesmerising and frightening at the same time. The ground gets hot in the afternoon and you’re made to walk barefoot but thankfully they have painted a broad strip of ground White. You could walk comfortably on the painted floor. Historical importance notwithstanding, its just the sound of waves and pushing force of cool breeze that made the whole experience amazing. I just wonder how vivekanand ji swam through such violent sea waves.There is a temple and a vivekanand memorial to explore but I was more excited about enjoying the mother nature.You can spend as much time as you want as the ferries are continuously running to and fro."
12,A spiritual experience,"Visited this place in summer. Nice Place to Visit a ferry ride for 10-15 minutes is little difficult to get due to long queue  and local persons are trying to jump the queue and want to reach in front of ferry ride as the queue is too long. Again queue management is in sufficient.When you reach Rock Memorial your all the impetiance will be over you will fill cool, calm and peace everywhere. Three seas are merging around and you will fill the colors of the Magnitude and Diversity of the place. You will feel the thrill, 125 years ago in 1892 December 25 how Swami Vivekananda did meditation here in this this rock. I am really astonish & speechless when I was in Rock Memorial. Really the environment is excellent, incredible.  Nice books & presentation are available in very reasonable price in 06 books stalls. One thing you need to remember that you have to visit this Rock memorial and surrounding areas in barefoot. As I visited this place in first week of June during returning time, (around 11:30 am afternoon) we felt the heat in the floor of the memorial compound area. There is a special entry ticker for the ferry is also available for Rs.200/- per person to bypass the queue.It’s a lifetime achievement for anyone to see the Vivekananda Rock Memorial in Kanyakumari."
13,Must Visit,"Nice place to explore in Kanyakumari. You have to take a boat to reach this place, per head charge Rs.20 or 25. Its better to go in the evening by around 4 to avoid hot sun. The boat jetty is close to the Bhagavathy Amman temple."
14,Interesting even for a non Hindus,Vivekanad Rock Memorial is Amazing. You can go their by ferries only. You can buy tickets. Lot of people visit this place. Aamzing experience.You can take your time exploring the place. Sit down at the meditation room and meditate for a while. Very well maintained.
15,Amazing place,Good place to visit with family. Ferry is available with charge of 50 per person to reach the rock Memorial. Also the timing is closing by 4.30 pm in evening. Childrens will enjoy the ferry ride and it's safe too.
16,Enjoy the ferry ride,"This is a place no one visiting kanyakumari should miss. You need to take a boat ride and usual timing starts from 08.00am, depending on sea conditions the timings will change. The date we visited the thiruvallor statue was closed due to low tide. The boat ride will cost 50rupees but the queues are quite long and tiring, you can avail special ticket of 200 rupees per person for boat ride, worth it. The rock is a nice place and another 20rupees entry fees is there. The place itself is nice, calm you can spend as much as time in peace."
17,Amazing experience,you need to go to see this place through a ferry. Lot of people standing in the queue for boarding the ferry. There is a provision of special ticket also. It is one of best monument one would ever see. A must visit
18,Wow place ..don’t have words,I recently traveled to this place with friend. One has to take ferry ride to reach there. The place is amazingly well maintained and usually crowded. One will get an breathtaking view of sea and nature from here. Must visit place in cape.
19,Main attraction in kanyakumari,"One has to travel by ferries run by TN government...the distance is very short, but the boat docking is very rough.The memorial is serene and well maintained. There is statue of Vivekanda in the main hallThere is a small meditation hall. Many book stall by the Kendra.There is time clock.Very good breezeLovely and serene place"
20,Well worth the short ferry ride,The place is a beautiful one. It is a must visit place when visiting South India. It is off the coast to Kanyakumari. One needs to avail a ferry service to reach here. Magnificent memorial.
21,"Good place, positive vibes",I have been there for an hour and it is a best tourist place in india an absolute holiday destination to visit
22,The humid breeze in morning 8:00,This is the last rock of our country. You have to reach this place through boat. Boat is very ordinary. View of city from this place is too good.
23,Swami Vivekananda Rock,Place is beautifully located. Have to go by ferry which charges 34/ per head. It's a 5 min ride. The ferry offloads there and takes people coming back. Architecture is marvellous. Can see the 2 seas and indian ocean surrounding you on three sides. Nothing to eat there. Toilets are available. Book shops are there. Thiruvalluvar statue is nearby on another rock which is 133 feet high. Must go place.
24,Fantabulous,The 2 islands are reached by a short ferry ride and definitely worth doing. The Vivekananda Rock Memorial has an impressive building in a unique setting.
25,Nice place,This rock memorial looks great from the shore. A boat ride is required to visit it with ticket fees about 70 Rs. Better to visit in the morning when it is not that sunny. It closes by 4 30 PM.
26,Southern tip of India,they take you to the memorial in a jetty boat crowded with locals and visitors. staff is rude. they charge 100 rs per person plus there is a entry fee of rs 20 per person on the memorial entrance. overall a decent place.
27,No ferry service due to bad weather,We spent time during summer and please avoid the place during summer. It is hot and ferry takes longer for transportation.  Older ad young children should avoid during summer. Not much to see.
28,Peacefully beautiful windy,Going to and fro to this place is a big headache considering the huge number of tourists and limited boats. Better go for the costly ticket (Rs 200) to avoid queues. Once you reach the place its a good place to be. View is excellent.
29,"More than religious importance , a place of national heritage !",After a very long gap of over 30 years i visited this place. Ferry services with Rs50 and Rs200 tickets are provided by Poompuhar ferry corporation . Hardly 7 minutes trip to the place. 60 to 90 minutes required to go around the place and enjoy the cool sea winds with waves…
30,An amazing place - kanyakumari / Vivekananda Rock Memorial,You need to take ferry ride here. There are options like 50 Rs per head with long queue and 200 per head with direct entry. Entire place is very clean and well maintained. There is a mediation hall and I loved it. Also the view from the rock and feeling you get to stand on last piece of land on the south most part of india is awesome. Those who follow principles of Swami Vivekananda this place is much more.
31,Visit to vivekananda rock ,"One needs to complete a boat ride, which is thrilling, to reach this rock memorial. No food is allowed, drinking water is available. There is a hall for meditation. Books and other souvenirs can be bought from the shops. Have to wait 2-3 hrs during holidays to get into the boat."
32,Not to miss place in kanyakumari,"Must visit this place , very relaxing and rejuvenate , please provide more boat services, when you come back from vivekanda rock please provide special entrance to special ticket clients"
33,Superb,Vivekanand Rock is a must visit in your life time. One person has to take boat or ferry service to reach the Vivekanad rock. You will feel a certain kind of calm once you reach this place. You can visit the place where Vivekanand did his mediation. Must go place.
34,Awesome experience,Very well maintained and must visit place in Kanyakumari. The ferry is the only option for commuting.
35,"An interesting, short visit",You have to take a steamer ride (rs. 50 per head) to visit this place. Heavy winds flow all the time on the memorial. Very well maintained and peaceful serenity. Love with the place
36,Land mark of India... ,Nice place to visit during Kanyakumari trip. The views are amazing from this place. There's a meditation hall at the memorial which provides silent room to meditate.
37,Rock Memorial,A boat ride of 10 minutes from Kanyakumari boat stand to this amazing rock.Very high tides and velocity of air.Nice meditation 🧘‍♂️ hall and a temple. Nice view of sea 🌊.
38,BEAUTIFUL,"go by boat, what an experience, beautiful, stunning. an experience that is a must in this town. wow, wow ,wow"
39,Amazing place,you have to take a boat ride to reach this temple. it is huge. i don't know how they managed to built it but this is one of the amazing place and experience you should have in your list if you are going to kanyakumari. the line for boat is huge so plan accordingly.
40,REFRESHING AND AMAZING,"If you travelling down south in India, this is the farthest one can go. Take a boat ride to visit the Vivekananda rock memorial. Enjoy a roller coaster boat ride as the sea ia always choppy here. Next to it is the Kanyakumari temple."
41,beautiful feeling,"We had visited the place on a weekday but during vacation time. The line for the ferry was so long and took over 2 hrs to get tickets. The Vivekananda memories itself is nice, serene and cal but the ferry experience marred the whole outing."
42,Just peace and calmness ,"Certainly worth the boat ride to visit this memorial, the backdrop is stunning and it’s also lit up at night. Don’t go when it’s raining! It’s slippery and there is not much shelter to get out of the rain with the hoards."
43,"Great place, unique location",You can reach this place by Boat If you go early then you can see sunrise form this place.Place is very clean & peaceful
44,Divine,"This iconic place in TN is a great place to visit. The rock memorial in the sea can be reached by a motor boat operated by TN government for a round trip of 50₹. Depending on the crowd waiting time can be considerable and plan accordingly trip timings. The memorial is a peaceful place with all round oceanic views and Kanyakumari shoreline. A statue of Vivekananda inside the memorial and a silent meditation hall, a Parvathi footprint temple and a library,museum and book shops are located in the premises"
45,Superb destination for travelers,Good place to visit once. Excellent island. Well trained staff on shore to reach the island through boat.
46,The southern tip of India,"Its a short ferry ride to this place. But actually, you don't have anything to do at this spot apart from clicking pictures. Yes, the view is mesmerizing and this place has a story to tell but that doesn't justify the whole environment. Meditation hall will not give you that calmness as people are moving very frequently. the temple is all modern now and doesn't give you much of spiritual feel.  Long ques sometime to board the ferry and even getting its ticket. Overall, was not up to expectation."
47,Serenity at its best,A very calm and serene place with blue waters and cool sea breeze. The meditation hall in the place is worth checking out. It gets illuminated in the morning and is great to look at with sunrise.
48,Rocking with family on Vivekananda rock.,Very nice place to visit for all persons.Nice place for photography.Nice view of deep blue 3 sea.Must visit place.
49,Nice! ,"An extremely inspiring and exciting place,including the short boat ride in the sea..this is a must visit historic land mark in kanyakumari.."
50,Must See,"This place is very peaceful. The journey towards this place is good and when you reach here, it's magical. You are surrounded by water all across."
51,Mind blowing breeze..,The ferry is 50 rupees per person. The ride is fine and everyone is given a life jacket even though the boat ride is very short.The memorial costs 20 rupees a person. It is quite pretty but a little dull. Not that much to see after a short walk around and through the building.
52,Average,"You need to but Rs.50 ticket per person for ferry which will take you to the memorial. These ferries are very dangerous cause there are very old and not at all maintained. Staff are untrained and ill spoken.Once you reach the memorial, you need to buy another ticket worth Rs.25 per person to enter the memorial hall. Nothing special I could write on but please be very careful while on ferry."
53,beautiful view,Ferried by launch. Beautiful and scenic place. The extraordinary sight of the sea from the place is the highlight.  The main memorial is great with explanation coming from the guard inside. The place is discipline and memorable. There are tickets which are nominally priced. Don't miss it
54,Best Memorial,We visited this place in end Nov. 2019. It is a very amazing place. The views are excellent. Sun Rise and sun set are very attractive.The meditation room is too good.  Like to visit this place again.
55,Must watch,What a place. Very spiritual and attractive. One can spend entire day here. We spent 2-3 hours but were not enough
56,Really beautiful and relaxing place,"Beautiful place. Definitely a mush visit place. Only problem is, there will be long queue for the entry. We tried special ticket option (costs Rs.200 instead of Rs.50 for general) and did not have to wait too long."
57,Once in a lifetime spot,This place is really beautiful and ride on the boat to the Vivekananda Rock Memorial was really good. must to be seen by all . Only we did not get a chance to visit Thiruvallar Statue close by.
58,Fabulous place at the confluence of three seas,"We are so disappointed that the day we visited, there was high tide and heavy wind so they cancelled the ferry services. So we saw it from shore. The Thiruvallur statue is a Marvel and a big respect paid to the legendary poet. We can see the joining point of three oceans there. The sea shore is full of garbage and thrash which we don't like. There are so many street vendors but the issue is they keep on coming and disturb us. A superb photography point , but need a big amount of maintenance. There are no good restaurants near by so it's better to take some snacks in handy.Being December the sky is full of clouds so there is no sunset view or sunrise. To see it best months are March to May."
59,Serene place to visit ,Visited it in Feb 2019. Ride to the memorial is adventurous as we faced high tides and thus extra care has to be taken of kids. Awesome place with a great view of the Kanyakumari town. A beautiful and peaceful place to spend good time. One must also visit Kanyakumari Temple.
60,South most tip of mainland India,Wow it’s nice place. You  can spend couple of hours there. Best time to go there ke morning after that sun is too harsh and you can’t stand few minutes outside.Ferry will take 5-7 mins and ferry charges are 50 Rs per person (Round Trip )Very clean and well maintained place. Food is not allowed there.
61,Beautiful place.,We visited last year at Vivekananda temple.It is in the middle of sea. We were excited to go by steamboat there. We wear lifeguard jackets and then sit in steamboat. In 15 minutes we reached there. We were surprised to see the place . Neat and clean well maintained. I love the place Vivekananda statue is very tall and beautiful and i was again surprised when we know about it .It is made of single rock . There was a yoga an meditation centre also. Nice place I enjoyed very much.
62,Greate Vivekananda,"AMAZING place to visit in kanyakumari. we Stayed at OCEAN HERITAGE HOTEL and had a great time to see this place, we enjoyed a lot here. great boat service."
63,Beautiful and peaceful,Four of us took the ferry boat out to the memorial.Interesting and well worth the visit.Great views of the Kanyakumari shoreline.
64,"Kanyakumari, Sri Vivekananda Memorial island","This was a childhood hope to touch the endpoint of south India. Ferry service charge you only Rs 20 per person from Kanyakumari. You get to see Vivekananda Mandapam and huge Thiruvalluvar Statue, the famous poet of south. Vivekananda reached here and stayed for 3 days doing Yoga and Dhyanam just before his departure to USA for Chicago conference of World Religion."
