,title,text
0,Unmissable if you are in Yaroslavl !!  Especially good for photo buffs.,"We saw this lovely city on our conducted tour around the Golden Ring, and we were here for one night and half a day.  In my opinion, the BEST thing, by far, in Yaroslavl was the riverside walk along the Volga River.  One of the best riverbank walks I have experienced, anywhere in the world.  The river looks great, and there are some very interesting churches on the walk, apart from some other beautiful buildings.  Very very photogenic.  Even in bad weather!  If it is a nice sunny day, you could not ask for more!  Remember, this city is over a thousand years old, our guide regaled us with plenty of stories of the past.  It is the biggest city between Moscow and the Arctic."
1,Watch your step!,"When on our river cruise, we docked for a few hours at this historic place and enjoyed the short visit very much"
2,Golden Ring for everyone Russian  trip ,We have walked here on a sunny September day and a snowy March day - both were beautiful. The views of the frozen Volga were stunning and all the church domes are beautiful
3,Lovely Views of River,Another location visited on our river cruise and quite simply clean and beautiful gardens with amazing scenery.  Well worth a walk around.
4,Wonderful Views,"We had clocked the embankment from the boat and again when we stopped to admire the peninsula.  I planned to use our free time to stroll along it.  However, by the time we had finished our tour of old Yaroslavl and had a comfort break I was not confident enough of being able to have that stroll and still meet our bus on time.  Maybe if I had checked out the lie of the land beforehand I could have agreed to go directly back to the boat.  It looked lovely."
5,A beautiful walk ,",I strolled just a short section of this embankment promenade, probably the prettiest part. This section overlooked the Yaroslavl Millennium Park with its fountains and Yaroslavl Millennium Monument and was in the vicinity of the Assumption Church. Along this stretch a white columnar folly looking like a small Greek Temple was an obvious sight. Couples liked to attach locks on the black wrought iron fence that surrounded it as a show of their love for each other. Many of the locks have inscriptions making this an interesting stop. At this point on the walkway, a good view of the many green domes of the St. John Church can be seen and makes for a good photo with the Yaroslavl Millennium Monument in the foreground. Some vendors have kiosks with souvenirs for sale along here. The area is attractive with several floral beds filled with colorful seasonal annuals; one even had a design of Yaroslavl's symbol, the brown bear in it. The walkway at this point was treed, shady, with nice views either to the park and the Assumption Church, over to the spit and the Church of St. John, or along the Volga River with its industrial section evident in the distance. The evenly paved walkway was wide so dodging others on it was not an issue. I enjoyed my short time on the Yaroslavl promenade and the sights seen from several vantage points."
6,Beautiful Volga,"We visited Yaroslavl during a Volga River cruise. It's a fascinating, quite large, regional centre and made an interesting contrast to Moscow or Saint Petersburg.  The well organised excursion included visit to the embankment, to churches and to a restored mansion where we were treated to a concert."
7,A beautiful location to view the Volga River and the lovely gardens.,"A lovely proper Russian city of approximately 600,000 people which is ideal for a visitor to see hoe Real Russians live. Not too touristy."
8,Wonderful! ,It is really a great place to walk and to admire the Volga river! You will never regret the time you’ve spent there! Worth the visit!
9,Lovely walk by the river ,Nice place to stroll (although we were there in October so not that warm!) with lovely views of the Volga river
10,Most popular destination in the city,one of the best banks ever seen in my travel: soviet policy preserved banks from buildings and it appears now as an example of what our european cities with river could have been (included rome and florence)
