,title,text
0,Very impressive,"Because of a big construction, we had to take the backside entrance which was a bit hidden. The museum is nicely built with many beautiful mosaics. We were both astonished and overwhelmed by the quality and quantity of the exhibition. We loved it but also would prefer more of these items at their original place."
1,Do not miss it,"This is a very new museum so it is modern from the outside in. It is dark inside, for obvious reasons of preserving the mosaics as much as possible. The mosaics kept here were largely found in the Zeugma area and is predominantly Greek. Most of the mosaics are very well in tact and the museum has very good signage going. There are electronic interactive displays in various parts of the museum too. The basement level was under construction when I visited so I didn't get to see much down there but the mosaics on the entrance level was definitely worth the visit. It becomes a  bit noisy with larger crowds because it creates a hollow sound. When you have a midday flight out of Gaziantep, you can easily visit this museum and make it for your flight. Don't skip this, it is worth it!"
2,Superb,"This is not a big museum and some parts were closed but the mosaics are incredible, very artistic. It is definitely worth the visit!"
3,An amazing experience,"A very attracting museum makes you admire mosaic art.The building is very modern and inside also decorated appropriate with the history.There are lots of board inside the museum describing which art means what but I definitely suggest audiophones which was very helpful, clear and provides lots of details about the art pieces including digging times of them."
4,where the gypsy girl is,"You can spend 2-3 hours inside. They have a nice collection, also in the neighborhood of this museum there is a famous kebap restaurant (halil), where you can complete your trip."
5,Wow,Impressive museum with great mosaics. A nice building which is operated nicely. Staff is helpful and it is very close to city center.
6,Nice and cheap,"I was there in July, together with new Antakya museum, this is the one of the must see even in Turkey scope.Very tourist friendly ambient, strongly recommended."
7,Magnificient Zeugma,"Took us 3 hour to leave. it was hard to leave. buy ipod museum info things, very good explanations there."
8,The best Mosaic museum I have  visited,"When I was outside the museum I was very surprised from the structure, I was not suspecting to find such a big and nice museum.It was very well organized and the mosaics inside were marvellous."
9,Sumptuous mosaics from Roman Villas.,"This is a great place to do something cultural in Antep, very interesting, the only con is that is not close to city centre, so you need a cab or a bus to get there, but it is definetly worth it."
10,Outstanding,I visited Bardo Museum in Tunus couple years ago. It is known as the best mosaic museum on the world. Let me say that  Gaziantep Zeugma Mosaic Museum is as good as Bardo. Do not forget to watch the movie of history of Zeugma Ancient city at the entrance of the museum before starting to visit inside.
11,Wonderful,This is biggest mosaic museum. Amazing place that you must see. Many lovely mosaic of gods from myths.
