,title,text
0,Beauty!!!,"No words can define the experience, it’s a must see attraction in Hunan. All I can say is, DO NOT SKIP THIS!!!"
1,Don’t Miss It,Literally no words can describe the beauty of this national park. I’m very thankful that was able to travel there and see the magic with my own eyes.
2,"Pillars, Crystal Clear Water and hikes any level can enjoy","Amazing landscape, beautiful mountains, beautiful views I join a group and for me it’s not clear how it works for an individual tourist. Everything is designed for tourist groups and if you go as an individual tourist there you might be face some communication problems. However, the mountains are worst to go there there, beautiful and excellent landscape, quite clean and everything is very well organised. I definitely come back again for another visit at another time. You better not go there during the summer holidays, I believe it’s crowded everywhere."
3,Superb national park with lots of hiking opportunities,"Zhangjiajie is just too good to be true!It's beyond my expectation. The mountains are like pillars that rise upon the clouds, which is just too magnificent to see. I felt like I was walking in the heaven. Together with Halong Bay, Zhangjiajie is the most beautiful landscape that I've ever seen."
4,Fantastic views ,"There is a reason people travel from around the world to come here: the epic landscape and it is no stretch to see how it could inspire the landscape in the movie Avatar.  The problem is that your visual experience is very dependent on the fickle weather in this part of China.  On our day, there was a lot of moisture in the air, high clouds and little sun.  As photography is very important to me when I travel, the experience was muted.  Very muted.Additional consideration: best to go when the Chinese are not on holiday as the crowds and lines become mind-boggling.  I'm glad I came here but left disappointed."
5,Amazing!!!,"I love mountains, and this place is one of the most wonderful I have ever visited, inspiring and pleasant at the very same time. Despite being crowded as most of Chinese tourist attractions, the park is so big you can easily get lost without meeting anybody for hours. It is true, not all trails lead somewhere, but once in a while even getting lost has its fascination. Only real drawback, we were ""promised"" lots of monkeys but we just could see a pair from very far away."
6,Amazing place and views its a must,"This place was so unusual and meditative, it took around three months ruminating on and about my feelings. I tried to grasp the ambiance mentally, to perceive the greatness of this place. And I would never be my previous self.You'll see as many pillar shaped rocks on uwur journen through this forest park, as you've never seen before. Don't rush, embrace it, think about its greatness."
7,Stunning!,Scenery was great and very clean. Convenient enough to get to. My only irritation Big irritation is that like so many tourist places in China you need to keep your wallet out. They can never seem to sell a one payment ticket. After you pay to get in you still need to pay for this and that and some other thing. AnnoyingYou need a few days to see everything and hope the weather cooperates
8,Amazing views,"This is one of the the most beautiful places I have ever visited. Is looks like a fairytale and unlike Huangshan they really organized everything pretty well. We traveled with our two boys - 6 and 7 years old - and they had a great time walking, looking at the mountains and the monkeys. Oh and enjoying the Mcdonalds on top of one of the mountains 🙃"
9,Worth a journey,"Absolutely beautiful and worth the trip. In the 4 years we have been in China, nothing compares domestically (so far). Just hope for a clear day."
10,gorgeous,This is like no where else I have visited in the world. The park is based on a US national park model so is very accessible and is well maintained but the many staff who work there. A huge range of sights and walks to enjoy - you should give a number of days to explore this fantastic place!
11,Epic!!!,"We spent 3 days in Zhangjiajie with out tour guide Mr Ash, who we got through Grace Yang (zjjexpert@foxmail.com) as she had another group she was working with. We were staying at a neaby hotel 5 minutes walk to the national forest park entry. The first day was the national forest park and it is simply a sight to behold, and the pathways are well mapped out and maintained. The signage is also on point. There are many wonders of nature. We enjoyed trekking and riding the cable car to the top of the mountain. We also saw the inspiration to the movie avatar 'son of heaven' mountains that shoot up for the the deep valley with layers of rock packed onto each other so precisely. There is also a beautiful mountain lake within the park. Being the only black people among the sea of Chinese and very countable Caucasians, the Chinese, both young and old were quite mesmerized by our skin color, they were secretly taking photos, recording us and some went even ahead to touch our skin to feel it. We weren't bothered though as we understood it is a very remote tourist city and many chinese may never have ventured out further into other major cities. We came down with the world's fastest elevator, it is in the Guinness world book of records.The second day we went to the Yellow dragon cave which is one of its kind and very deep and Boafeng lake which is so beautiful atop the mountain. We also did the Grand Canyon glass bridge. My wife's legs were all of a sudden jelly and she couldn't look down the canyon through the glass. It is an experience of its kind, the heights are dizzying but all the same awesome work of engineering. We also had a chance to sample chinese local delicacies. We got into a tea house and got to learn the art of tea drinking.The 3rd day we went to the Tianmen mountains and rode the worlds longest and highest cable car. 7.5 Km long, on top of the mountain we also did the cliff walk on terrible heights, it was rainy and foggy, my wife was overjoyed that the fog was hiding the scary heights on the cliff side walk and hence not afraid. Coming down we used the chairlift and also the elevators that are dug in the middle of the mountains (give it to the chinese) We also walked down the 999 steps from the gateway to heaven and later took the bus down the winding roads down the mountains to the station in town.Overall, it was a great time and our guide Ash"
12,Take advantage of the elevator & cable car etc. as lots of walking,"This is a must visit place, when in china, a unique wonder of this world and nature creation, its simply picturesque."
13,Better than James Cameron's terrible film.,"I was guided to this place by a friend who is working in China. This is an area that must be in the top ten areas of outstanding natural beauty anywhere in the world. It provided the inspiration for the hallelujah mountains in the film ‘Avatar’. The area is dominated by the limestone pillars topped by trees. However no photograph can do justice to the epic scale of these structures, they truly need to be seen to be believed. Give yourself some time and try to visited a range of locations. This is a place that will stick with you forever."
14,a beautiful park to spend a couple of days,"Tian Zi mountain is the best for me ;)Avatar mountain is too packed for a good viewing experience.The park is relatively easy to walk, not too arduous. At Yang Jia Jie, there is a part where there are metal railings for you to climb to 'Tianbo Mansion', I think that was a fantastic experience.If your guide asks you to go to view the Tribal Village, be wary that you are asked to buy local produce or pay an expensive fee to go in... ask before you go if you mind the time and fee. Cos of the time spent there, I didnt manage to go Baofeng Lake, kind of sad. The Ten Mile Gallery walk is not too long, just takes about 20-30mins and is an easy walk."
15,Breath taking views ,"The experience I got from this place is beyond my expectation. This forest park is just awesome. I took many pictures so I can capture how beautiful this place is. But camera just can't do the justice. You have to see it on your own. Prepare for lots of walking, hiking, and trekking. But it's all worth it..."
16,Nature,"The park is absolutelly magical. And also really big. I was travelling alone with no guide, what made things a bit more complicated. The fees are high for the prices around China, if you don´t have much time and need to use the cable car and the elevator you have almost 70 dollars just for the tickets of this park, although the tickets are valid for 3 days.There is absolutelly no information in english, tourists are almost all chinese, to try to walk around alone you gonna need a really good map, what is also rare. The government buses inside the park are included in the ticket and are a good help but half of the routes do not run when is snowing so if going in the winter pepare youself to walk a lot!Anyway is really worthed, is the kind of unique place that you need to see at least once in your life."
