title,text
Markets,Worth a visit to the markets. Buy some tasty local food to take home. Sit and enjoy a coffee at Zuma Cafe.
Amazing markets ,"If you’re visiting Adelaide then a trip to the markets is something you really have to do. If you’re after fresh produce then you have to come to the markets. I’ve included some pictures of amazing fruit, veg etc  but the photos just don’t do them the justice they deserve. There is a huge choice of fresh vegetables, fruit, deli meats, cheese, bread, cakes, nuts and lots more. I come from the NT and we just don’t get this quality or variety. The colours, smells and choices can be quite overwhelming if you haven’t been here before. Take your time, talk to the amazing people who work here, ask them what they recommend.  They will tell you what’s best on the day. If you want good coffee, then you will be spoilt for choice, there are a lot of very good cafes and coffee stalls where you can buy everything related to coffee.The markets are also home to some amazing eateries, there are so many choices for either breakfast or lunch."
Always has a buzz ,"A must for locals and visitors alike, fresh produce to take home or grab a mealSaturday breakfast people watching is the go."
Cheeses,"I found these markets last time l was in Adelaide. The cheeses, breads, fruit, coffee are just amazing. Definitely the place to go and get dome amazing food. Carparing available, China Town just up the road.."
Saturday must do,"Always a must to visit when in Adelaide. So much fresh produce and delicious food options. Grab a coffee, some noodles & dumplings in China Town & some amazing cheese platter items for a lazy dinner. Our 2.5 yr old daughter loves the hustle and bustle too!"
Adelaide Must Do,"Unique to SA, similar to a South a Melbourne Food Markets, this place is a favourite for locals and bucket list items for visitors. Friday’s and Saturday’s are best!"
To buy food,Great variety of food on offer. Could be better choice of organic meat though. Worth a visit. A very good Cambodian restaurant there to experience authentic street food.
Amazing ,"A must if staying in the area, lots of local products and friendly staff well laid out and very reasonably prices"
A fabulous market,"Probably the best indoor market we visited on our tour round Australia earlier this year - at least, it was definitely our favourite! Well organised, accessible and well laid out, buzzing with a great atmosphere. There is a huge selection of food stalls - delis, cheese stalls, fresh bread and pastries, fresh ad smoked fish, fresh fruit/veg/salads, fresh meet - to name but a few. As we were self catering we decided to buy items for dinner and bought some amazing steak and fish salads. The market also boasts a variety of popular and excellent quality eateries. Fabulous market - enjoyed it so much we went back for breakfast one morning. Highly recommended."
Fantastic,"Visited on Thursday 27th February and again on Friday 28th February. There is so much to see and do there, what an amazing place. On Thursday we just checked it out and then returned on Friday to have lunch there, so many choices and the food is so cheap."
A great place. ,"As a child growing up in Adelaide we went Adelaide Central Market every Saturday. My Grandmother loved the hot cashews from Charlesworth nuts (and they're still there) plus the weeks supply of fresh fruit, vegetables. These days there are a couple of great fishmongers, butchers and a couple of fantastic restaurants as well, I especially like Lucia's Pizza and Spaghetti Bar and Le Souk and ofcourse the wonderful cheese shops, Say Cheese and The Smelly Cheese.It's a great place full of wonderful sounds, cultures and smells, a truly great experience  for everyone."
A hive of activity packed with fresh produce,"Get here early. A fabulous market with amazing fresh produce from fish, meat, vegetables, fruit and cheese. On the outer perimeter are some nice quirky shops selling crafts, clothes and wines.Definitely worth a visit."
Great for locals and travellers,Great for locals and travellers alike.So many different stalls to choose from.Everything from flowers to delicatesean foods.One of the best markets I have been to
Suits all Travellers & Local,"Spending a week in Adelaide and visited the market 3 times to eat. Not only is it good for the local to purchase their weekly fruit, veges and deserts, it also a great place to visit and enjoy a meal at any of the restaurants or china town.Would definitely recommend to all to spend a few hours and walk through the site to take in the smells and aroma of Adelaide"
Wonderful market with lots of variety,"We love markets and Adelaide Central Market is up there with the best.  Well worth a visit with a huge variety of fruit and vegs, continental small goods, flowers etc"
