title,text
Beautiful views,"We went both directions on the cable cars as part of a tourist day trip up to the citedal! Masks are wore, temperature checks are completed, hand gel provided and the car are deep cleaned after each use. The views are amazing. Fully enjoyed the views and the cable cars."
Living the High Life,"Large cable cars take you to the top of the castle area for you to explore.  Whether you go in the day or the night the views are amazing.  Even if you’re scared of heights, this is worth being brave for. (My husbands legs are healing well from the nails I left in them)."
Great veiw,"This little cable car is a great viewing point, but that is all it is good for, take a few pics, have a drink, and that is it."
Great views,"Only costs around £4 to go up in the cable car and you get great views from the top, it's definitely worth a visit!"
Love it...,"The cable car is great. The best way to climb the fortress. When my husband and I went, a return ticket cost 33tl per person. The view is beautiful, going above Cleopatra's beach, which can be seen along its entire length. There is enough time to look around and take photos. The cable car works constantly and a new gondola arrives every 1-2 minutes. They disinfect every year and it is necessary to wear masks. The gondola can hold more people, but they only let groups in. My husband and I were alone in the gondola, and a family of 5 members entered the gondola before us. The cable car is located at the beginning of Cleopatra Beach and the entrance is right next to Guzelyali Street which runs parallel to K. Beach."
Really good value for the trip and amazing views!,This was the best thing I did in Alanya. It's so cheap to get a return ticket and the views at the top are incredible. There's also some nice little drinks kiosks and jewellery stalls at the top. Totally worth it!
Lovely views ,"We enjoyed our trip on the cable cars,  very hot day when we visited so we didn't walk all the way to castle,  and probably not best in flip flops!"
Too short! :),"After having spent the day on Cleopatra beach and visited the Damlatas cave, my fiancee and I went for the Teleferik. What can I say, we enjoyed it, didn't know which way to look first :D Lovely ride, alas too short :)"
Flying High in Alanya,Ours was a return trip and well worth the 33TL the views of Kleopatra and the town were brilliant. Each car was cleaned after each trip
Great view!,It was a great experience for me! Last time when I have been here it was not here so it was quite nice to see it. The price is ok but its already fast going so you have no much time to take nice photos :) I advice you to try this!
Amazing views,This is a must for anyone visiting the area. Aim to go before sunset this way you’ll get day and night photos. Incredible views. Very cheap at 33 Tl for a return trip.
🤩,"Wonderful experience, recommend that you take the cable cars to Alanya castle in time to watch the sunset, the view is simply breathtaking! The queue was long at that time but luckily it moves fast. It cost a total of 136TL for our group of 4 to go up to the castle and for return at any time (before 11pm)."
Good view of cleopatra beach,Good view of cleopatra beach. High cable lasted few minutes. 33 lira per person adult child same price
FANTASTIC EXPERIENCE,"Fantastic views, reasonably priced, extremely C-19 aware and staff take customer health and safety very seriously e.g. fumigating each car after use. Fabulous views on the cars at at the top [near the castle]. Lots of resting places once alighted from the cars and en route to the castle.I would go back in a heartbeat."
What a great experience!,"Fast,efficient and great value! Definitely the best way to explore the castle.We went in the day but they operate at night too."
Great attraction. ,"We visited the cable cars as a family. Due to covid we had to wear a mask and the cable car was de fumigated before we got in. We felt very safe. The journey to the top is about 7 minutes and you have brilliant views along the coastline. We decided to venture up at sunset and it was lovely and not too hot at this time. At the top, there are wooden walkways and steps up to the castle. I would recommend NOT to take a pram up as the steps are steep and the walkways are narrow. The views from the top are sensational. There is a little market as you walk further round and a lovely looking restaurant with reasonable prices! If we had had more time, we would’ve loved to explore more. Definitely worth a visit. Another place for amazing views is “The Rabbit” which is at the other side of Alanya but is beautiful and so high up in the hills. It has an outdoor theatre up there (obviously wasn’t on due to covid) but it’s definitely worth a visit."
Alanya teleferic ride - tourist attraction,"I gave 4 points/stars to this attraction only because this teleferic is just for tourists to experience the ride and enjoy the amazing view. When i went there, the price was 5 euros, return ticket but if you go one way the price was aprox 4 euros per person So it is great if you only want to ride it once and experience the ride but if you happen to love visiting the castle and the top of the hill, its better to take a taxi and 4 people can go to the top for less than 5 eur.So if you are local with lower income, teleferic might not be your first choice of transportation to the top of the hil.The teleferic is in great condition, and people who work there are lovely."
Death trap,This place is a death trap. My 7 year old daughter fell through the plank of wood that was laid out as walk way through the building site that was up the top of the castle.It is a disgrace. DONT GO to Alanya castle.
Amazing,"This place is out of this world, what an amazing experience. There are unbelievable views from every corner. Very safe and easy to go up with young children, there's high railings around the large steps, and resting areas at every few step. The Castle, the old homes, the cemetery, the tea house at the top of the hill will take your breath away. Pure magical experience."
Great Views,Lovely views as you go up. Inexpensive at 28l. At this time of year there were very few visitors so everyone gets a car to themselves. Leave a couple of hours to look around the castle when you reach the top.
Beautiful views .,"We visited with our children, tickets were 15.TL per person and under 5 were free. Cheaper than any other place in the world I say. The cable cars up and down were enjoyed very much as well as the  scenery over looking the sea as you go up. Views from top are incredible. There's a caffe and a restaurant on top. We spent couple of hours up there and loved it."
BEST VIEWS OF ALANYA !!!!,"What a view, friendly staff, great price at 28 TL for adults, 17 TL for children for a return ticket, 22 TL adults & 14 TL for children for one way tickets. Very clean, travels at a steady pace so you can enjoy the views. Night trips available. Opens at 9.30 am Closes 23.00 pm. A must do trip while you are here."
Awesome view,It has truly awesoe view of Alanya and Kleopatra beach as well. It takes 5-10 minutes to go up and down and the ticket is not expensive. It is worth. Just get on it take some pix and videos.
so good we used it twice,"great way to fill an afternoon, amazing views and cheep 28 tl for a round trip. once up at the castle is a really nice place to just wander around sightseeing"
Nice ride over Alanya,"Fun to see Alanya from a different view. Easy to compain a visit to alanya kalesi also. Not expensive, worth of money."
Alanya cable car,To get to the cable car is a stroll on flat ground. Turn right when you come out of the port. When you get to the round about take a left turn and walk to the end of the road. The cable car takes you to the top for a scenic view to the castle. Alternatively you can take a bus or a steep walk to the castle.
Beautiful view,Nice ride from the beach up to the castle with really nice views over the beach on one side and the town on the otherside. I'd recommend you go up during the day and come back during or after sunset.
AMazing views,"It is an amazing trip up to mountain, you will get to see the beach from high high up and the rocks by the side of the mountain. A MUST"
Great way up to the castle.,"An inexpensive way up to the castle from the end of Kleopatra Beach. Costs 28TL return and the views are lovely. You can even ride up in the dark - stops running at 9.00pm, but the free lower part of the castle closes at 8.30pm."
Up to the castle ,We took a one way ticket and walked through and down back to the town. It's open until 22.00.. but a nice walk is  recommended ... beautiful view. Make sure you take the trip up little before sunset.. tickets are not expensive.. there is restaurants up in the castle area..
Nice,Good place for romantic trip. Good view for sunset on the see.Not expensive for such nice experience.
Great view over Alanya,This is the best way to reach the castle and get great views over Alanya. And it’s not expensive at 28TL for the return trip. The journey only takes a few minutes so take your photos in time!
Quick and beautiful way to Kale,"Not too much waiting, price was 22 one way and adult price also for 10 year old kids. Hmph. But the view is great anyway. Kleopatra beach, the sea, Kale and the city seen from above. Been there a few times and still it is entertaining. You can spend even a few hours up there if you want. There are souvenir shops, nice quilts and stuff to buy, restaurant, cafes and a lot of great viewpoints."
