title,text
Explore Alleppey Backwaters by local ferry,"The best way, inexpensively to see the ever-changing life along waterways. The ferry ride is relaxing and allowed us to see and experience Alappuzha’s beautiful backwaters. It offered a brief glimpse into the local way of life on the river. The ferry winds through both narrow and wide bodies of water. You will see angler laying out nets from their tiny boats, stunning birds of prey and smaller river dwelling birds darting around. We also used the ferry every day to travel into the city centre from where we stayed (7 minutes ride) as well as some carefully planned day trips, to neighbouring townships all for very few Indian Rupee. Travel like & with the local community, get off the ferry and go exploring. Latest ferry schedules are available from the Government of Kerala State Water Transport Department."
Relaxation medicine,Been there many as i am living in Alleppey.  One must be there in his lifetime to feel the breeze and silence of the nature. Avoid March-May time though due to extreme heat
Just relax,"Sunglasses are a must. You will find plenty of boats, where you can hire one for taking you around the backwaters for a couple of hours or higher. Check and take the boats that have good reclined seats. Once on the boat, just relax down and enjoy the greenery around, view of coconut trees, and cool breeze.Time of visit: Not recommended when it is very sunny.If you are planning to reach Allepey on a private car from Kochi, I would recommend taking the road that is parallel to the sea, not the regular highway."
Lovely...must do,"Venice of the East...beautiful & mesmerising.Backwaters are all over the place in Allepey.Take a shikara, canoe or hand rowed boat & simply move along to see the beauty.Houseboats can be tried once."
Too good,"Its a lovely experience. You can book a houseboat or shikara or canoes,all are good. The smaller your boat, the smaller backwaters it can go in. Thats where the charm lies.Having experienced houseboat & shikara  before, we chose shikara this time. Also, got down at the rice fields , which are below water level. Lovely vistas."
nice boating,on the  boat we were very much enjoyed by side seeings and buying fish and frowns and in the boat good kitchen and arrangments are very good
Shakira trips,"Did 2 trips in a Shakira boat - there are loads available and the rate was 500 IR per hour. We did a 3 hour and a 5 hour tour, both good - but the 3 hour tour was probably best, going down the narrow channels. The large houseboat are a bit of an expensive scam, as they don't go…"
Be careful how you pick your boat,The backwater cruise is totally awesome.  We did an overnight boat and found the pace so very relaxing.  Our boat was organised by Expertise Travel who were very on the ball.  However we were a little disappointed in the level as we asked for the most expensive option and were…
"It's OK as a thing to do, nothing more. Very polluted! ","If you read the travel books this place sounds amazing. It isn't, it's kinda OK, I was totally so what about the backwaters in terms of the scenary and freaked out about the pollution.  So there are three ways you can explore. On one of the many house boats. There are millions…"
Beautiful and serene,Lovely place. We took the one hour sunset ride organised by our hotel lake palace resort. Beautiful and mesmerising. Will surely come back to stay in backwaters someday 
