title,text
Nice place to visit,"must see it, if you are in lukhnow, greate Art of workmanship. go in Evening or early morning only.."
Ambedkar park :the best place to enjoy,I visited there quite a few months ago and in winters and i have to say in this context that me and my friends enjoyed a lot there and we took photographs there which were so awesome
Amazing how this has been built,This is a great few hours out and about.  The architecture is incredible.  The whole park is made of marbel and you see dragonflies trying to lay eggs on it.  Not the best for evolution but there are bloody hundreds of them so can't be doing too bad for them.
Ambedkar Memorial Park,Ambedkar Memorial Park is a fantastic place to hangout and enjoy with dear ones. One should definately visit this place.
Concrete jungle ,Too much of concrete is eye soaring. Came to know from the cab driver that the area had lush green forests before this park was constructed.
Park,"Now Ambedkar Memorial Park, formally known as Dr. Bhimrao Ambedkar Samajik Parivartan Prateek Sthal, is a public park and memorial in Gomti Nagar. The memorial is dedicated to B. R. Ambedkar ""father of the Indian Constitution""."
Simply Awesome,"The Ambedkar park has entry fees worth it. I went with my friends in this park and really amazed with the architectural beauty of the park. Must one time visit , if you are in lucknow. I see many people enjoy by admiring the park beauty and click awesome photographs."
Amazing place,I visited here with my family . Loved this place will like to visit here again. Don't visit during summers as monuments here are made of marble or stones . Enjoyed a lot here .
Picnic,It was great going out after long really had great time with family and friends. Monument is completely made of marbal and stone must be hot during summers but overall liked the place
Very nice,This part is very nice main is very nice I am go to with boyfriend enjoy this is very beautiful place
Best trip but chosen in wrong season!,"Hi there, this is Rajat.Firstly let me tell why I wrote title like this.Friends I went to the trip on the month of June and the place was fully made up of marble and stone and just imagine sitting on a marble in June month.But this turns into a happy trip at evening... there are lots of statues (max elephant) and very precious structure...I suggest you not to visit in Summer but prefer to visit in normal days.There is nothing like Tree in the park... I have seen the only park with no trees that was a minus to it.Although visit just once and enjoy the beautiful architecture.Thanks for reading"
Beautiful Park,"We were amazed with the beauty of this park, except smell of Gomti river water. Lukhnow development authority should consider daily light and show program which should help to bring tourists."
Time pass in Park,"As we had to pass time for an hour so we decided to visit Ambedkar Park ,having fountain but it works only in the evening from 6pm to 9pm.We had a good time to njoy green part of park.very well maintained."
Huge park dedicated to Ambedkar and elephants…,The park is very huge with open wide spaces in all directions. There are several elephant statues and huge statues of Dr. Ambedkar along with other political leaders. The view from the top is good and the park is well maintained.
