title,text
Interesting place!,"This is such a majestic location that is highly informative to visitors.  The grounds of the facility and the architecture itself is spectacular and worth a visit while in Ankara.  If you are an American, think of the Lincoln Memorial in Washington DC as an analog.  This is worth a couple hours of your day. (As a side note and reflective of the times we live, security and military were heavily policing anyone who lowered a face covering ... for even two seconds ...literally. Even though there was hardly anyone there and we were outside. Ridiculous).  But visit here while I’m Ankara!"
Attaturk barrier place ,A nice half day out to look around with a nice view of Ankara . Nice history of the way it was built and by whom .
Impressive,A walk through the greatest mausoleum of the Turkish people. There were some works in progress but it was still an excellent visit.
The place where the heart of Turkey pumps,This is the place where you should start first when it is your first time in Ankara. Highly suggested to go around golden hours.
"Very impressive, but not accessible for wheelchair access","This was quite a spectacular visit and informative about Turkish history. If you're there long enough you get to see the guards changing which was very interesting.Staff were wearing masks, there were some points of sanitiser dispensers throughout, the museum was closed to prevent spread of the virus, and there were limited access restrictions in places like the souvenir shop. Saying that, not all tourists were wearing masks, and the amount of people in main areas like the mausoleum and memorabilia showcases were not monitored.Unfortunately, there's a lot of stairs throughout Anitkabir, and I did not see a single point for wheelchair access. Anyone would this restriction wouldn't properly access the landmark, and wouldn't be able to visit it comfortably."
First place to start in Ankara!,"Huge Memorial place with vast grounds to walk around, it has also good views from the top to the city of Ankara. The museum contains full story and history of Ataturk. A must visit to understand this history and enjoy the daily military change show."
Must see in Ankara,"A huge building whit the mausoleum of Ataturk, which is the founder of the Republic of Turkey. There are lots of paintings from that time of the Turkish war of independence and how the republican identity started. Definitely a place worth to visit and deepening yourself in the republican history."
Interesting,"This massive Mausoleum is built for the final resting place for Kemal Ataturk between 1944 and 1952.  There is also the Ataturk and war of independence museum.Very Interesting, must to seeEntrance freeOpening hours from 09.00 till 16.30"
Stunning and beautiful area. Must visit!,"I travelled by train from Istanbul to pay my respects here. There is an incredible feeling of love and respect for the great man. The museum is fantastic, with so many treasures, including cars, the funeral gun carriage, portraits etc. The gift shop is very reasonable and there is a nice cafe for a drink and rest."
Nice and peaceful,Wonderful place. Must visit. During season always packed with tourists. Underground museum in the same building is fabulous. Very huge fabrication it is. Wonderful with beautiful garden a d lanscape. At the  time of shifting of duties of guards it is a fabulous time. Guards stand and keep on standing till the changeover without any movement. Great it is.
Obligatory visit!,"Seems that every tour to Ankara is taken to Anitkabir.  It's OK and offers some insights into the hero-worship that Turks have for Kemal Ataturk, founder of the Turkish Republic.  But the mausoleum itself is not all that impressive.  Built in similar style as the mausoleums of Ho Chi Minh and Mao Zedong (actually, I guess they came after), it's just a big-columned structure idolizing the founding leader.  The mausoleum is stark and bare inside.  The most interesting part of the visit was seeing the school groups and how they behaved during their obligatory visits, and the changing of the guard (which was interesting but not as impressive as some other such exercises in other countries).  If you have limited time in Ankara, better to plan to spend more time at the amazing Anatolian Civilizations Museum."
"Unmissable, even if you are in Ankara for just one day!","This is an utterly fascinating place!  You cannot miss it, even if you are in Ankara for just a day.  Basically, it is the mausoleum of Ataturk, but there is much more to see than just a tomb.  The whole place is paradise for photo and history buffs.  You enter the central area through a broad road, lined with statues of lions.  At the end of this road is a huge courtyard, with Ataturk's tomb on the left and a museum on the right.  You need at least two hours to see everything. It would be good if you can budget three hours.  Wear GOOD walking shoes, there is plenty of walking to be done.  People with a stroller may have some difficulties, there are quite a few stairs.  I did not see arrangements for wheelchairs, you may need to check.  Little kids may find this quite trying.  Also, I don't think this place would appeal to teenagers.  But, if you have even a little interest in history, this is indeed paradise.  So much information on modern Turkish history, on Ataturk,  on his life, etc...etc...  And so many photogenic buildings.  I went by taxi, the driver dropped me off at the main gate.  It was quite a walk, uphill, to the Lion walkway, and then there was more walking.  There must be some way to directly access the Lion walkway.  If so, you can save yourself a long uphill walk, and also save a lot of time!  It is perhaps the most impressive mausoleum in the whole world.  It left me with a sense of awe."
Official visit.,It was a solemn and  moving experience.  Well worth doing at least once.  Wear comfortable shoes.  It is a bit like a pilgrimage.
Best place to learn about modern Turkish history,Don't forget to visit the museum if you want to learn more about modern Turkish history and general atmosphere in the Republic of Turkey.
You must visit Anitkabir if you visit Ankara ,"I think you cannot really visit Ankara without visiting Anitkabir.It’s architecture is interesting and it’s kind of simplicity makes it very monumental. And monument it is.For me, a Nordic visitor, the importance of Atatürk is fascinating. The museum around the mausoleum gives you an idea how loved he was and is. I saw many families and couples taking photos Anitkabir on background and studying the museum very carefully.I recommend this place because its importance for Turkish people, there’s something special how they talk about Atatürk, the father of the Turkey. Based on what I saw I think he was a man with academic background but he could touch the people of Turkey by the way he spoke. And being a soldier finalized his heroic status."
MUST BE SEEN in ANKARA...,"Anitkabir... My legend, Mustafa Kemal Ataturks, great commander, founder of Turkish Rebuplic, resting place. If you are interested in history, here is not just a place to give your respect to him, also to see and learn a lot about close history, the real one, with real proofs and witnesses."
Very moving with an excellent WWI museum,Saw the changing of the guard - worth watching.  The museum had a excellent depiction of WWI from the Turkish view point.  I recomend this for everyone to visit.
Perfect and also important place to see.. ,"Anıtkabir is one of the most important place to see in Turkey. If you have been in Ankara and you haven't seen Anıtkabir, means that the other places you saw are meaningless."
Highly recommend ,A great history lesson . The information and set up is great . Loved the car and the personal belongings as well as the history reminder. Views from the top spectacular.
Splendid ,Awesome It’s one place that everyone should pay a visit to it is very beautiful very big and very nice a lot of Chinese and Asian people friendly and accommodating I will visit again when I am in Ankara
Anıtkabir ,Very historical and beautiful. An amazing place to visit. Gives the life of Atatürk and really pays tribute to him and his greatness.
Amazing Monument,A must see in Ankara. You will learn alot about the history of Turkey and Ataturk when you visit this important monument. Its always very well organized and entertaining to visit and enjoy a piece of Turkey’s history.Side note: Wear walking/comfortable shoes when visiting because you will walk alot.
Highly recommend ,If you want to know the details of this wonderful country Antikabir is the place to visit where you can see The graveyard of his Everlasting General and historical Mustafa Kamal Ataturk
Great Man in History of Humanity,"I think this is the most impressive building in Turkey. Every single detail has a reason and meaning. No matter where are you from, nor friend or foe you have to visit."
might be the only place to visit in Ankara,"the place was built with passion that is for sure, the founder place in the hearts of Turkish people is also obvious,i am not a fan of graves, but this place is a monument more than a museum or anything else,"
Excellent,"If you would like to know historical information about the founder of Turkey, you should go and visit this exceptional museum. Strongly recommended."
"A ""must-do"" visit to appreciate modern Turkey history","This mausoleum gives a visitor an appreciation of modern Turkey history, which was marked by Ataturk's leadership post Ottoman Empire. The building includes a museum of Ataturk's life and his many achievements in modernizing Turkey. However, the many sub sections that present his achievements, in the walk through museum wing, are pretty extensive and one would take an hour or so to complete the viewing of the exhibits. Depending on one's interests and time constraints, one could just focus on the early section presenting Ataturk's life and military history."
In memory of Ataturk,Stopped by on the way to Cappadocia. I was bugged by a bad back so only reached the flagpost but the wife did the full deal. Witnessed the changing of the guard and the wife did the mausoleum and musuem. It was bitterly cold. Great for fans of Ataturk.
mausoleum built to honour the father of the nation,This mausoleum was built to respect the father of the nation Mustafa Kemal Ataturk who is the founder of the Republic of Turkey
Worth visiting many times.,"Apart from being a highly (actually the most) respected place in Turkey, it offers a beautiful city view."
To everyone - Herkese,"Number one in Ankara! Mosoleum or museum. First visit then bir easy to forvet... Ankara'da bir numara. Mozele veya müze. Bir ziyaret esin, unutmayacaksınız."
"amazing place, i enjoy visiting different parts","amazing place, i enjoy visiting different parts. There were many students there for graduation ceremony, also the soldiers say some words in Turkish while marching, it was interesting for me that how Turkish people love Ataturk."
"Historic, Grandeur and Impressive !!","This is a must visit when one sets foot in Ankara and be prepared to set aside at least half a day to go through the four sections of the momentous site with the most important being the mausoleum of the Father of Turkey, Ataturk.The four sections broadly are 1) which houses Ataturk ( Father of Turkey) personal belongings 2) 3 Panoramas of Canakkale Battle, Sakarya Pitch Battle and the Great Attack are exhibited 3) Consists of vault galleries where thematic exhibition sites are displayed covering events occured during the period between 1919 and 1938 4) private library of Ataturk covering 3123 books of anitkabir collection from Ataturk's personal library.Other interesting sites are the hall of honor, the changing of guards, the sarcopahagus of ismet inonu, souvenior shops and the lion's path outside. A must see and it is truly educational and impressive."
Mustafa Kemal Ataturk,"Great monument as this is a historically important place for Turkey, Father of modern Turkey. Anit Kabir is very impressive, when in Ankara, make sure you have some time to visit this significant place."
"Great Monument, must visit","Great monument , You will feel the grandeur and respect of this place. Beautiful garden with plants & trees that bring from many country different species and origin."
Number 1 place to visit in Ankara,Very important monument in which Ataturk in rest. At least once in life to visit and feel the great atmosphere.
Great Historical Site,Very awesome historical museum with lots of stories to be told. Love the carvings om the walls and the interior of the building. Get a glimpse of the changing of parade where soldiers will be marching across the parade ground close to the vistors.
Must Visit to understand Modern Turkey!!,"Far too many vistors to Turkey don't visit Ankara- and do not understand  the importance of Ataturk in creating the modern state- or indeed his acheivements in transforming the state and creating a nation in less than 20 years. this monument might appear to many to be OTT but it isnt ,in terms of his achievements ( not forgetting that he was a successful soldier as well!). The displays are not brilliant- but they do lay out his achievements his promotion of a long past, secularization social reforms etc- but they are hard work. The scale of the monument is truly impressive- oh and the Lirary display is fascinating- not only becuse of its size- but because of his wide reading!"
 Nice place ,A must see place when you visit Ankara.It’s nice that you see how much respect Turkish people have for this great man after more than 80 years.
The most memorable building for Turkey,"First impression that I get when Im visit this place is History and power. The Turkish old and young generation showed they are respected to the very important man for they are country Mustafa Kemal Atartuk. Every body craying and praying for him, even me. So easy to come here, because this place in the center, and you no need to pay entrance. Really recommend this place.Happy travel."
Very Impressive Monument,Very informative displays of how modern Turkey evolved.There is a sense of great national pride here.Certainly a very fitting monument to a very special man.
Exciting visit,We evixperinced   an exciting visit to the memorial of Atatürk who is the first leader of The Turkish Republic
This is a great palce to understand the country hav for the love of Ataturk,It is  an interesting and wellplanned monument to the man who changed Turkey. The grounds are beautiful all year round
Amazing,"Worth visiting. The atmosphere is very nice,the place is very taken care of,clean. Absolutely stunning views!"
The father of Türks,"A must visit place when you get to the capital of Republic of Turkey. The museum of Atatürk, the one who established the modern Turkey."
Anıtkabir,"Anitkabir is one of most important monuments, places for us, Turkish as our founder of Turkish republic rests within the monument. I have visited this place many times since I am very young, this time I was with my husband and young son. There is an interesting museum part that explains the wars, the hard times our anchestors went through to protect our freedom against imperialist countries. I found it little overwhelming as there are many topics covered about wars, Ataturk and revolution.  If you do not know much about Atatürk and Turkish history I recommend you to do some reading about Turkish history between 1900-1938 before you visit then it will be easier for you to understand the exhibitions in the museum. You should plan 2-3 hours visit."
Huge and a beautiful monument,"It has commanding views: changing of guards is also very good. It has a beautiful garden. Very well done monument for the father of the nation. He is revered, for a very good reason."
EMOTİONAL VİSİT,This one was the most emotional visit I ve have been. First commander and president of rebuclic of Turkey. Ataturk made lot of great things to turkish public. All thanks for Ataturk. Rest in peace Commander!
Impressive architecture ,"Anıtkabir, the eternal resting place of the Great Leader Atatürk, founder of the Republic of Turkey, is located in the heart of Ankara.Free entry for all. Huge garden and enormous square to walk around. One can spend an entire afternoon if wishes."
The place of utter respect and pride for the Turkish nation!,"The mausoleum of Kemal Ataturk, located above the city, is a must visit. This place shows best what a respectful and grateful nation the Turks are!"
Antikabir,This is the most visited tourist place in the Ankara in it is worse to miss it. There is an interesting museum and nice park.
Impressive Memorial,"This large hilltop memorial surrounds a ceremonial plaza.  On one end is the mausoleum for Ataturk, while there are smaller galleries and figures around the edges.  Soldiers and sailors stand guard in various places like statues.  Every hour there is a precision ceremony to change the guards.  When we were there a complete medical school class was celebrating their 20th reunion by laying a ceremonial wreath in the mausoleum.  Don't miss a small gallery near the WC that describes the building of the memorial and shows the (discarded) alternate designs."
Majestic place ,A large and extended place with tourism attractions that represent Turkish disciplines. Every where you can see soldier that I thought  it is maquette but it was real👍🏻. Interesting...
Wondeful ,Of you understand Turkish people you should see Anıtkabir. Very nice and very clean district. You may visit there
excellent!,"We were there with our frienda in spring 2019. It is stunning. We Will come back next year, because we did not see all."
Monument dedicated to prominent statesman Ataturk. Father of Turks,"Certainly was above our expectations. Anitkabir is a huge monumental complex devoted to Ataturk. The atmosphere was very impressive and unique. If you are lucky enough, you might as well come across Turkish soldiers changing guards. Moreover, the museum is very well curated and there is quite a lot of information on the salvation war Turks won against many countries."
Fitting monument,Very short for time we had to forgo the museum and head straight for the great hall. The hall is some 30 metres high with the walls faced with a variety of marbles and travertine limestones. The great man rests in a 40 ton sarcophagus made of a tiger striped Turkish marble. Light pours through a arched window. The upper arch of the window is furnished with a golden mosaic. The roof is lightly ornamented giving the overall impression of grand but restrained architecture. A fitting resting place for the great man. Pivoting around you are treated to a panoramic view of Ankara.
Peace at home peace at in the world! ,You have to see this graveyard and its museum. It has a very important information about history. Ataturk had a very important person in the world!
Great view from Ankara,"Very interesting history of Atatürk and modern Turkey, calm place, great view. A must see in Ankara."
Great!,Masterpiece . With all the great signs of masterpiece in the modern era. Like it for photography . I felt somewhat a sense of excessive security control over us.
"Anıtkabir, Shrine and museum in the capital Ankara","A distinctive cultural monument and a tourist attractionIt is a building, inside the mausoleum of Kemal Ataturk, It also has a museum, contains personal items and clothing for Kemal Ataturk and it contains a 3D view of the wars he ledIt has a panoramic view of AnkaraFree admissionVisiting hours; times for visiting Anıtkabir on special dates vary.09.00-17.00 09.00-16.0009.00-16.30 week daysWeekend (Closed)Religious Holidays (open)Public and national Holidays; 1 January, 1 May, 30 August, July 15 (open)Address: Yücetepe, Akdeniz Cd. No:31, 06570 Çankaya/Ankara"
Great monument ,Great resting place for a great man.It was such a moving experienceIt was another highlight of my holidays. .
Really massive Mausoleum to Mustafa Kemal Ataturk,It's impressive how massive Mausoleum and area are. Obviously it's very important place for Turkish.
Magnificent.,"We've been to Anitkabir on numerous different occasions by now. It really is simply a magnificent place, tributed to Gazi Mustafa Kemal Atatürk.The thing is, it is hard to review a place like this in detail, as it contains a lot of information about Atatürk, is free and even if the prior two statements wouldn't be there, it still is just beautiful. In the center of Ankara, with a great view almost the entire 360 degrees.It really simply is a must-see in Ankara. Also to learn more about the most important man in recent Turkish history, who's name and portrait you can see pretty much across Turkey.Offline reading about him in addition is also definitely recommended."
A massive Mausoleum dedicated to founder of modern Turkey,"A vast open area and Mausoleum dedicated to the founder of  modern Turkey Mustafa Kemal Ataturk, who is the 1st President of Turkey, after World War One. Apart from the Mausoleum, there are separate room showing the presidential cars and photos showing his victories at the Turkish war of independance, after World War 1. We managed to witness of the charging of the guards as well. Good enough to spent 1 hour at this place."
One of the greatest persons in Turkish history,"Ataturk led the falling apart Otoman Empire into modern day Turkey, gave women voting rights and tried to liberalize the Islam."
This summer,"It is must seen place to get to know the biggest leader of Republic Turkey. You have to get into the celler as well, there are lots of historical memos, tools, photographs, stories you should know."
A must see!,This monument should be on top of things to do in Ankara. Check opening times online before visiting. Entrance is free.
Please All Rise and Salute for ATATURK...,The founder of the Turkish Republic Mustafa Kemal ATATURK  is visited by millions of Turkish Republicans on every occasion to express their deep respect and gratitude for his invaluable ministration to his Nation. Every spot has its own history and meaning so be aware of every single information to understand the passion and devotion to this Republic... Even the architecture and decoration has so many words to tell you about the TR history.
Excellent museum!,"This is a wonderful museum, very well done!  Every part of this museum I enjoyed and I especially loved learning so much about Turkey's history and Atatürk's reformations. This museum is a must if you want to learn about and understand Turkish society. My favorite places within this museum are the murals and art galleries. I could stay all day in those rooms alone. It's very impressive. The amount of Turkish influence in advancement with so many fields of study was also impressive. My kids really enjoy running around the square and seeing the changing of the guards. They don't like the museum as much because they get bored but I sure do like it. It's also free, which is awesome!"
Excellent,"A fitting mausauleum for a giant of a man, Mustafa Kemal Atatürk.  The Road of the Lions and the Ataturk Museum were personal favourites of mine.  Am still in awe of this great man who showed such vision."
Beautiful,"beautiful place with such of history and amazing architecture, put some respect and enjoy your historical visit."
Historical,It was a nice historical and informative museum to visit. Would recommend it if you are interested in Turkish history.
Great monument,"This is the first thing you have to visit in Ankara. The buildings are magnificent and the museum is really excellent and in great detail, but probably more interesting to turkish people than other turists, because of more general knowledge they have on Ata Turk's life and work."
The father of turkey where He’s buried,The father of turkey Mustafa Kemal Atatürk this is his Mazzaliuum it took 15 years to build by the Italians and that’s where he’s buried Lot of history when you walk around it will take your around good 2-3 hours
Most memorial place I visited in Ankara,"Most memorial place I visited in Ankara , I t has un beliavable history , Its the resting place of the most Famous Turk AtaTurk , modern father of Turkey"
Worth the time ,A worth two hours spent at the mausoleum and museum reflecting Ataturk and his struggle against the Greeks and reuniting modern Turkey.
Must do!,"I went here with my 13 year old son who had been drawing it for Republic Day almost every year at school so I thought it was about time we saw the real thing. It's so worth it. Brilliantly built - huge and yet inside surprisingly intimate. We went late in the day so it wasn't crowded but we should have got there earlier - I'd say around 3pm - we would have had more time to take it all in. There's a museum that goes from the right hand side of the main structure, underneath and comes out on the left - do it! It has Turkish Republic history in a nutshell with lots of Ataturk memorabilia. The whole site is full of wonderful 1930s art and sculpture which I wasn't expecting. There's a drama to it all reminiscent of the Russian style of art at the time. Look at everything, it's worth it, but not on a very hot sunny day, there's not a lot of shade outside. Oh, and my son found out skateboards are not allowed on the site!!"
Impressive in a cold way,"Like any other memorials, it is a cold, sterile place, beautifully crafted to suggest power. The changing of the guard animates it for a few minutes. It's a long walk fro the city but a short and cheap taxi ride."
Ulu Önder Mustafa Kemal ATATÜRK,The founder of our country and Turkey republic. The monument is a must-visit and to convey their respects to Ataturk for anyone coming to the capital of Turkey in Ankara.
A must visit in the capital city,Amazing place in the capital city. Plenty of historical and very impressive museum in the are where a must.
History of new Turkey,"The place is quiet beautiful, beside the tomb of Mustafa Kama Ataturk, you can also enjoy the beauty of garden. There is nice Turkish Military show, dont miss it."
Impressive monument to Ataturk,A huge building complex located on the top of a hill in the heart of Ankara. There are a lot of things to see in the museum. The museum itself it can also help understand better the Turkish people.
Ataturk tump,"Its the tump of Mustafa Kamal Ataturk, and all his belongings,  his history, his legacy and finally his tump. Great place to visit with wonderful building structure and its free of charge"
The First President,"Turkey has done a great service to extolling the military, political, diplomatic and national accomplishments of Mustafa Kemal Ataturk. His mausoleum, museum and the 3-dimensional portrayal of the hideousness of the war that under his leadership allowed Turkey to become a republic after the fall of the Ottoman Empire is truly representative of the pride and nationalistic spirit of Turkey. It is definitely worth a trip. Count on about 2 hours. As adults we had visited one time and before we returned with our two elementary aged children we created a 30-point scavanger hunt. We selected specific physical things to look for (lions on the walkway), points of interest in the paintings (Ataturk with a hat, Ataturk  on a horse) , as well as different reprsenations in the 3-dimensional mural (a soldier with a flag, Ataturk with binnoculars). They recorded each successful ""treasure"" with the camera on their phone. It made for a more interesting time for the children and allowed us to have meaningful conversations after our visit."
29 Ekim 2016,"Atatürk's mausoleum... As Colin Powell put it when he was the Chief of Staff of the USA, ""The greatest statesman of the world in the 20th century..."""
A true understanding of Turkey,"Is 100% a must see, especially for the people from countries that were involved in WW1. You get a true understanding and appreciation to Turkey when you see what Atatürk has done for the country."
Very impressive,"Went here with colleagues and Anltkabir is very impressive Mausoleum of Mustafa Kemal Atatürk, the founder and first president of the Republic of Turkey. It has been planned very well and it is a must see if visiting Turkey. It is located on a hill overlooking the city."
Wonderful,Everbody must go thete & fell fhe greatnes of ATATÜRK most. Important man of Turkey most of the other countries people know him werywell
Great museum and a must see place!,"This place reflects the independence history, I found it very interesting to learn more about Turkey's recent history and about Mustafa Kemal Ataturk the founder of the Turkish Republic. A must see place while visiting Ankara"
Soul of a Nation Lies Here,"This is the well-kept mausaleum of Turkey's founder Mustafa Kemal Atatürk, one of the most iconic places in Ankara or maybe in Turkey as a whole. It also has a museum about the Turkish War of Independence and Atatürk"
A tribute to Attaturk,Our guide took us to Mustafa Kamal Attaturk Mausoleum which also is a Museum. The place is pretty impressive with lots of guards standing at places in full attention just like those standing still st Buckingham Palace. Saw Attaturk cars and boat which were on day display. Lots of tourist were there in the morning which added a nice atmosphere to the place. We were fortunate to witness a graduation ceremony of soldiers who were near the main entrance ground and had to wait for 15 minutes before we entered the mausoleum. Our guide explained that the actual grave was downstairs but we didn’t go down since we had done lots of walking.The place was drenched with history and we really came to know what Attaturk had done for his country.A must visit in Ankara.
