title,text
Beautiful place,"A breathtaking mesmerizing experience! Worth a visit!Can picture why Raavn was shot in here? Clear waters, splendid scenery!"
Excellent waterfalls to see,"We visited this place at the end of January 2020. Even at this time of the year, the waterfalls looked lively and beautiful to watch."
Waterfalls that are beyond beautiful.,An amazing natural beauty. Although I visited this outside of the monsoon season when the waters are meant to be even more stunning then now.
A natural waterfall and amazing forest area. Bamboo forest is real attraction.,"Tell people about your experience: describe the place or activity, recommendations for travelers?Best months to visit July middle to September end. Avoid plastic"
A rejenuating experience,"A beautiful place to visit, especially those who wish to see beautiful scenery and enjoy the beauty of the nature. The waterfalls is an amazing view, gazing at it is nerver tiresome"
Beautiful water falls in Kerala,"An amazing place. Best water falls in Kerala. But, you have to be very care full as the number of accidental deaths increased recently. do not try to get in to the water."
Marriage of my son,"Very nice great Nature and lovely bathing surrounding also very naturell. We had als lunch nearby, many monkeys."
A scenic and Mesmerizing View,"We visited through car from thrissur, with a family of 4.Place can be easily located through maps and the way to reach the uphill is slightly hilly. May be little tough for new drivers, while experience can handle with ease. Though it is hot day, the view is superb and one can witness the chill breeze over their face. There is entry fee for vehicles and people including childrens. No major food at hills , you can have some drinks near falls, but one can find many hotels on the way. There is one petrol bunk on half-way mark to falls, just-in case if you lack fuel for vehicle.Cons: No proper parking for vehicles, all were forced to park on either side of the road."
One of the best waterfall in kerala,Athirapally waterfall is the best tourist attraction . But taking into account the number of accidental deaths the access is restricted. It's scenic beauty is par excellence. Rainy season brings out the raging fury of this waterfall which is awesome n breathtaking to watch.
Kerala,"This is a beautiful area up in the mountains of Kerala.  There are beautiful waterfalls and mountain paths. A great area for walkers. Very unlike anywhere else in India we stayed in a lovely area with views to enjoy. The hotel was Riverdale Resort, Munnar."
Popular spot for photos and swimming,"One of the many waterfalls in Kerala, very popular with locals, access is by road, then walking around 400m (look out for the monkeys). Swimming is allowed in the shallower reaches and is patrolled. Best views from the coffee shops or luxury resorts."
Beautiful place & lovely falls.,Best time to visit the Athirapally falls is during mansion season July to September. During evening the water in the falls is more as water  is released from the hydro electric station . You can go near the top of the falls as the view is very nice. The falls entry is from 8 AM…
Wow,"Great feeling when start seeing the falls,to have best view one has to walk a bit,but once you have clear & nice view you are mesmerized"
One of the best waterfalls in Kerala,"Athirappilly is one of the beautiful waterfalls in Kerala. It is located in Chalakkudy,  Thrissur. This is a photogenic palce and the drive to the falls through the oil palm plantations is awesome. Ticket rate for cars are 20/-, for adults 40 and for children below 13 it is 5. …"
A day family trip to athirappilly waterfalls,"Athirappilly Waterfalls is located in Athirappilly Panchayath, just east of Chalakkudy in Thrissur district of Kerala. About 24 m. This water fall is from Chalakkudipuzha. It is surrounded by thick forest and is home for many species of birds. There are two nearby waterfalls,…"
